RowID,Dataset Link,u_id,Public,Derived View,Parent uid,Domain,Type,Name,Description,Visits,Creation Date,Created Month,Created Year,Data Last Update Date,Month Data Last Updated,Year Data Last Updated,Category,Keywords,Downloads,Owner,Contact Email,License,Publication Stage,Published Version Name,Published Version uid,Data Provided By,Source Link,Api Endpoint,Provenance,Publishing,Terms of Use,Public Access Level,Public Access Level Comment,Published,Data Age,data_change,endpoint,geographic_coverage,homepage,issued,last_update,moderation_status,publisher,theme,unique_identifier
49,https://citydata.mesaaz.gov/d/2ayt-cj8u,2ayt-cj8u,private,false,,citydata.mesaaz.gov,dataset,Mesa CARES Small Business Technical Assistance Program (PRIVATE),**DataApplication data from the City of Mesa’s COVID-19 Small Business Technical Assistance Program application form administered by the Office of Economic Development. This private dataset includes protected information related to business locations.,74,09/21/2020 02:07:03 PM,Sep,2020,05/05/2022 02:08:03 PM,May,2022,Mesa CARES,"businesses,business,coronavirus,application,covid,covid-19,impact,mesa businesses,mesa cares business,small business,small business assistance,small business technical assistance application",1,City of Mesa,xEconomicDevelopmentData@MesaAZ.gov,See Terms of Use,published,,,Economic Development,,https://citydata.mesaaz.gov/resource/2ayt-cj8u.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Confidential,"Confidential information, see description for details.",n/a,0,As Needed / On Demand,https://citydata.mesaaz.gov/resource/2ayt-cj8u.json,n/a,n/a,n/a,2022-05-05T14:08:00.000,not_ready,n/a,n/a,n/a
64,https://citydata.mesaaz.gov/d/2eie-xgwu,2eie-xgwu,public,false,,citydata.mesaaz.gov,dataset,Fleet Services - Preventative Maintenance,Information about preventative maintenance performed by Fleet Services,866,05/22/2019 05:49:07 PM,May,2019,03/07/2026 06:03:10 PM,Mar,2026,Fleet Services,,105,City of Mesa,xFleetServicesData@MesaAZ.gov,See Terms of Use,published,,,Fleet Services,,https://citydata.mesaaz.gov/resource/2eie-xgwu.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,60,Daily,https://citydata.mesaaz.gov/resource/2eie-xgwu.json,n/a,n/a,n/a,2026-03-07T18:03:10.000,approved,n/a,n/a,n/a
77,https://citydata.mesaaz.gov/d/2gkz-7z4f,2gkz-7z4f,public,false,,citydata.mesaaz.gov,dataset,Building Permits (RETIRED),"Building permits issued by City of Mesa. Included: All building permits applied. Not Included: Applications for Documents or Services, Code Compliance Complaints, Planning Cases, Engineering Projects or Signs. To see a dataset that includes Sign Permits see https://data.mesaaz.gov/Development-Services/Building-Permits-Commercial-Residential-and-Signs-/m2kk-w2hz 

It is assumed that all permits have been issued based on meeting all building and zoning codes.",22017,01/26/2018 11:41:16 PM,Jan,2018,01/07/2026 08:43:43 PM,Jan,2026,Development Services,"mfr,building,commercial,construction,permit,residential,sfr",12416,City of Mesa,xDevelopmentServicesData@MesaAZ.gov,See Terms of Use,published,,,Development Services,,https://citydata.mesaaz.gov/resource/2gkz-7z4f.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,14,Daily,https://citydata.mesaaz.gov/resource/2gkz-7z4f.json,n/a,n/a,n/a,2026-01-07T20:43:24.000,approved,n/a,n/a,n/a
78,https://citydata.mesaaz.gov/d/2gx3-zdvf,2gx3-zdvf,public,false,,citydata.mesaaz.gov,dataset,Transportation Pavement Inventory,"This feature class identifies all roadways and parking areas that are maintained by the City of Mesa. This includes streets, intersections, parking lots, paved alleys, unpaved alleys, and dirt roads. Data are stored as a line geometry type feature class in the City Enterprise Geodatabase. The projected coordinate system is NAD 1983 State Plane Arizona Central FIPS 0202 Feet.",743,11/26/2018 03:38:27 PM,Nov,2018,03/11/2026 05:29:59 PM,Mar,2026,Transportation,"inventory,pavement,roads,streets,transportation",497,City of Mesa,xTransportationData@MesaAZ.gov,See Terms of Use,published,,,Transportation Department,,https://citydata.mesaaz.gov/resource/2gx3-zdvf.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,365,Weekly,https://citydata.mesaaz.gov/resource/2gx3-zdvf.json,n/a,n/a,n/a,2026-03-11T17:29:57.000,approved,n/a,n/a,n/a
93,https://citydata.mesaaz.gov/d/2jaz-pjfm,2jaz-pjfm,site,false,,citydata.mesaaz.gov,dataset,City of Mesa Fuel Transactions,"Summary of fuel transactions for City of Mesa fleet equipment from 1/1/2018 - 7/17/2023.  Transaction details include equipment ID, type, mileage, fuel amount, fuel cost, fuel type, location of fuel transaction, and department.",48,02/13/2024 01:20:59 PM,Feb,2024,02/13/2024 11:02:28 PM,Feb,2024,Fleet Services,hacktivate,4,Jolene.Pomeroy@MesaAZ.gov,,,published,,,,,https://citydata.mesaaz.gov/resource/2jaz-pjfm.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,0,As Needed / On Demand,https://citydata.mesaaz.gov/resource/2jaz-pjfm.json,n/a,n/a,n/a,2025-03-03T18:08:51.000,not_ready,n/a,n/a,n/a
94,https://citydata.mesaaz.gov/d/2jk4-hrv6,2jk4-hrv6,site,false,,citydata.mesaaz.gov,dataset,County Assessor Mesa Parcels - Tax Year 2025,Public information about parcels within Mesa jurisdiction sourced from Maricopa County Assessor's Office for Tax Year 2025.,39,08/07/2025 09:12:37 PM,Aug,2025,08/18/2025 09:16:09 PM,Aug,2025,City Manager,,1,Evan Allred,opendata.info@mesaaz.gov,Public Domain,published,,,Maricopa County Assessor's Office,,https://citydata.mesaaz.gov/resource/2jk4-hrv6.json,official,n/a,,,,n/a,,,https://citydata.mesaaz.gov/resource/2jk4-hrv6.json,n/a,n/a,n/a,2025-08-18T21:16:08.000,not_ready,n/a,n/a,n/a
95,https://citydata.mesaaz.gov/d/2k8j-hkqm,2k8j-hkqm,private,false,,citydata.mesaaz.gov,dataset,HR Years of Service FY21-22 (not automated),,3,10/11/2021 03:29:59 PM,Oct,2021,10/11/2021 03:31:55 PM,Oct,2021,,,0,Jolene.Pomeroy@MesaAZ.gov,,,published,,,,,https://citydata.mesaaz.gov/resource/2k8j-hkqm.json,official,n/a,,,,n/a,,,https://citydata.mesaaz.gov/resource/2k8j-hkqm.json,n/a,n/a,n/a,2021-10-11T15:32:01.000,not_ready,n/a,n/a,n/a
100,https://citydata.mesaaz.gov/d/2m2p-bmrs,2m2p-bmrs,private,false,,citydata.mesaaz.gov,dataset,Water Pumping Cost - Not Automated,Calculated monthly pumping cost per million gallons.  This dataset is not automated and comes from a file from Scott Dericks.,5,05/28/2025 02:36:32 PM,May,2025,06/19/2025 02:58:59 PM,Jun,2025,Water Resources,,0,Alexis.Cottam@MesaAZ.gov,,,published,,,Stella Hansen/Scott Dericks,,https://citydata.mesaaz.gov/resource/2m2p-bmrs.json,official,n/a,,,,n/a,0,As Needed / On Demand,https://citydata.mesaaz.gov/resource/2m2p-bmrs.json,n/a,n/a,n/a,2025-06-19T14:58:58.000,not_ready,n/a,n/a,n/a
101,https://citydata.mesaaz.gov/d/2mnr-j6un,2mnr-j6un,public,false,,citydata.mesaaz.gov,dataset,Code Compliance Case Workflow And Inspections,"This dataset includes all statuses for status changes associated with Code Compliance cases. Code cases move through various workflow tasks and status prior to closing the case. For this reason, a distinct code case may be represented by multiple rows or records for each change in workflow and workflow status. To learn more about code compliance in the City of Mesa, visit the <b><a href=""https://www.mesaaz.gov/residents/code-compliance"" target=""_blank"" rel=""noopener noreferrer"">Code Compliance Office</b></a>. For distinct code cases showing only the most recent status, see <b> <a href=""https://data.mesaaz.gov/Code-Compliance/Code-Compliance/hgf6-yenu"" target=""_blank"" rel=""noopener noreferrer"">Code Compliance Cases</a></b>. See also the following related datasets: <b> <a href=""https://data.mesaaz.gov/Code-Compliance/Code-Enforcement-Case-Turn-Around-Time-TAT-/k9hp-cy2s"" target=""_blank"" rel=""noopener noreferrer"">Code Enforcement Case Turn Around Time</a></b>, <b><a href=""https://data.mesaaz.gov/Code-Compliance/Code-Cases-by-Officer/akj6-u9kt"" target=""_blank"" rel=""noopener noreferrer"">Code Cases by Officer</a></b>, and <b><a href=""https://data.mesaaz.gov/Code-Compliance/Code-Compliance-Investigation-Response/8t34-hz58"" target=""_blank"" rel=""noopener noreferrer"">Code Compliance Investigation Response</a></b>.",75,09/23/2024 03:53:17 PM,Sep,2024,03/26/2026 02:47:18 AM,Mar,2026,Code Compliance,,9,Code Compliance Data Coordinator,xDevelopmentServicesData@MesaAZ.gov,See Terms of Use,published,,,Code Compliance,,https://citydata.mesaaz.gov/resource/2mnr-j6un.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,14,Daily,https://citydata.mesaaz.gov/resource/2mnr-j6un.json,n/a,n/a,n/a,2026-03-26T02:47:07.000,approved,n/a,n/a,n/a
105,https://citydata.mesaaz.gov/d/2nhz-ps6r,2nhz-ps6r,public,false,,citydata.mesaaz.gov,dataset,SMP_WEBMAP,,59,04/13/2020 05:42:49 PM,Apr,2020,06/29/2024 03:15:08 AM,Jun,2024,,,30,Evan Allred,,,published,,,,,https://citydata.mesaaz.gov/resource/2nhz-ps6r.json,official,n/a,,,,n/a,,,https://citydata.mesaaz.gov/resource/2nhz-ps6r.json,n/a,n/a,n/a,2024-04-12T04:12:37.000,approved,n/a,n/a,n/a
118,https://citydata.mesaaz.gov/d/2rk6-wqr9,2rk6-wqr9,private,false,,citydata.mesaaz.gov,dataset,ESD - Regulatory Inspections,"Used by Environmental and Sustainability Department to track and report on regulatory inspections and violations due to environmental regulations. 

Source report is from EHS Insights - Audit & Inspection Log - Regulatory Inspections",17,06/09/2025 09:12:50 PM,Jun,2025,03/26/2026 07:45:11 PM,Mar,2026,Environmental and Sustainability,,0,Aruna Dave,,See Terms of Use,published,,,,,https://citydata.mesaaz.gov/resource/2rk6-wqr9.json,official,n/a,,Confidential,,n/a,14,Weekly,https://citydata.mesaaz.gov/resource/2rk6-wqr9.json,n/a,n/a,n/a,2026-03-26T19:45:11.000,not_ready,n/a,n/a,n/a
122,https://citydata.mesaaz.gov/d/2s4e-e8dc,2s4e-e8dc,public,false,,citydata.mesaaz.gov,dataset,Stakeholder Satisfaction with Services and Quality of Training Provided,"This dataset represents the average satisfaction results of trainings provided by the Operations group within the Office of Management and Budget.  The data is derived from the surveys provided by the Operations group in which the success of the survey is based on a rating between Strongly Disagree and Strongly Agree.  If the responses are Agree or Strongly agree the training is considered successful, otherwise they are assigned a partial or total percentage of failure.",188,06/18/2019 10:00:01 PM,Jun,2019,05/31/2022 06:02:20 PM,May,2022,Office of Management and Budget,,45,City of Mesa,xOfficeOfManagementAndBudgetData@MesaAZ.gov,See Terms of Use,published,,,Office of Management and Budget,,https://citydata.mesaaz.gov/resource/2s4e-e8dc.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,,As Needed / On Demand,https://citydata.mesaaz.gov/resource/2s4e-e8dc.json,n/a,n/a,n/a,2022-04-06T16:15:17.000,approved,n/a,n/a,n/a
123,https://citydata.mesaaz.gov/d/2s7x-gh6z,2s7x-gh6z,site,false,,citydata.mesaaz.gov,dataset,Public Health Weekly Heat Related Deaths Report,"Year-to-date (YTD) heat-related deaths reported by Maricopa County Public Health Department with an injury location in Mesa. Reporting time period YTD as of date shown. Data are updated weekly during the heat season on Tuesday. See <b><a href=""https://www.maricopa.gov/1858/Heat-Surveillance"" target=""_blank"" rel=""noopener noreferrer"">Heat Surveillance Report</a></b> for more information. See also <b><a href=""https://app.powerbigov.us/view?r=eyJrIjoiZDA3ZTUzNzAtMzIwMS00YzA3LTlhMzEtZmJhZGQzY2FlYmZlIiwidCI6IjMwY2QzNWQ0LTk5NTEtNGE3Mi05NzhlLTg5NjU1MDc1YzE3ZiJ9"">County Public Health Heat-Related Illness and Death Dashboard.</b></a>",102,07/11/2024 05:01:29 PM,Jul,2024,06/19/2025 08:48:27 PM,Jun,2025,Community Services,,7,Evan Allred,,Public Domain,published,,,Maricopa County Public Health,https://www.maricopa.gov/1858/Heat-Surveillance,https://citydata.mesaaz.gov/resource/2s7x-gh6z.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,0,Weekly,https://citydata.mesaaz.gov/resource/2s7x-gh6z.json,n/a,n/a,n/a,2025-06-23T14:25:06.000,not_ready,n/a,n/a,n/a
124,https://citydata.mesaaz.gov/d/2sf8-jjh2,2sf8-jjh2,public,false,,citydata.mesaaz.gov,dataset,High Pollution Advisory Days,"Air quality data pulled from Maricopa County Air Quality Department (https://www.maricopa.gov/1643/Air-Quality-Status-and-Monitoring) showing the annual number of high pollution advisory days caused by PM-10 (Dust), PM-2.5 (Smoke), and ozone.",24,01/09/2025 04:15:15 PM,Jan,2025,01/09/2025 04:22:08 PM,Jan,2025,Environmental and Sustainability,air quality,10,Megan Drazek,opendata.info@mesaaz.gov,Public Domain,published,,,Maricopa County Air Quality Department,https://www.maricopa.gov/1643/Air-Quality-Status-and-Monitoring,https://citydata.mesaaz.gov/resource/2sf8-jjh2.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,400,Annual,https://citydata.mesaaz.gov/resource/2sf8-jjh2.json,n/a,n/a,n/a,2025-02-04T00:31:19.000,approved,n/a,n/a,n/a
125,https://citydata.mesaaz.gov/d/2t78-qekm,2t78-qekm,private,false,,citydata.mesaaz.gov,dataset,Fire Fireground Survival Training,This dataset collects the number of fire suppression personnel (anyone trained to respond to a fire) who actually received the training along with the total number of fire suppression personnel in the department.  The training requirements have an entire calendar year to be completed therefore the dataset is only updated on an annual basis in January.,57,06/18/2019 10:43:27 PM,Jun,2019,06/06/2025 04:53:52 AM,Jun,2025,Fire and Medical,,0,Jenn Fisher,,,published,,,,,https://citydata.mesaaz.gov/resource/2t78-qekm.json,official,n/a,,,,n/a,760,Annual,https://citydata.mesaaz.gov/resource/2t78-qekm.json,n/a,n/a,n/a,2025-06-06T04:53:52.000,not_ready,n/a,n/a,n/a
126,https://citydata.mesaaz.gov/d/2t8d-7gdx,2t8d-7gdx,private,false,,citydata.mesaaz.gov,dataset,EV DC Charger Meter Reads,"This dataset includes the 15 minute AMI interval reads for the meters at EMSC (70451) and WMSC (53086) for the EV charging stations.  

The read values are in kWh and take into account multipliers associated with the meters.",32,08/27/2025 08:51:51 PM,Aug,2025,03/30/2026 12:11:06 AM,Mar,2026,Fleet Services,,2,Alexis.Cottam@MesaAZ.gov,,See Terms of Use,published,,,Energy Resources,,https://citydata.mesaaz.gov/resource/2t8d-7gdx.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,,,n/a,7,Daily,https://citydata.mesaaz.gov/resource/2t8d-7gdx.json,n/a,n/a,n/a,2026-03-30T00:10:47.000,not_ready,n/a,n/a,n/a
131,https://citydata.mesaaz.gov/d/2uiz-5h8v,2uiz-5h8v,private,false,,citydata.mesaaz.gov,dataset,Police Community Engagement (RETIRED),"This dataset was retired and replaced by https://citydata.mesaaz.gov/Police/Police-Community-Engagement/k8iv-whnv

Community Engagement Events held by the Police Department. Contains sensitive information and not for release to city employees or public. See https://citydata.mesaaz.gov/d/cbxq-z5bi for public accessible view.

Data was updated on 11/01/2021 - there was an error in the data source from Excel/SharePoint",157,02/17/2021 02:37:20 PM,Feb,2021,05/29/2023 11:06:59 AM,May,2023,Police,,2,City of Mesa,xPoliceData@mesaaz.gov,See Terms of Use,published,,,Police,,https://citydata.mesaaz.gov/resource/2uiz-5h8v.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Confidential,Only historical events designated to be reported should be accessible to Public,n/a,14,Daily,https://citydata.mesaaz.gov/resource/2uiz-5h8v.json,n/a,n/a,n/a,2023-05-29T11:06:58.000,not_ready,n/a,n/a,n/a
138,https://citydata.mesaaz.gov/d/2vsn-98r4,2vsn-98r4,public,false,,citydata.mesaaz.gov,dataset,Historic Properties,Properties recognized by Mesa’s Historic Preservation Program for their architectural and cultural history.,324,01/30/2018 05:30:13 PM,Jan,2018,02/22/2018 12:56:38 AM,Feb,2018,Zoning & Property,"architecture,culture,historic preservation,historic properties,history",121,City of Mesa,xDevelopmentServicesData@MesaAZ.gov,See Terms of Use,published,,,Development Services,,https://citydata.mesaaz.gov/resource/2vsn-98r4.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,999,As Needed / On Demand,https://citydata.mesaaz.gov/resource/2vsn-98r4.json,n/a,n/a,n/a,2024-07-01T14:40:20.000,approved,n/a,n/a,n/a
139,https://citydata.mesaaz.gov/d/2vtm-mpvz,2vtm-mpvz,public,false,,citydata.mesaaz.gov,dataset,Wifi Activity - City Owned Access Points,"Wifi Activity as connected to city-owned access points. Note: only devices that connected to an SSID is listed. Note that SSID @mesa generally reflects WiFi sessions by members of the public (non city employees or city devices). Other devices that may have been in the area but did not connect are not included. Sensitive fields such as device MAC address have been scrambled and are not actual addresses. However, although these have been changed, the uniqueness and mobility of the device has been maintained for listed sessions.",638,01/02/2019 10:48:22 PM,Jan,2019,03/09/2026 02:04:57 PM,Mar,2026,Information Technology,"downtown,visitors,wifi",201,City of Mesa,xInformationTechnologyData@MesaAZ.gov,See Terms of Use,published,,,Information Technology,,https://citydata.mesaaz.gov/resource/2vtm-mpvz.json,official,n/a,https://data.mesaaz.gov/stories/s/2dcd-j2nx/,Public,,n/a,60,Daily,https://citydata.mesaaz.gov/resource/2vtm-mpvz.json,n/a,n/a,n/a,2026-03-09T14:01:26.000,approved,n/a,n/a,n/a
