Star Rating,Name,Total AUM Range - Sep 2024,AUM CAGR over 5 years*,Main Office City,Main Office State,Profile,,,,,
★★★★★,http://www.idbny.com||IDB Lido Wealth,up to $250 Million,-,New York,New York,,,,,,
★★★★★,https://www.fiduciaryalliance.org/||Fiduciary Alliance,$1 Billion - $5 Billion,50%-60%,Greenville,South Carolina,,,,,,
★★★★★,https://manhattanwest.com/contact/||Manhattan West Asset Management,$1 Billion - $5 Billion,40%-50%,Los Angeles,California,,,,,,
★★★★★,https://fifthavenuefamily.com/||Fifth Avenue Family Office,$500 Million - $1 Billion,10%-20%,Naples,Florida,,,,,,
★★★★★,fta-ria.com||Financial & Tax Architects,$250 Million - $500 Million,30%-40%,St. Louis,Missouri,,,,,,
★★★★★,https://www.401kinvestmentprofessionals.com/||401k Investment Professionals,up to $250 Million,10%-20%,Waunakee,Wisconsin,,,,,,
★★★★★,http://www.angeleswealth.com||Angeles Wealth Management,$1 Billion - $5 Billion,40%-50%,Santa Monica,California,,,,,,
★★★★★,https://quadrantwealth.com/||Quadrant Capital Group,$1 Billion - $5 Billion,30%-40%,Cincinnati,Ohio,,,,,,
★★★★★,greatvalleyadvisors.com||Great Valley Advisor Group,$5 Billion - $10 Billion,30%-40%,Wilmington,Delaware,,,,,,
★★★★★,https://custosfo.com/||Custos Family Office,$500 Million - $1 Billion,30%-40%,Austin,Texas,,,,,,
★★★★★,https://elevationwp.com/||Elevation Wealth Partners,$250 Million - $500 Million,20%-30%,Santa Rosa,California,,,,,,
★★★★★,http://www.monereinvest.com||Monere Wealth Management,up to $250 Million,10%-20%,Schaumburg,Illinois,,,,,,
★★★★★,https://www.hi-linecapital.com/||Hi-Line Capital Management,$500 Million - $1 Billion,10%-20%,Watertown,South Dakota,,,,,,
★★★★★,http://www.castlekeepadvisors.com||Castlekeep Investment Advisors,$500 Million - $1 Billion,5%-10%,Westport,Connecticut,,,,,,
★★★★★,http://www.sageadvisory.com||Sage Advisory Services,over $10 Billion,10%-20%,Austin,Texas,,,,,,
★★★★★,https://unitedadvisors.com/||United Advisors America ,$250 Million - $500 Million,30%-40%,Prosper,Texas,,,,,,
★★★★★,https://www.stratoswealthadvisors.com/||Stratos Wealth Advisors,$1 Billion - $5 Billion,50%-60%,Beachwood,Ohio,,,,,,
★★★★★,https://www.bcwealthadvisors.com||BlueChip Wealth Advisors,$250 Million - $500 Million,30%-40%,Milton,Georgia,,,,,,
★★★★★,https://walknercondon.com/||Walkner Condon Financial Advisors,$500 Million - $1 Billion,40%-50%,Madison,Wisconsin,,,,,,
★★★★★,www.cliffwater.com||Cliffwater,over $10 Billion,70%-80%,Marina Del Rey,California,,,,,,
★★★★★,http://www.valueinvestmentprofessionals.com||Value Investment Professionals,up to $250 Million,-,New York,New York,,,,,,
★★★★★,https://www.winthroppartners.com||Winthrop Partners,up to $250 Million,30%-40%,Buffalo,New York,,,,,,
★★★★★,http://www.wickcapitalpartners.com||Wick Capital Partners,$250 Million - $500 Million,30%-40%,Wayne,Pennsylvania,,,,,,
★★★★★,https://poweredbyconcurrent.com/||Concurrent Investment Advisors,$5 Billion - $10 Billion,-,Tampa,Florida,,,,,,
★★★★★,https://www.kingswoodus.com||Kingswood Wealth Advisors,$1 Billion - $5 Billion,40%-50%,San Diego,California,,,,,,
★★★★★,https://oakharvestfg.com/#gref||Oak Harvest Financial Group,$500 Million - $1 Billion,40%-50%,Houston,Texas,,,,,,
★★★★★,https://www.southstatebank.com/wealth/our-strategies/asset-management||Southstate Advisory,$1 Billion - $5 Billion,50%-60%,Columbia,South Carolina,,,,,,
★★★★★,http://www.csplanningcorp.com/||CS Planning Corp.,$500 Million - $1 Billion,10%-20%,Portland,Oregon,,,,,,
★★★★★,https://www.dwassetmgmt.com/||Duncan Williams Asset Management,$1 Billion - $5 Billion,50%-60%,Memphis,Tennessee,,,,,,
★★★★★,www.westernsouthern.com||W&S Brokerage Services,up to $250 Million,-,Cincinnati,Ohio,,,,,,
★★★★★,https://aboundwealth.com/||Abound Wealth Management,$1 Billion - $5 Billion,30%-40%,Franklin,Tennessee,,,,,,
★★★★★,https://blakeschutter.com||Blake Schutter Theil Wealth Advisors,$250 Million - $500 Million,-,Dayton,Ohio,,,,,,
★★★★★,http://www.nhoffmanandco.com||Nicholas Hoffman & Company,$5 Billion - $10 Billion,50%-60%,Atlanta,Georgia,,,,,,
★★★★★,waterloocap.com||Waterloo Capital,$1 Billion - $5 Billion,10%-20%,Austin,Texas,,,,,,
★★★★★,https://redhawkwa.com/||Redhawk Wealth Advisors,$1 Billion - $5 Billion,10%-20%,Bloomington,Minnesota,,,,,,
★★★★★,http://www.elitelifeteam.com||Elite Life Management,up to $250 Million,-,Erie,Pennsylvania,,,,,,
★★★★★,http://www.mdsass.com||M.D. Sass,$1 Billion - $5 Billion,30%-40%,New York,New York,,,,,,
★★★★★,https://www.farther.com/||Farther,$1 Billion - $5 Billion,-,San Francisco,California,,,,,,
★★★★★,https://www.jacksonholepartners.com||Jackson Hole Capital Partners,$500 Million - $1 Billion,30%-40%,Tulsa,Oklahoma,,,,,,
★★★★★,www.wealth.aprio.com||Aprio Wealth Management,$1 Billion - $5 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★★,https://www.swpconnect.com||Strategic Wealth Partners,$1 Billion - $5 Billion,30%-40%,Independence,Ohio,,,,,,
★★★★★,https://liveoakprivatewealth.com/||Live Oak Private Wealth,$500 Million - $1 Billion,40%-50%,Wilmington,North Carolina,,,,,,
★★★★★,https://www.regancapital.com/||Regan Capital,$1 Billion - $5 Billion,upto 5%,Dallas,Texas,,,,,,
★★★★★,https://www.americanapartners.com||Americana Partners,$1 Billion - $5 Billion,20%-30%,Houston,Texas,,,,,,
★★★★★,http://www.soltisadvisors.com||Soltis Investment Advisors,$5 Billion - $10 Billion,40%-50%,St. George,Utah,,,,,,
★★★★★,https://cliffordcap.com/||Clifford Capital Partners,$250 Million - $500 Million,10%-20%,Alpine,Utah,,,,,,
★★★★★,https://ctwealthmgmt.com/||Connecticut Wealth Management,$1 Billion - $5 Billion,30%-40%,Farmington,Connecticut,,,,,,
★★★★★,info@resonantcapital.com||Resonant Capital Advisors,$1 Billion - $5 Billion,30%-40%,Madison,Wisconsin,,,,,,
★★★★★,https://www.kovitz.com/||Kovitz Investment Group Partners,over $10 Billion,20%-30%,Chicago,Illinois,,,,,,
★★★★★,https://invst.com/contact/||INVST,$1 Billion - $5 Billion,30%-40%,Indianapolis,Indiana,,,,,,
★★★★★,https://www.earnedwealth.com/||Earned Wealth,$1 Billion - $5 Billion,more than 100%,New York,New York,,,,,,
★★★★★,https://www.wilianfinancial.com||Wilian Securities,up to $250 Million,-,Vadnais Heights,Minnesota,,,,,,
★★★★★,http://www.buckheadcapital.com||Buckhead Capital Management,$1 Billion - $5 Billion,30%-40%,Atlanta,Georgia,,,,,,
★★★★★,www.navyfederal.org||Navy Federal Investment Services,$1 Billion - $5 Billion,20%-30%,Vienna,Virginia,,,,,,
★★★★★,https://www.stonebridgefinancialgroup.com/||Global Financial Group Advisors,$500 Million - $1 Billion,10%-20%,Grand Rapids,Michigan,,,,,,
★★★★★,www.consultabg.com||ABG Consultants,$500 Million - $1 Billion,5%-10%,Salt Lake City,Utah,,,,,,
★★★★★,https://www.apollonfinancial.com||Apollon Financial,$250 Million - $500 Million,-,Mount Pleasant,South Carolina,,,,,,
★★★★★,https://www.coldstream.com/||Coldstream Capital Management Inc.,$5 Billion - $10 Billion,20%-30%,Bellevue,Washington,,,,,,
★★★★★,http://www.compoundfamilyoffices.com||Compound Family Offices,$250 Million - $500 Million,20%-30%,Sarasota,Florida,,,,,,
★★★★★,http://www.stratawealth.com||Strata Wealth Advisors,$500 Million - $1 Billion,30%-40%,Dallas,Texas,,,,,,
★★★★★,https://www.heirloomwm.com/||Heirloom Wealth Management,$250 Million - $500 Million,20%-30%,Greenwood Village,Colorado,,,,,,
★★★★★,https://kdtadvisors.com/||KDT Advisors,up to $250 Million,30%-40%,Brooklyn,New York,,,,,,
★★★★★,https://www.epwealth.com/||EP Wealth Advisors,over $10 Billion,30%-40%,Torrance,California,,,,,,
★★★★★,https://missionwealth.com/||Mission Wealth Management,$5 Billion - $10 Billion,30%-40%,Santa Barbara,California,,,,,,
★★★★★,https://www.truewealthllc.com/||Truewealth Advisors,$250 Million - $500 Million,40%-50%,Hoover,Alabama,,,,,,
★★★★★,http://www.eatoncambridge.com||Eaton-Cambridge,$250 Million - $500 Million,20%-30%,Phoenix,Arizona,,,,,,
★★★★★,https://www.pgim.com/investments/pgim-custom-harvest-sma-platform||PGIM Custom Harvest,$1 Billion - $5 Billion,90%-100%,Newark,New Jersey,,,,,,
★★★★★,http://spyglassfunds.com||Spyglass Capital Management,$1 Billion - $5 Billion,40%-50%,San Francisco,California,,,,,,
★★★★★,https://castlepointwealth.com/||Castlepoint Wealth Advisors,$500 Million - $1 Billion,20%-30%,Oklahoma City,Oklahoma,,,,,,
★★★★★,http://www.karmincapital.com||Fort Sheridan Advisors,$500 Million - $1 Billion,20%-30%,Highland Park,Illinois,https://www.newsweek.com/rankings/fort-sheridan-advisors||View Profile,,,,,
★★★★★,http://www.mcadamfa.com||McAdam,$1 Billion - $5 Billion,30%-40%,Philadelphia,Pennsylvania,,,,,,
★★★★★,https://dynamicadvisorsolutions.com/||Dynamic Advisor Solutions,$1 Billion - $5 Billion,20%-30%,Phoenix,Arizona,,,,,,
★★★★★,http://www.portfoliomedics.com||Portfolio Medics,$250 Million - $500 Million,30%-40%,Bonita Springs,Florida,,,,,,
★★★★★,http://www.heronbaycap.com||Heron Bay Capital Management,$500 Million - $1 Billion,-,Bloomfield Hills,Michigan,,,,,,
★★★★★,https://www.sacmgt.com||Service Academy Capital Management,$500 Million - $1 Billion,30%-40%,Dallas,Texas,,,,,,
★★★★★,https://cogentbluewealth.com/||Cogentblue Wealth Advisors,$500 Million - $1 Billion,-,Knoxville,Tennessee,,,,,,
★★★★★,https://www.merceradvisors.com/||Mercer Global Advisors,over $10 Billion,30%-40%,Denver,Colorado,,,,,,
★★★★★,https://westfulleradvisors.com||Westfuller Advisors,$1 Billion - $5 Billion,70%-80%,New York,New York,,,,,,
★★★★★,https://www.qp-global.com/||QP Global Family Offices,$1 Billion - $5 Billion,30%-40%,Greenwich,Connecticut,,,,,,
★★★★★,https://www.dgs.capital||DGS Capital Management,$250 Million - $500 Million,30%-40%,Jersey City,New Jersey,,,,,,
★★★★★,http://www.castleark.com||Castleark Management,$1 Billion - $5 Billion,upto 5%,Chicago,Illinois,,,,,,
★★★★★,http://andinaadvisors.com/||Andina Capital Management,$500 Million - $1 Billion,20%-30%,Lehi,Utah,,,,,,
★★★★★,www.nepc.com||NEPC,over $10 Billion,30%-40%,Boston,Massachusetts,,,,,,
★★★★★,https://www.captrust.com/locations/north-carolina/raleigh-nc/||CAPTRUST,over $10 Billion,20%-30%,Raleigh,North Carolina,,,,,,
★★★★★,https://www.monecoadvisors.com/contact||MONECO Advisors,$1 Billion - $5 Billion,30%-40%,Fairfield,Connecticut,,,,,,
★★★★★,uvwadvisors.com||Uhler Vertich White Advisors,$250 Million - $500 Million,10%-20%,Fort Myers,Florida,,,,,,
★★★★★,https://www.ocmwealth.com||Objective Capital Management,$250 Million - $500 Million,20%-30%,Pepper Pike,Ohio,,,,,,
★★★★★,https://www.lavellecapital.com/||Lavelle Capital,$250 Million - $500 Million,-,San Francisco,California,,,,,,
★★★★★,http://www.encompassmore.com||Encompass More Asset Management,up to $250 Million,-,Danville,California,,,,,,
★★★★★,https://www.stilesfinancial.com/||Stiles Financial Services Incorporated,$250 Million - $500 Million,more than 100%,Edina,Minnesota,,,,,,
★★★★★,https://www.siebert.com/||Siebert AdvisorNXT,up to $250 Million,30%-40%,New York,New York,,,,,,
★★★★★,https://www.artemisadvisors.com/||Artemis Financial Advisors,$250 Million - $500 Million,10%-20%,Boston,Massachusetts,,,,,,
★★★★★,https://weareoneseven.com/||OneSeven,$1 Billion - $5 Billion,30%-40%,Beachwood,Ohio,,,,,,
★★★★★,https://www.journeyadvisory.group/||Journey Advisory Group,$1 Billion - $5 Billion,40%-50%,Covington,Kentucky,,,,,,
★★★★★,https://visionarywealthadvisors.com/||Visionary Wealth Advisors,$1 Billion - $5 Billion,30%-40%,St. Louis,Missouri,,,,,,
★★★★★,https://www.mcglonesuttner.com/||McGlone Suttner Wealth Management,$500 Million - $1 Billion,40%-50%,Appleton,Wisconsin,,,,,,
★★★★★,https://www.thesumplanning.com/||The Sum,$250 Million - $500 Million,-,The Woodlands,Texas,,,,,,
★★★★★,https://twelvepointswealth.com/||Twelve Points Wealth Management,$1 Billion - $5 Billion,20%-30%,Concord,Massachusetts,,,,,,
★★★★★,http://terrawealth.com||Terra Wealth Management,$250 Million - $500 Million,-,High Point,North Carolina,https://www.newsweek.com/rankings/terrawealth-management||View Profile,,,,,
★★★★★,https://wisewealth.com/||Wise Wealth,$250 Million - $500 Million,10%-20%,Lee's Summit,Missouri,,,,,,
★★★★★,https://northrockpartners.com/||NorthRock Partners,$5 Billion - $10 Billion,30%-40%,Minneapolis,Minnesota,,,,,,
★★★★★,https://apellawealth.com/||Apella Capital,$1 Billion - $5 Billion,40%-50%,West Hartford,Connecticut,,,,,,
★★★★★,http://www.astoncapital.net/||Aston Capital Management,$500 Million - $1 Billion,10%-20%,Coral Gables,Florida,,,,,,
★★★★★,https://www.solsteincapital.com/||Solstein Capital,$500 Million - $1 Billion,20%-30%,Menlo Park,California,,,,,,
★★★★★,https://revolvewealth.com/||Revolve Wealth Partners,$1 Billion - $5 Billion,20%-30%,Hackensack,New Jersey,,,,,,
★★★★★,https://www.rootfinancial.com/||Root Financial Partners,$250 Million - $500 Million,-,Solana Beach,California,,,,,,
★★★★★,https://retirable.com/||Retirable,up to $250 Million,-,New York,New York,,,,,,
★★★★★,http://www.onegroupwealthpartners.com/||One Group Wealth Partners,up to $250 Million,-,Syracuse,New York,,,,,,
★★★★★,prudentllc.com||Prudent Investor Advisors,$1 Billion - $5 Billion,10%-20%,Folsom,California,,,,,,
★★★★★,www.totalclaritywealth.com||Total Clarity Wealth Management,$250 Million - $500 Million,20%-30%,St. Charles,Illinois,,,,,,
★★★★★,https://www.aristotlecap.com/affiliates/aristotle-atlantic-partners/||Aristotle Atlantic Partners LLC,$1 Billion - $5 Billion,50%-60%,Sarasota,Florida,,,,,,
★★★★★,https://www.keracapital.com||Kera Capital Partners,$500 Million - $1 Billion,-,San Jose,California,,,,,,
★★★★★,http://www.resolutepg.com/||Resolute Advisors,$1 Billion - $5 Billion,30%-40%,San Francisco,California,,,,,,
★★★★★,https://mosslusewomble.com/||Moss Luse & Womble,$250 Million - $500 Million,30%-40%,Plano,Texas,,,,,,
★★★★★,https://www.4-sf.com/||Symphony Financial,$500 Million - $1 Billion,20%-30%,Houston,Texas,,,,,,
★★★★★,http://www.waycrosspartners.com||Waycross Partners,$500 Million - $1 Billion,40%-50%,Louisville,Kentucky,,,,,,
★★★★★,https://www.shariaportfolio.com/||ShariaPortfolio,$500 Million - $1 Billion,60%-70%,Lake Mary,Florida,,,,,,
★★★★★,https://www.daymarkwealthpartners.com/||Daymark Wealth Partners,$1 Billion - $5 Billion,-,Cincinnati,Ohio,,,,,,
