title,id,creator,activity,assignee,priority,status
"""Encoding"" detected in non-comment lines",18873,18292,2014-10-12.14:24:36,15623,4,2
"""Equivalent to"" code for zip is wrong in Python 3",10029,13096,2010-10-10.07:10:23,114,4,2
"""error: can't allocate region"" from mmap() when receiving big chunk of data",2901,1058,2011-06-01.06:24:37,None,4,2
"""es#"" parser marker leaks memory",501716,4,2003-05-03.10:01:49,4,4,2
"""Evaluation order"" doc section is wrong about dicts",16777,7047,2012-12-25.14:41:50,7047,4,2
"""excel"" csv option generates multiple lines",2640,6904,2008-04-16.20:01:03,None,4,2
"""exec"" BNF in simple statements",19631,1864,2013-11-25.07:46:21,12260,4,2
"""exec(a, b, c)"" not the same as ""exec a in b, c"" in nested functions",21591,19647,2014-08-10.12:37:48,5277,4,2
"""Expand 10 after"" on rietveld shows a duplicate line",11645,11078,2016-04-23.20:54:44,None,4,2
"""expection"" typo",3544,9072,2008-08-12.07:30:32,93,4,2
"""Extending Embedded Python"" documention uses removed Py_InitModule function",4586,9709,2008-12-09.22:08:56,93,4,2
"""Extending Python with C"" page needs update for 3.x",15656,11727,2012-08-15.19:40:16,12260,4,2
"""Extending"" uses Makefile.pre.in",500115,604,2002-01-23.07:58:11,12,4,2
"""ez"" format code for ParseTuple()",880951,1759,2007-08-23.19:28:17,4,5,2
"""False = True"" produces segfault",21433,19546,2014-05-05.05:29:25,None,4,2
"""Fatal Python error"" from cStringIO's writelines",1298449,490,2005-09-22.09:20:44,3,4,2
"""Fatal Python error: Bus error"" on the SPARC Solaris 10 buildbot",20470,2377,2014-02-02.22:20:58,None,4,2
"""Fatal Python error: Cannot recover from stack overflow"" on Windows buildbots",3697,2040,2008-09-03.18:38:15,None,1,2
"""Fatal Python error: Cannot recover from stack overflow.""  with SymPy test suite",14537,11883,2014-10-10.23:59:52,2377,4,2
"""Fatal Python error: Cannot recover from stack overflow."" from pure Python code",29792,21038,2017-03-11.12:28:32,None,4,2
"""Fatal Python error: Cannot recover from stack overflow."" from RecursionError in Python 3.5",28913,25080,2016-12-08.23:48:33,None,4,1
"""File exists"" error during venv --upgrade",21643,4830,2014-06-03.15:49:25,None,1,2
"""file objects"" in python 3 tutorial",5540,4691,2009-03-31.15:57:17,93,4,2
"""Fix"" os.system() on Windows (PR#406)",210592,2,2000-07-31.21:02:26,None,4,2
"""Fix"" os.system() on Windows (PR#406)",210684,2,2000-08-01.21:04:46,None,4,2
"""fixFirefoxAnchorBug"" function in doctools.js causes navigating problem in Py3 doc in Chrome",31668,22302,2017-11-04.11:17:18,12260,4,2
"""Flouted"", not ""flaunted""",4560,9697,2008-12-06.11:32:03,93,4,2
"""for line in file"" doesn't work for pipes",3907,9072,2014-01-19.11:44:27,None,4,2
"""for line in file"" is *still* broken in Python 2.7 on pipes",15532,16347,2012-08-02.05:04:28,None,4,2
"""for me"" installer problem on x64 Vista",4018,126,2008-10-18.14:25:00,8,1,2
"""from . import *""",9068,7540,2010-06-24.18:21:05,37,5,2
"""from __future__ import foobar;"" causes wrong SyntaxError",1543306,2770,2006-10-28.22:58:11,35,5,2
"""from itertools imoprt *"" crashes 2to3",9245,925,2010-07-13.21:28:04,None,4,2
"""from logging import *"" causes an error under Ubuntu Karmic",7052,9802,2009-10-05.19:19:41,328,2,2
"""Full unicode import system"" not in 3.2",11230,13731,2017-07-19.05:20:50,12260,4,2
"""Future statements"" Doc from 2.6 refers to 2.5",4094,4509,2008-10-09.20:54:59,93,4,2
"""Generalization"" misused in deque docs",23823,21118,2015-03-31.14:52:41,12260,4,2
"""get_referents"" is a bad name",483815,440,2001-11-24.09:26:03,None,4,2
"""getpwnam"" and similar",459272,415,2001-10-04.17:18:02,8,4,2
"""Global Module Index"" link dead",9677,37,2010-09-01.21:03:01,12260,3,2
"""Helping with Documentation"" references missing dailybuild.py",15259,12075,2012-07-07.15:50:53,None,4,2
"""HOME"" is not a standard environment variable on Windows",6556,440,2009-08-21.14:52:52,4555,4,2
"""How do I create a .pyc file?"" FAQ entry is out of date",18036,9663,2013-12-13.17:43:35,None,4,2
"""Howto RE"" link is dead",1299051,2391,2005-09-29.20:06:45,None,4,2
"""HTTPoxy"", use of HTTP_PROXY flag supplied by attacker in CGI scripts",27568,19029,2016-08-11.03:10:11,1741,4,2
"""idna"" encoding (drawing unicodedata) necessary in httplib?",1472176,1814,2006-05-03.18:03:41,None,4,2
"""if 0: return"" not raising SyntaxError",1875,43,2014-02-03.19:35:44,1076,5,1
"""if 0: yield x"" is ignored",436207,5,2001-06-26.03:37:22,6,4,2
"""if foo=bar:"" error-message",535324,735,2003-05-12.18:50:09,9,4,2
"""if x in setliteral"" peepholer optimization",1548082,93,2008-01-06.22:29:46,5,4,2
"""import ctypes"" causes segfault on read-only filesystem",11048,12726,2016-07-27.15:10:01,66,4,2
"""import decimal"" fails in Turkish locale",11830,11193,2011-04-13.03:10:42,1427,4,2
"""import mod.submod as s"" per Guido's wishes.",401315,14,2000-08-27.18:14:28,14,4,2
"""import random"" blocks on entropy collection on Linux with low entropy",25420,3981,2016-04-26.12:11:44,None,4,2
"""import this"" is cached in sys.modules",19499,114,2013-11-10.19:21:51,19,5,2
"""ImportError: dynamic module does not define init function"" when deleting and recreating .so files from different machines over NFS",19615,18022,2013-11-15.18:15:18,None,4,1
"""in"" expression falls back to __iter__ before __getitem__",6324,10729,2009-10-22.15:00:19,93,4,2
"""in"" operator bug ?",1117757,2106,2005-02-07.14:56:01,None,4,2
"""in"" operator doesn't return boolean",14247,15624,2012-03-10.18:11:06,None,4,2
"""in"" should be consistent with return value of __contains__",16011,16568,2017-03-29.21:12:55,12260,4,2
"""incompatible pointer type"" while compiling Python3.5.1",26410,23060,2016-02-22.16:14:47,None,4,1
"""IndexError: tuple index out of range"" should include the requested index and tuple length",21911,11519,2014-07-09.06:52:50,114,5,2
"""inspect"" gets broken by some descriptors",1785,418,2012-01-18.16:46:09,None,4,2
"""inspect.getargspec()"" and ""inspect.getcallargs()"" don't work for builtins",16490,415,2014-01-27.20:34:56,2731,4,2
"""install -d"" doesn't work on HP-UX",473491,513,2001-10-21.22:33:41,83,4,2
"""install"" target in python 3.x makefile should be ""fullinstall""",6047,925,2009-05-23.16:15:02,4455,4,2
"""int"" comment in marshal.c is outdated",19260,2731,2013-10-15.01:22:00,None,4,2
"""internal"" zipimport.zipimporter feature untested",1326,982,2008-05-11.15:08:35,93,4,2
"""Invalid"" tests on locales",25809,21115,2015-12-17.12:39:57,None,4,2
"""it's"" used instead of ""its""",637810,615,2002-11-13.15:56:58,12,4,2
"""it's"" vs. ""its"" typo in Language Reference",1258922,2345,2005-08-14.12:38:15,None,4,2
"""keys and values"" preferred to ""keys and elements"" for dict constituent",29952,19001,2017-04-22.03:10:23,12260,4,2
"""L"" integer suffix in Python 3.1 tutorial",6353,7838,2009-07-03.19:53:25,93,4,2
"""Limitations"" section of profiler docs is incorrect",1066607,1309,2004-12-19.20:33:20,None,4,2
"""lock.__exit__ == lock.release"" should be False",11194,13703,2011-02-11.21:57:51,None,4,2
"""Logging HOWTO"" should share an example of best practices for using logging in a library",34590,22682,2018-09-07.14:47:03,328,4,1
"""logging"" example uses unavailable cPickle module",6155,9792,2009-05-31.16:42:05,93,4,2
"""Macintosh"" references in the docs need to be checked.",1095802,79,2005-02-13.22:59:40,37,4,2
"""maintainer"" value clear the ""author"" value when register",12840,14788,2011-09-02.16:13:47,4555,4,2
"""maintainer"" value clear the ""author"" value when registering",13035,10077,2011-09-23.16:41:06,None,4,2
"""make -j9 install"" fails because bininstall target requires the libainstall target",25696,2377,2015-12-13.20:27:29,None,4,2
"""make altinstall && make install"" behaviour differs from ""make install""",19693,1309,2014-11-20.17:36:02,None,3,1
"""make altinstall"" includes ABI codes in versioned executable name",10677,1309,2010-12-11.21:33:29,19,1,2
"""make altinstall"" installs many files with incorrect shebangs",10318,13245,2014-04-14.21:45:51,None,4,1
"""make altinstall"" installs pydoc, idle, smtpd.py",1590,1093,2009-04-14.20:28:56,None,3,2
"""make altinstall"" installs pydoc, idle, smtpd.py with broken shebang lines",1120,1093,2007-09-12.19:29:48,None,4,2
"""make altinstall"" may clobber OS provided scripts",10679,1309,2010-12-28.09:51:50,None,6,2
"""make check"" suggest a testing target under GNU coding standards",3758,9181,2010-07-11.13:55:12,37,5,2
"""make distclean"" deletes files under .hg directory",18312,2799,2013-07-02.16:36:13,2799,4,2
"""make info"" croaks",769861,15,2003-07-16.16:27:21,12,4,2
"""make install"" doesn't install to /usr/lib64 on x86_64 boxes",1536339,4656,2009-03-30.04:23:41,None,4,2
"""make install"" fails sol2.6",578608,902,2002-07-11.14:07:51,None,4,2
"""make install"" fails when no zlib support available",27625,13295,2016-07-26.14:43:28,None,4,2
"""make install"" fails with --enable-shared",661408,610,2003-01-03.20:41:03,8,4,2
"""make install"" for Python 2.4.4 not working properly",1580563,197,2006-11-30.03:20:11,None,4,2
"""make install"" will not install pip if already present in user site-packages",24418,2040,2015-06-09.22:32:06,None,4,1
"""make pdf"" failure w/ 2.4 docs",1000841,1866,2004-08-30.15:07:31,None,4,2
"""make pycremoval"" fails",8665,2040,2010-05-16.22:07:42,2040,4,2
"""make sharedinstall"" ignores ./configure settings",17235,17321,2013-02-20.09:13:53,None,4,2
"""make suspicious"" doesn't display instructions in case of failure",15759,7047,2014-08-05.05:02:48,15623,4,2
"""make tags"" fails on new POSIX hosts",524005,1254,2002-02-28.19:26:36,5,4,2
"""make test"" fails on systems without internet access",12804,7641,2012-01-30.17:22:21,4348,5,2
"""make test"" on clean py3 install on CentOS 6.2 - 2 tests fail",23736,1467,2015-03-22.05:18:07,None,4,2
"""make touch"" broke ""x86 Ubuntu Shared 3.x"" buildbot",19101,2731,2013-09-27.15:06:34,4455,3,2
"""make touch"" fails when the build directory is not the source directory",21383,5248,2014-05-22.22:31:35,None,4,2
"""make"" always reruns asdl_c.py",12727,2040,2011-08-11.19:46:58,4455,5,2
"""method-wrapper"" objects are difficult to inspect",12879,2040,2011-09-01.20:43:08,None,4,2
"""mmap(size=9223372036854779904) failed"" message when running test_io on ""AMD64 Snow Leop 3.x"" buildbot",21733,2377,2014-06-12.17:22:06,925,4,2
"""mmap.flush()"" is always synchronous, hurting performance",18816,415,2014-03-07.02:57:27,None,4,1
"""modernize"" makeopcodetargets.py",20021,14000,2016-03-26.06:30:27,None,3,2
"""modernize"" the modulefinder module",20020,14000,2015-10-04.02:14:25,None,5,1
"""my"" should be ""may""",1679784,3064,2007-03-13.13:22:13,None,4,2
"""new"" not marked as deprecated in the docs",1247765,307,2005-08-25.21:46:40,None,4,2
"""No such file or directory"" with framework build under MacOS 10.4.11",5809,10431,2009-06-08.21:23:24,None,4,2
"""No windows home dir"" doc error",2922,7556,2009-06-07.15:16:59,93,4,2
"""Non-Python created threads"" documentation doesn't mention PyEval_InitThreads()",19576,2377,2016-01-03.19:08:17,12260,4,2
"""Out of tree"" build fails on AIX",10656,13448,2018-01-02.15:40:35,None,4,2
"""packaging"" no longer planned to be included",17745,13754,2013-10-06.16:32:07,93,4,2
"""paths"" argument missing in DocFileSuite documentation",5598,10304,2009-03-31.21:15:44,93,4,2
"""pdb -m <module>"" sets __main__.__package__ incorrectly",32691,1309,2018-02-05.02:39:08,None,4,2
"""pip iinstall packageName.py"" fails",33287,28305,2018-04-16.14:02:03,None,4,2
"""Porting to Python 3.3"" needs to be fixed in ""What's new In Python 3.4""",16130,14620,2012-10-04.16:45:23,12260,4,2
"""print statement"" in libref index broken",1411674,15,2006-04-27.00:14:06,12,4,2
"""Print window"" menu on IDLE aborts whole application",12274,1595,2016-10-05.10:26:41,None,4,2
"""pydoc -k"" can generate AttributeError on Mac OS X",7180,11361,2009-11-19.17:40:58,925,4,2
"""pydoc -p"" should listen to [::] if IPv6 is supported",3213,7634,2016-05-16.07:27:47,None,5,2
"""pydoc -w <package>"" writes out page with empty ""Package Contents"" section",15343,11941,2017-03-06.13:45:57,1309,1,2
"""pydoc -w"" causes ""no Python documentation found"" error when the path is not current directory",11831,14107,2011-04-15.17:00:16,None,4,1
"""pydoc filter"" documentation restrictive",23164,2858,2015-01-04.13:19:32,12260,4,1
"""pydoc str"" works but not ""pydoc str.translate""",8887,7641,2011-07-29.15:39:32,7641,4,2
"""python -m doctest"" results in FAIL: Doctest: __main__.DebugRunner",7376,11184,2009-12-20.17:38:31,9663,5,2
"""python -m pydoc -g""  fails",2029,4703,2009-11-18.10:35:47,16,4,2
"""python -m pydoc -w"" fails in nondecodable directory",25184,15623,2015-10-01.00:49:41,None,4,1
"""python -m site"" does not print path details",10263,9458,2010-11-03.12:42:06,None,4,2
"""python -m unittest <testmodule>"" does not run any tests",6514,982,2012-12-20.18:36:18,9716,4,2
"""python -S"" should be robust against e.g. ""from site import addsitedir""",11591,5587,2011-06-09.15:26:13,7641,4,2
"""python -u"" not binary on cygwin",570044,11,2002-08-09.15:10:21,8,4,2
"""Python [...] calls sys.displayhook() on unhandled exceptions""",27839,4692,2016-08-23.13:48:59,12260,4,1
"""python setup.py cmd --verbose"" does not set verbosity",7202,440,2014-06-27.20:59:58,4555,4,1
"""python setup.py sdist upload --show-response"" can fail with ""UnboundLocalError: local variable 'result' referenced before assignment""",10367,415,2016-01-20.06:27:46,7641,4,2
"""python setup.py sdist upload --show-response"" fails",10368,415,2010-11-08.22:14:42,None,3,2
"""python-config --includes"" returns a wrong path (double prefix)",22140,20008,2017-09-28.03:27:44,None,4,2
"""python.exe t2.py"" doesn't work the same on Python-3.6 as Python-3.5",29578,24495,2017-02-16.19:57:16,None,4,2
"""Python/C API Reference Manual"" erroneous Python/C exception",223398,203,2000-11-29.15:56:02,12,4,2
"""Python/C API Reference Manual"" lost one Function",1069287,1294,2004-11-20.01:27:35,37,4,2
"""python2.6 -3"" should report list.sort(cmp) as DeprecationWarning",2597,4103,2008-04-08.19:36:05,None,4,2
"""python3.0 setup.py install --user"" raises AttributeError",4283,8977,2008-11-08.15:16:04,None,4,2
"""PYTHONPATH="" different from no PYTHONPATH at all",16309,43,2013-04-13.08:46:00,None,4,2
"""Quick search"" box renders too wide if font size is large",3154,1083,2012-11-09.13:12:19,12260,5,2
"""raw"" attribute of buffered IO objects is assignable",10750,2040,2010-12-21.21:27:11,None,4,2
"""Really  print?"" Dialog",1717170,2557,2007-10-28.21:54:07,269,5,2
"""realpath"" for posixpath module",532687,748,2002-03-20.22:05:37,None,4,2
"""reindent.py"" exposes bug in tokenize",1447633,813,2010-07-10.19:41:19,None,4,2
"""Related help topics"" shown outside pager",10457,1186,2011-06-14.15:46:02,None,4,2
"""replace"" function should accept lists.",1184678,3886,2005-05-20.21:52:20,None,4,2
"""Report bug"" links",2823,2984,2010-04-24.13:16:32,93,4,2
"""Report website bug"" -> Forbidden :(",1597570,1622,2006-11-17.09:22:07,None,4,2
"""Restart Shell"" command leaves pythonw.exe processes running",12540,14575,2011-08-09.08:17:30,5248,3,2
"""return await coro()"" SyntaxError despite being ""valid syntax"" in PEP 492",31192,9761,2017-08-13.05:49:02,None,4,2
"""returnself"" -> ""return self"" in pydoc.py",695581,981,2003-03-01.15:32:55,35,4,2
"""reversed"" gives its name as ""reverse"" in docstring",1016181,1026,2004-08-25.19:42:17,None,4,2
"""rich comparison'' methods hide stack overflow",1019129,1906,2004-09-07.03:29:28,None,4,2
"""RuntimeError: dictionary changed size during iteration"" in Tkinter",1658,4084,2010-01-08.17:50:42,None,4,2
"""RuntimeError: dictionary changed size during iteration"" using trace.py module",33047,27841,2018-03-17.18:28:51,None,4,1
"""RuntimeError: generator raised StopIteration"" in difflib.mdiff",33224,17624,2018-04-05.19:23:50,114,4,2
"""RuntimeError: release unlocked lock"" when starting a thread",34486,22929,2018-09-07.19:02:32,None,4,1
"""s#"" and friends can silently truncate buffer length",8651,2040,2011-05-03.13:11:10,None,4,2
"""s*"" argument parser marker leaks memory",3668,1076,2008-08-29.18:42:00,2040,1,2
"""setdlopenflags"" leads to crash upon ""import""",1350188,2439,2005-11-09.09:14:50,35,3,2
"""SetFrontProcess failed,-606"" error for Tkinter under OS X",789926,37,2003-08-19.10:08:42,79,4,2
"""setup.py register sdist upload"" requires pass to be saved",9995,2984,2012-03-24.15:52:02,4555,4,1
"""setup.py upload --sign"" broken: TypeError: 'str' does not support the buffer interface",10571,4692,2014-03-25.09:24:19,7641,4,2
"""shard"" appears where ""shared"" intended",4399,4691,2008-11-23.21:57:41,93,4,2
"""simplification"" to ceval.c",597221,3,2002-08-20.15:20:40,3,4,2
"""slots"" member variable in object.h confuses Qt moc utility",1086854,2049,2006-02-20.22:27:51,93,4,2
"""SO"" config var not getting set",19555,15532,2014-03-09.22:50:24,19,4,2
"""sort"" command doesn't work in pstats if run interactively",4440,9321,2010-04-02.17:05:10,20,4,2
"""special"" decimals aren't hashable",1163325,1791,2005-03-16.11:07:04,None,4,2
"""stack smashing detected"" in PyCursesWindow_Box",27666,24346,2017-11-07.07:56:22,15623,4,2
"""strict"" parameter is not documented in csv module",16053,15623,2012-11-18.10:57:50,7047,4,2
"""string"".encode('base64') is not the same as base64.b64encode(""string"")",10970,11863,2011-01-22.03:39:26,None,4,2
"""string"".split behaviour for empty strings",811604,1459,2004-03-21.17:11:10,None,4,2
"""subprocess"" can raise OSError (EPIPE) when communicating with short-lived processes",10963,11193,2016-02-18.00:14:03,13468,4,2
"""suffix"" attribute not documented in logging.TimedRotatingFileHandler",25226,22530,2016-02-07.19:13:37,12260,4,2
"""Suggest a change"" link",3341,2984,2011-01-21.07:07:24,93,5,2
