Authors,Year,Title,Journal,DOI,Abstract,"Additional Link URL",Keywords,"PMID Number","Link to PubMed page","Citation Information","ISSN Number"
"Ji L, Duffy M, Chen B, Majbri A, Trentacosta CJ, Thomason M",2025,"Whole Brain MRI Assessment of Age and Sex-Related R2* Changes in the Human Fetal Brain.","Human brain mapping",10.1002/hbm.70073,"Iron in the brain is essential to neurodevelopmental processes, as it supports neural functions, including processes of oxygen delivery, electron transport, and enzymatic activity. However, the development of brain iron before birth is scarcely understood. By estimating R2* (1/T2*) relaxometry from a sizable sample of fetal multiecho echo-planar imaging (EPI) scans, which is the standard sequence for functional magnetic resonance imaging (fMRI), across gestation, this study investigates age and sex-related changes in iron, across regions and tissue segments. Our findings reveal that brain R2* levels significantly increase throughout gestation spanning many different regions, except the frontal lobe. Furthermore, females exhibit a faster rate of R2* increase compared to males, in both gray matter and white matter. This sex effect is particularly notable within the left insula. This work represents the first MRI examination of iron accumulation and sex differences in developing fetal brains. This is also the first study to establish R2* estimation methodology in fetal multiecho functional MRI.
",,"brain iron, developmental, fetal, multiecho fMRI, sex difference",39844450,https://pubmed.ncbi.nlm.nih.gov/39844450,"Ji L, Duffy M, Chen B, Majbri A, Trentacosta CJ, Thomason M. Whole Brain MRI Assessment of Age and Sex-Related R2* Changes in the Human Fetal Brain. Human brain mapping. 2025/02/01. 10.1002/hbm.70073. PMID: 39844450. ",
"Baranger DA, Gorelik AJ, Paul SE, Hatoum AS, Dosenbach N, Bogdan R",2025,"Enhancing task fMRI individual difference research with neural signatures.","medRxiv : the preprint server for health sciences",10.1101/2025.01.30.25321355,"Task-based functional magnetic resonance imaging (tb-fMRI) has advanced our understanding of brain-behavior relationships. Standard tb-fMRI analyses suffer from limited reliability and low effect sizes, and machine learning (ML) approaches often require thousands of subjects, restricting their ability to inform how brain function may arise from and contribute to individual differences. Using data from 9,024 early adolescents, we derived a classifier (&#8216;neural signature&#8217;) distinguishing between high and low working memory loads in an emotional n-back fMRI task, which captures individual differences in the separability of activation to the two task conditions. Signature predictions were more reliable and had stronger associations with task performance, cognition, and psychopathology than standard estimates of regional brain activation. Further, the signature was more sensitive to psychopathology associations and required a smaller training sample (N=320) than standard ML approaches. Neural signatures hold tremendous promise for enhancing the informativeness of tb-fMRI individual differences research and revitalizing its use.
",,,39974058,https://pubmed.ncbi.nlm.nih.gov/39974058,"Baranger DA, Gorelik AJ, Paul SE, Hatoum AS, Dosenbach N, Bogdan R. Enhancing task fMRI individual difference research with neural signatures. medRxiv : the preprint server for health sciences. 2025/01/31. 10.1101/2025.01.30.25321355. PMID: 39974058. ",
"van der Meer D, Kopal J, Shadrin AA, Fuhrer J, Rokicki J, Stinson SE, Djurovic S, Dale AM, Andreassen OA",2025,"Atlas of plasma metabolic markers linked to human brain morphology.","bioRxiv : the preprint server for biology",10.1101/2025.01.12.632645,"Metabolic processes form the basis of the development, functioning and maintenance of the brain. Despite accumulating evidence of the vital role of metabolism in brain health, no study to date has comprehensively investigated the link between circulating markers of metabolic activity and  brain morphology in the general population.
",,"brain morphology, metabolomics",39868214,https://pubmed.ncbi.nlm.nih.gov/39868214,"van der Meer D, Kopal J, Shadrin AA, Fuhrer J, Rokicki J, Stinson SE, Djurovic S, Dale AM, Andreassen OA. Atlas of plasma metabolic markers linked to human brain morphology. bioRxiv : the preprint server for biology. 2025/01/14. 10.1101/2025.01.12.632645. PMID: 39868214. ",
"Hilliard F, Horan H, Zgierska AE, Edwards RC",2024,"Establishing a model of peer support for pregnant persons with a substance use disorder as an innovative approach for engaging participants in the healthy brain and child development study.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101495,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. The goal is to recruit over 7000 caregiver-child dyads across the United States, with 25 % of the study population comprising children exposed in utero to substances to better understanding the effects of prenatal substance exposure on fetal and child development. However, barriers of mistrust for pregnant persons who are substance involved can create challenges to recruiting and retaining this population. The HBCD Study is utilizing a novel approach in research, the inclusion of support professionals (i.e. study navigators) as research team members to boost recruitment, engagement, and retention in this population and other marginalized and underrepresented groups. This article describes the conceptualization and early implementation of a support model utilizing certified peer support specialists, and the evolution to a broader study navigator model (SNM). Core skills, training, and support necessary for integrating such support professionals onto the research team are outlined. A reflection on challenges and next steps describes how the early implementation of the SNM encourages a paradigm shift in longitudinal research that humanizes and centers the participants.
",,"Childhood brain development, Childhood development, HBCD, Infant brain development, Pregnancy, Recruitment, Retention, Substance use disorders",39709784,https://pubmed.ncbi.nlm.nih.gov/39709784,"Hilliard F, Horan H, Zgierska AE, Edwards RC. Establishing a model of peer support for pregnant persons with a substance use disorder as an innovative approach for engaging participants in the healthy brain and child development study. Developmental cognitive neuroscience. 2024/12/17. 10.1016/j.dcn.2024.101495. PMID: 39709784. ",
"Gurka KK, Burris HH, Ciciolla L, Coles CD, Massey SH, Newman S, Rajagopalan V, Smith LM, Zilverstand A, Bandoli G",2024,"Assessment of maternal health and behavior during pregnancy in the HEALthy Brain and Child Development Study: Rationale and approach.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101494,"The Healthy Brain and Child Development (HBCD) Study, a multi-site, prospective, longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. Prenatal exposures, including substances of abuse, impact fetal development and have effects across the life course. During the development of the HBCD Study, the Pregnancy Exposures, Including Substances Workgroup (WG-PRG) was charged with characterizing maternal health and behavior during pregnancy into the childhood years. Maternal physical and mental health, including substance use, and pregnancy and birth complications and outcomes were prioritized. Pregnancy, chronic and acute health conditions, family mental health, and healthcare utilization were assessed using existing and novel measures. Maternal mental health was assessed with the Edinburgh Postpartum Depression Scale, select items in the DSM-5 Self-Rated Level-1 and -2 Cross-Cutting Symptom Measures, and the National Stressful Events Survey-PTSD Short Scale. Finally, participants reported lifetime, recent, and current use of substances using a modified-ASSIST during pregnancy and postpartum. Quantities and frequencies of reported substances were collected for select periods prior to and during pregnancy through an interview (or web application) using the timeline-followback method. HBCD will advance our understanding of the impact of the intrauterine environment on early development.
",,"Brain, Child development, HBCD, Maternal health, Pregnancy, Prenatal exposure delayed effects, Substance-related disorders",40455057,https://pubmed.ncbi.nlm.nih.gov/40455057,"Gurka KK, Burris HH, Ciciolla L, Coles CD, Massey SH, Newman S, Rajagopalan V, Smith LM, Zilverstand A, Bandoli G. Assessment of maternal health and behavior during pregnancy in the HEALthy Brain and Child Development Study: Rationale and approach. Developmental cognitive neuroscience. 2024/12/14. 10.1016/j.dcn.2024.101494. PMID: 40455057. ",1878-9307
"Anunziata F, Cisneros C, Natale Castillo MI, Perez A, Rodriguez V, De La Cruz S, Estrada K, Durbal A, Jaramillo M, Enriquez Marquez L, Nuñez J, Peralta-Carcelen M, Lee Wisnowski J",2024,"¿Donde están? Hispanic/Latine inclusion, diversity and representation in the HEALthy Brain and Child Development Study (HBCD).","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101477,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. Central to its mission of reducing health disparities is the establishment of the Spanish Language and Culture Committee (SLCC) within the HBCD framework, a significant step towards demographic representation and inclusivity in research. By addressing linguistic and sociocultural barriers and embracing the diverse identities of Hispanic/Latine individuals nationwide, the SLCC aims to promote inclusion, equity, and representation of all Hispanic/Latine subgroups, a population that has been historically misrepresented in health research. In this paper we describe the role of the SLCC in advocating for Hispanic/Latine families within the study, ensuring their inclusion from inception. This report also provides an overview of the SLCC organization, workflow, challenges and lessons learned thus far to reduce stigma and improve study outcomes, highlighting recruitment and retention strategies for the Hispanic/Latine population, and expanding outreach to promote inclusion across diverse Hispanic/Latine subgroups in the United States.
",,"Early childhood, HBCD, Health disparities, Hispanic/Latine populations, Longitudinal studies, Spanish Language and Culture Committee",39561678,https://pubmed.ncbi.nlm.nih.gov/39561678,"Anunziata F, Cisneros C, Natale Castillo MI, Perez A, Rodriguez V, De La Cruz S, Estrada K, Durbal A, Jaramillo M, Enriquez Marquez L, Nuñez J, Peralta-Carcelen M, Lee Wisnowski J. ¿Donde están? Hispanic/Latine inclusion, diversity and representation in the HEALthy Brain and Child Development Study (HBCD). Developmental cognitive neuroscience. 2024/11/14. 10.1016/j.dcn.2024.101477. PMID: 39561678. ",
"Corr TE, Jusufagic A, Basting J, Caldwell C, King S, Zgierska AE",2024,"Recruitment and retention strategies to promote research engagement among caregivers and their children: A scoping review.","Journal of clinical and translational science",10.1017/cts.2024.624,"Long-term health and developmental impact after opioid and other substance exposures is unclear. There is an urgent need for well-designed, prospective, long-term observational studies. The HEALthy Brain and Child Development Study aims to address this need. It will require optimizing recruitment and retention of caregivers and young children in long-term research. Therefore, a scoping review of original research articles, indexed in the PubMed database and published in English between January 1, 2010, and November 23, 2023, was conducted on recruitment and retention strategies of caregiver-child (≤6 years old) dyads in observational, cohort studies. Among 2,902 titles/abstracts reviewed, 37 articles were found eligible. Of those, 29 (78%) addressed recruitment, and 18 (49%) addressed retention. Thirty-four (92%) articles focused on strategies for facilitating recruitment and/or retention, while 18 (49%) described potentially harmful approaches. Recruitment and retention facilitators included face-to-face and regular contact, establishing a relationship with study personnel, use of technology and social platforms, minimizing inconveniences, and promoting incentives. This review demonstrates that numerous factors can affect engagement of caregivers and their children in long-term cohort studies. Better understanding of these factors can inform researchers about optimal approaches to recruitment and retention of caregiver-child dyads in longitudinal research.
",,"Recruitment, caregivers, children, mothers, retention",39655035,https://pubmed.ncbi.nlm.nih.gov/39655035,"Corr TE, Jusufagic A, Basting J, Caldwell C, King S, Zgierska AE. Recruitment and retention strategies to promote research engagement among caregivers and their children: A scoping review. Journal of clinical and translational science. 2024/11/08. 10.1017/cts.2024.624. PMID: 39655035. ",
"Kingsley J, Andraka-Christou B, Shah SK, Spicer P, Newman S, Ossorio PN",2024,"Navigating ethical and legal challenges in the HEALthy Brain and Child Development Study: Lessons learned from the ethics, law, policy working group.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101460,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. The HBCD study has faced several ethical and legal challenges due to its goal of enrolling pregnant people (including those with substance use disorder) and their newborns. Challenges not fully anticipated at the outset emerged from the rapidly changing legal landscape around reproductive rights in the United States. By embedding scholars in bioethics and law within research teams and engaging them in conversation with each other and other study personnel, we were able to address many challenges proactively and respond promptly to unanticipated challenges. In this paper, we highlight several important ethical and legal challenges that arose from the first phase of funding through the beginning of participant enrollment. We explain the methods used to address these challenges, the ethical and legal tradeoffs that arose, and the resolution of challenges through the design of the study. Based on this experience, we provide recommendations for research teams, sponsors, and reviewers to address legal risks and promote the ethical conduct of studies with pregnant people and caregivers. We highlight the importance of collaboration with bioethics and legal scholars in studies involving complex and evolving legal risks, as well as the necessity of designing robust approaches to informed consent and maintaining participant trust while navigating ethical challenges in research.
",,"Law, Pediatrics, Pregnancy, Reproductive rights, Research ethics, Research regulation, Substance use",39447450,https://pubmed.ncbi.nlm.nih.gov/39447450,"Kingsley J, Andraka-Christou B, Shah SK, Spicer P, Newman S, Ossorio PN. Navigating ethical and legal challenges in the HEALthy Brain and Child Development Study: Lessons learned from the ethics, law, policy working group. Developmental cognitive neuroscience. 2024/10/21. 10.1016/j.dcn.2024.101460. PMID: 39447450. ",
"Dowling GJ, Hoffman EA, Cole KM, Wargo EM, Volkow N",2024,"The ABCD and HBCD Studies: Longitudinal Studies to Inform Prevention Science.","Focus (American Psychiatric Publishing)",10.1176/appi.focus.20240016,"Increasing rates of overdose among U.S. adolescents and young adults, along with rising rates of emotional distress in these groups, are renewing the urgency for developmentally targeted and personalized substance use and other mental health prevention interventions. Most prevention programs recognize the unique vulnerability of childhood and adolescence and target parents and youths, addressing modifiable environmental risk and protective factors that affect behavior during periods when the brain is most susceptible to change. Until recently, a scarcity of comprehensive studies has limited a full understanding of the complexity of factors that may affect neurodevelopment, including substance exposure in pregnancy and/or subsequent substance use in adolescence, alongside their dynamic interactions with environmental factors and genetics. Two large longitudinal cohort studies funded by National Institutes of Health-the Adolescent Brain Cognitive Development (ABCD) Study and the HEALthy Brain and Child Development (HBCD) Study-are collecting data on neurodevelopment and a wide range of environmental and biological factors across the first two decades of life to build databases that will allow researchers to study how individual neurodevelopmental trajectories are influenced by drugs, adverse childhood experiences, and genetics, among other factors. These studies are already deepening the understanding of risk and resilience factors that prevention programs could target and will identify critical windows where interventions can have the most impact on an individual&#8217;s neurodevelopmental trajectory. This article describes what is being learned from ABCD and expected from HBCD and how these studies might inform prevention as these children grow and more data are gathered.
",,"Brain Development, Child/Adolescent Psychiatry, Neurocognition, Prenatal Substance Exposure, Prevention, Substance Use",39563872,https://pubmed.ncbi.nlm.nih.gov/39563872,"Dowling GJ, Hoffman EA, Cole KM, Wargo EM, Volkow N. The ABCD and HBCD Studies: Longitudinal Studies to Inform Prevention Science. Focus (American Psychiatric Publishing). 2024/10/15. 10.1176/appi.focus.20240016. PMID: 39563872. ",
"McInnis BJ, Pindus R, Kareem D, Nebeker C",2024,"Considerations for the Design of Informed Consent in Digital Health Research: Participant Perspectives.","Journal of empirical research on human research ethics : JERHRE",10.1177/15562646241290078,"The research team, prospective participants, and written materials all influence the success of the informed consent process. As digital health research becomes more prevalent, new challenges for successful informed consent are introduced. This exploratory research utilized a human centered design process in which 19 people were enrolled to participate in one of four online focus-groups. Participants discussed their experiences with informed consent, preferences for receiving study information and ideas about alternative consent approaches. Data were analyzed using qualitative methods. Six major themes and sixteen sub-themes were identified that included study information that prospective participants would like to receive, preferences for accessing information and a desire to connect with research team members. Specific to digital health, participants expressed a need to understand how the technologies worked and how the volume of granular personal information would be collected, stored, and shared.
",,"digital health, human centered design, informed consent, participant perspectives, research ethics, research ethics committee/IRB review",39397541,https://pubmed.ncbi.nlm.nih.gov/39397541,"McInnis BJ, Pindus R, Kareem D, Nebeker C. Considerations for the Design of Informed Consent in Digital Health Research: Participant Perspectives. Journal of empirical research on human research ethics : JERHRE. 2024/10/14. 10.1177/15562646241290078. PMID: 39397541. ",
