"agency","related_agencies","headline","subheadline","publish_date","publish_year","city","state","header_content","content","footer_content","category_tags","social_media_tagline","ispinned","isarchived","contact1","contact2","contact3","contact4","contact5","date_expire","date_entered","entered_by","date_last_modified","last_modified_by","category_tag1","category_tag2","category_tag3","category_tag4","category_tag5","content2","content3","content4","content5"
"Secretary of State",,"Secretary of State Dennis Richardson Not Running For Governor",,"2017-08-23T13:55:00.000","2017","Salem","OR",,"Stating he is honored to finish the term and fulfill his elected role as Oregon's second-in-command, Secretary of State Dennis Richardson today announced he will not seek the Republican nomination for Governor during the 2018 election cycle.

“I feel that what I'm doing is so important that I should dedicate all of my time to my work as Secretary of State,” Secretary Richardson said. “The people of Oregon have placed their trust in me to be the best Secretary of State I can be, and I wouldn't be able to meet that trust if I ran for governor so soon after my election.”

Richardson was elected in November 2016 to be the 26th Secretary of State on a campaign of increased scrutiny of public spending, access to public records, open and fair elections, and a business-friendly climate that will cultivate good jobs throughout the state. The Secretary of State's non-partisan role is to oversee Oregon's elections, audit government programs and agencies, oversee Oregon businesses throughout the state, and manage Oregon's archival collection of historical documents.

Since taking office in January, Richardson has released all financial data from the Secretary of State's office for the past six years – with promised updates each month. In addition, he has denied a request from the Presidential Commission on Election Integrity asking for information that violates state law, convened a legislative redistricting task force, and reinstated more than 60,000 Oregon voters who had been placed, or were about to be, on the inactive voter list. He also headlined a “Diversity in Business” event with more than 470 business leaders in the Portland area, and raised more than $90,000 to refurbish and display the original Oregon State Constitution.

“I'm just beginning, and I really need to focus on the tasks at hand,” Secretary Richardson said. “There is a lot to this job, and I'm still learning how to best serve the people of Oregon.”

Prior to his election, Secretary Richardson served six terms in the Oregon Legislature (2003-2015) and served on the Central Point City Council. He and his wife, Cathy, have been married for 44 years. They have one son and eight daughters, the last of whom they adopted from the DHS foster care system. In addition to his duties as Secretary of State, Secretary Richardson also serves on the Board of ACCESS, the Community Action Agency of Jackson County.","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Business,Improving Government",,,,,,,,,,"2017-08-23T13:55:00.000","Emma Snodgrass","2017-08-23T13:56:00.000","Emma Snodgrass","Business","Improving Government",,,,,,,
"Secretary of State",,"Secretary of State Dennis Richardson  Welcomes Public Comment on Proposed Election Improvements",,"2017-08-24T16:30:00.000","2017","Salem","OR",,"Secretary of State Dennis Richardson welcomes the public to provide input on several proposed administrative rules to improve the elections process. A hearing will be held tomorrow (see location change below) on the following proposals:

165-014-0005 and 165-014-0030 – These Grassroots Petitioning Rules empower grassroots petitioners by allowing circulation of modified prospective petition sheets during the ballot title approval process. The full text of the measure must be attached, and petitioners must comply with the same requirements that apply after a ballot title is finalized. The purpose of this change is to prevent wealthy special interest groups from manipulating the initiative process through frivolous lawsuits on ballot titles that obstruct and delay signature gathering.

165-014-0034 – Lifts artificial 2,000-signature administrative cap on sponsorship template signatures turned in before October 1, 2017. This allows petitioners currently awaiting a final ballot title to circulate petitions until the Grassroots Petitioning Rule is adopted.

165-014-0275 – Clarifies that signature lines with optional information that appears to have been completed by a member of the same household will not be rejected. For example, in 2016, the current rule required rejection of [these signatures](records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/7117158) turned in by Ben Unger for IP 28 (Measure 97). This clarification will allow such signatures to be counted in the future since they do not appear to be fraudulent but were situations where a member of the same household filled out optional information for both themselves and another member of their household.

165-005-0170 – Updates Oregon Motor Voter (OMV) process to implement 16-year-old preregistration, ensures full privacy protections for minors' voter registration information, and reduces mailing costs by moving from a two-page to a one-page OMV mailer.

Rulemaking Hearing:
Any member of the public may provide oral or written comments at the rulemaking hearing:
Date:   Friday, August 25
Time: 10:00 am
Place: 255 Capitol Street NE, Public Services Building, Basement Conference Room #C, Salem, OR
Written Comments:
Written comments may be submitted until 5 p.m., September 14, 2017. Comments may be delivered to one of the following:
Mail:   Elections Division, 255 Capitol Street NE, Suite 501, Salem, OR 97310
Fax:     503-373-7414
Email: elections.sos@oregon.gov","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2017-08-24T16:31:00.000","Emma Snodgrass","2020-01-10T10:13:00.000","Emma Snodgrass","Elections & Voting",,,,,,,,
"Secretary of State",,"Final Timeline for January 23, 2018 Special Election",,"2017-08-25T16:30:00.000","2017","Salem","OR",,"Today, the Elections Division issued the official administrative rule setting the timeline for a January 23, 2018 election on Referendum 301: http://sos.oregon.gov/voting-elections/Documents/165-007-2018-temporary-rule.pdf
An election will only be held if petitioners turn in at least 58,789 verified signatures by October 5, 2017. However, the uniquely compressed calendar for this special election requires work to begin in September.

“Two weeks ago, my office asked Oregonians for input on a draft special election timeline, and this final version incorporates feedback from members of the public, the Oregon Supreme Court, and legislative leaders,” said Secretary of State Dennis Richardson. “Oregonians rightly expect fair elections and a transparent public process.”

This revised timeline gives legislators the scheduling flexibility they requested. Several deadlines were removed after legislative leaders agreed to a public comment period of at least two weeks and that finalizing the ballot tile and explanatory statement would occur by September 22, 2017. Further, this timeline gives the Oregon Supreme Court the full five weeks they requested to consider any challenges to the ballot title, explanatory statement, or financial estimate. 

Senate Bill 229 was one of the last two bills signed into law by Governor Kate Brown on August 18, 2017. The bill gives the Secretary of State broad authority to “adopt rules governing the procedure for conducting an election” (Section 61), including setting deadlines for elections processes (Section 55). Further, the bill contains an emergency clause that makes it effective immediately (Section 61), and it specifies that the process for drafting a ballot title may begin “on the date that a prospective petition to refer a measure . . . is filed with the Secretary of State” (Section 55(5)). 

The Oregon Constitution requires that after the Legislature passes a tax increase, the people shall have the power to veto it through the referendum process. This referendum process enables the people to overrule the Legislature. The referendum is the “people's veto” and gives Oregonians, who can collect enough signatures within 90 days, the opportunity to have such tax increases placed on the ballot for a democratic vote. This right of referendum was adopted by the voters in 1902.","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2017-08-25T16:53:00.000","Emma Snodgrass","2017-08-25T16:54:00.000","Emma Snodgrass","Elections & Voting",,,,,,,,
"Secretary of State",,"Financial Estimate Committee Meeting Schedule",,"2017-08-30T18:20:00.000","2017","Salem","OR",,"Pursuant to ORS 250.125, a five-member Financial Estimate Committee (FEC), composed of the Secretary of State, State Treasurer, Director of the Department of Revenue, Director of the Department of Administrative Services, and a local government representative must prepare an estimate of the financial impact of each measure to be voted on in statewide elections. Once completed, the estimate of financial impact will be printed in the Voters' Pamphlet and on the ballot.

The FEC will meet in Hearing Room 170 of the Oregon State Capitol Building located at 900 Court Street NE, Salem, OR 97301. The purpose of the first meeting will be to draft an estimate of financial impact for IRR 301. At the second meeting, staff from the Secretary of State's office will receive oral public comments on the draft (see requirement in ORS 250.127(2)). Written public comments sent to elections.sos@oregon.gov are preferred and will be accepted until Thursday, September 21st at 5:00 pm. However, early submission is encouraged as it allows for the most thorough consideration. At the third meeting, the FEC will consider revisions to the estimate based on public comments.

Interested parties may observe the committee deliberations, either by attending a meeting or via the Oregon State legislative website: https://www.oregonlegislature.gov/citizen_engagement/Pages/Legislative-Video.aspx

The FEC will meet according to the following schedule:

 Friday, September 8th 2017, 11:30 am, Hearing Room 170
•	Elect the 5th committee member (local government representative) 
•	Overview of Financial Estimate Committee process and requirements 
•	Draft and vote on the draft estimate of financial impact: [IRR 301](http://egov.sos.state.or.us/elec/web_irr_search.record_detail?p_reference=20180301..LSCYYY.)
 
Thursday, September 14th 2017, 10:00 am, Hearing Room 170
•	Staff from the Secretary of State's office will take oral and written public comments

 Friday, September 22nd 2017, 10:00 am, Hearing Room 170 
•	Possible revisions and vote on the estimate of financial impact

Contacts 
For questions on the FEC or general ballot measure process, please contact the Oregon Secretary of State Elections Division (503) 986-1518 or elections.sos@oregon.gov 
For questions on scheduling please contact the Legislative Policy and Research Office (503) 986-1539","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting,Media Advisory / Event",,,,,,,,,,"2017-08-31T09:54:00.000","Emma Snodgrass","2017-08-31T10:00:00.000","Emma Snodgrass","Elections & Voting","Media Advisory / Event",,,,,,,
"Secretary of State",,"Constitutional Eight-Year Term Limit for Governor",,"2017-08-31T13:00:00.000","2017","Salem","OR",,"In response to media inquiries, the Elections Division released the following information to clarify a misunderstanding about the Oregon Constitution's limits on a Governor's term of office.

Article V, Section 1 of the Oregon Constitution specifies that for the office of the Governor, “no person shall be eligible to such office more than Eight [sic] in any period of twelve years.” 

In addition to the Constitution's language, in the attached 2015 [Attorney General](http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/6948956) legal opinion it states the following, “Ms. Brown is eligible to hold the office of governor for a total of 8 years in any 12 year period. She will be eligible to run in the 2016 election to complete the remaining two-year unexpired term of the outgoing governor. If successful, she will again be eligible to run in 2018 for a full four-year term. Should she win both of those elections, she will not be eligible to run again in 2022 because she would not be eligible to hold office for the entire four-year term.”

http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/6948956","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2017-08-31T14:07:00.000","Emma Snodgrass","2019-10-04T12:57:00.000","Emma Snodgrass","Elections & Voting",,,,,,,,
"Secretary of State",,"Secretary of State Dennis Richardson Announces the  Kid Governor Program",,"2017-09-05T19:30:00.000","2017","Salem","OR",,"Today, in conjunction with the first day of school, Secretary of State Dennis Richardson announced the start of a new civics program that focuses on Oregon's 5th graders.

[Kid Governor](http://or.kidgovernor.org/) is a statewide, in-school civics program designed by the Connecticut Public Affairs Network. The Network has been working with the office of Oregon's Secretary of State to adapt the program for Oregon elementary schools. This program is slated to become a nation-wide program in the coming years. Oregon will be the second state to undertake the initiative. 

""It gives me great pleasure to announce the Kid Governor program,"" said Secretary of State Dennis Richardson. ""This initiative will help promote in our elementary school children an interest in how our government functions and will help develop our future leaders. Every public, private, charter, tribal, and online school is eligible to participate. Homeschoolers are also eligible.""

Each nominated student will work with his or her school to make a short, online video speech announcing their candidacy. In the videos, each student will address an important issue he or she would like to work on throughout the next calendar year. A group of experts will choose 7 finalists whose videos will be placed on the Secretary of State website. From November 6-14, Oregon 5th graders can vote for which of the 7 candidates they want to elect as Oregon's Kid Governor. The winner will be announced before Thanksgiving, and an official inauguration ceremony will be held January 9, 2018 at the State Capitol in Salem.

""During the Kid Governor's term in office, he or she will meet with Oregon's governor and our legislators and will work with my office on their special issue of interest,"" said Richardson. ""We will mentor and help our Kid Governor learn about and prepare to hold a press conference. The Kid Governor will also give an online civics speech to other Oregon 5th graders. I hope everyone is as excited about the program as we are here in Salem.""

The details about how the Kid Governor program works can be found online: http://or.kidgovernor.org/","{
  ""Photos"": [
    {
      ""FileName"": ""main-logo-white-background.jpg"",
      ""Url"": ""https://data.oregon.gov/views/j8eb-8um2/files/a3bb8dea-0d9b-4725-9670-521044a39a58?download=true&filename=main-logo-white-background.jpg"",
      ""ThumbUrl"": ""https://data.oregon.gov/views/j8eb-8um2/files/07f675cf-34d0-4c8c-b36b-0959b0e7be09?download=true&filename=main-logo-white-background_thumb.jpg""
    }
  ],
  ""Videos"": [
    {
      ""Url"": ""https://youtu.be/RBUWikEub3Q""
    }
  ],
  ""Audios"": []
}","Children & Family,Education,Elections & Voting",,,,,,,,,,"2017-09-06T08:20:00.000","Emma Snodgrass","2017-09-07T08:21:00.000","Emma Snodgrass","Children & Family","Education","Elections & Voting",,,,,,
"Secretary of State",,"Audit Release Oregon Department of Transportation","The Oregon Fuels Tax System Accurately Assesses and Collects Fuels Taxes for Oregon and Local Jurisdictions","2017-09-06T17:15:00.000","2017","Salem","OR",,"Today, an audit released by the Oregon Secretary of State found that the Oregon Department of Transportation's (ODOT) new fuels tax system accurately assesses and collects fuels taxes for Oregon and other local jurisdictions.
Report No. 2017-18: http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/5564958

In 2013, ODOT contracted with Avalara to implement a new fuels tax system for $2.8 million. The previous system was outdated and relied heavily on paper returns and manual inputs by department staff. The new Oregon Fuels Tax System (OFTS) allows for fuels tax licensees to electronically submit returns and pay fuels tax owed to the state and other local jurisdictions through an online web portal. During 2016, OFTS processed approximately 14,000 fuels tax returns and collected over $565 million in fuels taxes.

Auditors examined fuels tax returns submitted during 2016 and determined the system's calculations to be correct for 99.5% of all returns. The remaining 0.5% of records differed due to rounding errors or manual overrides of calculations by department staff.

However, ODOT needs to address several weaknesses identified in the audit report. Specifically, the report identified design flaws that may allow for certain fuels tax refunds to be issued for more than what was owed, and has caused inaccuracies in some key reports. The audit report also identifies security weaknesses which, if left unmitigated, may put the system and its data at risk.

The report includes nine recommendations to ODOT management to address weaknesses identified during the audit, including fixing system design flaws and correcting security weaknesses.

View this audit and all recently released audits: https://sos.oregon.gov/audits/Pages/stateaudits.aspx","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Improving Government,Transportation",,,,,,,,,,"2017-09-07T08:12:00.000","Emma Snodgrass","2019-08-02T15:32:00.000","Emma Snodgrass","Improving Government","Transportation",,,,,,,
"Secretary of State",,"Update on Request by  Presidential Advisory Commission on  Election Integrity",,"2017-09-08T17:00:00.000","2017","Salem","OR",,"Today, a person working for the Presidential Advisory Commission on Election Integrity complied with Oregon's statutory requirements by requesting a copy of a statewide voter list including paying the $500 fee. Oregon law requires disclosure of the list, which occurred today. However, the Secretary of State, once again, declined to disclose any information that violates Oregon law.

Oregon Revised Statutes 247.945(4) mandates: “Upon request, the Secretary of State shall deliver to any person a statewide list of electors. The secretary shall charge a fee of $500 for delivering a list under this subsection.” Under ORS 247.955, requesters must certify that they will not use any information from this list for commercial purposes.

Information that was not disclosed [pursuant to the policy announced on July 27, 2017](http://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=2185) includes: voter's social security number, driver's license number, signature, disability information, phone number, birth day/month, how a person voted in any election, certain information about public safety officers, participants in the Address Confidentiality Program (for victims of domestic violence and other crimes), persons who demonstrate that their personal safety is in danger and receive an exemption from their county clerk, and 16 or 17-year-olds who preregister to vote but will not reach age 18 by the date of the next election. The following information is available to all requesting persons who pay the $500 fee and agree not to use the information for commercial purposes: full name, address, effective registration date and status, birth year, political party affiliation, voter participation history (elections voted in, not who the elector voted for), precinct name, precinct split, and associated Election Division number.","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2017-09-10T11:08:00.000","Emma Snodgrass","2017-09-10T11:11:00.000","Emma Snodgrass","Elections & Voting",,,,,,,,
"Secretary of State",,"Standing at the Crossroads: Electric, Self-Driving Cars in Oregon","From Secretary Dennis Richardson","2017-09-12T16:30:00.000","2017","Salem","OR",,"I grew up in the era of big cars with big engines. If a Chevy 396 cubic inch motor was good, a Chrysler 426 Hemi was even better. Today, for most of us, what we value in a car is different. 

Concern about gasoline—costs, consumption, and carbon in the atmosphere—has resulted in decades of research for alternative fuels. The competition has been fierce—hydrogen, natural gas, propane, biodiesel, ethanol—all have had their pros and cons. While each of the alternatives has its advocates, to me the winner is clear…electricity will be the energy of choice for most 21st century vehicle. Electric Vehicles (EV), and especially autonomous vehicles (AV) with self-driving capabilities, are the most exciting news coming out of the automotive industry since the inception of the industry itself.

To illustrate the potential of the EV marketplace, we only need look at the emerging products already on the market. A good example is the Tesla Model 3. With more than [325,000 pre-orders](http://www.carscoops.com/2016/04/tesla-says-model-3-is-most-successful.html) placed the week it was announced, and with a sticker price of $43,000, the Tesla 3 represents the most valuable ($14 Billion) product launch in the history of the world. The combination of long-range electric capabilities, the latest in cameras, data processing, and other self-driving technologies, has caused remarkable global excitement. 

How can electric and autonomous (self-driving) vehicles be an important economic driver for Oregon?

The reality of electric vehicles as viable alternatives to those currently operating on fossil-based fuels is clear. With rapid advances in self-driving systems, Oregon's technology entrepreneurs are poised to lead the way in developing and launching a transportation revolution. We can now increase the safety, reliability, and efficiency associated with moving our goods and our citizens in ways that could scarcely have been imagined a few years ago. 

Oregon is already playing a key role with testing taking place at [Intel's Washington County facility.](https://www.intel.com/content/www/us/en/automotive/go-automated-driving.html) Now is the time for Oregon leaders to recognize that role and the unique opportunities we stand ready to embrace within these new emerging industries. We need to remove impediments that might drive these opportunities to our neighboring states to the north and south. 

Currently, there is nothing in Oregon law that prevents the operation of autonomous vehicles, so long as the vehicle is properly registered, fully insured, and has a licensed operator behind the wheel. In short, Oregon is open for electric and autonomous vehicle business and should be recruiting those businesses. Autonomous vehicle research and manufacturing can be an important economic driver that creates family-wage paying jobs for Oregon workers. The wrong course for Oregon to take, in my opinion, would be to create another bureaucracy within state government that essentially would duplicate what is already within the realm of the federal National Highway Transportation Safety Administration (NHTSA). For further information on safety concerns of autonomous vehicles in Oregon, [click here.](http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/6933056)

By ensuring and advertising that Oregon welcomes EV and AV companies by providing the least restrictive environment in the country to develop and test this revolutionary technology, we tell the world that we embrace this innovation in 21st century transportation. With our robust technology sector, Oregon is also in a position to lead on issues of privacy, computer security, and remote communications, all of which will be necessary to address before full acceptance of driverless vehicles can be achieved.

The recent acquisition by Intel of the [Israeli company Mobileye](https://techcrunch.com/2017/03/13/reports-intel-buying-mobileye-for-up-to-16b-to-expand-in-self-driving-tech/) for $15.3 bill","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Business,Environment & Energy",,,,,,,,,,"2017-09-12T16:30:00.000","Emma Snodgrass","2019-09-24T13:21:00.000","Emma Snodgrass","Business","Environment & Energy",,,,"ion puts Intel squarely in the position of leading the way in camera and radar-based detection systems that are essential for the development of AV technology. The opportunity to take advantage of this and the many other companies that will support Intel in this effort is one that Oregon's entrepreneurs and companies cannot ignore. 
As Secretary of State, a key part of my job is to identify opportunities to promote Oregon industries and businesses that will expand our economy and generate high-paying jobs for our workers. I expect the electric and autonomous vehicle industries to be enormous economic powerhouses in the future, and they should be welcomed to Oregon. To lead by example, I plan to buy my own electric vehicle in the very near future. I will be using it every week to make my 450 mile round-trip drive between Salem and my southern Oregon office and home. By having a car with autonomous driving features, I will be safer as I make those long trips, especially in inclement weather.

Whether or not Oregon will be a serious player in the rising electric and autonomous vehicle arena, and the spin-off industries they will generate, will be determined to a large extent by the actions of our Governor and Legislative leaders. Tesla, Intel, Google, Apple, Uber and the major car manufacturers are all developing electric and autonomous vehicles, and they do not need an Oregon bureaucracy to tell them to make their vehicles safe—for continuity across the country, [NHTSA](http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/6933056) is better prepared to assume that role on a national level. Car manufacturers understand liability. They understand that the eyes of a skeptical world of potential consumers are watching them. They will do all in their power to ensure only safe vehicles are placed on Oregon roads, and if a mistake is made, they understand the consequences they will face in front of a jury. 

To the north, [Washington State's Governor has signed an Executive Order](http://governor.wa.gov/sites/default/files/exe_order/17-02AutonomouVehicles.pdf) welcoming autonomous vehicle researchers and manufacturers to Washington. 

To the south, [California has one of the most ambitious programs in the country](http://www.caletc.com/wp-content/uploads/2016/08/New-Study-Shows-State-Investment-in-Zero-Emission-Vehicle-Incentives-Pays-Off.pdf) to reduce air pollution emissions by encouraging the purchase or lease of Plug-in Electric Vehicles (PEV).

Here in Oregon, our leaders need to be bold. We need the jobs these high-paying industries would bring to Oregon. We need to recruit EV and AV business leaders to visit Oregon. We need to promote our state as the ideal place to live, work, and recreate. We need to emphasize the attractiveness of Oregon's low electricity rates and the financial benefits for EV and AV companies to expand their businesses in Oregon—a No-Sales-Tax state. Finally, as leaders, if we want to attract these industries, we need to drive electric vehicles ourselves, and set the example of how important the benefits of EV's and AV's are to Oregon's environment, economy, and safety. As one of Oregon's elected leaders, I'm committed to leading the way, and I will soon be trading my big V-8 for my own electric, autonomous vehicle.
Dennis Richardson",,,
"Secretary of State",,"Secretary of State Dennis Richardson Releases  Succession Planning Audit",,"2017-09-13T13:30:00.000","2017","Salem","OR",,"Today, the Secretary of State's office released an audit that finds Oregon's Department of Administrative Services (DAS) should be playing a stronger leadership role in addressing key workforce risks and challenges within the state executive branch. The audit recommends that DAS enhance workforce succession planning.

Succession planning is an ongoing management process used to ensure workforce continuity and effectiveness, particularly in key leadership and technical functions.  

Auditors examined workforce succession planning practices at DAS and 8 Oregon executive branch agencies. They also reviewed state workforce data and practices in other states. The findings are outlined in the audit report, entitled: “Department of Administrative Services Should Enhance Succession Planning to Address Workforce Risks and Challenges.” http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/5564961

The audit found that DAS has not implemented or even developed a state-level succession planning framework. This increases the risk to our state government's ability to maintain knowledgeable and skilled employees. Demographic and economic trends, such as an increase in retirements, exacerbate the risk.  

“We must be ready for this inevitable knowledge loss,” said Secretary of State Dennis Richardson. “We risk losing the institutional memory of our dedicated public servants if we don't address this issue now.”     
State agencies reported challenges that may hinder succession planning that DAS should be addressing, such as inaccessible workforce information. A new human resource information system, slated to roll out in 2018, should help. However, the tools available in a new system will only be useful if employees actively use them and data is accurate and complete.  

Drawing on examples from other states, the audit recommends that DAS implement a succession planning framework in the Oregon executive branch. This framework should include providing guidance to the agencies, monitoring workforce risks, and working with agencies to identify and address barriers to succession planning. 

Richardson added, “We need skilled, competent employees in the pipeline ready and able to step into management and leadership roles when their time comes.”   

Read the full audit on the Secretary of State website: https://sos.oregon.gov/audits/Pages/stateaudits.aspx","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Improving Government",,,,,,,,,,"2017-09-13T14:04:00.000","Emma Snodgrass","2019-08-02T15:30:00.000","Emma Snodgrass","Improving Government",,,,,,,,
"Secretary of State",,"Response to Special Interest Group's  Unreasonable Fishing Expedition",,"2017-09-15T00:00:00.000","2017","Salem","OR",,"Today, the Secretary of State's office released many documents in response to an excessive fishing expedition based on specious allegations. The overly broad nature of this series of records requests required significant staff time to complete, using taxpayer dollars, and taking away from other important work for the public. Those requesting these records also sought to leave the excessive public records request open in perpetuity. While all Oregonians are entitled to request public records, extreme or unreasonable requests that require extensive staff time are a misuse of the public records system and delay fulfillment of others' requests. 

The Secretary of State's office is committed to transparency. All responsive records that could be located were released, although payroll account information was redacted from one document pursuant to ORS 260.262(7). This series of records requests is now closed.

The records released today disprove the baseless political attacks leveled earlier this year. Instead, they show that the Secretary of State's office and the Elections Division provide excellent customer service to all Oregonians, including legislators and those running for office or working on an initiative or referendum campaign.
See for yourself here. 

Documents: http://sos.oregon.gov/Documents/Public-Records.zip 
Request: http://records.sos.state.or.us/ORSOSWebDrawer/Recordpdf/6948954","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Transparency",,,,,,,,,,"2017-09-15T16:58:00.000","Emma Snodgrass","2019-10-04T13:06:00.000","Emma Snodgrass","Transparency",,,,,,,,
"Secretary of State",,"Voter Fraud Cases Referred for Criminal Prosecution","From Secretary Dennis Richardson","2017-09-15T12:30:00.000","2017","Salem","OR",,"As Oregon's chief election officer, my core mission is to maximize voter participation and access, while ensuring election integrity.
Watch Secretary Richardson's video: https://youtu.be/FFE3ogBKLog 

My office is utilizing new technological tools that will improve election integrity. Through complex data matching techniques, the Elections Division identified 46 voters in the November 8, 2016 election who appear to have cast ballots in both Oregon and another state. Also identified, were ballots submitted under the names of six deceased Oregon voters and two registered Oregon voters who each cast two ballots in Oregon.

Although there is no evidence that these fraudulent ballots impacted the outcome of any contest, no level of voter fraud is acceptable. Nevertheless, the suspicious ballots discovered amount to just 1 out of every 38,000 ballots cast in Oregon (.002%).

Voters in Oregon can be confident that voter fraud is extremely rare in our state, and when we do find it, we will prosecute. Evidence supporting these findings has been turned over to the Attorney General's office for criminal investigation and prosecution. Intentionally voting twice is a felony punishable by up to five years in prison and up to a $125,000 fine.

Every Oregonian who is eligible to vote should be able to vote. We must use all tools available to ensure election integrity so that the votes of those who are eligible to vote are not diluted by those who are breaking the law.

In closing, as your Secretary of State, I am working hard to achieve the mission you elected me to do. These election integrity actions, combined with my voter access initiative implemented last April to restore the voting rights of more than 60,000 Oregonians, show the progress we are making. Together, with our county election partners, we are making Oregon's election system an example to the nation of honesty, inclusion, and integrity.

 Dennis Richardson","{
  ""Photos"": [],
  ""Videos"": [
    {
      ""Url"": ""https://youtu.be/FFE3ogBKLog""
    }
  ],
  ""Audios"": []
}","Elections & Voting",,,,,,,,,,"2017-09-15T15:54:00.000","Emma Snodgrass","2017-09-15T15:54:00.000","Emma Snodgrass","Elections & Voting",,,,,,,,
"Secretary of State",,"Secretary of State Dennis Richardson Releases Annual Audit Plan",,"2017-09-18T12:00:00.000","2017","Salem","OR",,"Today, Secretary of State Dennis Richardson and the Oregon Audits Division are pleased to present the first annual Audit Plan.

The Audit Plan is a new document to be release annually. It includes a brief overview of the functions of the Audits Division, a list of audits to occur in 2017-2018, an explanation of why these audits were selected, and a tentative schedule of audits to occur in 2018-2019. (Additional audits may be added to the Plan, as circumstances warrant.)

“I am very excited about the Plan and the positive impact it will have on Oregon,” said Kip Memmott, Director of the Audits Division. “This is a bold plan, both in terms of the number of audits compared to our historical average, as well as in terms of audit topics.”

This year's plan includes performance audits focused on certain themes, including security and information technology; vulnerable populations; finance, revenue, and fiscal sustainability; education; and, public health and safety.

The Plan also includes the traditional financial audits of the state's public accounts, as well as financial audits of specific funds at the Department of Environmental Quality, the Oregon Department of Energy, and the Department of Consumer and Business Services, among others.

The Audit Plan is a reflection of Secretary Richardson's vision, including his emphasis on accountability and transparency. It is also a continuous improvement strategy for the Audits Division, and includes real-time auditing concepts using leading-edge audit methodologies and a focus on measuring audit impact.

“I'm pleased to share this first Audit Plan with you,"" said Secretary of State Dennis Richardson. ""Making the Plan public is yet another step we are taking to make our government more open and transparent. By publicly announcing the agencies and topics we intend to audit, as well as sharing our vision for the Audits Division moving forward, we hold ourselves to the same standards of accountability and transparency we are looking for in all state agencies.""

Read the full Audit Plan on the Secretary of State's website: http://sos.oregon.gov/audits/Documents/2017-18-sos-audit-plan.pdf","{
  ""Photos"": [],
  ""Videos"": [],
  ""Audios"": []
}","Improving Government",,,,,,,,,,"2017-09-18T12:05:00.000","Emma Snodgrass","2017-09-18T12:05:00.000","Emma Snodgrass","Improving Government",,,,,,,,
