Project/Initiative Name,Country/Countries,Year,Organisation,Description,Novelty,Impact & Results,"Other relevant URL(s) - eg reports, press",Source,Language
Food Hawkers Go Digital ,Singapore,2021,Singapore's Digital Office - National Environment Agency,"The Singapore Together Alliance for Action – Online Ordering for Hawkers is a workgroup, comprising delivery platforms, hawkers associations, community partners and government agencies. They work closely together to support hawkers by:
1. Helping them go online/digital
2. Develop a sustainable commercial model
3. Raise consumer awareness about delivery platforms and contactless payments.

To reach out to half of the 18,000 stallholders to adopt e-payments, there are a group of Digital Ambassadors available to guide them through the learning and adjustment process to share the benefits of food delivery platforms. Additionally, stallholders will be encouraged to adopt a contactless payment option by adopting an unique SGQR label at their stall. By using a SGQR, stallholders will be able to receive payments through 19 different payment schemes nationwide. 

The initiative includes too the Digital Resilience Bonus as an additional support of up to $10,000. The payout will offset the cost of adopting solutions from three pre-defined categories, namely business process solutions, digital presence and data-driven operations.",#NAME?,,"https://www.nea.gov.sg/our-services/hawker-management/programmes-and-grants/alliance-for-action-(afa)---online-ordering-for-hawkers/digital-support-guide-for-hawkers

https://www.imda.gov.sg/hawkersgodigital ",Research,
Seniors Go Digital to address the digital gap,Singapore,2020,Singapore's Digital Office - Ministry of Communication and Information,"The program seeks to accelerate digital adoption in Singapore as the government embarks on a phased recovery post COVID-19 and the Digital for Life national initiative. 

SGD involved mobilising digital ambassadors to train over 100,000 senior citizens, through one-to-one coaching and small group learning sessions. They are provided with different options for learning, and used everyday language which these groups are comfortable with. 

Whether it is learning from one of the Digital Ambassadors at designated venues or taking guided lessons at home via a mobile phone, seniors are able to navigate through a learning journey that involves content, belonging to a community of practice and access to digital pods. 

The services are provided by multiple stakeholders like the National Library Board, or the Agency for Integrated Care, which all have various touch points with seniors.

For example, it involved teaching them about how to navigate a smartphone interface or go through step by step on how to go about learning how to use different apps.",#NAME?,,"https://www.imda.gov.sg/en/seniorsgodigital/Go-Digital-Mobile-Plans 

https://www.centreforpublicimpact.org/insights/lessons-on-digital-equity-how-the-singapore-government-has-been-tackling-the-digital-divide",Research,
COMO CO2 for monitoring and cleaning the air inside of Berlin's buildings,Germany,2022,Technologiestiftung Berlin,"The project is in a pilot phase and aims to monitor indoor air through CO2 concentration. COMo has developed a sensor system that is installed inside of closed spaces (private or business ones) and it's supported by LoRaWAN technology so the sensors can collect and transmit measurement data completely independently. People are allowed to call up their data at any time via the web portal and also make it directly visible.

From an energy point of view, window ventilation therefore seems unsuitable, especially in winter, regardless of the type of ventilation, as high heat energy losses can occur. But this doesn't have to be the case, because sensors enable the people to ventilate in a new way by displaying you the air quality on site. If the CO2 concentration in your rooms rises, you know that it is time to ventilate. 

LoRaWAN stands for Long Range Wide Area Network and means or enables energy-efficient transmission of data over long distances. This was specially developed for the Internet of Things (IoT) and Industrial Internet of Things (IIoT). With LoRaWAN it is possible to manage several hundred sensors within a network and to process sensor data. Sensors can be operated for up to 10 years without changing batteries. 

The pilot currently works in 6 different locations of Berlin (i.e. city lab berlin, Schwuz an LGTBQ+ club). ","CO2 indoor monitoring to self-manage ventilation and save energy (from heaters), specially during winter times. ","For the first time, COMo allows non-technicians to control their air quality based on measured values. This is relevant to facilities with many visitors (e.g. clubs, cinemas...). But also, it is evident that the number of installed sensors for single participants is still too small for general statements and forecasts on the development of indoor air quality.",https://como-berlin.de/,Call for Innovations,English
Berlin's CityLab Public Design Handbook for innovative public administrations,Germany,2020,CityLab Berlin - Politics for Tomorrow,"The publication contains sound background knowledge and a diverse collection of templates and working documents from the city's and German public administration, as well as other tailored toolkits to the public administration. The aim is to enable a direct entry into new, effective ways of working and ""save time"" ideating over things that already exist. 

The handbook provides the basis for developing results-oriented, needs-based public innovations, regardless of whether these innovations are visible products and services or invisible structures and processes. It guides the public servant through the different phases of an innovation process that has been specifically designed with public administrations in mind. One major component of the book is its extensive collection of templates and working documents tailored to the needs of public administrations. 

It targets five areas of action: 
Impact-oriented
Understanding the status quo, revealing blind spots, generating target knowledge, developing for the common good
Human-centered
Qualitative and quantitative research, proceeding empathically, transforming affected groups into active participants
Evidence-based
Decision making based on data and findings from theory and practice, thinking and acting critically
Design-led
Visualization, prototyping, testing, error tolerance, iterative processes, experimental space
Multi-perspective
Interdisciplinary or interdepartmental cooperation, generating understanding between different fields of expertise, diversity through accessibility",Clusters and summarizes good practices and experiences from toolkits and frameworks that work,,"https://citylab-berlin.org/en/projects/handbuch/ 
https://www.politicsfortomorrow.eu/handbuch.html",Call for Innovations,English
GDS's guide to use AI in the public sector ,United Kingdom,2020,"OAI, GDS, and The Alan Turing Institute (ATI)","The UK Government has published a guide on how to build and use artificial intelligence in the public sector. With its mission is to drive responsible and innovative uptake of AI technologies for the benefit of everyone, the document recognizes AI’s potential and its challenges for securing the people and the whole society. 

The document puts in perspective the UK’s Data Ethics Framework that sets out clear principles for how data should be used in the public sector. The Guideline is build on these ethical principles and apply them to the context of the public sector. Ultimately To help leaders across the civil service understand what AI is and how it can be used, ethical and safely, to solve problems within their departments.

The guidance covers how:
- to assess if using AI will help you meet user needs
- the public sector can best use AI
- to implement AI ethically, fairly and safely","Leaders across the public sector could benefit from better understanding the technology, the opportunities it presents and the limitations of its use.

Delivery teams needed more specific guidance on the different considerations for projects with AI components.",,"https://www.gov.uk/government/collections/a-guide-to-using-artificial-intelligence-in-the-public-sector

https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2021%2Fdata%2FpolicyInitiatives%2F24815",Research,
Kids Included - enabling meaningful child and youth participation within companies in the digital era,Denmark,2022,Lego Company - KidsKnowBest,"This co-creative document provides a practical tool intended for businesses that embark into meaningful child participation. It seeks to engage stakeholders inside of children's mindset to make them more aware of their digital rights.

Using and providing agile methods, the tool addresses the role of businesses in protecting children’s rights and fostering their well-being and represents an important step towards scenarios where children are systematically engaged and represented in how companies behave.

The tool spins around four main questions that seeks to help with: 1) what is meaningful child participation? 2) what are the key challenges to achieving this? 3) why is it important for children and businesses in relation to the digital environment? 4) how can businesses overcome these challenges? ","Visibilize Childs needs, participation and rights in the corporate environment (for product/service development and for awareness of risks). Addresses issues of children's digital rights. ",,"https://www.kidsincluded.report/#contributors
https://www.gamesindustry.biz/lego-partners-with-superawesome ",Research,
White Collar Crime Risk Zones to predict likelihood of financial crimes ,United States,2017 (2021 reboot),White Collar Crime in The New Inquiry,"The model and app provide a predictive policing application that targets white collar crime.

It uses machine learning to predict where financial crimes will happen across the U.S. The system was trained on incidents of financial malfeasance from 1964 to the present day, collected from open data from the Financial Industry Regulatory Authority (FINRA), a non-governmental organization that regulates financial firms.

The system uses industry-standard predictive policing methodologies, including Risk Terrain Modeling and geospatial feature predictors, which enables the tool to predict financial crime at the city-block-level with an accuracy of 90.12%.

Predictive policing apps are designed and deployed to target so-called ""street"" crime, reinforcing and accelerating destructive policing practices that disproportionately target impoverished communities of color. Unlike typical predictive policing apps which criminalize poverty, White Collar Crime Risk Zones criminalizes wealth.","Unlike typical predictive policing apps which criminalize poverty, White Collar Crime Risk Zones criminalizes wealth. 

Use of open data from the financial regulatory authority (FINRA), the Federal Trade Commission and several related surveys. ",,"https://thenewinquiry.com/ 

White paper: https://whitecollar.thenewinquiry.com/static/whitepaper.pdf

https://thenewinquiry.com/white-collar-crime-risk-zones/ 

Map: https://whitecollar.thenewinquiry.com/ ",Research,
Ukraine's Diia Wallet as a one-stop shop for public services,Ukraine,2020,Ministry of Digital Transformation (MDT),"Diia is Ukraine's official one-stop-shop app for public services and a wallet for digital versions of official documents. The platform’s motto is “the state as a service, not a bogeyman”. 

It hosts more than seventy services: for example, Ukrainians can use the app to change their registered address without appearing in person at the old place of residence – a boon for the third of Ukrainians who live away from their formal address.

At the end of 2021, Diia was used by 13 million people (a third of the country’s 44 million inhabitants and a fivefold increase in one year). Adoption was partly driven by its use as a Covid certificate platform and the introduction of ePidtrimka (“eSupport”) – a one-off payment of 1,000 UAH (approx. 25EUR) for fully vaccinated Ukrainians linked to a digital bank card. In two months, the government >10 million cards.

During war period the eMaliatko service, for example, was available to residents of breakaway Donetsk and Luhansk regions so that they could register children born in the conflict zone as Ukrainian citizens. 

The app is linked with Ukraine's major social media Telegram, Viber and Messenger to inform to the citizens inlands or abroad. ","One-stop-shop app for public services and a waller for digital versions of official documents.
Main point for accessing government services during wartime ",,"https://diia.gov.ua/
https://www.gmfus.org/news/digital-wallets-and-migration-policy-critical-intersection ",Research,
WallBox Chargers to intelligently manage how your electric vehicle charges by connecting it to the grid,Spain,2017 (2022 case),WallBox,"Wallbox develops charging stations for electric vehicles and homes. By using a software it enables electric vehicles, charging stations and charging operators to share data. So customers can regulate when a car is being charged to take advantage of variable energy loads and lower pricing during off-peak demand times of the day.

It offers a complete portfolio of charging and energy management solutions for residential, business and public use. It seeks to redefine users’ relationship to the grid. The Quasar, for example, enables users to charge their electric vehicles and use the energy from the vehicle’s battery to power their home, business or send it back to the grid.

They claim that are already innovating for the next wave of EV charging and energy management including vehicle-to-home and vehicle-to-grid, energy storage, peer-to-peer energy transactions, energy trading, and energy as payment. The creation process is ruled by three principles: 1) simple and easy to access/understand, 2) smart - always connected, 3) user centric and designed for real people.

Recently the Centre on Regulation of Europe issues a case study paper about energy data sharing. ","Supports the development of a digital-driven “European energy data space” by allowing for data sharing and system integration between the energy sector and other sectors, e.g. mobility.

Creates a new relationship between the users of electric vehicles and its personal space. ",,"https://cerre.eu/publications/energy-data-sharing-the-case-of-ev-smart-charging/ 
https://wallbox.com/en_catalog/comercial-b2b ",Research,
HaydenAI & NYC Transit Authority for AI bus-mounted cameras,United States,2022,Hayden AI & NYC Transit Authority,"Hayden AI just recently contracted with the New York City Transit authority to implement the Automated Bus Lane Enforcement (ABLE) Camera Systems. The deployment consists of 300 interior mounted AI-based camera systems to increase safety and operational performance and improve customer experience. 

It seeks to utilize smart enforcement technology to reduce congestion, improve commuter safety, fleet reliability and on time performance. The information and data generated from the system would serve to identify locations that have the highest instances of vehicles blocking bus lanes. It is expected to help increasing compliance with dedicated bus lane stopping and parking restrictions. The pilot has already started. 

From bus lane and bus stop enforcement to digital twin modeling, the MTA will use a mobile perception system to speed up transit, make streets safer, and create more sustainable lanes. The technologies comply with security and privacy regulations and protect personal information. If there is no encroachment on a bus lane, the cameras do not record anything.",metadata can be used to create a digital twin of the city and support public transport policy making ,,"https://www.hayden.ai/hayden-ai-contracts-with-the-mta-new-york-city-transit-for-able-camera-systems

https://gcn.com/public-safety/2022/08/ai-powered-cameras-enforce-bus-lanes/375728/ ",Research,
Culver City AR Urban Runoff and Stormwater Project ,United States,2022,Culver City ,"The Urban Runoff and Stormwater Project was added into the Culver Boulevard Realignment to incorporate structural stormwater best management practices that retain and reuse captured urban run-off. The aim of using AR is that government agencies have seen its value for improved training, sensitization and accessibility. 

The city has worked to improve mobility for pedestrians and bicyclists with the creation of a two-acre park in the median. A big portion of the action would happen out of sight, motivating the project team to include “interpretive signage” that explains the purpose of the project through an interactive, virtual experience. 

The AR experience will soon be available for visitors, who will be able to learn about the project by reading the information on the signs — printed in both Spanish and English — or by scanning the QR code to get deeper.

There are six different “experiences” in augmented reality that users can participate in. To design the experience, the city partnered Trigger XR team creating imagery to accompany it.",,,"https://web.culvercity.org/culver/
https://www.govtech.com/civic/culver-city-calif-uses-ar-to-showcase-stormwater-project ",Research,
