QB_RECORD_ID,DATASETNAME,AGENCYNAME,AGENCYCODE,DATASETCLASSIFICATIONLEVEL,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETCATEGORY,DATASETTYPE,DATAOWNER,EARLIESTDATEOFRECORDS,UPDATEINTERVAL,SUMMARY,PUBLICINTRESTINDATAVALUE,DATASETURL,KEYWORDS,MODIFIEDDATE,PUBLISHED_DATE,OPENDATA_PORTAL,OBJECTID
4632,First in Math,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Other,DCPS - Curricular Innovation,,Unknown,"First in Math provides deep practice necessary for skill retention. Activities increase fact fluency with whole numbers, fractions, decimals, and integers.",,http://www.firstinmath.com,Education,,2018/03/11 05:00:00+00,No,1772
4633,Fiscal Tracker,DC Public Schools,DCPS,level1,Public Not Proactively Released,Publication would pose an undue administrative burden on the agency.,Education,Database,DCPS - Federal Programs and Grants,,Unknown,Fiscal tracker used to log and verify financial transactions by grant name and level,,,Education,,2018/03/11 05:00:00+00,No,1773
4634,Case Spreadsheets,DC Public Schools,DCPS,level3,Confidential,Attorney-Client Privileged information,Administrative and Other Boundaries,Database,DCPS - Office of the General Counsel,,Weekly,Folder containing multiple spreadsheets with case information,Unknown,,"case, Labor",,2018/03/11 05:00:00+00,No,1774
4635,DC Corrective Action Tracker (DC CATS),DC Public Schools,DCPS,level3,Confidential,"The dataset contains student Personally Identifiable Information (PII), that could be used to identify student disability, discipline incidents, health information, and/or court documentation.",Education,Database,DCPS - Compliance and Policy,,Unknown,Folders in application contain regularly updated spreadsheets with items of noncompliance -originating in the DC Corrective Action Tracker (DC CATS owned by OSSE) that need to be corrected and the progress made on such corrections,,N/A,Education,,2018/03/11 05:00:00+00,No,1775
4636,Free and Reduced Meals (FARM) and Enrollment Data,DC Public Schools,DCPS,level3,Confidential,Contains student directory and enrollment information subject to Family Educational Rights and Privacy Act (FERPA).,Education,Database,DCPS - Federal Programs and Grants,,Yearly,Food and nutrition data used to complete school allocations for each fiscal year,Frequent Requests,,Education,,2018/03/11 05:00:00+00,No,1776
4637,Scholastic Aptitude Test (SAT) Prep Roster,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Database,DCPS - College and Career,,Unknown,"For each school working with SAT test prep providers, we house a roster containing student identification, school, grade level, type of preparation participated in, and score.",,,Education,,2018/03/11 05:00:00+00,No,1777
4638,Reading Recovery Data,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Unknown,DCPS - 1st Grade Academy,,Real-Time/Near Real-Time,Foundational skill data is collected for all 1st-grade students served in Reading Recovery.,Occasional Requests,https://www.idecweb.us/,Education,,2018/03/11 05:00:00+00,No,1778
4639,Parent Database,DC Public Schools,DCPS,level3,Confidential,"Contains student and parent Personally Identifiable Information (PII), used by DCPS for internal purposes.",Education,Spreadsheet,DCPS - Federal Programs and Grants,,Real-Time/Near Real-Time,Google Doc used to verify and contact parents of Title I students,Occasional Requests,,Education,,2018/03/11 05:00:00+00,No,1779
4640,Career and Technical Education (CTE) and NAF Educator Roster,DC Public Schools,DCPS,level3,Confidential,"Contains teacher Personally Identifiable Information (PII).
.",Administrative and Other Boundaries,Spreadsheet,DCPS - College and Career,,Real-Time/Near Real-Time,"Google Spreadsheet that tracks current DCPS Career Education instructors, their teacher licensure (status and type), and teacher vacancies for Career Ed programs. This information is shared with members of CCP and school leaders.",Frequent Requests,,Education,,2018/03/11 05:00:00+00,No,1780
4641,Reading Intervention Data,DC Public Schools,DCPS,level0,Open,,Education,Spreadsheet,DCPS - Content and Curriculum,,Quarterly,"Google doc listing all schools that have the following reading interventions: Literacy Lab, Reading Partners, Read 180, System 44, REACH, Reading Specialists.",No Requests,,Education,,2018/03/11 05:00:00+00,No,1781
4642,Summer Candidate Data Sheet,DC Public Schools,DCPS,level2,For District Government Use,Publication would require subjective redaction and impose an undue administrative burden on the agency,Education,Spreadsheet,DCPS - Content and Curriculum,,Static,Google doc listing summer fellows who worked with Literacy and Humanities team and what they should be compensated.,No Requests,,Education,,2018/03/11 05:00:00+00,No,1782
4643,Grant Solutions,DC Public Schools,DCPS,level2,For District Government Use,"Some information may be subject to deliberative process; could be shared with OSSE. This data is protected under FOIA exemption 2-534(a)(4) - ‘’deliberative process privilege”.",Education,Unknown,DCPS - Federal Programs and Grants,,Quarterly,"GrantSolutions.gov supports Federal agencies throughout the full grants lifecycle, from pre-award planning through application, award, and closeout; drawing insights and leading practices from a broad partner community.",Occasional Requests,https://home.grantsolutions.gov/home/,,,2018/03/11 05:00:00+00,No,1783
4644,Grants Monthly Report,DC Public Schools,DCPS,level1,Public Not Proactively Released,Publication would pose an undue administrative burden on the agency,Administrative and Other Boundaries,Unknown,DCPS - Federal Programs and Grants,,Monthly,Grants.gov is an E-Government initiative operating under the governance of the Office of Management and Budget and managed by the Department of Health and Human Services.,Frequent Requests,https://www.grants.gov/,Education,,2018/03/11 05:00:00+00,No,1784
4645,DCPS Position Classification Data,DC Public Schools,DCPS,level2,For District Government Use,"Given that the program description indicates that this dataset may contain information about new position descriptions that are submitted for review & approval/classification, this information may be exempt from FOIA disclosure.",Administrative and Other Boundaries,Database,DCPS - Early Childhood Education,,Unknown,"Holds archived position descriptions, used by hiring liaisons to submit new position descriptions for review & approval/classification.",,,Education,,2018/03/11 05:00:00+00,No,1785
4646,Home/Hospital Instruction Program Data,DC Public Schools,DCPS,level3,Confidential,"Contains student information, including medical information subject to Family Educational Rights and Privacy Act (FERPA), 
Personally Identifiable Information (PII), Individuals with Disabilities Education Act (IDEA), Health Insurance Portability and Accountability Act (HIPAA).",Education,Database,DCPS - Specialized Instruction,,Real-Time/Near Real-Time,Houses referral and other information for students in the home and hospital instruction program.  Schools use the application to refer students to the program (which requires uploading medical information).,Unknown,,Education,,2018/03/11 05:00:00+00,No,1786
4648,DSI Location Review Referral Data,DC Public Schools,DCPS,level3,Confidential,Contains student-level information subject to Family Educational Rights and Privacy Act (FERPA).,Education,Spreadsheet,DCPS - Specialized Instruction,,Daily,"Linked Google Form and Workbook which Central Office teams use to refer students in need of new Location of Services (i.e., students with 20 hours or more of specialized instruction outside of general education on their IEPs).",Frequent Requests,,Education,,2018/03/11 05:00:00+00,No,1787
4649,ELA Teacher Point of Contacts (POCs),DC Public Schools,DCPS,level0,Open,,Education,Spreadsheet,DCPS - Content and Curriculum,,Unknown,"List of POC English teachers, K-12",,,"teachers, education",,2018/03/11 05:00:00+00,No,1788
4650,Social Studies course and teacher list,DC Public Schools,DCPS,level0,Open,,Education,Database,DCPS - Content and Curriculum,,Quarterly,List of all social studies courses offered (middle to high school) and teacher associated.,No Requests,,Education,,2018/03/11 05:00:00+00,No,1789
4651,FOIA Weekly Chart,DC Public Schools,DCPS,level3,Confidential,Contains some sensitive information that reveals agency's deliberative process. This data is protected under FOIA exemption 2-534(a)(4) - ‘’deliberative process privilege”.,Administrative and Other Boundaries,Database,DCPS - Office of the General Counsel,,Daily,"List of all the FOIA Requests that are open, how long they have been open, the status on the progress. Information on all the tasks that have been performed on the request.",Unknown,,,,2018/03/11 05:00:00+00,No,1790
4652,Unit Text per school,DC Public Schools,DCPS,level0,Open,,Education,Database,DCPS - Content and Curriculum,,Static,List of unit texts needed for each school/grade,No Requests,,"Education, Schools",,2018/03/11 05:00:00+00,No,1791
4653,DCPS Employment Clearance applications,DC Public Schools,DCPS,level3,Confidential,"Includes information about employee criminal offenses, if any, as well as Personally Identifiable Information (PII) and law-enforcement sensitive information i.e.: fingerprint records.",Administrative and Other Boundaries,Database,DCPS - Employee Services,,Weekly,Listing of all DCPS Employment Clearance applications.,Occasional Requests,,Education,,2018/03/11 05:00:00+00,No,1792
4654,Subpoena Log,DC Public Schools,DCPS,level3,Confidential,Contains student level Personally Identifiable Information (PII).,Education,Database,DCPS - Office of the General Counsel,,Unknown,Log of all subpoenas received by DCPS.,Unknown,,Education,,2018/03/11 05:00:00+00,No,1793
4655,Extended School Year Special Ed Summer Program Data,DC Public Schools,DCPS,level3,Confidential,"Contains student-level information subject to Family Educational Rights and Privacy Act (FERPA).
.",Education,Database,DCPS - Specialized Instruction,,Real-Time/Near Real-Time,"Management tool for Extended School Year special ed summer program.  Contains information on all students who have been found eligible, where they are assigned to attend, and teacher caseloads.",Unknown,,Education,,2018/03/11 05:00:00+00,No,1794
4656,My School Bucks Data,DC Public Schools,DCPS,level3,Confidential,Contains student and parent Personally Identifiable Information (PII)  including personal financial information.,Financial,Unknown,DCPS - School Operations,,Real-Time/Near Real-Time,My Schools Bucks is a Heartland web based application that allows parents to pay for student meal accounts.,Occasional Requests,,Education,,2018/03/11 05:00:00+00,No,1795
4657,National Academy Foundation (NAF) Academy Directors Reports,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Database,DCPS - College and Career,,Monthly,"NAF Academy Coordinators and Directors use the reports to track student worked based learning opportunities, college tours, academy budgets, and purchasing for the school year.",Frequent Requests,,Education,,2018/03/11 05:00:00+00,No,1796
4658,NAF Student Data Report,DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Database,DCPS - College and Career,,Weekly,"NAF Coordinators and Directors reference to the student demographics, on-track graduation status, college applications, financial aid application status, in-seat attendance when prescribing interventions for students in a NAF academy.",Occasional Requests,,Education,,2018/03/11 05:00:00+00,No,1797
4659,"ASPEN Data; Self entered College & Career Applications",DC Public Schools,DCPS,level3,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Education,Other,DCPS - College and Career,,Real-Time/Near Real-Time,"Naviance is a comprehensive K-12 college and career readiness solution that helps districts and schools align student strengths and interests to postsecondary goals, improving student outcomes and connecting learning to life.",Frequent Requests,https://naviance.com/,,,2018/03/11 05:00:00+00,No,1798
