UID,Name,Description,Owner,Owner UID,Publication Stage,Audience,Approval Status,Provenance,Type,Category,Tags,url,API Endpoint,Creation Date (UTC),Last Metadata Updated Date (UTC),Last Data Updated Date (UTC),Domain,Derived View,Visits,Downloads,Row Label,Row Count,Column Count,Contact Email,License,Attribution,Attribution Link,Published Version Name,Published Version UID,Parent UID,Source Information: Technical Contact,Common Core: Publisher,Common Core: Contact Name,Source Information: Program,Common Core: Contact Email,Source Information: Start Date,Common Core: Public Access Level,Source Information: Frequency of Data Change,Source Information: End Date,Source Information: Format,Source Information: Source Department
4agz-68hf,City Council Constituent Engagement with Descriptions,"Engagements between City Council offices and their constituents, including Description field.",Enterprise Information Data Team,uqfu-rapx,published,private,not_ready,official,dataset,Customer Service,city council,https://data.nola.gov/d/4agz-68hf,https://data.nola.gov/resource/4agz-68hf.json,02/07/2023 08:52:53 PM,02/07/2023 10:28:03 PM,04/14/2025 05:45:16 AM,data.nola.gov,false,10,0,Engagement,12285,13,data@nola.gov,,,,,,,,,,,data@nola.gov,,,,,,City Council
vni5-3uqx,Parcels,"Parcel layer for the City of New Orleans, updates weekly. Unique ID is GEOPIN.",City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,href,"Real Estate, Land Records",parcels,https://data.nola.gov/d/vni5-3uqx,,06/16/2016 02:24:41 PM,01/29/2018 09:17:41 PM,06/16/2016 02:24:41 PM,data.nola.gov,false,528,0,Parcel Geometry,,,gis@nola.gov,Creative Commons 1.0 Universal (Public Domain Dedication),City of New Orleans Assessor,,,,,,,,,data@nola.gov,,public,weekly,,,Assessor's Office 
mdyd-yvk3,All Zips,"Data Description and Disclaimer
This dataset reflects incidents that have been reported to the New Orleans Police Department in 2016. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",KG,fyt3-g9tf,published,private,rejected,community,filter,Public Safety and Preparedness,"crime,police",https://data.nola.gov/d/mdyd-yvk3,https://data.nola.gov/resource/mdyd-yvk3.json,08/04/2016 01:49:09 AM,01/30/2025 05:52:38 AM,04/05/2017 04:17:17 PM,data.nola.gov,true,5,0,Row,,15,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,wgrp-d3ma,,,,,data@nola.gov,,,,,,NOPD
u47f-dt86,Business Associations,Business Associations in New Orleans,City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,href,Economy and Workforce,"chamber of commerce,commission,community,improvement,french,association,business,civic,foundation,economic,district,merchant,league,development,council,corporation,owner,resident,property,alliance",https://data.nola.gov/d/u47f-dt86,,07/19/2017 07:13:30 PM,01/29/2018 06:00:42 PM,07/19/2017 07:13:30 PM,data.nola.gov,false,23,0,,,,gis@nola.gov,Open Data Commons Public Domain Dedication and License,Mayor's Office of Cultural Economy,,,,,,,,,gis@nola.gov,,,,,,Cultural Economy
s8mn-69sa,Treme Data,"Data Description and Disclaimer
This dataset reflects incidents that have been reported to the New Orleans Police Department in 2015. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",weavernh,9nym-wwme,published,private,rejected,community,filter,Public Safety and Preparedness,"police,crime",https://data.nola.gov/d/s8mn-69sa,https://data.nola.gov/resource/s8mn-69sa.json,11/15/2016 05:50:24 PM,01/29/2025 03:22:01 AM,07/28/2016 09:21:21 PM,data.nola.gov,true,7,2,Row,,21,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,w68y-xmk6,,,,,data@nola.gov,,,,,,NOPD
nycf-erns,S& WB Addresses V2 GEO,,Ebony Henderson,ufje-axas,published,private,not_ready,official,dataset,,,https://data.nola.gov/d/nycf-erns,https://data.nola.gov/resource/nycf-erns.json,08/30/2011 06:42:05 PM,04/20/2019 08:27:42 AM,08/30/2011 06:44:05 PM,data.nola.gov,false,1,0,,45998,18,,,,,,,,,,,,data@nola.gov,,,,,,
gcur-7jmb,Jazz Houses,Jazz Houses in New Orleans,City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,href,"Arts, Culture, History","historic,house,jazz",https://data.nola.gov/d/gcur-7jmb,,07/19/2017 08:01:01 PM,01/29/2018 06:47:28 PM,07/19/2017 08:01:01 PM,data.nola.gov,false,36,0,,,,gis@nola.gov,Creative Commons 1.0 Universal (Public Domain Dedication),Mayor's Office of Cultural Economy,,,,,,,,,gis@nola.gov,,,,,,Cultural Economy
kkq5-hycx,TRAFFIC,Downtown road closures for days leading up to Superbowl 2013.,Greg Hymel,etmh-sfwk,published,private,not_ready,official,dataset,Archived,superbowl,https://data.nola.gov/d/kkq5-hycx,https://data.nola.gov/resource/kkq5-hycx.json,01/11/2013 10:59:56 PM,04/10/2024 07:10:50 PM,01/11/2013 10:59:56 PM,data.nola.gov,false,10,54,,293,2,,,,,,,,,,,,data@nola.gov,,,,,,
izk5-zsit,All streets in HDNA,"Data Description and Disclaimer
This dataset reflects incidents that have been reported to the New Orleans Police Department in 2016. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",Brenda,9xp6-zftf,published,private,rejected,community,filter,Public Safety and Preparedness,"police,crime",https://data.nola.gov/d/izk5-zsit,https://data.nola.gov/resource/izk5-zsit.json,08/15/2016 06:01:08 PM,01/29/2025 03:21:06 AM,04/05/2017 04:17:17 PM,data.nola.gov,true,2,2,Row,,21,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,wgrp-d3ma,,,,,data@nola.gov,,,,,,NOPD
2kh4-8v9d,NOLA Historic Districts 20120113,,Saf Rabah,eudm-snef,published,private,not_ready,official,map,,,https://data.nola.gov/d/2kh4-8v9d,https://data.nola.gov/resource/2kh4-8v9d.json,05/09/2012 06:00:04 PM,04/24/2024 07:07:13 PM,05/09/2012 06:00:14 PM,data.nola.gov,true,4,1,,,,,,,,,,rdyj-6rzx,,,,,data@nola.gov,,,,,,
bbfe-jsiz,CFS 2014 Hawthorne pl,"Data Description and Disclaimer
This dataset reflects incidents that have been reported to the New Orleans Police Department in 2014. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",TinaMqt,9qb9-iqay,published,private,rejected,community,filter,Public Safety and Preparedness,"crime,police",https://data.nola.gov/d/bbfe-jsiz,https://data.nola.gov/resource/bbfe-jsiz.json,08/02/2016 10:06:24 PM,01/29/2025 03:19:48 AM,07/28/2016 09:06:20 PM,data.nola.gov,true,3,0,,,10,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,jsyu-nz5r,,,,,data@nola.gov,,,,,,NOPD
s764-npy6,Discharging Firearm,"This dataset reflects incidents that have been reported to the New Orleans Police Department in 2017. Data is provided by Orleans Parish Communication District (OPCD), the administrative office of 9-1-1 for the City of New Orleans. In the OPCD system, NOPD may reclassify or change the signal type for up to 36 hours after the incident is marked up. For information about an incident after this time period, citizens may request police reports from the NOPD Public Records Division.  In order to protect the privacy of victims, addresses are shown at the block level and the call types cruelty to juveniles, juvenile attachment and missing juvenile have been removed in accordance with the Louisiana Public Records Act, L.R.S. 44:1.  Map coordinates (X,Y) have been removed for the following call types: Aggravated Rape, Aggravated Rape - MA, Crime Against Nature, Mental Patient, Oral Sexual Battery, Prostitution, Sexual Battery, Simple Rape, Simple Rape - Male V, and Soliciting for Prost.

Disclaimer: These incidents may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the New Orleans Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The New Orleans Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The New Orleans Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of New Orleans or New Orleans Police Department web page. The user specifically acknowledges that the New Orleans Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""New Orleans Police Department,"" ""NOPD,"" or any colorable imitation of these words or the unauthorized use of the New Orleans Police Department logo is unlawful. This web page does not, in any way, authorize such use.",jeff asher,k4t9-fmkt,published,private,rejected,community,filter,Public Safety and Preparedness,"police,crime",https://data.nola.gov/d/s764-npy6,https://data.nola.gov/resource/s764-npy6.json,05/01/2017 01:41:56 PM,01/29/2025 03:22:00 AM,01/01/2018 09:01:49 AM,data.nola.gov,true,1,0,Row,,21,,Creative Commons 1.0 Universal (Public Domain Dedication),Orleans Parish Communications District,,,,bqmt-f3jk,,,,,data@nola.gov,,,,,,Orleans Parish Communication Division (911)
5hzn-77ht,Self_Reported_Neighborhood_Organizations,"Neighborhood Association boundaries as reported to the City of New Orleans, Neighborhood Engagement Office.",City of New Orleans GIS Department,guap-8ddq,published,private,not_ready,official,dataset,"Housing, Land Use, and Blight","new orleans,egis,association,neighborhood",https://data.nola.gov/d/5hzn-77ht,https://data.nola.gov/resource/5hzn-77ht.json,03/18/2015 06:34:38 PM,04/10/2024 07:10:52 PM,03/18/2015 06:34:38 PM,data.nola.gov,false,155,236,,261,5,gis@nola.gov,Creative Commons 1.0 Universal (Public Domain Dedication),"City of New Orleans ��� Office of Information Technology & Innovation, Enterprise Information Team",,,,,,,,,data@nola.gov,,,,,,Neighborhood Engagement
qzay-nqa5,311 calls,This dataset represents calls to the City of New Orleans' 311 Call Center.,Brenda,9xp6-zftf,published,private,rejected,community,filter,City Administration,"requests,311,calls",https://data.nola.gov/d/qzay-nqa5,https://data.nola.gov/resource/qzay-nqa5.json,08/18/2018 03:17:38 AM,01/17/2025 12:42:38 AM,01/08/2019 04:38:49 AM,data.nola.gov,true,1,0,Row,,16,,Creative Commons 1.0 Universal (Public Domain Dedication),,,,,3iz8-nghx,,appsteam@socrata.com,,,data@nola.gov,,,,,,311
8grs-m4wr,BlightStatus Lien Foreclosure,"List of properties brought to lien foreclosure by the Department of Code Enforcement.

Updated: 7/22/2016",Cameron,ubux-5uyn,published,private,not_ready,official,dataset,"Real Estate, Land Records","blight,foreclosure,lien",https://data.nola.gov/d/8grs-m4wr,https://data.nola.gov/resource/8grs-m4wr.json,04/25/2016 07:33:52 PM,03/09/2017 03:30:53 PM,10/12/2016 09:26:37 PM,data.nola.gov,false,893,306,Row,1611,4,,,,,,,,,,,,camacphee@nola.gov,,non-public,,,,Code Enforcement
7bjr-83k3,test calendar,,Chris Metcalf,i7d8-sc4w,published,private,not_ready,official,dataset,,,https://data.nola.gov/d/7bjr-83k3,https://data.nola.gov/resource/7bjr-83k3.json,09/07/2011 08:48:45 PM,08/25/2015 10:23:33 PM,09/07/2011 08:50:19 PM,data.nola.gov,false,5,0,,1,2,,,,,,,,,,,,data@nola.gov,,,,,,
