Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
Information Needed to Support a Biochemical Classification Determination (pdf),1/16/2020,2/28/2020,EPA 705-G-2020-3387,Biochemical Pesticide; Biochemical Classification Committee; Criteria; Naturally Occurring Compound; Structurally Similar and Functionally Identical to Naturally Occurring Compound; Non-Toxic Mode of Action; History of Safe Exposure; Other Supporting Information,Describes the information a prospective pesticide applicant needs to provide to EPA to allow it to make a determination whether a particular substance is a biochemical pesticide.,https://www.epa.gov/sites/production/files/2020-02/documents/bcc-applicant-guidance-01-16-2020.pdf
Standard Evaluation Procedure (SEP) for Chemistry and Acute Toxicity Science Advisory Council (CATSAC) (pdf),11/27/2019,6/26/2020,EPA 705-G-2020-3693,"Pesticide Registration, FIFRA, Acute Toxicity","The SEP generally describes the evaluation process for the determination of pesticide products claiming to be identical or substantially similar for the purposes of relying upon previously submitted product chemistry and/or acute toxicity data, or for bridging acute toxicity data.",https://www.epa.gov/sites/production/files/2020-06/documents/sep-adm-03-01-10-29-2019-signed-final.pdf
CATAIR EPA Supplemental Guidelines (pdf),11/6/2019,2/28/2020,EPA 705-G-2020-2199,"TSCA Title VI, import certification, Section 13, composite wood product",Includes guidance for completing TSCA Section 13 import certification under the TSCA Title VI program,https://www.cbp.gov/sites/default/files/assets/documents/2019-Feb/ACE CATAIR EPA Supplemental Guidelines.pdf
CATAIR EPA Supplemental Guidelines (pdf),11/6/2019,2/28/2020,EPA 705-G-2020-2298,"TSCA title VI, import certification, Section 13, composite wood product",Includes guidance for completing TSCA Section 13 import certification under the TSCA Title VI program,https://www.cbp.gov/sites/default/files/assets/documents/2019-Feb/ACE CATAIR EPA Supplemental Guidelines.pdf
CPARD USER GUIDE: For State Lead Agency (SLA) and Tribal Representatives with Certification Plans (CPs) (pdf),11/1/2019,2/28/2020,EPA 705-G-2020-3686,Certification of Pesticide Applicators,"The Certification Plan and Reporting Database (CPARD) is a compilation of EPA?approved pesticide applicator certification plans and reporting as required by the Federal Insecticide, Fungicide and Rodenticide Act (FIFRA) and the federal Certification of Pesticide Applicators regulations at 40 CFR Part 171. In 2019, EPA added a section (Certification 2020) on the review and approval of modified certification plans due to EPA by March 4, 2020. This guide describes how to register and use CPARD.",https://www.epa.gov/sites/production/files/2020-02/documents/cpard-user_guide-for-slas-and-tribes-nov.2019.pdf
Elements of an Offer to Pay for the Use of Inert Ingredient Data (pdf),10/17/2019,2/28/2020,EPA 705-G-2020-2865,Data Compensation Inert Ingredient,This link offers guidance on elements that should be included in an Offer to Pay for the use of Inert ingredient data.,https://www.epa.gov/sites/production/files/2015-12/documents/elements_of_an_offer_to_pay_for_the_use_of_inert_ingredient_data.pdf
Tribal Certification Plan Outline (pdf),9/18/2019,2/28/2020,EPA 705-G-2020-2529,Certification of Pesticide Applicators,This document serves as a model outline for the order and contents of a tribal certification plan for those tribes that choose to develop their own certification plan under 40 CFR § 171.307(b).,https://www.epa.gov/sites/production/files/2020-02/documents/supplemental-information-tribal-certificaiton-plan-outline.pdf
BPPD’s Risk Assessment Elements “Cheat Sheet” for Applicants (pdf),9/1/2019,2/28/2020,EPA 705-G-2020-3388,Risk Assessment; Product Uses; Use Rates; Toxic Effects; Open Scientific Literature Information; Qualitative; Quantitative; Aggregate,"When submitting a pesticide product registration application to EPA/OPP/BPPD, it is essential that you (applicant) address all applicable data requirements per the Code of Federal Regulations (CFR), part 158. However, it is also imperative that you (applicant) characterize your use sites, use patterns, rates and generally summarize your toxicity data so that a comprehensive risk assessment, taking into account all aspects of your product, can be performed by EPA. Often, when one or more of these pieces of information is missing from an application, the applicant is unsatisfied with the unavoidably conservative assessment that is performed. Further, presenting this information to EPA upfront can alleviate some unnecessary back-and-forth exchanges between EPA and the applicant and subsequent review time lost. EPA/BPPD highly recommends that applicants answer the following questions in writing in either a cover letter, data volume, or both when submitting their new product application.",https://www.epa.gov/sites/production/files/2020-02/documents/bppd-risk-assessment-cheat-sheet.pdf
Federal Agency Certification Plan Outline (pdf),8/28/2019,2/28/2020,EPA 705-G-2020-2528,Certification of Pesticide Applicators,This document is intended to answer Federal agency questions on the 2017 Certification of Pesticide Applicators regulation.,https://www.epa.gov/sites/production/files/2020-02/documents/epa-federal-agency-certification-plan-outline-sep-2019.pdf
Qs and As from Federal Agencies on Federal Agency Certification Plans (pdf),8/28/2019,2/28/2020,EPA 705-G-2020-2527,Certification of Pesticide Applicators,This document is intended to answer Federal agency questions on the 2017 Certification of Pesticide Applicators regulation.,https://www.epa.gov/sites/production/files/2020-02/documents/epa-fedagency-q-a-certification-plans-sep.2019.pdf
Revising Certification Plans to Meet the Requirements of the 2017 Certification of Pesticide Applicators Final Rule Questions & Answers (pdf),8/23/2019,2/28/2020,EPA 705-G-2020-2525,Certification of Pesticide Applicators,"This document is intended for pesticide State Lead Agencies (SLAs), Tribes and Federal Agencies (“certifying authorities”) to answer their questions on the 2017 Certification of Pesticide Applicators regulation and the requirement to submit to EPA revised certification plans by March 4, 2020.",https://www.epa.gov/sites/production/files/2020-02/documents/amended-aug-2019-qas-for-slas_tribes_certification-plan-revisions-40cfr171.pdf
FIFRA Pesticides Export Policy: Questions & Answers (pdf),5/21/2019,2/28/2020,EPA 705-G-2020-2509,FIFRA exports,"questions and answers are intended to assist in compliance with the Environmental Protection Agency's February 18, 1993 rule (58 FR 9062) regarding the exportation of pesticides.",https://www.epa.gov/sites/production/files/2014-05/documents/supplabel.pdf
Clarification of the Information Necessary to Determine the Formation of Unintended Ingredients in Microbial Pesticide Products (pdf),5/6/2019,2/28/2020,EPA 705-G-2020-2550,Unintentional Ingredients; Manufacturing Process; Microbial Pesticides; Critical Control Points; Quality Assurance; Quality Control; Contamination; Contaminants,"Data and information needed to satisfy the OCSPP Guidelines 885.1200 (manufacturing process) and 885.1300 (formation of unintentional ingredients) for new microbial active ingredients must be accompanied by a full description of the production process, ingredients used, and quality assurance (QA) and quality control (QC) measures. The intent of this document is to provide additional clarification to applicants of novel microbial pesticides and facilitate the development of complete submission packages. ",https://www.epa.gov/sites/production/files/2020-02/documents/haccp-discussion-microbial-pesticides-5-6-19.pdf
State Certification Plan Outline (pdf),4/29/2019,2/28/2020,EPA 705-G-2020-2526,Certification of Pesticide Applicators,This document serves as a model outline for the order and contents of state certification plans.,https://www.epa.gov/sites/production/files/2020-02/documents/certification-plan-outline-final-feb.2019.pdf
EPCRA Section 313 Questions & Answers 2019 Consolidation Document (pdf),4/1/2019,2/28/2020,EPA 745-B-19-001,Toxics Release Inventory (TRI) Program,"The TRI Program has published the 2019 Q&As Consolidation document. This document compiles the previous Q&A guidance documents, which are now archived.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/2019qa.pdf
"Compliance Guide; Reporting Requirements for the Mercury Inventory of the Toxic Substances Control Act, 2018 (pdf)",3/15/2019,2/28/2020,EPA 705-G-2020-2184,Mercury inventory reporting; elemental mercury; mercury compounds,Guidance for private industry on submitting information to Mercury Inventory Reporting,https://www.epa.gov/sites/production/files/2019-05/documents/reporting_requirements_for_the_mercury_inventory_final.pdf
"Compliance Guide; Reporting Requirements for the Mercury Inventory of the Toxic Substances Control Act, 2018 (pdf)",3/15/2019,2/28/2020,EPA 705-G-2020-2405,Mercury inventory reporting,Assistance for reporters on Mercury Inventory Reporting,https://www.epa.gov/sites/production/files/2019-05/documents/reporting_requirements_for_the_mercury_inventory_final.pdf
HTS Codes Related to Composite Wood Products (pdf),3/1/2019,2/28/2020,EPA 705-G-2020-2195,"HTS codes, TSCA Title VI, formaldehyde, composite wood products, Section 13",Probable Harmonized Tariff Schedule codes that may require a Section 13 import certification under the TSCA Title VI program. ,https://www.epa.gov/sites/production/files/2019-03/documents/final_hts_codes.pdf
TRI Guidance for Reporting and List of Toxic Chemicals within the Polychlorinated Alkanes Category (pdf),3/1/2019,2/28/2020,EPA 745-B-19-008,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Polychlorinated Alkanes Category. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for polychlorinated alkanes - revised february 2019.pdf
TRI Guidance for Reporting Toxic Chemicals within the Dioxin and Dioxin-like Compounds Category (pdf),3/1/2019,2/28/2020,EPA 745-B-19-004,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Dioxin and Dioxin-like Compounds Category. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for dioxin and dioxin-like compounds - revised march 2019.pdf
TRI List of Toxic Chemicals within the Certain Glycol Ethers Category (pdf),3/1/2019,2/28/2020,EPA 745-B-19-012,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Certain Glycol Ethers Category. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for certain glycol ethers - revised march 2019.pdf
Certification of Pesticide Applicators in Indian Country: Fact Sheet on Certification Options Available to Federally Recognized Tribes (pdf),2/5/2019,2/28/2020,EPA 705-G-2020-2531,Certification of Pesticide Applicators,"The purpose of this document is to inform federally recognized tribal governments and pesticide regulatory agencies of new requirements for tribal certified applicator plans and EPA’s intent to propose revisions to the EPA Plan for the Federal Certification of Applicators of Restricted Use Pesticides within Indian Country (i.e., EPA Plan) and associated options.",https://www.epa.gov/sites/production/files/2020-02/documents/supplemental-information-tribal-certificaiton-plan-outline.pdf
TRI Guidance for Reporting and List of Toxic Chemicals within the Water Dissociable Nitrate Compounds Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-007,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Nitrate Compounds. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for nitrate compounds - revised february 2019.pdf
TRI Guidance for Reporting Aqueous Ammonia (pdf),2/1/2019,2/28/2020,EPA 745-B-19-002,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Aqueous Ammonia. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for ammonia - revised february 2019.pdf
TRI Guidance for Reporting Compounds and Mixtures (pdf),2/1/2019,2/28/2020,EPA 745-B-19-015,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Compounds and Mixtures. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for compounds and mixtures - revised february 2019.pdf
"TRI Guidance for Reporting Hydrochloric Acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size) (pdf)",2/1/2019,2/28/2020,EPA 745-B-19-017,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Hydrochloric Acid Aerosols. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for hydrochloric acid - revised february 2019.pdf
TRI Guidance for Reporting Lead and Lead Compounds Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-020,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Lead and Lead Compounds. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for lead and lead compounds - revised march 2019.pdf
TRI Guidance for Reporting Mercury and Mercury Compounds Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-014,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Mercury and Mercury Compounds Category. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for mercury and mercury compounds - revised february 2019.pdf
TRI Guidance for Reporting Pesticides and Other Persistent Bioaccumulative (PBT) Chemicals (pdf),2/1/2019,2/28/2020,EPA 745-B-19-011,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Pesticides and Other Persistent Bioaccumulative Toxic Chemicals. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for pesticides and other pbts - revised february 2019.pdf
TRI Guidance for Reporting Polychlorinated Biphenyls (PCBs) (pdf),2/1/2019,2/28/2020,EPA 745-B-19-016,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Polychlorinated Biphenyls (PCBs) Category. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for pcbs - revised february 2019.pdf
TRI Guidance for Reporting Polycyclic Aromatic Compounds Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-019,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Polycyclic Aromatic Compounds. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for pacs - revised february 2019.pdf
"TRI Guidance for Reporting Sulfuric Acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size) (pdf)",2/1/2019,2/28/2020,EPA 745-B-19-018,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Sulfuric Acid Aerosols. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for sulfuric acid - revised february 2019.pdf
TRI Guidance for Reporting Toxic Chemical Categories (pdf),2/1/2019,2/28/2020,EPA 745-B-19-013,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Toxic Chemical Categories. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for toxic chemical categories - revised february 2019.pdf
TRI List of Toxic Chemicals within the Chlorophenols Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-003,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Chlorophenols Category. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for chlorophenols - revised february 2019.pdf
"TRI List of Toxic Chemicals within the Ethylenebisdithiocarbamic Acid, Salts and Esters Category and List of Mixtures that Contain the Individually Listed Chemicals Maneb, Metiram (pdf)",2/1/2019,2/28/2020,EPA 745-B-19-005,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use EBDC Acid, Salts and Esters Category and Mixtures Containing Maneb, Metiram, Nabam, and Zineb. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for ebdc salts and esters - revised february 2019.pdf
TRI List of Toxic Chemicals within the Nicotine and Salts Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-006,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Nicotine and Salts. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for nicotine and salts - revised february 2019.pdf
TRI List of Toxic Chemicals within the Strychnine and Salts Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-009,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Strychnine and Salts. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for strychnine and salts - revised february 2019.pdf
TRI List of Toxic Chemicals within the Warfarin and Salts Category (pdf),2/1/2019,2/28/2020,EPA 745-B-19-010,Toxics Release Inventory (TRI) Program,"This document contains information for facilities which manufacture, produce, or otherwise use Warfarin and Salts. Additional guidance on who must report, reportable quantities, and how to estimate annual releases can be found in the following sections.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/tri guidance for warfarin and salts -  revised february 2019.pdf
CBP and Trade Automated Interface Requirements (pdf),1/29/2019,2/28/2020,EPA 705-G-2020-2198,"TSCA Title VI, Section 13, import certification, composite wood",Includes guidance for completing TSCA Section 13 import certification under the TSCA Title VI program,https://www.cbp.gov/sites/default/files/assets/documents/2019-Feb/Tips for Trade when Filing an EPA TSCA Certification in ACE.pdf
CBP and Trade Automated Interface Requirements (pdf),1/29/2019,2/28/2020,EPA 705-G-2020-2297,"TSCA Section 13, import certification, TSCA Title VI, composite wood, ",Includes guidance for completing TSCA Section 13 import certification under the TSCA Title VI program,https://www.cbp.gov/sites/default/files/assets/documents/2019-Feb/Tips for Trade when Filing an EPA TSCA Certification in ACE.pdf
Reporting Forms and Instructions Guidance (pdf),1/1/2019,2/28/2020,EPA 740-B-18-001,Toxics Release Inventory (TRI) Program,"The RFI contains details on how to determine if TRI reporting is required, how to fill out reporting forms (including detailed explanations of every reporting element on the form), and changes to reporting requirements (if any) for the current reporting year. TRI also provides archive versions back to Reporting Year 1988.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/rfi_ry18.pdf
"Response to letter dated November 8, 2018, requesting that the Agency expand the expedited process for minor formulation amendments (MFAs) described in our October 18, 2018, letter (pdf)",12/21/2018,2/28/2020,EPA 705-G-2020-2499,Pesticide Registration; MFA,This letter contains the Agency's response to a registrant letter regarding expanding the expedited process for minor formulation amendments,https://www.epa.gov/sites/production/files/2020-02/documents/bit-response-ltr.pdf
"EPA Response to letter dated August 31, 2018, regarding disruptions in availability of 1,2-benzisothiazolin-3-one (BIT) and the self-certification process. (pdf)",10/18/2018,2/28/2020,EPA 705-G-2020-2498,Pesticide Registration; BIT self-certification,"This letter is in response to a registrant letter requesting the incorporation of further clarifications and additions to EPA’s August 23, 2018, letter addressing disruptions in availability of 1,2 benzisothiazolin-3-one (BIT) and providing for a streamlined self-certification process.",https://www.epa.gov/sites/production/files/2020-02/documents/bit-self-cert-cla-etal-response.pdf
Suggestions for Applicants on Information Considered when Evaluating Benefits of New Conventional Active Ingredients/Significant New Use Site Requests (pdf),9/1/2018,2/28/2020,EPA 705-G-2020-3140,Antimicrobial Testing Methods,This memo describes the types of benefits related information that would be useful for registrants to submit in support of their applications to register new conventional active ingredients or for significant new use requests.,https://www.epa.gov/sites/production/files/2018-09/documents/external-benefit-suggestions-final.pdf
Guidance for Reduced Residue Field Trial Requirements to Support Joint Projects Between Canada and the United States (pdf),8/23/2018,2/28/2020,EPA 705-G-2020-2539,Crop Field Trials,"The purpose of this document is to communicate to industry and other interested parties, the revised crop trial requirements for trials that are conducted to support simultaneous domestic registration applications in both Canada and the United States.",https://www.epa.gov/sites/production/files/2020-02/documents/guidance-reduced-residue-field-trial-req-support-between-canada-usa.pdf
"Response to letter dated July 27, 3018, concerning a situation where an unforeseen foreign production site closure has led to disruption in availability of 1,2-benzisothiazolin-3-one (BIT) (CAS Reg. No. 2634-33-5) (pdf)",8/23/2018,2/28/2020,EPA 705-G-2020-2500,Pesticide Registration; BIT self-certification,This letter contains the Agency's response to a registrant letter regarding a request for self-certification when an unforeseen foreign production site closure has led to a disruption in availability of BIT.,https://www.epa.gov/sites/production/files/2020-02/documents/epa-letter-bit.pdf
Spot-on Enhanced Reporting Pilot Concluding Webinar and Implementation (PDF),5/10/2018,2/28/2020,EPA 705-G-2020-2871,"Standardized Templates, Enhanced Reporting, Incident, Sales, Mitigation, Implementation; Conditions of Registration, expiration",PDF of Webinar PowerPoint presentation.,https://www.epa.gov/sites/production/files/2018-05/documents/20180510-erpilot-concluding-webinar.pdf
EPA CDX SmartLabel Builder User Guide Version 2  (pdf),4/18/2018,2/28/2020,EPA 705-G-2020-3598,OPPEL,"This document provides information on EPA's OPPEL Builder is a Structured Product Label (SPL) document builder, located within the EPA’s Central Data Exchange (CDX). The&nbsp; SPL Builder is the Agency’s publicly offered tool to build, validate, and submit structured xml files to the EPA for review and registration.",https://www.epa.gov/sites/production/files/2018-04/documents/epa_cdx_smartlabel_builder_user_guide_abridged_version_2.pdf
Court Order; Formaldehyde Emission Standards for Composite Wood Products (pdf),4/4/2018,2/28/2020,EPA 705-G-2020-2299,"TSCA Title VI, compliance date, Section 13, composite wood product",Federal Register Notice of the Court Decision related to the extension of the compliance dates under the Formaldehyde Emission Standards for Composite Wood Products regulation.,https://www.govinfo.gov/content/pkg/FR-2018-04-04/pdf/2018-06884.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Accreditation Bodies (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2186,"formaldehyde, TSCA Title VI",Webinar Presentation for Accreditation Bodies under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-abs_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Accreditation Bodies (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2285,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Accreditation Bodies under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-abs_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Fabricators and Laminated Product Producers  (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2190,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Fabricators and Laminated Product Producers under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-fabricators_4.20.2018.pdf
