
"Category Type","Title","DOI","URL","Citation","Abstract","Authors","Keywords","Full Text","Year of Publication","Conference"
"Presentations","CESSDA Vocabulary Service (CVS)","10.5281/zenodo.10257235","https://doi.org/10.5281/zenodo.10257235","Dolinar M.  
2023.  CESSDA Vocabulary Service (CVS). ","","M. Dolinar","","","2023","EDDI"
"Presentations","Enhancing FAIR compliance: a controlled vocabulary for mapping Social Sciences survey variables","10.5281/zenodo.10257292","https://doi.org/10.5281/zenodo.10257292","Estevao JSaldanha B, Klas C-P.  
2023.  Enhancing FAIR compliance: a controlled vocabulary for mapping Social Sciences survey variables. ","","J.Saldanha B. Estevao; C.P. Klas","","","2023","EDDI"
"Presentations","Variables and their Value Domains","10.5281/zenodo.10259200","https://doi.org/10.5281/zenodo.10259200","Gillman D.  
2023.  Variables and their Value Domains. ","","D. Gillman","","","2023","EDDI"
"Presentations","The DDI Variable Cascade: Describing Data to Optimize Reusability and Comparison","10.5281/zenodo.7946566","https://doi.org/10.5281/zenodo.7946566","Gregory A, Lavender K, Orten H.  
2023.  The DDI Variable Cascade: Describing Data to Optimize Reusability and Comparison. ","","A. Gregory; K. Lavender; H. Orten","","","2023",""
"Presentations","The Swiss Virtual Educational Observatory and DDI","10.5281/zenodo.10259256","https://doi.org/10.5281/zenodo.10259256","Hanselmann M, Barkow I, Schiller D.  
2023.  The Swiss Virtual Educational Observatory and DDI. ","","M. Hanselmann; I. Barkow; D. Schiller","","","2023","EDDI"
"Presentations","DDI, FAIR, and the Emergent Role of Active Metadata","10.5281/zenodo.7946584","https://doi.org/10.5281/zenodo.7946584","Hodson S, Leahey A, Dzikowski C, Gregory A.  
2023.  DDI, FAIR, and the Emergent Role of Active Metadata. ","","S. Hodson; A. Leahey; C. Dzikowski; A. Gregory","","","2023",""
"Presentations","What's new in Colectica 7.3","10.5281/zenodo.10257026","https://doi.org/10.5281/zenodo.10257026","Iverson J.  
2023.  What's new in Colectica 7.3. ","","J. Iverson","","","2023","EDDI"
"Presentations","Managing repeated representation of variables in DDI Lifecycle","10.5281/zenodo.10256017","https://doi.org/10.5281/zenodo.10256017","Johnson J, Dzikowski C, Kab S.  
2023.  Managing repeated representation of variables in DDI Lifecycle. ","","J. Johnson; C. Dzikowski; S. Kab","","","2023","EDDI"
"Presentations","Getting running with ARK persistable identifiers","10.5281/zenodo.10256984","https://doi.org/10.5281/zenodo.10256984","Kunze J, Winston D.  
2023.  Getting running with ARK persistable identifiers. ","","J. Kunze; D. Winston","","","2023","EDDI"
"Presentations","Creating Longitudinal Data Series Comparisons - New Highlights from the NACDA Portal","10.5281/zenodo.10257359","https://doi.org/10.5281/zenodo.10257359","Lavender K, Zeiger J.  
2023.  Creating Longitudinal Data Series Comparisons - New Highlights from the NACDA Portal. ","","K. Lavender; J. Zeiger","","","2023","EDDI"
"Presentations","DDI, a keystone for panel data harmonization","10.5281/zenodo.10257113","https://doi.org/10.5281/zenodo.10257113","Lemaitre-Salmon M, Ricard A.  
2023.  DDI, a keystone for panel data harmonization. ","","M. Lemaitre-Salmon; A. Ricard","","","2023","EDDI"
"Posters","A Python Library for the Colectica Portal API","10.5281/zenodo.10256459","https://doi.org/10.5281/zenodo.10256459","Li J, Johnson J.  
2023.  A Python Library for the Colectica Portal API. ","","J. Li; J. Johnson","","","2023","EDDI"
"Posters","CLOSER Discovery update: user-driven redesign","10.5281/zenodo.10279643","https://doi.org/10.5281/zenodo.10279643","Mills H.  
2023.  CLOSER Discovery update: user-driven redesign. ","","H. Mills","","","2023","EDDI"
"Presentations","Cross-Country Collaboration Efforts with Common Conceptual Groups","10.5281/zenodo.10285110","https://doi.org/10.5281/zenodo.10285110","Mills H, Lavender K.  
2023.  Cross-Country Collaboration Efforts with Common Conceptual Groups. ","","H. Mills; K. Lavender","","","2023","EDDI"
"Presentations","FAIRs not fair for metadata aggregators?","10.5281/zenodo.10206399","https://doi.org/10.5281/zenodo.10206399","Morris M, Papagiannopoulos K, Shepherdson J.  
2023.  FAIRs not fair for metadata aggregators? ","","M. Morris; K. Papagiannopoulos; J. Shepherdson","","","2023","EDDI"
"Presentations","How to ensure semantic interoperability between FAIR digital objects","10.5281/zenodo.10263636","https://doi.org/10.5281/zenodo.10263636","Ojsteršek M.  
2023.  How to ensure semantic interoperability between FAIR digital objects. ","","M. Ojsteršek","","","2023","EDDI"
"Presentations","Semi-automating questionnaire metadata entry for increased job satisfaction","10.5281/zenodo.10257046","https://doi.org/10.5281/zenodo.10257046","Oldroyd B, Mills H, Li J.  
2023.  Semi-automating questionnaire metadata entry for increased job satisfaction. ","","B. Oldroyd; H. Mills; J. Li","","","2023","EDDI"
"Presentations","Envisioning the Future of DDI in the Metadata Landscape","10.5281/zenodo.10403905","https://doi.org/10.5281/zenodo.10403905","Orten H, Johnson J, Lyle J.  
2023.  Envisioning the Future of DDI in the Metadata Landscape. ","","H. Orten; J. Johnson; J. Lyle","","","2023","EDDI"
"Presentations","The role of metadata in the EOSC Future Science Project 'Climate Neutral and Smart Cities'","10.5281/zenodo.10256884","https://doi.org/10.5281/zenodo.10256884","Orten H, Wackerow J, Gregory A, Beuster B.  
2023.  The role of metadata in the EOSC Future Science Project 'Climate Neutral and Smart Cities'. ","","H. Orten; J. Wackerow; A. Gregory; B. Beuster","","","2023","EDDI"
"Presentations","Three Levels of Open Science Implementation in Slovenia","10.5281/zenodo.10257151","https://doi.org/10.5281/zenodo.10257151","Pušnik M.  
2023.  Three Levels of Open Science Implementation in Slovenia. ","","M. Pušnik","","","2023","EDDI"
"Presentations","Historical Data Conversion and Archiving","10.5281/zenodo.10257318","https://doi.org/10.5281/zenodo.10257318","Roy CShekhar, Hossain A.  
2023.  Historical Data Conversion and Archiving. ","","C.Shekhar Roy; A. Hossain","","","2023","EDDI"
"Presentations","New Project and Tools To Aid In DDI-based Variable Concordance and Harmonization","10.5281/zenodo.10279616","https://doi.org/10.5281/zenodo.10279616","Smith D.  
2023.  New Project and Tools To Aid In DDI-based Variable Concordance and Harmonization. ","","D. Smith","","","2023","EDDI"
"Presentations","Documenting and validating administrative data with DDI","10.5281/zenodo.10259088","https://doi.org/10.5281/zenodo.10259088","Tailhurat R.  
2023.  Documenting and validating administrative data with DDI. ","","R. Tailhurat","","","2023","EDDI"
"Presentations","Bridging Portals and Formats: Transforming Metadata from DDI-C 2.5 to OmicsDI in BY-COVID Project","10.5281/zenodo.10256677","https://doi.org/10.5281/zenodo.10256677","Tuominen M.  
2023.  Bridging Portals and Formats: Transforming Metadata from DDI-C 2.5 to OmicsDI in BY-COVID Project. ","","M. Tuominen","","","2023","EDDI"
"Presentations","Statistical Agencies Using DDI Metadata Standards: Promoting Transparency and Reusability of Data","10.5281/zenodo.7838669","https://doi.org/10.5281/zenodo.7838669","Vaillancourt C, Rizzolo F, Dzikowski C, Gillman D, Lyle J.  
2023.  Statistical Agencies Using DDI Metadata Standards: Promoting Transparency and Reusability of Data. ","","C. Vaillancourt; F. Rizzolo; C. Dzikowski; D. Gillman; J. Lyle","","","2023",""
"Presentations","The Art of DDI!? The Model-Driven Approach of DDI- CDI","10.5281/zenodo.10259363","https://doi.org/10.5281/zenodo.10259363","Wackerow J.  
2023.  The Art of DDI!? The Model-Driven Approach of DDI- CDI ","","J. Wackerow","","","2023","EDDI"
"Presentations","DDI: From a simple Codebook to an integrated suite of products","10.5281/zenodo.10257466","https://doi.org/10.5281/zenodo.10257466","Wendy T.  
2023.  DDI: From a simple Codebook to an integrated suite of products. ","","T. Wendy","","","2023","EDDI"
"Presentations","State of the DDI Cloud","10.5281/zenodo.10107875","https://doi.org/10.5281/zenodo.10107875","Wenzig K, Han X.  
2023.  State of the DDI Cloud. ","","K. Wenzig; X. Han","","","2023","EDDI"
"Presentations","Implementing Colectica at the GESIS Data Archive","10.5281/zenodo.10257202","https://doi.org/10.5281/zenodo.10257202","Zenk-Möltgen W.  
2023.  Implementing Colectica at the GESIS Data Archive. ","","W. Zenk-Möltgen","","","2023","EDDI"
"Presentations","IUSSP-CODATA FAIR Vocabularies Working Group","10.5281/zenodo.7405458","https://doi.org/10.5281/zenodo.7405458","Alter G.  
2022.  IUSSP-CODATA FAIR Vocabularies Working Group. ","","G. Alter","","","2022","EDDI"
"Presentations","A controlled vocabulary for a social science knowledge graph","10.5281/zenodo.7389936","https://doi.org/10.5281/zenodo.7389936","Bach JSaldanha, Klas C-P, Zapilko B.  
2022.  A controlled vocabulary for a social science knowledge graph. ","","J.Saldanha Bach; C.P. Klas; B. Zapilko","","","2022","EDDI"
"Presentations","INED's new (meta)data catalogue","10.5281/zenodo.7405776","https://doi.org/10.5281/zenodo.7405776","Baron J, Lenoir J, Merly-Alpa T.  
2022.  INED's new (meta)data catalogue. ","","J. Baron; J. Lenoir; T. Merly-Alpa","","","2022","EDDI"
"Presentations","More than just FAIRly interoperable. A new platform based on DDI-CDI.","","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=132","Bell D, Lungley D.  
2022.  More than just FAIRly interoperable. A new platform based on DDI-CDI.. ","","D. Bell; D. Lungley","","","2022","IASSIST"
"Presentations","Metadata quality and production: building a sustainable metadata ecosystem","","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=118","Bell D.  
2022.  Metadata quality and production: building a sustainable metadata ecosystem. ","","D. Bell","","","2022","IASSIST"
"Presentations","DDI Controlled Vocabularies, the CESSDA Workbench, SKOS and XKOS","10.5281/zenodo.7464872","https://codata.org/initiatives/data-skills/ddi-training-webinars/ddi-controlled-vocabularies-the-cessda-workbench-skos-and-xkos/","Bell D, Dzikowski C, Gregory A.  
2022.  DDI Controlled Vocabularies, the CESSDA Workbench, SKOS and XKOS. ","","D. Bell; C. Dzikowski; A. Gregory","","","2022",""
"Presentations","DDI Profiles - refreshing the parts that schema cannot reach","10.5281/zenodo.7431927","https://doi.org/10.5281/zenodo.7431927","Bell D.  
2022.  DDI Profiles - refreshing the parts that schema cannot reach. ","","D. Bell","","","2022","EDDI"
"Workshops","What can DDI do for you? An Introduction to the DDI?","","https://iassist2022.org/conference/program/workshops/#m","Beuster B, Orten H.  
2022.  What can DDI do for you? An Introduction to the DDI? ","","B. Beuster; H. Orten","","","2022","IASSIST"
"Presentations","European DDI Conference 2022 Training Fair: Overview of the Session","10.5281/zenodo.7464990","https://doi.org/10.5281/zenodo.7464990","Bishop E, Zenk-Möltgen W.  
2022.  European DDI Conference 2022 Training Fair: Overview of the Session. ","","E. Bishop; W. Zenk-Möltgen","","","2022","EDDI"
"Presentations","QualidataNet - a single point of entry to qualitative research data","10.5281/zenodo.7406055","https://doi.org/10.5281/zenodo.7406055","Cabrera NBetancort, Mozygemba K.  
2022.  QualidataNet - a single point of entry to qualitative research data. ","","N.Betancort Cabrera; K. Mozygemba","","","2022","EDDI"
"Presentations","DDI-powered data acquisition at Insee","10.5281/zenodo.7431674","https://doi.org/10.5281/zenodo.7431674","Cotton F.  
2022.  DDI-powered data acquisition at Insee. ","","F. Cotton","","","2022","EDDI"
"Presentations","DDI Working Together with Other Standards","https://doi.org/10.5281/zenodo.7465272","https://codata.org/initiatives/data-skills/ddi-training-webinars/ddi-working-together-with-other-standards/","Danciu A, Dzikowski C, Gregory A.  
2022.  DDI Working Together with Other Standards. ","The first webinar in the 2022 CODATA-DDI Alliance webinar series took place on 28 March 2022, examining how DDI products work together with other standards.  Standards promote interoperability, transparency across agencies, and reduce development time.  Systems used for the collection, management, production, and dissemination of data regularly employ several different standards for modelling and transmitting their data and metadata. DDI is often a core part of this suite, but it is rarely the only one.
The way in which DDI aligns and interacts with other standards has evolved over time: from a static, archival ‘XML codebook’, it has become a metadata resource for helping to drive systems and provide the basis for reuse and data harmonisation. Looking forward, DDI promises to support FAIR data in significant ways, as part of an integrated suite of standards.
This discussion looked at the different DDI metadata standards and how they relate to both each other and to other models and standards in common use in applications today, including schema.org, DCAT, and Dublin Core.
Speakers included Alina Danciu (Sciences Po), Christophe Dzikowski (INSEE) and Arofan Gregory (CODATA). Questions and answers were moderated by Adrian Dusa (University of Bucharest).
","A. Danciu; C. Dzikowski; A. Gregory","","","2022",""
"Presentations","Vive les Métadonnées! (Les bases de DDI en français / DDI basics in French)","https://doi.org/10.5281/zenodo.7464766","https://codata.org/initiatives/data-skills/ddi-training-webinars/vive-les-metadonnees-les-bases-de-ddi-en-francais-ddi-basics-in-french/","Danciu A, Dzikowski C, Hodson S, Orten H, Sauger N.  
2022.  Vive les Métadonnées! (Les bases de DDI en français / DDI basics in French). ","Annonce bilingue FR+EN  //  Bilingual announcement FR+EN
Français:
Le deuxième webinaire de la série de webinaires 2022 de l’Alliance CODATA-DDI aura lieu le lundi 13 juin 2022 sur le thème Vive les Métadonnées ! (les bases du DDI en français).
Cet atelier a présenté les normes et les produits de l’Alliance DDI pour la collecte, la gestion et la diffusion des données, comme un excellent moyen de répondre aux demandes de données FAIR dans la recherche moderne. DDI fournit une approche fine et indépendante de la plate-forme des métadonnées et de la documentation des données pour les données qui soutiennent la recherche sociale, comportementale et économique, ainsi que la santé publique et les statistiques officielles. De plus en plus, il cherche à optimiser les métadonnées non seulement dans ces domaines, mais aussi pour des ensembles de données intégrés tirés de tout le spectre des données scientifiques. Les normes et les modèles sont à la fois techniques et conceptuels.
Cet atelier a donné un aperçu des normes et des produits, ainsi qu’une introduction à leur utilisation. Bien que DDI soit utilisé à l’échelle internationale, il s’agissait du premier atelier organisé par l’Alliance DDI en langue française.
Parmi les intervenants figuraient Alina Danciu (Sciences Po, Centre de Données Socio-Politiques – CDSP), Christophe Dzikowski (Institut national de la statistique et des études économiques – INSEE), Simon Hodson (CODATA), Hilde Orten (SIKT) et Nicolas Sauger (Sciences Po, CDSP).  Les présentations sont ici et un enregistrement de l’atelier seront bientôt disponibles ici.
============================================
English:
The second webinar in the 2022 CODATA-DDI Alliance webinar series will took place on Mon 13 June 2022 on the topic, Vive les Métadonnées! (DDI basics in French).
This workshop introduced the standards and products of the DDI Alliance for data collection, management, and dissemination, as an excellent way of meeting the demands for FAIR data in modern research. DDI provides a platform-independent, fine-grained approach to metadata and data documentation for data which supports social, behavioural, and economic research, as well as public health and official statistics. Increasingly, it is looking to optimize metadata not only within these domains, but also for integrated data sets drawn from across the scientific data spectrum. The standards and models are at both technical and conceptual levels.
This workshop gave an overview of the standards and products, and an introduction to their use. Although DDI is used internationally, this was the first workshop conducted by the DDI Alliance in the French language.
Presenters included Alina Danciu (Sciences Po, Centre de Données Socio-Politiques – CDSP), Christophe Dzikowski (Institut national de la statistique et des études économiques – INSEE), Simon Hodson (CODATA), Hilde Orten (SIKT) and Nicolas Sauger (Sciences Po, CDSP).
","A. Danciu; C. Dzikowski; S. Hodson; H. Orten; N. Sauger","","","2022",""
"Presentations","Workflows after Nesstar","10.5281/zenodo.7406108","https://doi.org/10.5281/zenodo.7406108","Danciu A, Sauger N.  
2022.  Workflows after Nesstar. ","","A. Danciu; N. Sauger","","","2022","EDDI"
"Publications","Engineering a machine learning pipeline for automating metadata extraction from longitudinal survey questionnaires","https://doi.org/10.29173/iq1023","","De S, Moss H, Johnson J, Li J, Pereira H, Jabbari S.  
2022.  Engineering a machine learning pipeline for automating metadata extraction from longitudinal survey questionnaires. IASSIST Quarterly. 46(4)","","S. De; H. Moss; J. Johnson; J. Li; H. Pereira; S. Jabbari","","","2022",""
"Presentations","European DDI Conference 2022 Training Fair: DDI Tools Demonstrations","10.5281/zenodo.7465042","https://doi.org/10.5281/zenodo.7465042","Dupriez O, Dusa A, Oldroyd B, Lungley D, DeCarlo A.  
2022.  European DDI Conference 2022 Training Fair: DDI Tools Demonstrations. ","","O. Dupriez; A. Dusa; B. Oldroyd; D. Lungley; A. DeCarlo","","","2022","EDDI"
"Presentations","Understanding the dynamics of online misogyny","10.5281/zenodo.7347850","https://doi.org/10.5281/zenodo.7347850","Dutta A.  
2022.  Understanding the dynamics of online misogyny. ","","A. Dutta","","","2022","EDDI"
"Presentations","Introducing the DDI Metadata Standards in Support of Transparency in Federal Statistics","10.5281/zenodo.6363367","https://doi.org/10.5281/zenodo.6363367","Gillman D.  
2022.  Introducing the DDI Metadata Standards in Support of Transparency in Federal Statistics. ","This Webinar presentation to the U.S. Council of Professional Associations on Federal Statistics (COPAFS) provided an overview of the DDI standards and demonstrated why they are important for the transparency of federal statistics.
","D. Gillman","","","2022",""
"Presentations","Modernizing Data Management at the US Bureau of Labor Statistics","","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=50","Gillman D, Waring C.  
2022.  Modernizing Data Management at the US Bureau of Labor Statistics. ","","D. Gillman; C. Waring","","","2022","IASSIST"
"Presentations","Metadata Uplift – PDF/Excel to Structured DDI Documentation","https://doi.org/10.5281/zenodo.7464807","https://codata.org/initiatives/data-skills/ddi-training-webinars/metadata-uplift-pdf-excel-to-structured-ddi-documentation/","Gregory A, Mills H, Dusa A.  
2022.  Metadata Uplift – PDF/Excel to Structured DDI Documentation. ","The third webinar in the 2022 CODATA-DDI Alliance webinar series took place on Thu 16 June 2022 on the topic, “Metadata Uplift – PDF/Excel to Structured DDI Documentation”.
 
Many organizations document their data using formats such as PDF and Excel. While useful to readers, the metadata which makes up the core ‘documentation’ is not fully machine-actionable. This webinar explores the ways in which organizations can take existing data documentation in typical formats and produce structured, machine-actionable XML metadata according to the DDI Codebook (DDI-C) and DDI Lifecycle (DDI-L) standards. The goal of the workshop is to introduce some common approaches based on existing tools and the real-world experience of DDI users who have faced and met this challenge. Our panel of expert speakers, included Arofan Gregory, consultant; Hayley Mills, CLOSER (https://www.closer.ac.uk/); and Adrian Dusa, University of Bucharest.
While most common in the social, behavioral, and economic (SBE) sciences, the DDI standards are also used in public health, official statistics, and in other domains where populations are being observed. The forthcoming DDI Cross-Domain Integration (DDI-CDI) is also be briefly introduced, as a means of exposing SBE data to other domains for reuse, building on the foundations of structured metadata in DDI-C and DDI-L.
","A. Gregory; H. Mills; A. Dusa","","","2022",""
"Presentations","European DDI Conference 2022 Training Fair: DDI Cross-Domain Integration (DDI-CDI) Overview","10.5281/zenodo.7465023","https://doi.org/10.5281/zenodo.7465023","Gregory A, Rizzolo F.  
2022.  European DDI Conference 2022 Training Fair: DDI Cross-Domain Integration (DDI-CDI) Overview. ","","A. Gregory; F. Rizzolo","","","2022","EDDI"
"Presentations","DDI and FAIR Open Data APIs","10.5281/zenodo.7428976","https://doi.org/10.5281/zenodo.7428976","Heus P.  
2022.  DDI and FAIR Open Data APIs. ","","P. Heus","","","2022","EDDI"
"Workshops","Sustainable Survey Question Banks and Data Catalogs using DDI and Colectica","","https://iassist2022.org/conference/program/workshops/#m","Iverson J, Smith D.  
2022.  Sustainable Survey Question Banks and Data Catalogs using DDI and Colectica. ","","J. Iverson; D. Smith","","","2022","IASSIST"
"Presentations","Managing data access in CESSDA I: the Data Catalogue and Beyond","","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=142","Jääskeläinen T, Bell D, Bolton S.  
2022.  Managing data access in CESSDA I: the Data Catalogue and Beyond. ","","T. Jääskeläinen; D. Bell; S. Bolton","","","2022","IASSIST"
"Presentations","Experiences with converting DDI among versions using DDI-FlatDB","https://doi.org/10.5281/zenodo.6630263","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=62","Klas C-P.  
2022.  Experiences with converting DDI among versions using DDI-FlatDB. ","","C.P. Klas","","","2022","IASSIST"
"Presentations","DDI Variable Documentation and data access using R","10.5281/zenodo.7408629","https://doi.org/10.5281/zenodo.7408629","Klas C-P, Hopt O.  
2022.  DDI Variable Documentation and data access using R. ","","C.P. Klas; O. Hopt","","","2022","EDDI"
"Presentations","Upgrading FSD's Loda metadata portal using Colectica","10.5281/zenodo.7405536","https://doi.org/10.5281/zenodo.7405536","Kleemola A.  
2022.  Upgrading FSD's Loda metadata portal using Colectica. ","","A. Kleemola","","","2022","EDDI"
"Presentations","The NACDA Colectica Portal: DDI Lifecycle for Longitudinal Data on Aging","10.5281/zenodo.7431988","https://doi.org/10.5281/zenodo.7431988","Lavender K, Zeiger J.  
2022.  The NACDA Colectica Portal: DDI Lifecycle for Longitudinal Data on Aging. ","","K. Lavender; J. Zeiger","","","2022","EDDI"
"Presentations","FAIRsharing Community Curation: Mapping the Social Sciences Resource Landscape","10.5281/zenodo.7405926","https://doi.org/10.5281/zenodo.7405926","Lister A.  
2022.  FAIRsharing Community Curation: Mapping the Social Sciences Resource Landscape. ","","A. Lister","","","2022","EDDI"
"Presentations","Recent improvements in data documentation and online dissemination in the Generations and Gender Survey","10.5281/zenodo.7431652","https://doi.org/10.5281/zenodo.7431652","Lombard MWinn, Caporali A, Lenoir J.  
2022.  Recent improvements in data documentation and online dissemination in the Generations and Gender Survey. ","","M.Winn Lombard; A. Caporali; J. Lenoir","","","2022","EDDI"
"Presentations","Strategy to document and disseminate longitudinal surveys: case study of using DDI-Lifecycle and Colectica","","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=135","Marie L.  
2022.  Strategy to document and disseminate longitudinal surveys: case study of using DDI-Lifecycle and Colectica. ","","L. Marie","","","2022","IASSIST"
"Presentations","French electoral surveys data harmonization based on DDI-L foundational constructs","10.5281/zenodo.7405370","https://doi.org/10.5281/zenodo.7405370","Marie L, Jan M.  
2022.  French electoral surveys data harmonization based on DDI-L foundational constructs. ","","L. Marie; M. Jan","","","2022","EDDI"
"Presentations","Bridging the Gap between Process and Procedural Provenance for Statistical Data","10.5281/zenodo.7405415","https://doi.org/10.5281/zenodo.7405415","McPhillips T, Thelen T, Gager J, Alter G, Ludäscher B, Iverson J, Smith D.  
2022.  Bridging the Gap between Process and Procedural Provenance for Statistical Data. ","","T. McPhillips; T. Thelen; J. Gager; G. Alter; B. Ludäscher; J. Iverson; D. Smith","","","2022","EDDI"
"Presentations","Question - How do we document validated questionnaires and their usage?","10.5281/zenodo.7409606","https://doi.org/10.5281/zenodo.7409606","Mills H.  
2022.  Question - How do we document validated questionnaires and their usage? ","","H. Mills","","","2022","EDDI"
"Presentations","European DDI Conference 2022 Training Fair: DDI Lifecycle: Introduction and Overview","10.5281/zenodo.7465012","https://doi.org/10.5281/zenodo.7465012","Mills H.  
2022.  European DDI Conference 2022 Training Fair: DDI Lifecycle: Introduction and Overview. ","","H. Mills","","","2022","EDDI"
"Presentations","European DDI Conference 2022 Training Fair: Introduction to DDI Codebook","10.5281/zenodo.7465002","https://doi.org/10.5281/zenodo.7465002","Moilanen K.  
2022.  European DDI Conference 2022 Training Fair: Introduction to DDI Codebook. ","","K. Moilanen","","","2022","EDDI"
"Presentations","QualidataNet – a federated archiving infrastructure for qualitative research data","","https://www.openconf.org/iassist2022/modules/request.php?module=oc_program&action=summary.php&id=72","Mozygemba K, Betancort-Cabrera N, Gebel T, Hedeland H, Heuer J-O, İkiz-Akıncı D, Klauke S, Meyermann A, Reineke S, Weisbrod D et al..  
2022.  QualidataNet – a federated archiving infrastructure for qualitative research data. ","","K. Mozygemba; N. Betancort-Cabrera; T. Gebel; H. Hedeland; J.O. Heuer; D. İkiz-Akıncı; S. Klauke; A. Meyermann; S. Reineke; D. Weisbrod; B. Hollstein","","","2022","IASSIST"
"Presentations","Bridging scientific domains with metadata: CESSDA and ECRIN","10.5281/zenodo.7406078","https://doi.org/10.5281/zenodo.7406078","Ohmann C, Canham S, Panagiotopoulou M, Kleemola M, Moilanen K.  
2022.  Bridging scientific domains with metadata: CESSDA and ECRIN. ","","C. Ohmann; S. Canham; M. Panagiotopoulou; M. Kleemola; K. Moilanen","","","2022","EDDI"
"Presentations","The Quetelet-Progedo Diffusion Data Catalogue","10.5281/zenodo.7432261","https://doi.org/10.5281/zenodo.7432261","Saji A, Zolotoukhine E.  
2022.  The Quetelet-Progedo Diffusion Data Catalogue. ","","A. Saji; E. Zolotoukhine","","","2022","EDDI"
"Presentations","Bulk FAIR assessment of the CESSDA Data Catalogue using the F-UJI API","10.5281/zenodo.7405623","https://doi.org/10.5281/zenodo.7405623","Shepherdson J, Papagiannopoulos K.  
2022.  Bulk FAIR assessment of the CESSDA Data Catalogue using the F-UJI API. ","","J. Shepherdson; K. Papagiannopoulos","","","2022","EDDI"
