"id","site","timestamp","year","place","dataset","exists","digital","public","online","free","machinereadable","bulk","openlicence","uptodate","url","format","licenseurl","dateavailable","officialtitle","publisher","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score"
"788bcdca-284b-4ab2-9e10-2fc6db94d700","us-city","2017-12-29T17:17:13","2017","austin","web-analytics","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.austintexas.gov/City-Government/Google-Analytics-for-www-austintexas-gov/959k-a8yh/data","CSV","https://www.austintexas.gov/coa-open-data-licensing",,"Google Analytics for www.austintexas.gov","City of Austin","Yes","Yes"," ","The dataset for views from different browsers can be found here: https://data.austintexas.gov/City-Government/Views-from-Different-Browsers/uber-bhwe.","Yes","Yes","Jennifer Noinaj","Ben Franklin","100"
"ad5bba06-8983-4d0f-8643-831e7fa81355","us-city","2017-07-11T21:38:51","2017","providence","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://www.providenceri.com/police/case-log","Now available on the City's Open Data Portal ","https://dev.socrata.com/foundry/data.providenceri.gov/gfyp-tfg9",,"Daily Case Logs","Providence, RI Police","Yes","Yes"," ","The daily case logs are available on the PD's website, there appears to be a week or two delay in publishing. They are in PDF format, however the PDF has a table structure so parsing would not be too much work.

UPDATE: The City is now posting this data on its Open Data Portal, updating it on a nightly basis. ","Yes","Yes","Doaa Alsenani","Ben Franklin","100"
"72372f10-9540-4de0-a46c-29a872d960b5","us-city","2015-10-21T15:41:55","2015","pittsburgh","public-buildings","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.wprdc.org/dataset/pittsburgh-city-facilities","geojson, csv, html, shapefiles",,,"Pittsburgh City Facilities. Includes: City Administrative Buildings, Police Stations, Fire Stations, EMS Stations, DPW Sites, Senior Centers, Recreation Centers, Pool Locations, Ballfields,  Libraries,  Park Play Areas, Tennis Courts, and Utility Buildings","Pittsburgh GIS Department","Yes","Yes",,"10/21 update: In addition to a separate dataset listing city-owned properties for sale, the city publishes data on public facilities like parks, public safety facilities, pools, libraries, and so on.

Recent listings of city-owned properties, in unstructured text and html tables. No records of municipal structures available - just city-owned lots etc.","Yes","No","Ellie Newman","Ellie Newman","70"
"17894a2c-6151-45ff-849a-530366ce179f","us-city","2014-06-02T17:51:38","2014","pittsburgh","food-safety","Yes","Yes","Yes","Yes","Yes","No","No",,"Unsure","https://www.achd.net/food/consumeralerts.html","HTML",,"2010",,"Allegheny County Health Department","Yes","Yes",,"Structured HTML table, but not very machine readable. Links to detailed reports, which is nice.","Yes","No","Connor Sites-Bowen","Connor Sites-Bowen","35"
"8bee7168-115f-4680-9f63-e19cface1f02","us-city","2018-02-02T19:08:20","2017","losangeles","transit","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://lacitydot.com/gtfs/administrator/gtfszip/ladotgtfs.zip","CSV","https://www.ladottransit.com/dla.html",,"LADOT GTFS feed","LA Department of Transporation","Yes","Yes"," ","There are many overlapping transportation entities that service LA City. Its own Department of Transportation (DOT) is what I chose to document. It has real-time bus information with timetables, routes, and a live map. Other agencies, most notably Metro, have some of the same features, but it's unclear to what extent. There appears to be no readily available data about bus and train routes that includes documented instances of things like wait times, passenger use by individual line/route, etc. Instead, they have aggregated numbers about total passengers (broken up by a specific time frame) or fleet numbers, among other things. None of that appears on the lone data set available on the Data LA website, which contains only the bus stops for all Metro routes. 

KB 2016: Data and Link validated. Also noted that the Text only option on the map provides data in machine readable HTML format.

EDIT: Above is the description for the original submission. It has been changed to be LADOT's GTFS feed, so some of the above doesn't apply.","Yes","Yes","anonymous","Ben Franklin","100"
"39facc87-3111-460e-a143-57d21ad44434","us-city","2014-03-26T16:14:50","2014","sanantonio","assessment","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://www.bcad.org/",,"https://www.bcad.org/",,,"Bexar County Appraisal District","Yes","Yes",,"Bexar County Appraisal District (BCAD) provides an online property search in which properties can be searched by owner name, property id, address, or account number.  Data provided includes a map, owner name, owner address, physical address, legal description, improvement value, land value, appraisal value, acreage, agricultural value, and deed history.","Yes","Yes","anonymous","anonymous","100"
"2b4d13f6-6fde-41c2-8ed7-0d84379209da","us-city","2015-08-06T20:42:28","2015","seattle","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.seattle.gov/d/3k2p-39jp?category=Public-Safety&view_name=Seattle-Police-Department-911-Incident-Response","HTML","https://creativecommons.org/publicdomain/zero/1.0/legalcode",,,"City of Seattle, Department of Information Technology, Seattle Police Department","Yes","Yes",,"Real time (1-hour delayed & refreshed) listing of 911 incident responses in Seattle.  Published via the Socrata data.seattle.gov format, and available for export in a number of formats.","Yes","Yes","Nate Eckstine","Nate Eckstine","100"
"6f690134-e879-4dc1-a514-25d7ec81ddad","us-city","2015-04-21T17:34:34","2015","glendaleca","business-listings","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://performance.glendaleca.gov/dataset/CDD-BSBRC-01012014-02282015/kv7d-3utv","CSV, JSON, PDF, RDF, RSS, XLS, XLSX, XML","https://performance.glendaleca.gov/dataset/CDD-BSBRC-01012014-02282015/kv7d-3utv/about",,,"Community Development Department","Yes","Yes",,,"Yes","Yes","Andrew Frantela","Andrew Frantela","100"
"609e3b81-5717-42dc-b4c8-deb500b71a32","us-city","2018-02-02T23:15:20","2017","losangeles","assessment","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data-2006-thru-2015/9trm-uz8i","CSV, CSV for Excel, JSON, PDF, RDF, RSS, XLS, XLSX, XML","https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data/kbm6-eaaf/about",,"Assessor Parcels Data - 2006 thru 2017","LA County Assessor's Office","Yes","Yes"," ",,"Yes","Yes","Chelsea Ursaner","Ben Franklin","100"
"92fcc19d-6ab6-4bd4-ad07-5764d45f72f7","us-city","2014-02-22T17:29:18","2014","atlanta","code-enforcement","Yes","Yes","Yes","Yes","Yes","Yes","No",,"Yes","https://aca.accela.com/atlanta_ga/default.aspx","sarchable database, html","https://law.ga.gov/sites/law.ga.gov/files/imported/vgn/images/portal/cit_1210/62/51/186385699r1.pdf","2009",,"City of Atlanta, Office of Code Compliance","Yes","Yes",,"It would be great to know about the structure of data so we can know how to navigate it - how, what to search by.","Yes","Yes","Monosij Dutta-Roy","Rebecca Williams","90"
"f116d455-e04c-47ae-ae77-456562aad67f","us-city","2017-03-21T12:29:46","2017","newyorkcity","business-listings","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.cityofnewyork.us/d/w7w3-xahh","JSON, XML, XLS, RSS, CSV, RDF, PDF, XLSX","https://www.nyc.gov/html/doitt/html/open/local_law_11_2012.shtml",,"Legally Operating Businesses","NYC Department of Consumer Affairs","Yes","Yes"," ","updated weekly","Yes","Yes","亮宇 陳","Ben Franklin","100"
"4ecdedf3-94ad-447b-a0ad-9c807b6e5bc6","us-city","2017-02-27T17:59:28","2017","newyorkcity","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.cityofnewyork.us/d/hyij-8hr7","Excel, PDF, CSV, JSON","https://www1.nyc.gov/assets/doitt/downloads/pdf/nyc_open_data_tsm.pdf",,"NYPD 7 Major Felony Incidents","NYPD & NYC DOITT","Yes","Yes"," ","This data is being updated quarterly and is available at the incident level.","Yes","Yes","Jie Sun","Ben Franklin","100"
"b5628d84-6a7e-4718-acc5-0364e44fcf1d","us-city","2017-04-10T01:48:39","2017","washingtondc","service-requests","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://opendata.dc.gov/datasets/cityworks-service-requests","CSV, GeoJSON, Shapefile, KML","https://dc.gov/node/939602",,"Cityworks Service Requests","DC Department of Transportation","Yes","Yes"," ","Cityworks Service Requests - All Categories. Cityworks is the Work Management system used by the DC Department of Transportation to manage requests for service to District assets, such as alleys, curbs and gutters, roadways, sidewalks, signage, signals, streetlights, and trees. 
Learn more at: https://ddot.dc.gov/service/work-order-management-system","Yes","Yes","Andy Turner","Ben Franklin","100"
"90610186-afab-4c42-9999-d5d203375f72","us-city","2014-09-10T23:43:49","2014","ann-arbor","zoning","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.a2gov.org/feeds/GIS/AA%20Future%20LandUse/AA_Future_LandUse.zip","shapefiles ","https://data.a2gov.org/feeds/GIS/AA%20Future%20LandUse/AA_Future_LandUse.shp.xml","2010",,"City of Ann Arbor","Yes","Yes",,"Future land use (zoning) data is also provided in .kmz format (in addition to shapefiles). All such data is organized on the City of Ann Arbor Data Catalog: https://www.a2gov.org/services/data/Pages/default.aspx","Yes","Yes","anonymous","anonymous","100"
"8ea536d7-d56f-47dc-9b44-800f29b9837d","us-city","2017-07-07T00:14:03","2017","savannah","zoning","Yes","Yes","Yes","Yes","Yes","Yes","No",,"Yes","https://www.sagis.org/","shapefiles","https://resources.arcgis.com/en/help/main/10.2/index.html#//00sp00000019000000",,"Savannah Area Geographic Information Systems","SAGIS (Savannah Area Geographic Information Services)","Yes","Yes","Firsthand talks with GIS Director","Mature GIS agency for metro region. While it runs on ArcGIS servers and can sometimes be spotty loading, it does stand out among one of the most comprehensive data domains covered by a Coastal Georgia agency.","Yes","Yes","Carl V. Lewis","Carl V. Lewis","90"
"26e50d67-87cf-40cf-a28f-2bc6837e213d","us-city","2015-08-13T18:20:37","2015","denver","campaign-finance","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.denvergov.org/dataset/city-and-county-of-denver-campaign-finance-reports","CSV","https://data.denvergov.org/termsofuse",,"City and County of Denver:Campaign Finance Reports",,"Yes","Yes",,"Data appears complete, but no info on publisher of data or contact details.","Yes","Yes","anonymous","anonymous","100"
"72ed1bba-b364-481a-8479-3a3fc3f88e8d","us-city","2015-05-20T19:46:39","2015","pasadena","food-safety","Yes","Yes","Yes","Yes","Yes","No","No",,"Yes","https://www.decadeonline.com/main.phtml?agency=PAS",,,,"Food Facility Inspection Search: This food facility inspection search database contains inspection data for facilities that were inspected after January 1, 2014.","Pasadena Department of Public Health","Yes","Yes","Approved with added title and short description. ","Pasadena has an independent Department of Public Health, separate from the LA County Department of Public Health. 

This data set is a search engine where a user can search by restaurant name or address and the restaurants inspection score and date can be found. ","Yes","No","Andrew Frantela","Brett Shears","45"
"8970fc92-bd0a-434b-a2c8-f07e6201cfae","us-city","2017-10-20T18:53:41","2017","austin","business-listings","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.texas.gov/Business/TDLR-All-Licenses/7358-krk7","csv, xls, json, pdf,xlsx, xml","https://comptroller.texas.gov/transparency/open-data/search-datasets/terms-and-conditions.php",,"TDLR - All Licenses","Texas.gov","Yes","Yes","Added the clarification to the comments regarding the fact that this dataset is specific to the entire state of Texas and not just Austin. This is the correct dataset. The link above is the homepage for the data. This is the link to the specific dataset: https://data.texas.gov/Permits-and-Licensing/TDLR-All-Licenses/7358-krk7/data. ","Texas Department of Licensing and Regulation (TDLR) - A listing of all TDLR license holders. The data must be filtered to show licenses specific to Austin, TX. Updated daily.","Yes","Yes","Mireya Galarza","Jennifer Noinaj","100"
"c6f91f63-7160-4068-bfab-13be3ee35167","us-city","2015-08-04T21:02:07","2015","hartford","code-enforcement","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.hartford.gov/Housing-Development/HousingCodeViolations_01012011_Current/86ax-cfey","CSV, JSON, PDF, RDF, RSS, XLS, XLSX, AND XML","https://creativecommons.org/publicdomain/zero/1.0/legalcode",,"Housing Code Violations 1/1/2011 to Current. Updated nightly","City of Hartford","Yes","Yes","Approved, with light edits to data export formats and the description. ","Housing Code Violations 1/1/2011 to Current. Updated Nightly","Yes","Yes","anonymous","Scott Gaul","100"
"4a928979-94bf-4047-af32-172a19e1c934","us-city","2017-10-10T20:58:17","2017","austin","budget","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.austintexas.gov/Financial/Program-Budget-Operating-Budget-Vs-Expense-Raw-Dat/g5k8-8sud","CSV","https://data.austintexas.gov/dataset/City-of-Austin-Open-Data-Terms-of-Use-Policy/2z87-8uh7",,"Program Budget Operating Budget Vs Expense Raw Data","City of Austin Budget Office","Yes","Yes","Updated the title and short description since the one submitted for review was incorrect. This is the correct dataset. The link above is the homepage for the data. This is the link to the specific dataset: https://data.austintexas.gov/Budget-and-Finance/Program-Budget-Operating-Budget-Vs-Expense-Raw-Dat/g5k8-8sud/data. ","The data is available in bulk, is available for free, and is data machine readable.","Yes","Yes","Robert Quatier","Jennifer Noinaj","100"
"cfb499b3-4659-4190-b187-a9de9b3cb046","us-city","2017-02-18T20:14:06","2017","fortlauderdale","business-listings","Yes","Yes","Yes","Yes","Yes","No","No",,"Yes","https://www.fortlauderdale.gov/departments/finance/business-tax",,,,"Business Tax - List of new businesses in the City of Fort Lauderdale","City of Fort Lauderdale. Department of Finance","Yes","Yes","Checked the links and accepted this submission.","Files are available by month and year in PDF format for 2006 to previous month.","Yes","No","Yelka Mikolji","Yelka Mikolji","45"
"7a9f9d0f-b8fd-4a20-a78b-f10e38772cbd","us-city","2016-03-08T20:38:01","2016","chicago","zoning","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.cityofchicago.org/Community-Economic-Development/Boundaries-Zoning-Districts/p8va-airx","shapefiles, KML","https://www.cityofchicago.org/city/en/narr/foia/open_data_executiveorder.html",,,"City of Chicago","Yes","Yes",,,"Yes","Yes","Tom Schenk Jr","Tom Schenk Jr","100"
"76dc6cc9-ed9c-4870-8ddf-4549c5e79561","us-city","2017-05-09T01:48:03","2017","boston","service-requests","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.cityofboston.gov/City-Services/Mayor-s-24-Hour-Hotline-Service-Requests/awu8-dc52","json","https://www.cityofboston.gov/doit/databoston/data_disclaimer.asp",,,"City of Boston","Yes","Yes"," ",,"Yes","Yes","Haoyu Zhao","Ben Franklin","100"
"9315d95f-0e32-4ff7-8796-2b0ee2c76a4a","us-city","2017-02-07T21:32:18","2017","newyorkcity","budget","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://www.checkbooknyc.com/data-feeds","CSV, XML",,,"Checkbook NYC","The New York City Office of the Comptroller","Yes","Yes"," ",,"Yes","No","Craig Campbell","Ben Franklin","70"
"2695035d-97ee-4c9c-a955-a0475a6f2767","us-city","2017-01-04T18:21:10","2017","washingtondc","zoning","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Unsure","https://opendata.dc.gov/datasets/7e36b5f8c97f440ab45e31dc58ea9471_12","csv, geojson, kml, shapefile","https://dc.gov/page/terms-and-conditions-use-district-data",,,"DC Office of Zoning","Yes","Yes"," ","DC Data are released under Creative Commons Zero (CC0) per https://dc.gov/page/terms-and-conditions-use-district-data

","Yes","Yes","Andrew Turner","Ben Franklin","90"
"3a27d4fe-4341-4e84-9c8a-5b32ccbe4d76","us-city","2015-08-12T14:26:19","2015","dallas","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://www.dallasopendata.com/browse?category=Police&limitTo=datasets"," JSON, EXCEL, CSV, XML, PDF, ODATA, API",,,"Police Incident, Arrest and other data provided by City of Dallas Police Department.","City of Dallas Police Department","Yes","Yes",,"Data is available via Socrata at https://www.dallasopendata.com/.

Per- incident data is available with lots of interesting metadata including precise location (no geocoding required).","Yes","No","CIS Webgroup","CIS Webgroup","70"
"ec359138-1aee-43fe-8261-e73bd01af9bf","us-city","2017-02-08T05:13:03","2017","anchorage","zoning","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://munimaps.muni.org/moagis/download.htm","zip, Oracle SDE (GDB) Export Format","https://www.muni.org/Departments/Mayor/Documents/Open%20Data%20Policy.pdf",,,"Municipality of Anchorage - Information Technology Department","Yes","Yes","Checked in 2017","Updated","Yes","Yes","Brendan Babb","Brendan Babb","100"
"b3ce2006-8208-47b8-a3e0-47ad2d87b8d4","us-city","2016-12-23T22:26:23","2016","santamonica","budget","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://santamonicaca.opengov.com/transparency#/2055/accountType=expenses&breakdown=e7e1d2b9-2084-4592-86d8-8886ea9537cc&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=null&selection=AA4E206602D03AF84E39D4F1140E84AF&year=NaN&fiscal_start=earliest&fiscal_end=latest","CSV, PNG, HTML","https://santamonicaca.opengov.com/transparency#/2055/accountType=expenses&breakdown=e7e1d2b9-2084-4592-86d8-8886ea9537cc&currentYearAmount=cumulative&currentYearPeriod=years&graph=bar&legendSort=coa&proration=true&saved_view=null&selection=AA4E206602D03AF84E39D4F1140E84AF&year=NaN&fiscal_start=earliest&fiscal_end=latest",,"Capital Improvement Program (CIP) and Operating Budget","Finance Department and Public Works Department","Yes","Yes","Note, Santa Monica's license for data use is not explicit. 

Popup linked in footer does provide general OpenGov license for use of site/service. ""License. Subject to the terms of this Agreement, OpenGov grants you a non-transferable, non-exclusive, license to use the Site and Services for your personal, noncommercial use.""","Includes revised 2015-2016 budget as well as proposed 2016-17 budget. ","Yes","Yes","Emily Forscher","Vyki Englert","100"
"5322699f-80ca-4027-a88c-9b151e9a5b45","us-city","2017-11-29T17:18:09","2017","philly","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://www.opendataphilly.org/dataset/crime-incidents","CSV, GeoJSON, SHP, API","https://www.opendataphilly.org/organization/about/city-of-philadelphia",,"Crime Incidents, Crime incidents from the Philadelphia Police Department. Part I crimes include violent offenses such as aggravated assault, rape, arson, among others. Part II crimes include simple assault, prostitution, gambling, fraud, and other non-violent offenses.","City of Philadelphia","Yes","Yes"," ","The data is available at the address level, but the addresses are rounded to the nearest 100-block, rather than showing the address.  This dataset previously had separate endpoints for various years and types of incidents (i.e. Part 2 crimes). These have since been consolidated into a single dataset.

Data refresh is automated to update daily. 
","Yes","Yes","Kistine Carolan","Ben Franklin","100"
"1fdc2671-2222-4358-891d-134beb6489b3","us-city","2017-02-08T07:10:02","2017","anchorage","public-buildings","Yes","Yes","Yes","Yes","Yes","No","No",,"Unsure","https://www.muni.org/pw/public.html",,"https://www.muni.org/Departments/Mayor/Documents/Open%20Data%20Policy.pdf",,,"Municipality of Anchorage - Department of Finance","Yes","Yes","Updated in 2017",,"Yes","No","Brendan Babb","Brendan Babb","65"
"1ee20262-a39d-4897-8f2e-8c50c01f130c","us-city","2017-07-20T00:06:13","2017","tuscaloosa","spending","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://spending.tuscaloosa.com/#!/view-data","CSV, EXCEL, JSON",,,,"City of Tuscaloosa Department of Finance","Yes","Yes","I changed the URL to one that has links to the data. Otherwise this is good.",,"Yes","No","Tim Watkins","Matthew Leeds","70"
"82e85ab9-8b19-4daf-98da-74a4b8ce705d","us-city","2017-01-06T16:24:29","2017","tuscaloosa","construction-permits","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://data.tuscaloosa.com/dataset/Building-Permits/ura7-uivu","CSV, EXCEL, JSON",,,"Building Permits (BLDS)",,"Yes","Yes","Re: license — ""The license for this dataset is unspecified""",,"Yes","No","anonymous","Ben Franklin","70"
"a6dc5551-33c4-45f2-9516-0226563b485a","us-city","2017-07-20T00:03:46","2017","tuscaloosa","budget","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://budget.tuscaloosa.com/#!/view-data","CSV,EXCEL,JSON",,,,"City of Tuscaloosa, Finance Department <fin@tuscaloosa.com>","Yes","Yes","I changed the URL to one that has direct links to download or view the data; other than that this is good.",,"Yes","No","anonymous","Matthew Leeds","70"
"0ff6f5cd-540d-4dc5-9cac-ee621b85c4a0","us-city","2017-08-03T20:35:17","2017","tuscaloosa","asset-disclosure","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://payroll.tuscaloosa.com/#!/view-data","CSV,EXCEL,JSON",,,"Employee names, salaries, and position titles","City of Tuscaloosa","Yes","Yes","I changed the link to match the Budget and Spending links, and I changed the list of data formats.",,"Yes","No","Hao Dong","Matthew Leeds","70"
"d4b17815-1ea9-4171-9ea1-8d803489fcef","us-city","2015-10-05T01:06:14","2015","washingtondc","web-analytics","Yes","Yes","No","No","No","Unsure","No",,"No",,"HTML",,,,"Office of the Chief Technology Officer","Yes","Yes",,,"Yes","No","Emanuel Feld","Emanuel Feld","10"
