titulo,keywords,abstract,tipo,tema
Rossby Wave Propagation on a Realistic Longitudinally Varying Flow,"barotropic model
meridional vorticity
perturbation vorticity
propagation
low-wavenumber",The response of a barotropic model linearized about a climatological 300-mb December–February time-mean flow to localized forcing is considered. In order to aid the design of the experiments and interpretation of the results a simplified analysis is made of the basic flow in terms of zonal wind meridional vorticity gradient and stationary wavenumber. From the analysis the possible existence of a strong waveguide in the Asian jet and weaker waveguides in the North Atlantic and Southern Hemisphere jets is deduced. The possibility of propagation into the equatorial east Pacific and Atlantic oceans and even across these regions is also suggested. These features are confirmed by barotropic model integrations for a variety of perturbation vorticity source positions and shapes. These integrations also show preferred propagation regions arching across North America from Europe to the Arabian Gulf and in the Southern Hemisphere into the equatorial Indian Ocean and Indonesian regions. They also show a tendency to produce a low-wavenumber fast westward-moving “tail” along the Asian jet. Many of the features found in this study are remarkably consistent with observational teleconnection studies.,0,Ciencias exactas
The Steady Linear Response of a Spherical Atmosphere to Thermal and Orographic Forcing,"spherical atmosphere
midlatitude thermal
barotropic model
Shorter wavelengths
realistic jet flow","Motivated by some results from barotropic models a linearized steady-state five-layer baroclinic model is used to study the response of a spherical atmosphere to thermal and orographic forcing. At low levels the significant perturbations are confined to the neighborhood of the source and for midlatitude thermal forcing these perturbations are crucially dependent on the vertical distribution of the source. In the upper troposphere the sources generate wavetrains which are very similar to those given by barotropic models. For a low-latitude source long wavelengths propagate strongly polewards as well as eastwards. Shorter wavelengths are trapped equatorward of the poleward flank of the jet resulting in a split of the wave-trains at this latitude. Using reasonable dissipation magnitudes the easiest way to produce an appreciable response in middle and high latitudes is by subtropical forcing. These results suggest an explanation for the shapes of patterns described in observational studies.

The theory for waves propagating in a slowly varying medium is applied to Rossby waves propagating in a barotropic atmosphere. The slow variation of the medium is associated with the sphericity of the domain and the latitudinal structure of the zonal wind. Rays along which wave activity propagates the speeds of propagation and the amplitudes and phases along these rays are determined for a constant angular velocity basic flow as well as a more realistic jet flow. They agree well with the observational and numerical model results and give a simple interpretation of them.",0,Ciencias exactas
Some mathematical remarks concerning the localisation of planetary waves in a stochastic background flow,"Lyapunov Exponent
Negative Eigenvalue
Essential Spectrum
Planetary Wave
Critical Line",In this article we develop some mathematically rigorous ideas to explain the phenomenon of localisation of planetary waves in a stochastic background flow as presented in the physical companion paper. For this purpose the barotropic vorticity equation linearised around a zonal background wind and driven by a local source is transformed into a Sturm-Liouville problem with random potential function. We distinguish between two types of localising mechanisms. The first type is a background effect of localisation symmetrical with respect to the equator which is due to the nodes of the potential function (critical lines). The second is a more subtle effect and forces localisation around the source. It comes from the superposition of the source term with the Green’s kernel expressed in terms of the eigenfunctions of the spectral resolution of the random Sturm-Liouville operators involved. On average this effect is moderate for zero damping and stronger for small non-zero damping.,0,Ciencias exactas
Rossby wave propagation in a barotropic atmosphere,"geometrical optics
low-frequency
low latitude jet
wave amplitude
cross-equatorial wave","The ideas of ray tracing from geometrical optics and wave propagation in a slowly varying medium are applied to Rossby waves propagating in a barotropic atmosphere.

The propagation of low-frequency Rossby waves in a zonally symmetric basic state is compared with that for stationary waves presented by Hoskins and Karoly (1981). These ideas are then used to study the propagation of Rossby waves in a basic state with zonally varying middle latitude or low latitude jets. Conditions which allow cross-equatorial wave propagation are presented. For a zonally varying middle latitude jet there is weak wave convergence in regions of decreasing jet speed However this is not sufficient to explain the enhanced wave amplitude found in numerical-model experiments using a zonally varying basic state.",0,Ciencias exactas
Rossby waves in the presence of random currents,"periodic
dispersion equation
physical explanation
grow drawing
wave",The effect of weak random currents on time periodic Rossby waves is determined by a perturbation method devised previously. As a result the dispersion equation for the average Rossby wave is obtained and from it the propagation velocity and decay rate are found. These quantities are evaluated explicitly for steady unidirectional random currents. From the results simple forms are obtained when the Rossby wavelength is either large or small in comparison to the correlation length of the current. For some directions of propagation of the wave the velocity is increased by the current whereas for other directions it is decreased and a physical explanation of this is presented. Random currents will scatter the waves and cause them to decay. If the current motion can add to the energy flux of the waves the energy flux may grow drawing energy from the currents. It is found that east-west currents serve mainly to scatter the waves but north-south currents can contribute to the growth of waves. The growth phenomenon is interpreted as an instability of the currents to Rossby waves to which they can give up some of their energy. The maximum growth rate occurs for waves traveling either northwestward or southwestward because the energy flux of these waves is in the same direction as the direction of the random currents.,0,Ciencias exactas
Large-scale circulation associated with westerly wind bursts and deep convection over the western equatorial Pacific,"deep equatorial
frequently
develop
propagation
troposphere",The relationship between deep equatorial convection over the western Pacific and atmospheric circulation during November to February 1986–1992 is studied using cross correlations between outgoing longwave radiation (OLR) and National Meteorological Center global analyses. We focus on intraseasonal convective events on the 6- to 30-day timescale over two regions: just east of Borneo and over the Tropical Ocean and Global Atmosphere (TOGA) Coupled Ocean-Atmosphere Response Experiment (COARE) domain to the northeast of New Guinea. Although comparatively little work has been done on this timescale we show that the bulk of the intraseasonal variability in both convection and low-level circulation over the tropical western Pacific occurs in this period range. As a comparison with these higher-frequency events the evolution of COARE convection on the 30- to 70-day timescale is also considered. The results of the historical data analysis are compared to a case study of deep convection associated with strong surface westerly winds during November 1989. This analysis is meant to serve as a benchmark for future case studies from the Tropical Ocean-Global Atmosphere COARE experiment and other periods. In general 6- to 30-day equatorial convection in the regions studied occurs in conjunction with low-level equatorial westerly wind anomalies paired anomalous cyclonic circulations straddling the equator and a strengthening of the sea level pressure gradient along the equator. The increase in the pressure gradient appears most often tied to the simultaneous equatorward movement of high-pressure systems originating over southeastern Asia and Australia. A surge of trades over the central Pacific also accompanies the development of convection over both study regions. Following the convective peak the low-level westerlies slowly decay as the northern cyclone moves northwestward away from the equator in a track characteristic of a tropical depression. It is also observed that low-level westerly anomalies occur frequently without deep convection. The vertical structure during convective events along the equator on the 30- to 70-day timescale and over Indonesia in the 6- to 30-day band is baroclinic with easterly anomalies at upper levels overlying low-level westerlies. At 200 mbar a strengthened meridional outflow from the OLR signal into a wave train on the equatorward side of the Asian jet is observed to develop following the convective peak suggesting forcing of this circulation by the convection. Over the COARE domain there is evidence that 6- to 30-day convection often occurs in conjunction with deep westerly flow. It is suggested that these types of events are frequently characterized by vertical propagation of westerlies from the surface to the upper troposphere as is shown for a case study from November 1989. This westerly burst episode is shown to have many features in common with the “typical” case as defined from historical data.,0,Ciencias exactas
Teacher-student relationship and mathematical problem-solving ability: mediating roles of self-efficacy and mathematical anxiety,"Mathematical problem-solving ability
teacher–student relationship
self-efficacy
mathematical anxiety ",This study investigated the mediating roles of self-efficacy and anxiety on the effects of teacher–student relationship on mathematical problem-solving ability. A total of 1667 fifth graders from central China participated in the large-scale survey. The findings indicated that (1) teacher–student relationship had a direct and positive effect on students’ mathematical problem-solving ability; (2) the positive link between teacher–student relationship and mathematical problem-solving ability was partially mediated through self-efficacy; (3) the teacher–student relationship affected students’ mathematical problem-solving ability through self-efficacy and maths anxiety but the effect of self-efficacy on mathematical anxiety was smaller. Implications for the importance of teacher–student relationships in education as well as suggestions for future research are discussed.,1,Ciencias exactas
"THE RELATIONSHIPS BETWEEN MATH ANXIETY
MATH ATTITUDES AND SELF-EFFICACY:
A STRUCTURAL EQUATION MODEL","math anxiety
self-efficacy
math attitudes
path analysis",The purpose of this study is to examine the relationships between math anxiety math attitudes and self-efficacy. Participants were 372 university students who were enrolled in Sakarya University in Turkey. In this study the Revised Mathematics Anxiety Rating Scale the Mathematics Attitudes Scale and the Self-efficacy Scale were used. Using correlation analysis math anxiety was found negatively related to positive attitudes and self-efficacy and positively to negative attitudes. On the other hand positive attitudes were found positively associated with self-efficacy and negatively with negative attitudes. According to the path analysis results positive attitudes were predicted positively and negative attitudes predicted negatively by self-efficacy. Also self-efficacy and positive attitudes predicted math anxiety in a negative way and negative attitudes predicted math anxiety in a positive way. Results were discussed in the light of literature,0,Ciencias exactas
21st Century Skills and Competences for New Millennium Learners in OECD Countries,"conceptual frameworks
communication
teaching",This paper discusses issues related to the teaching and assessment of 21st century skills and competencies in OECD countries drawing on the findings of a questionnaire study and other relevant background material such as white papers or curriculum documents. Although all OECD countries were invited to participate in the questionnaire survey responses were received from seventeen countries or regions and the paper focuses primarily on this group. The paper presents a short discussion of the importance and relevance of 21st century skills and competencies in the current policy debate and the definitions and conceptual frameworks that have been used in the literature and proposes a new three-dimensional framework consisting of the dimensions of information communication and ethics and social impact. The findings of the questionnaire survey show that most countries or regions cover 21st century skills and competencies in their regulations guidelines or recommendations for compulsory education. However there are few specific definitions of these skills and competencies at national or regional level and virtually no clear formative or summative assessment policies for these skills. The only evaluation regarding their teaching is often left to external inspectors as part of their whole school audits. Similarly there are few teacher training programmes that target the teaching or development of 21st century skills although there exist several teacher training initiatives that focus on developing teachers’ ICT pedagogical skills most of them optional. The paper discusses the implications of these findings especially with regard to the particular role of ICT in the development of these skills and competencies and issues related to assessment practices and teacher training.,0,Ciencias exactas
Structural equation modeling in practice: A review and recommended two-step approach.,"researchers
structural equation
analysis
two-step modeling",In this article we provide guidance for substantive researchers on the use of structural equation modeling in practice for theory testing and development. We present a comprehensive two-step modeling approach that employs a series of nested models and sequential chi-square difference tests. We discuss the comparative advantages of this approach over a one-step approach. Considerations in specification assessment of fit and respecification of measurement models using confirmatory factor analysis are reviewed. As background to the two-step approach the distinction between exploratory and confirmatory analysis the distinction between complementary approaches for theory testing versus predictive application and some developments in estimation methods also are discussed.,0,Ciencias exactas
Development and Validation of the Teacher-Student Relationship Inventory Using Exploratory and Confirmatory Factor Analysis,"confirmatory factor analysis
teacher-student relationship
validation",Development and validation of the 14-item Teacher-Student Relationship Inventory (TSRI) is described. The TSRI is a self-report measure assessing teacher perceptions of the quality of their relationship with students from Grade 4 through junior high school. In Study 1 findings from exploratory factor analysis provided evidence for a 3-factor solution (Satisfaction Instrumental Help Conflict) for the scores from the TSRI. Preliminary evidence of convergent and discriminant validity of TSRI scores was also reported. In Study 2 results from confirmatory factor analysis provided additional support for results obtained from Study 1. High internal consistency estimates for TSRI scores from both studies were obtained. Initial evidence of predictive validity for TSRI scores was also presented. TSRI scores show promise as a reliable and potentially valid measure of the quality of teacher-student relationships.,0,Ciencias exactas
The relationships among working memory math anxiety and performance.,"math anxiety
mental addition
transitory disruption",Individuals with high math anxiety demonstrated smaller working memory spans especially when assessed with a computation-based span task. This reduced working memory capacity led to a pronounced increase in reaction time and errors when mental addition was performed concurrently with a memory load task. The effects of the reduction also generalized to a working memory-intensive transformation task. Overall the results demonstrated that an individual difference variable math anxiety affects on-line performance in math-related tasks and that this effect is a transitory disruption of working memory. The authors consider a possible mechanism underlying this effect—disruption of central executive processes—and suggest that individual difference variables like math anxiety deserve greater empirical attention especially on assessments of working memory capacity and functioning.,0,Ciencias exactas
The teacher-student relationship as a developmental context for children with internalizing or externalizing behavior problems.,"behavior problems
teachers
student
relationship",Children with significant behavior problems are at risk for poor school adaptation and a host of deleterious school outcomes. Given the time children spend in school there is a need to better understand the normative contexts and processes within schools that may enhance the positive adaptation of children with significant behavior problems. This study evaluated one such context the teacher-student relationship specifically the degree of closeness and conflict in the relationship between urban American elementary schoolchildren with significant externalizing or internalizing behavior problems and their teachers. The results suggest that the qualities of the teacher-student relationship predict children's successful school adjustment. Having a relationship with a teacher characterized by warmth trust and low degrees of conflict was associated with positive school outcomes. Some moderation effects were noted including differential effects for warmth on the reading achievement of children with externalizing distress and conflict on the school adaptation of children with internalizing problems. Results are discussed in light of theory and school-based intervention and prevention efforts.,0,Ciencias exactas
Self-efficacy: Toward a unifying theory of behavioral change.,"self-efficacy
behavior
psychological changes
behavior
cognitive mechanism",Presents an integrative theoretical framework to explain and to predict psychological changes achieved by different modes of treatment. This theory states that psychological procedures whatever their form alter the level and strength of self-efficacy. It is hypothesized that expectations of personal efficacy determine whether coping behavior will be initiated how much effort will be expended and how long it will be sustained in the face of obstacles and aversive experiences. Persistence in activities that are subjectively threatening but in fact relatively safe produces through experiences of mastery further enhancement of self-efficacy and corresponding reductions in defensive behavior. In the proposed model expectations of personal efficacy are derived from 4 principal sources of information: performance accomplishments vicarious experience verbal persuasion and physiological states. Factors influencing the cognitive processing of efficacy information arise from enactive vicarious exhortative and emotive sources. The differential power of diverse therapeutic procedures is analyzed in terms of the postulated cognitive mechanism of operation. Findings are reported from microanalyses of enactive vicarious and emotive modes of treatment that support the hypothesized relationship between perceived self-efficacy and behavioral changes.,0,Ciencias exactas
Social Cognitive Theory in Cultural Context,"agentic perspective
personal agency
collective agency
cross-culturally",Social cognitive theory adopts an agentic perspective to human development adaptation and change. The theory distinguishes among three modes of agency: personal agency exercised individually; proxy agency in which people secure desired outcomes by inﬂuencing others to act on their behalf; and collective agency in which people act in concert to shape their future. Contentious dualisms pervade our ﬁeld pitting autonomy against interdependence; individualism against collectivism and communality; and personal agency against social structure. The determinants and agentic blends of individual proxy and collective instrumentality vary cross-culturally. But all agentic modes are needed to make it through the day whatever the cultural context in which one resides. Cultures are diverse and dynamic social systems not static monoliths. Intracultural diversity and intraindividual variation in psychosocial orientations across spheres of functioning underscore the multifaceted dynamic nature of cultures. The growing globalisation and cultural pluralisation of societies and enmeshment in a cyberworld that transcends time distance place and national borders call for broadening the scope of cross-cultural analyses. The issues of interest center on how national and global forces interact to shape the nature of cultural life.,0,Ciencias exactas
Teacher–Student Relationship Climate and School Outcomes: Implications for Educational Policy Initiatives,"Academic achievement
School dropout
School policy
Teacher evaluation
Teacher reward",In recent discussions regarding concerns about the academic achievement of US students educational policy makers have suggested the implementation of certain teacher policies. To address the limited empirical research on the putative educational impact of such policies this study used multilevel structural equation models to investigate the longitudinal associations between teacher evaluation and reward policies and student mathematics achievement and dropout with a national sample of students (n = 7779) attending one of 431 public high schools. The student sample included an equal number of boys and girls averaging 16 years of age and included a White (53%) majority. This study examined whether associations between teacher policies and student achievement were mediated by the teacher–student relationship climate. Results of this study were threefold. First teacher evaluation policies that allowed students to evaluate their teachers were associated with more positive student reports of the classroom teaching climate. Second schools with teacher reward policies that included assigning higher performing teachers with higher performing students had a negative association with student perceptions of the teaching climate. Lastly schools with better student perceptions of the teaching climate were associated with lower student dropout rates by students’ senior year. These findings are discussed in light of their educational policy implications.,0,Ciencias exactas
Comparative fit indexes in structural models.,"statistics
structural model
degree of freedom
perform",Normed and nonnormed fit indexes are frequently used as adjuncts to chi-square statistics for evaluating the fit of a structural model. A drawback of existing indexes is that they estimate no known population parameters. A new coefficient is proposed to summarize the relative reduction in the noncentrality parameters of 2 nested models. Two estimators of the coefficient yield new normed (CFIN) and nonnormed (FIN) fit indexes. CFIN avoids the underestimation of fit often noted in small samples for P. M. Bentler and D. G. Bonett's (see record 1981-06898-001) normed fit index (NFIN). FIN is a linear function of Bentler and Bonett's nonnormed fit index (NNFIN) that avoids the extreme underestimation and overestimation often found in NNFIN. Asymptotically CFIN FIN NFIN and a new index developed by K. A. Bollen (1989) are equivalent measures of comparative fit whereas NNFIN measures relative fit by comparing noncentrality per degree of freedom. All of the indexes are generalized to permit use of Wald and Lagrange multiplier statistics. An example illustrates the behavior of these indexes under conditions of correct specification and misspecification. The new fit indexes perform very well at all sample sizes. ,0,Ciencias exactas
