Completion time,Business name,"Doing Business As (DBA), if applicable [optional]",Business primary website,Business primary contact email address,Business primary phone number [optional],Business primary street address,Business city,Business state abbreviation ,Business zipcode,Business country,"If the primary business address does not comport to the format for #6-10, please type the address in the box below:",Does the business collect the personal information of minors?,Does the business collect consumers' precise geolocation?,Does the business collect consumers' reproductive health care data?,"Paste a link to a page on the business's website that contains details on how consumers may exercise their privacy rights by doing all of the following: 

Deleting personal information
Correcting ...",Is the business or any of it's subsidiaries regulated by the federal Fair Credit Reporting Act (FCRA)?,"If the business answered yes to #16, explain below to what extent the business or any of it's subsidiaries are regulated by FCRA:",Is the business or any of its subsidiaries regulated by the Gramm-Leach-Bliley Act and implemented regulations (GLBA)?,"If the business answered yes to #18, explain below to what extent the business or any of it's subsidiaries are regulated by GLBA:",Is the business or any of its subsidiaries regulated by the Insurance Information and Privacy Protection Act (IIPA)?,"If the business answered yes to #20, explain below to what extent the business or any of it's subsidiaries are regulated by IIPPA:",Is the business or any of its subsidiaries regulated by the Confidentiality of Medical Information Act (CMIA)?,"If the business answered yes to #22, explain below to what extent the business or any of it's subsidiaries are regulated by CMIA:","Is the business or any of its subsidiaries regulated by the privacy, security, and breach notification rules established pursuant to the Health Insurance Portability and Accountability Act (HIPAA)?","If the business answered yes to #24, explain below to what extent the business or any of it's subsidiaries are regulated by HIPAA:",Any additional information or explanation concerning the business's data collection practices the business would like to provide?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:35:41,HomeData,,https://www.deepsync.com,privacy.compliance@deepsync.com,,"7120 185TH AVE NE, Suite 150",Redmond,WA,98052,USA,,Yes,Yes,No,https://deepsync.com/privacy-policy/,No,,No,,No,,No,,No,,Consumers can visit deepsync.com/homedata/ and review our Privacy Policy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 7:41:25,"Lusha Systems, Inc.",,https://www.lusha.com,legal@lusha.com,,"800 Boylston Street, Suite 1410",Boston,MA,02199,USA,,No,No,No,https://www.lusha.com/privacy-center/request-removal/,No,,No,,No,,No,,No,,"The information we include in our database is limited to business information, including a person's name, job title, employer, office address, email address, phone number, similar to information typically included on a business card or a professional profile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 8:20:45,"Wiza, Inc.",Wiza,https://www.wiza.co,hello@wiza.co,,2035 Sunset Lake Road,Newark,DE,19702,USA,,No,No,No,https://wiza.co/optout_directory/,No,,No,,No,,No,,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 8:34:34,"Webbula, LLC",,https://www.webbula.com,privacy@webbula.com,,"5000 Stonewood Dr, Ste 310",Wexford,PA,15090,USA,,No,No,No,https://webbula.com/privacy-center/,No,,No,,No,,No,,No,,"webbula.com/privacy-policy/
webbula.com/ccpa-addendum/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 8:58:31,"StatSocial, Inc.",,https://www.statsocial.com,info@statsocial.com,,"31 Hudson Yards 11th Floor, Office 56",New York,NY,10001,USA,,No,No,No,https://www.statsocial.com/optout,No,,No,,No,,No,,No,,www.statsocial.com/privacy-policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:26:02,"Compile, Inc. ","Compile, Inc. ",https://www.compile.com,rahul.b@compile.com,4159964259,405 El Camino Real #608,Menlo Park,CA,94025,USA,,No,No,No,https://compile.com/hcp-opt-out/ ,No,,No,,No,,No,,Yes,"Compile patient information is de-identified (statistically anonymized) in accordance with HIPAA expert determination outlined in Section 164.514(b)(1) of Title 45 of the Code of Federal Regulations. Additionally, “de-identified” refers to data that “cannot reasonably identify, relate to, describe, be capable of being associated with, or be linked, directly or indirectly, to a particular customer.” Cal. Civ. Code § 1798.140(h).",Additional details about Compile’s data collection practices can be found on our website via the following link: compile.com/privacy/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:36:47,"Cross Pixel Media, Inc.",Cross Pixel ,http://www.crosspixel.net,jweitman@crosspixel.net,,1815 Purdy Avenue ,Miami Beach,FL,33139,USA,,No,No,No,https://crosspixel.net/privacy-policy/,No,,No,,No,,No,,No,,Cross Pixel is a member of the NAI and adheres to NAI's Code of Conduct as well as all industry guidelines. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:40:47,M&R Strategic Services,,https://www.mrss.com,privacy@mrss.com,,"1101 17 St NW, Suite 301
",Washington,DC,20036,USA,,No,No,No,https://www.mrss.com/privacy-policy/,No,,No,,No,,No,,No,,Please see the privacy section of our website (www.mrss.com/privacy-policy/) for further information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:49:47,"Nexxa Group, Inc.",,https://www.nexxagroup.com,Consumerchoice@nexxagroup.com,,"13300-56 S Cleveland Ave, #708
",Fort Myers,FL,33907,USA,,No,No,No,https://www.nexxagroup.com/corporate-overview/privacy-policy/,Yes,The use of a consumer report for employment verification.,No,,No,,No,,No,,Nexxa Group data collecting practices can be found under our Privacy Policy at www.nexxagroup/privacy-policy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:50:39,Bookyourdata,,https://www.bookyourdata.com,baris@bookyourdata.com,800-340-9790,"447 Broadway, 2nd Floor Suite #2215",New York,NY,10013,USA,,No,No,No,https://www.bookyourdata.com/ccpa-ready,No,,No,,No,,No,,No,,"As BookYourData, our data collection practices include:

- Collecting business-related information such as names, email addresses, job titles, phone numbers, office addresses, and social media links.
- Gathering this data from publicly available sources or directly from user activities on our website.
- Using the collected data to offer accurate business contacts for direct marketing and business promotion purposes.

We are committed to respecting privacy rights under the CCPA and provide options for California residents to opt-out and request data deletion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:53:04,Data Partners Inc.,,https://datapartners.com,info@datapartners.com,,12857 Banyan Creek Dr,Fort Myers,FL,33908,USA,,No,No,No,https://datapartners.com/ccpa/,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 9:57:00,Focus USA,"Focus USA, Inc",https://www.focus-usa.com,privacy@focus-usa.com,2014892525,PO Box 1782,Paramus,NJ,07653,USA,,No,No,No,https://www.focus-usa.com/california-consumer-privacy-act-ccpa-opt-out/,No,,No,,No,,No,,No,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:04:16,"Crunchbase, Inc.",Crunchbase,https://www.crunchbase.com,privacy@crunchbase.com,,"564 Market St., Suite 500",San Francisco,CA,94104,USA,,No,No,No,https://about.crunchbase.com/terms-of-service/privacy-policy/,No,,No,,No,,No,,No,,https://about.crunchbase.com/terms-of-service/privacy-policy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:05:42,Resonate,,https://www.resonate.com,tom.craig@resonate.com,,11700 Plaza America Dr #1000,Reston,Va,20190,USA,,No,No,No,https://www.resonate.com/privacy-policy/,No,,No,,No,,No,,No,,"Resonate collects data through two methods: 

Survey Data. Resonate conducts surveys to gather information about consumer attitudes, values, brand preferences, product attributes, demographics, and other defining characteristics. These surveys are conducted online and are subject to a double opt-in process, meaning that you must explicitly agree to the terms of the survey to participate in the survey and for Resonate to collect, use, and process the survey data for the use in development of the Resonate Services. 

Licensed Consumer Data: Resonate obtains licensed consumer data from third-party data providers to develop consumer profiles. This licensed consumer data encompasses a range of online and offline consumer activity, including IP address, information about a consumer’s web browsing including URLs from a consumer’s website visits, demographics (such as age, gender, and geographic area), and digital identifiers such as cookie IDs, hashed emails, mobile ad id, and other pseudonymous identifiers such as UID 2.0 and Ramp ID . Resonate does not collect personal information such as name, address, Social Security number or credit card information as part of this licensed consumer data.  

We use this data for Consumer Profile Development:  Resonate uses the licensed consumer data combined with survey results to create inferences about consumers which are then processed to build Resonate’s consumer attributes. Resonate then sells and/or shares to its clients the consumer attributes data included within the Resonate Audience Segments.   We use this data for aggregated consumer insights, targeted advertising and analytics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:10:22,"eMerges.com, Inc.",eMerges.com,https://www.emerges.com,Data@eMerges.com,,"212 Prince George St., Ste B",Annapolis,MD,21401,USA,,No,No,No,https://www.emerges.com/Government-Record-Opt-Out_ep_51-1.html,No,,No,,No,,No,,No,,"eMerges business model includes the compilation and distribution of information lawfully made available from federal, state, or local government records about U.S. citizens. While this type of information is not deemed ""personal information"" under comprehensive U.S. state privacy laws (like the CCPA), we still honor requests to opt out of the sale or license of that information to our clients.  If you would like to opt out of those disclosures, please accurately fill out the information required below. Pursuant to GDPR objectives, we automatically suppress any license, permit or registration record with a residence or mail address that is a not a U.S. state or territory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:32:14,"Media One, LLC","M1 Data & Analytics, LLC",https://www.m1-data.com,gashe@m1-data.com,954-776-1197,"1000 NW 65th Street, Ste 200
",Fort Lauderdale,Florida,33309,USA,,No,Yes,No,https://m1-data.com/unsubscribe/ or m1-data.com/limit-the-use-of-my-sensitive-personal-information/,No,,No,,No,,No,,No,,"Consumers can submit an opt-out or request to know either online, by phone, or in writing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:34:47,ModFx Labs Private Limited,N/A,https://www.modfxlabs.com,mandeep@modfxlabs.com,,"EF-1123A, JMD Megapolis, Sector 48",Gurgaon,HR,122018,India,,No,Yes,No,https://modfxlabs.com/privacy,No,,No,,No,,No,,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:40:08,"MaxMind, Inc.",,https://www.maxmind.com,legal@maxmind.com,,51 Pleasant Street #1020,Malden,MA,02148,USA,,No,No,No,https://www.maxmind.com/en/privacy-policy,No,,No,,No,,No,,No,,"How a consumer may opt out of sale or submit requests under the CCPA: 
We have a toll free number, email submissions to california-privacy@maxmind.com mailbox, and a webform on our website for consumers to fill out.

All submission methods are available on our Privacy Policy, which can be found here www.maxmind.com/en/privacy-policy
How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1): 
We have a toll free number, email submissions to california-privacy@maxmind.com mailbox, and a webform on our website for consumers to fill out.

All submission methods are available on our Privacy Policy, which can be found here www.maxmind.com/en/privacy-policy
Additional information about data collecting practices: 
All of the ways we collect data and how we use the data are laid out in our Privacy Policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 10:41:28,"PitchBook Data, Inc. ",,https://www.pitchbook.com,legal@pitchbook.com,,901 5th Ave Suite 1200,Seattle ,WA,98164,USA,,No,No,No,https://pitchbook.com/privacy-policy ,No,,No,,No,,No,,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 11:00:01,HealthWise Data LLC,,https://www.healthwisedata.com,tgibson@healthwisedata.com,908-888-6061,"300 Colonial Center Pkwy., Suite 100",Roswell,GA,30076-4892,USA,,No,Yes,No,https://www.healthwisedata.com/privacy,No,,No,,No,,No,,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 11:11:43,Acxiom LLC,,https://www.acxiom.com,Jordan.Abbott@acxiom.com,501-342-0356,301 East Dave Ward Drive ,Conway,AR,72032,USA,,Yes,Yes,No,https://www.acxiom.com/privacy,Yes,"When Acxiom provides data management services to our clients, we process their information in strict accordance with the terms and conditions of the contract as a service provider. Some of the services we provide companies such as financial institutions and healthcare organizations are governed by laws including the Fair Credit Reporting Act, Gramm-Leach-Bliley, and the Health Insurance Portability and Accountability Act. In these and similar situations, Acxiom works closely with our clients to ensure the processing we perform is in accordance with all the laws governing those activities. ",Yes,"When Acxiom provides data management services to our clients, we process their information in strict accordance with the terms and conditions of the contract as a service provider. Some of the services we provide companies such as financial institutions and healthcare organizations are governed by laws including the Fair Credit Reporting Act, Gramm-Leach-Bliley, and the Health Insurance Portability and Accountability Act. In these and similar situations, Acxiom works closely with our clients to ensure the processing we perform is in accordance with all the laws governing those activities. ",Yes,"When Acxiom provides data management services to our clients, we process their information in strict accordance with the terms and conditions of the contract as a service provider. Some of the services we provide companies such as insurance institutions, and healthcare organizations are governed by laws including the Insurance Information and Privacy Protection Act, and the Health Insurance Portability and Accountability Act. In these and similar situations, Acxiom works closely with our clients to ensure the processing we perform is in accordance with all the laws governing those activities. ",No,,Yes,"Acxiom maintains protected health information about its employees as part of Acxiom’s responsibilities and duties as an employer.  In addition, when Acxiom provides data management services to our clients, we process that protected health information as a business associate in strict accordance with the terms and conditions of the contract. ","The Acxiom marketing and advertising products we license to clients do not include specific details about a purchase, detailed financial information, credit information, or information identifying or revealing a person’s past, present, or future, physical or mental health condition.   Where permitted by law, Acxiom’s marketing and advertising products may include information such as date of birth, race, ethnicity and religious affiliation.  Also, where permitted by law, we license Social Security numbers regarding deceased U.S. citizens (“Limited Access Deathmaster File”), primarily to suppress recently deceased individuals from pending marketing campaigns and for use by financial institutions to confirm and facilitate beneficiary benefits.   
  
Collection and Use of Minor Data:  We do not disclose identifiable information on anyone younger than 18 to third parties for use in marketing solicitations.  We do use information related to minors younger than 18 to identify and remove records about them from our and our clients’ marketing files.  We also use information related to minors younger than 18 in creating additional insights solely related to the adult parent of the minor individual, (for example, Acxiom creates a flag that denotes “presence of children” and attributes such as “child age ranges”).  However, Acxiom does not disclose identifiable information about the minor as part of the insights created and included within the adult record.   

Collection and Use of Geo-Location Data:  Acxiom does not collect “movement data” as that term is generally understood in marketing.  We do not track where a person is or has been from moment to moment (i.e., device ID, latitude and longitude plus timestamp in five minute or less increments).  We do collect information related to visits to commercial locations, such as restaurants, retail stores, and car dealerships (e.g., pseudonymous device ID, latitude and longitude, timestamp and duration of visit).  We do not collect information related to visits to sensitive locations such as places of worship, domestic abuse shelters, drug and alcohol treatment centers or reproductive health clinics. 

Collection and Use of Deidentified Data:  Acxiom collects deidentified information (as that term is defined in applicable US statutes) that are used to build our marketing models.  Acxiom commits to maintain and use such information in its deidentified form and not attempt to reidentify the information.  
    
Collection and Use of Retail Purchase Data:  Acxiom does not collect individually identifiable information regarding retail purchases at a granular level (i.e., at a “SKU”- level).  Instead, Acxiom collects identifiable retail purchase information at category levels (e.g., “health & beauty products,” “clothing,” “electronics”).         
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 11:20:53,Complete Medical Lists Inc,,https://www.completemedicallists.com,tburnell@completemedicallists.com,,758 Main St,Franconia,NH,03580,USA,,No,No,No,https://www.completemedicallists.com/privacy.php,No,,No,,No,,No,,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/24 11:40:07,Pacific East Research Inc.,,https://www.pacificeast.com,srice@pacificeast.com,800-665-8400,"8625 SW Cascade Ave, STE 250",Beaverton,OR,97008,USA,,No,No,No,https://www.pacificeast.com/contact-us-privacy/,No,,Yes,Some of our services containing PII data fall under GLBA because they use GLBA regulated data sources.  Our contracts with customers contain specific language related to what customers can and can not do with GLBA regulated data.,No,,No,,Yes,Some of our service provide regulated (under HIPAA) entities to process PII through PacificEast.  Each of these entities is under both a standard contract and an additional BAA agreement as it relates to adhering to HIPAA rules for processing data.,PacificEast is a processor on behalf of other entities.  We do not retain any consumer information.  We process it against data service providers in real-time or batch then remove any temporary files.  We use only consumer information provided by our customers and our data suppliers.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
