"uid","datasetinformation_agency","name","url","description","type","category","tags","last_metadata_updated_date","last_data_updated_date","api_endpoint","domain","derived_view","parent_uid","attribution","attribution_link","contact_email","datasetsummary_datasetowner","datasetsummary_organization","datasetsummary_contactinformation","datasetsummary_timeperiod","datasetsummary_postingfrequency","datasetsummary_coverage","datasetsummary_granularity","disclaimers_limitations","notes_notes","additionalresources_seealso","disclaimers_disclaimer"
"hzc5-dr9b","Justice Center for the Protection of People with Special Needs","Justice Center Case Outcomes by Month: Beginning 2022","https://data.ny.gov/d/hzc5-dr9b","This dataset provides the number of case closings in each month by outcome of case. Abuse and neglect case outcomes are determined by the outcome of the allegation(s) within the case.  

Data is accurate at time of reporting. Additional information, evidence, or reports received by the Justice Center may alter a classification.","dataset","Human Services","investigations,vulnerable populations,justice center,case,abuse neglect","2026-01-08T16:11:54.000","2026-01-08T16:11:55.000","https://data.ny.gov/resource/hzc5-dr9b.json","data.ny.gov","false",,"Justice Center for the Protection of People with Special Needs","https://www.justicecenter.ny.gov","jc.dl.communicationsoffice@justicecenter.ny.gov","Justice Center for the Protection of People with Special Needs","Office of Investigations","jc.dl.communicationsoffice@justicecenter.ny.gov","Beginning 2022","Quarterly","Statewide","Month","Data is accurate at time of reporting. Additional information, evidence, or reports received by the Justice Center may alter a classification.",,"https://www.justicecenter.ny.gov/investigations",
"44wf-4yxs","Parks, Recreation and Historic Preservation, Office of","State Park Facility Points with Playgrounds","https://data.ny.gov/d/44wf-4yxs","The New York State Office of Parks, Recreation and Historic Preservation (OPRHP) oversees more than 250 state parks, historic sites, recreational trails, golf courses, boat launches and more,  encompassing nearly 350,000 acres, that are visited by 74 million people annually.  These facilities contribute to the economic vitality and quality of life of local communities and directly support New York’s tourism industry.  Parks also provide a place for families and children to be active and exercise, promoting healthy lifestyles.  The agency is responsible for the operation and stewardship of the state park system as well as advancing a statewide parks, historic preservation, and open space mission.","filter","Recreation","golf,camping,recreation,parks,nature centers,historic","2025-01-29T03:23:24.000","2024-12-12T04:52:23.000","https://data.ny.gov/resource/44wf-4yxs.json","data.ny.gov","true","9uuk-x7vh","New York State Office of Parks, Recreation and Historic Preservation","http://nysparks.com/","Notes@parks.ny.gov","GIS Bureau","GIS Bureau","Notes@parks.ny.gov","Present","As needed","Statewide","Facility","Some attribute information such as availability of a playground or swimmable beach is incomplete. Unless noted, it should be assumed that there is not a playground or beach at the facility. The agency is currently working to update and complete that information. ",,,
"etik-ck6b","Taxation and Finance, Department of","Income Tax Components of Full-Year Residents by Size of Income (All Returns) - Table 2","https://data.ny.gov/d/etik-ck6b","The Department of Taxation and Finance annually produces a data (study) file and provides a report of statistical information on New York State personal income tax returns that were timely filed. Timely filing means that the tax return was delivered to the Department on or before the due date of the tax return. The data are from full-year resident, full-year nonresident, and part-year resident returns. This dataset defines individuals filing a resident tax return as full-year residents and individuals filing a nonresident tax return are defined as either a full- year nonresident or a part-year resident.Data presented in this dataset provide the major income tax structure components by size of income. The components include income, deductions, dependent exemptions, and tax liability. The data also provides this information by size of income and by the filer’s permanent place of residence (county, state or country). For a more detailed explanation on the determination of residency and components of income see the attachment: NYSTF_PlaceOfResidence_Introduction.Researchers agree to: Use the data for statistical reporting an analysis only. The author will include a disclaimer that states any analyses, interpretations or conclusions were reached by the author and not the New York State Department of Taxation and Finance.","filter","Government & Finance","tax,county,income,liability","2025-01-30T05:59:12.000","2021-05-24T22:30:00.000","https://data.ny.gov/resource/etik-ck6b.json","data.ny.gov","true","5bb2-yb85","New York State Department of Taxation and Finance","https://www.tax.ny.gov/research/stats/stat_pit/county_of_residence/analysis_of_2014_state_personal_income_tax_returns_by_place_of_residence_open_data.htm","OTPA.OpenNYData@tax.ny.gov","New York State Department of Taxation and Finance","Office of Tax Policy Analysis","OTPA.OpenNYData@tax.ny.gov","Beginning Tax Year 1999 and forward","Annual","Statewide","Place of Residence","This dataset includes timely filed taxpayers.",,"http://www.tax.ny.gov/forms/income_cur_forms.htm",
"nkdr-eaaf","Budget, Division of","New York State Executive Budget Appropriations: 2015-2016","https://data.ny.gov/d/nkdr-eaaf","This data set includes appropriation, reappropriations and workforce levels for the current State fiscal year and upcoming budget year.","dataset","Government & Finance","ftes,appropriation","2026-03-19T18:52:24.000","2015-01-21T18:56:43.000","https://data.ny.gov/resource/nkdr-eaaf.json","data.ny.gov","false",,"Division of the Budget","http://openbudget.ny.gov/","HelpDesk@budget.ny.gov","Division of the Budget","Division of the Budget","HelpDesk@budget.ny.gov","State fiscal Years 2014-15 and  2015-16 and data captured as of January 21, 2015","Static - Not Updated","Statewide","agency, fund type, fund, subfund, program and appropriation category",,,"http://www.budget.ny.gov/",
"cfah-jbe4","Transportation, Department of","Centerline Rumble Strips Mileage Totals by County Chart","https://data.ny.gov/d/cfah-jbe4","This data set shows the location of center line rumble strips installed across state highways in New York State by the Department of Transportation (NYS DOT).  It  includes the county and route where installed, the to and from reference markers definining the installation, the length in miles and the year each section was completed. Centerline Rumble Strips are installed to reduce fatal and injury accident resulting from ""Run off the Road Crashes"" (non-intersection head-on and opposite-direction sideswipe crashes). The official name for centerline rumble strips is Centerline Audible Roadway Delineators (CARDS).","chart","Transportation","rumble stripes,centerline rumble strips,cards","2025-01-10T17:59:23.000","2022-03-18T16:17:53.000","https://data.ny.gov/resource/cfah-jbe4.json","data.ny.gov","true","gx9b-d8qm","New York State Department of Transportation","https://www.dot.ny.gov/programs/rumblestrips/centerrumblestrips","robert.zitowsky@dot.ny.gov","New York State Department of Transportation","Office of Traffic Safety and Mobility","robert.zitowsky@dot.ny.gov","Beginning 2012","Annually","Statewide","State highways",,,"https://www.dot.ny.gov/divisions/engineering/design/dqab/dqab-repository/RefMarkerManual.PDF",
"rpku-hjxn","Empire State Development","START-UP NY Tax-Free Area Locations","https://data.ny.gov/d/rpku-hjxn","Empire State Development (ESD) produces an annual report with a cumulative list of College and University Sponsors approved in the START-UP NY Program.  The dataset displays the name of the Sponsor, the street address, city and county of the tax-free areas (TFA) designated by that college or university, square footage of each building space and acreage of each parcel of vacant land, the name of buildings designated and the START-UPNY website of the college.","dataset","Economic Development","tax-free area,start-upny,tfa","2026-03-27T19:45:33.000","2025-08-26T20:30:06.000","https://data.ny.gov/resource/rpku-hjxn.json","data.ny.gov","false",,"NYS Empire State Development (ESD)","http://esd.ny.gov/index.html","opendata@esd.ny.gov","Empire State Development","ESD Economic Incentives","opendata@esd.ny.gov","Beginning 2014","Annually","Statewide","Tax-free area",,,"http://esd.ny.gov/BusinessPrograms/Data/StartUpNY/06232015_STARTUPNY_Statute.pdf",
"8pe8-h28p","Environmental Conservation, Department of","Composting - Solid Waste Management Facilities","https://data.ny.gov/d/8pe8-h28p","Active Solid Waste Management Facilities","filter","Energy & Environment","composting,household hazardous waste,waste tire storage,biosolids,municipal waste combustor,land application,processing,landfill,recycling,vehicle dismantler,transfer station,regulated medical waste","2024-12-12T20:08:41.000","2025-12-11T18:32:33.000","https://data.ny.gov/resource/8pe8-h28p.json","data.ny.gov","true","2fni-raj8","Department of Environmental Conservation","http://www.dec.ny.gov/chemical/8495.html","swpermit@dec.ny.gov","Department of Environmental Conservation","Division of Materials Management/Bureau of Permitting and Planning","swpermit@dec.ny.gov","Current","Annually","Statewide","County","Annual capacities, service area, and disposal/recovered destination are available from the facility submitted annual reports.",,"http://www.dec.ny.gov/chemical/8498.html",
"vpv5-zd4k","Transportation, Department of","Annual Enplanements in NYS Airports: Beginning 1997","https://data.ny.gov/d/vpv5-zd4k","The dataset lists the number of passengers boarding an aircraft at the NYS Airports.","dataset","Transportation","air passengers,enplanements,airports","2025-03-27T19:23:24.000","2025-03-27T19:23:25.000","https://data.ny.gov/resource/vpv5-zd4k.json","data.ny.gov","false",,"New York State Department of Transportation","http://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/","ross.dubarry@dot.ny.gov","Aviation Bureau","Aviation Bureau","ross.dubarry@dot.ny.gov","Beginning 1997","Annually","Statewide","Statewide by Airport — including Newark which serves the New York Metro Area. Airports grouped by region.","Does not include arriving or through passengers.  Data is collected for a full calendar year. 2012 figures will become available in July 2013.","United States Department of Transportation is the main source of enplanement statistics. Enplanement data is gathered from the Air Carrier Activity information System (ACAIS), an FAA database. ","http://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/index.cfm?sect=collection",
"2u7m-echw","Commission on Ethics and Lobbying in Government, New York State","Lobbyist Bi-Monthly Reports: 2022","https://data.ny.gov/d/2u7m-echw","Any Principal Lobbyist required to file a Statement of Registration for a Client in a biennial period must also file Bi-monthly Reports, regardless of Compensation, Expenses, or Lobbying Activity, up to the Lobbying Agreement Termination (End) Date. The Bi-monthly Report requires the Filer to disclose the Lobbying Activities that occurred, and monies spent during the applicable reporting period. Proper disclosure of these Lobbying Activities necessitates a level of specificity that makes clear to the public exactly what and who was being lobbied during the specific Bi-monthly reporting period.","filter","Transparency","client,unstructured coalition,tribal state compacts,tribal state agreements,transparency,targets,state activities,rules,resolutions,regulations,registration,ratemaking,procurement,permits,parties lobbied,municipal activities,lobbyist,lobbying subjects,lobbying disclosures,lobbying agreement,lobbying activity,lobbying,licensing,legislative resolutions,legislative bills,land use,funding,expenses,executive orders,contractual client,beneficial client,biennial,compensation,coalition","2023-10-18T14:32:47.000","2026-01-31T01:48:43.000","https://data.ny.gov/resource/2u7m-echw.json","data.ny.gov","true","t9kf-dqbc","NYS Commission on Ethics and Lobbying in Government (COELIG)","https://ethics.ny.gov/public-data","ethics@ethics.ny.gov","NYS Commission on Ethics and Lobbying in Government (COELIG)","Lobbying Unit","ethics@ethics.ny.gov","2022","Semi-annually","Statewide","Bi-Monthly reports include the identities of the Lobbyists and Clients, lobbying compensation and expense information, and descriptions of the actual lobbying activities, subjects and parties lobbied. Bi-Monthly reports cover a two-month reporting period (January/February, March/April, etc.).",,,"https://ethics.ny.gov/lobbying-laws-and-regulations",
"8wa7-87p5","Energy Research and Development Authority","RSBS: Single Family On-Site Inspections, Site-Level, New York State Residential Statewide Baseline Study","https://data.ny.gov/d/8wa7-87p5","The New York State Energy Research and Development Authority (NYSERDA), in collaboration with the New York State Department of Public Service (DPS), conducted a statewide residential baseline study (study) from 2011 to 2014 of the single-family and multifamily residential housing segments, including new construction, and a broad range of energy uses and efficiency measures.  This dataset includes data collected from a total of 700 on-site inspections of single family buildings. The types of data collected during the inspections covers property characteristics, heating and cooling equipment, water heating equipment, appliances, lighting, clothes washing and drying, miscellaneous energy using equipment, and observable operating behavior.  The objective of the inspections was to enhance the residential baseline study with detailed on-site information and, to the degree possible, verify self-reported data from the phone and web surveys.

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit https://nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","dataset","Energy & Environment","rsbs,multifamily homes,rsbl study,baseline study,energy efficiency,market characterization","2026-03-30T18:28:41.000","2015-12-17T21:42:00.000","https://data.ny.gov/resource/8wa7-87p5.json","data.ny.gov","false",,"New York State Energy Research and Development Authority","https://nyserda.ny.gov","openny@nyserda.ny.gov","New York State Energy Research and Development Authority ","The New York State Energy Research and Development Authority’s Operational Transformation and Lean Group","openny@nyserda.ny.gov","2011-2014","Static - Not Updated","Statewide","Survey Participant","This data collected is intended for statewide, climate zone, and construction type analysis based on the statistical standard referenced above.",,"http://www.nyserda.ny.gov/Residential-Statewide-Baseline-Study-of-New-York-State.aspx",
"vcy8-dghb","Information Technology Services, Office of","New York State Cities Hierarchy with Websites","https://data.ny.gov/d/vcy8-dghb","The dataset contains a hierarchal listing of New York State counties, cities, towns, and villages, as well as official locality websites","filter","Government & Finance","locality,city,viillage,town,county","2025-01-15T01:48:39.000","2023-03-06T22:54:35.000","https://data.ny.gov/resource/vcy8-dghb.json","data.ny.gov","true","55k6-h6qq","NYS Office of Information Technology Services",,,,,,,"As needed","Statewide","Municipality","Websites are current as of last update.   Where a website did not exist, the data element for the website is blank.  ",,"http://www.dos.ny.gov/lg/",
"njpb-82gi","Aging, Office for","Directory of Long Term Care Ombudsman Program (LTCOP) Service Providers","https://data.ny.gov/d/njpb-82gi","This data set from NYS Office for the Aging (OFA) provides a listing of community resources to help the public find services for older and disabled New Yorkers.  Included is information on he LTCOP (Long Term Care Ombudsman Program) office resources and advocates for older adults and persons with disabilities who live in nursing homes, assisted living and other licensed adult care homes.","filter","Human Services","aging offices,aging,ny connects,ltcop,hiicap,aging resources,aaa","2026-03-19T14:53:55.000","2024-01-18T14:39:49.000","https://data.ny.gov/resource/njpb-82gi.json","data.ny.gov","true","jwv3-3scj","New York State Office for the Aging","http://aging.ny.gov","Steve.Sconfienza@Aging.NY.gov","New York State Office for the Aging","Local Program Operations, Reporting and Data Unit","Steve.Sconfienza@Aging.NY.gov","Current","As needed","Statewide","County","Address and phones numbers may change at any time.  Information changes may not be relayed to staff in a timely manner.  Some counties do not have all resources available.",,"http://aging.ny.gov/healthbenefits",
"khsn-rs3j","Commission on Ethics and Lobbying in Government, New York State","Public Corporation Bi-Monthly Report: 2023","https://data.ny.gov/d/khsn-rs3j","Any Principal Lobbyist (including Public Corporations) required to file a Statement of Registration for a Client in a biennial period must also file Bi-monthly Reports, regardless of Compensation, Expenses, or Lobbying Activity, up to the Lobbying Agreement Termination (End) Date. The Bi-monthly Report requires the Filer to disclose the Lobbying Activities that occurred, and monies spent during the applicable reporting period. Proper disclosure of these Lobbying Activities necessitates a level of specificity that makes clear to the public exactly what and who was being lobbied during the specific Bi monthly reporting period.","filter","Transparency","expenses,funding,regulations,state activities,rules,lobbying subjects,municipal activities,targets,beneficial client,biennial,client,coalition,compensation,contractual client,executive orders,unstructured coalition,tribal state compacts,resolutions,procurement,permits,parties lobbied,lobbying,lobbying activity,lobbying agreement,lobbying disclosures,lobbyist,land use,legislative bills,legislative resolutions,licensing,tribal state agreements,transparency,registration,ratemaking","2023-10-18T14:39:03.000","2026-01-30T00:41:24.000","https://data.ny.gov/resource/khsn-rs3j.json","data.ny.gov","true","ffd8-nyat","NYS Commission on Ethics and Lobbying in Government (COELIG)","https://ethics.ny.gov/public-data","ethics@ethics.ny.gov","NYS Commission on Ethics and Lobbying in Government (COELIG)","Lobbying Unit","ethics@ethics.ny.gov","2023","Semi-Annually","Statewide","Bi-Monthly reports include the identity of the Public Corporation, any In-house or Retained Lobbyists, lobbying compensation and expense information, and descriptions of the actual lobbying activities, subjects and parties lobbied. Bi-Monthly reports cover a two-month reporting period (January/February, March/April, etc.).","Lobbying activities such as legislative bill numbers are all manually data-entered by the filer and are not connected to any legislative retrieval service. Please refer to the Senate and Assembly bill search websites for descriptions on legislative bill numbers reported on any filings. Also, please note that any lobbying disclosures directly reported to the NYC Lobbying Bureau are NOT included in these datasets. Please visit the NYC Lobbying Bureau to view those filings.","Due to the enormity of the datasets and to maintain the integrity of the data, in cases where a filer has entered more than one lobbying subject, itemized expense, lobbying focus, and/or parties lobbied, multiple rows of information can be attributed to a single filing. Please refer to the ‘Form Submission ID’ to determine how many rows of information account for a single filing.","https://ethics.ny.gov/lobbying-laws-and-regulations",
"bhbm-nq56","Budget, Division of","New York State Executive Budget Capital Appropriations, as Amended: 2018-2019","https://data.ny.gov/d/bhbm-nq56","This data set includes capital project appropriations and reappropriations as they relate to the FY 2019 Executive Budget, as amended.","dataset","Government & Finance","reappropriations,encumbrances,appropriations","2026-03-19T20:04:40.000","2018-02-15T22:13:25.000","https://data.ny.gov/resource/bhbm-nq56.json","data.ny.gov","false",,"Division of the Budget",,"dob.sm.HelpDesk@budget.ny.gov","Division of the Budget","Expenditure/Debt Unit","dob.sm.HelpDesk@budget.ny.gov","State Fiscal Year 2018-19 and data captured as of February 15, 2018","Static - Not Updated","Statewide","agency, reference number, comprehensive construction program,  state purpose, fund, financing source, chapter/section year of law and appropriation description.",,,"https://www.budget.ny.gov/",
"883u-arwb","Energy Research and Development Authority","NYSERDA Transparency Storyboard","https://data.ny.gov/stories/s/883u-arwb","The NYSERDA Transparency Storyboard highlights NYSERDA's Transparency plan and upcoming Open NY catalog items","story","Energy & Environment","coming soon,accountability,upcoming,transparency,plan,pipeline,open ny,open data","2022-03-04T21:45:28.000","2024-12-31T20:55:21.000",,"data.ny.gov","false",,"Energy Research and Development Authority",,"rebecca.gagnon@nyserda.ny.gov","NYSERDA","New York State Energy Research and Development Authority (NYSERDA)","openny@nyserda.ny.gov","Beginning February 2022","As Needed","Statewide","Open NY Catalog Item","Upcoming Open NY catalog items are subject to change",,"https://www.governor.ny.gov/hochul-administration-transparency-plans","Upcoming Open NY catalog items are not guaranteed future publications."
"2jw2-xynj","Thruway Authority","Thruway E-ZPass/Cash Hourly Usage by Plaza by Month: Beginning 2006","https://data.ny.gov/d/2jw2-xynj","This dataset contains E-ZPass and Cash vehicle count data by hour by toll plaza, beginning with 2006 data.  For each toll plaza, a row of data exists for each hour of each day and for each direction of travel, depending on the type of toll barrier.","filter","Transportation","e-zpass,traffic counts,thruway","2025-01-14T22:44:20.000","2022-03-23T12:39:58.000","https://data.ny.gov/resource/2jw2-xynj.json","data.ny.gov","true","2hz2-2s5g","New York State Thruway Authority","http://www.thruway.ny.gov/index.shtml","eric.herman@thruway.ny.gov",,"New York State Thruway Authority","eric.herman@thruway.ny.gov","Beginning 2006","Annually","Statewide","Toll Plaza",,,"http://www.thruway.ny.gov/travelers/travelplazas/index.html",
