year,agency,tool_name,tool_desc,purpose_type,purpose_desc,date_first_use,data_training,data_input,data_output,data_2022,identifying_info,analysis_type,computation_type,population_type,population_type_individual,population_type_other,vendor_name,vendor_desc,vendor_2022,updated,updated_desc
2022,Department of Health and Mental Hygiene,Newborn Home Visiting Program Screening Tools,The NHVP database uses an algorithm based on screening tool results to determine breastfeeding and maternal depression referrals.,NA,"Based on the results from the PHQ-9 and GAD-7 screening tools, a client is deemed eligible for a referral to the internal program social worker for follow up on maternal mental health services. In addition, a breastfeeding assessment tool also embedded within the NHVP database is used to make referrals to the program's lactation support services. Based on the client's score, there is a decision made around the intensity of lactation support services that the client will receive.",2015/09,NA,NA,NA,"Data comes from standard tools around depression (PHQ-9) and anxiety (GAD-7). The threshold for the depression screening is a score of 10 and above, and threshold for the anxiety screening tool is also a score of 10 or above. This triggers a referral with the client's consent to the program's social worker for services, unless there is an immediate need identified such as imminent harm to self or others. Data from the breastfeeding tool is obtained in a questionnaire completed through the lead home visitor or the International Board Certified Lactation Consultant (IBCLC's) observation around baby's readiness to feed, latching, parental comfort to feed the baby, observation of milk transfer from mother to baby and parental report of baby's stool/urine output frequency.",NA,NA,NA,NA,NA,NA,NA,NA,The Newborn Home Visiting Program Database is a DOHMH DITT Developed in-house system. The breastfeeding screening tool was developed within the program by a certified nurse.,NA,NA
2022,Department of Health and Mental Hygiene,Pangolin Division of Disease Control,"Pangolin uses a combination of several methods, including random forest tree classification methods, and maximum parsimony to assign lineage names to SARS-CoV-2 genomic sequences to bin sequences that are more likely to be similar.",NA,Assigns SARS-CoV-2 viral sequences obtained from clinical specimens to known lineages. Used to determine circulating lineages in NYC.,2021/07,NA,NA,NA,Nucleic acid sequences recovered from pathogen genomes using high throughput sequencing. The ML model is trained using the sequence data collected from around the world to generate variant nomenclature. Input data are designated with a variant name by maximum parsimony and random forest tree classification methods.,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Department of Health and Mental Hygiene,PHYLOViZ Division of Disease Control,"For representing the possible evolutionary relationships between strains, PHYLOViZ uses the goeBURST algorithm, a refinement of eBURST algorithm by Feil et al., and its expansion to generate a complete minimum spanning tree (MST)",NA,Used to generate the minimum spanning tree relationships which are used to rule in or out Legionella strains in outbreaks.,2017/10,NA,NA,NA,Assembled nucleic acid sequences recovered from pathogen genomes using high throughput sequencing and qualitative data to represent sample and patient data.,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Department of Investigation,Facial Recognition Technology,"The tool analyzes an uploaded image or video and searches and compares it with lawfully possessed images to generate a pool of possible matches. If possible matches are identified, a trained DOI examiner visually analyzes and evaluates potential matches to assess reliability of a match consistent with agency policy and applicable laws. A match serves as an investigative lead for additional investigative steps and does not constitute a positive identification.",NA,Facial recognition is a digital technology that DOI uses to analyze uploaded images or videos of people and objects obtained during an investigation by comparison with lawfully possessed images. Facial recognition generates possible matches of an object or individual from this analysis and comparison. The purpose of the tool is to assist DOI investigations of matters within its jurisdiction including fraud and other criminal activity.,2019/03,NA,NA,NA,"Training data:  Self-trained in system usage.

Input data:  Images.",NA,NA,NA,NA,NA,NA,NA,NA,Out-of-the-box product. The vendor provides ongoing technical assistance. Confidentiality agreements are in place with the vendor.,NA,NA
2022,Department of Social Services,Homebase Risk Assessment Questionnaire (RAQ),"Homebase applicants answer questions about their current housing situation, history of disruptive experiences, and shelter history.  Each of the answers is assigned a number of points, and applicants that reach a certain point threshold are eligible for additional Homebase services such as financial assistance and case management.  Workers are able to override a limited number of model decisions with permission of a supervisor.",NA,"The Homebase program was created to prevent households from entering the DHS shelter system. Since NYC has a range of antipoverty programs and the number of households entering shelter is small compared to the pool of New Yorkers who enrolled in public assistance or have an eviction filing each year, the Agency had to ensure that the households who most needed additional homelessness prevention services were being enrolled in Homebase programs.  Research showed that staff were not accurately able to predict who would or would not enter the DHS shelter system and that using a risk assessment would provide a much better way to match resources to the families who would benefit the most.",2012/06,NA,NA,NA,"Training data:  The RAQ was developed based on analysis of data on Homebase enrollees from 2004 to 2008, conducted in conjunction with a team of academic researchers, to determine predictive factors for those entering shelter.

Input data:  Personal characteristics such as age and pregnancy; educational attainment, employment status, benefits status; housing issues such as eviction, discord, number of moves, recent discharge from institutions; traumatic childhood experiences; past and recent experience of homelessness.",NA,NA,NA,NA,NA,NA,NA,NA,DHS contracted with researchers to evaluate years of Homebase administrative data to develop a risk assessment.  The published research papers are listed below:  https://ajph.aphapublications.org/doi/10.2105/AJPH.2013.301468  https://www.journals.uchicago.edu/doi/abs/10.1086/686466?mobileUi=0&journalCode=ssr,NA,NA
2022,Fire Department,EMD Schedule Optimization Tool,"The algorithm requires two datasets.  First, the tool requires the average number of medical calls per hour for a 24-hour period.  Second, the tool requires a user to specify the number of call takers assigned to each tour. Based on these two inputs, the tool provides a projection of supply (call takers) versus demand (medical calls). Additionally, the tool can take the total number of available staff and optimally allocate them across tours to maximize the minimum difference between supply and demand. Based on these outputs, EMD officers can identify times during the day when call taker utilization is high and reallocate staff to accommodate.",NA,The purpose of the tool is to provide Emergency Medical Dispatchers (EMD) staff a tool to optimally allocate call takers during a 24-hour period.  The tool uses an expected number of incoming calls and the number of personnel scheduled to work in order to allocate the call takers to different shifts such that the supply of call takers exceeds the demand for call takers.,2021/06,NA,NA,NA,"Training data: This is an optimization model and was not ""trained"" using training data. The algorithm relies on actual historical data to determine average hourly medical calls.

Input data: The tool requires an hourly count of medical calls arriving during a 24-hour period. Additional ""data"" requirements are input from the user depending on user-driven scenarios. For example, a user could specify five 8-hour tours per day (at different start times) rather than existing four tours (2 8-hour tours and 2 12-hour tours).",NA,NA,NA,NA,NA,NA,NA,NA,The tool was developed internally at FDNY in partnership with Columbia University's Industrial Engineering and Operations Research Department.,NA,NA
2022,Fire Department,EMS Ambulance Scheduling Tool,"The tool requires the average number of medical emergencies per hour by dispatch area and the ambulance schedule of each dispatch area. Based on this information, the algorithm will optimize tour start times to maximize the minimum difference between the supply of ambulances and the demand for an ambulance.",NA,The purpose of the tool is to match the supply of EMS ambulances to the demand for ambulances (medical emergencies) over a 24-hour period for each EMS dispatch area. The tool uses an existing ambulance schedule for each dispatch area and optimizes their start times in order to match the demand for an ambulance. The tool supports FDNY EMS in developing an ambulance schedule citywide.,2021/06,NA,NA,NA,"Training data: This is an optimization model and was not ""trained"". The model optimizes based on the hourly average number of incidents in a dispatch area.

Input data: There are two input data sources. First, the supply of ambulances which includes the start and end times of each ambulance tour in the city, as well as the starting location of the ambulance. The second input is the demand, which is the number of medical emergencies per hour per dispatch area.",NA,NA,NA,NA,NA,NA,NA,NA,The tool was developed internally at FDNY in partnership with Columbia University's Industrial Engineering and Operations Research Department.,NA,NA
2022,Fire Department,EMS Hospital Load Balancing Algorithm,"The algorithm requires three data inputs: the estimated travel time from any ATOM to any hospital, the number of available beds for every hospital and the estimated number of transports that will occur the following day at every hospital.  The algorithm first determines if any hospital is expected to receive more patients than available beds.  If overload is expected, the algorithm reallocates the necessary ATOMs such that no hospital is overloaded, and the reallocation of any ATOM is done so with minimal additional travel time.  The optimized output - known as a pattern - is directly input into the EMS CAD system for use in the following day.",NA,"The hospital load balancing algorithm is designed to optimize hospital transports in a way that proactively avoids hospitals from being congested with too many patients, while at the same time minimize the total travel times as much as possible.  The outputs of the algorithm are used in the EMS Computer Aided Dispatch (EMS CAD) system to provide EMS crews with an optimal hospital to transport patients.",2021/01,NA,NA,NA,"Training data:  This is an optimization model and was not ""trained"".

Input data:  There are three input data sources. First is an ATOM-to-hospital travel time matrix. This matrix is computed by FDNY based on historical travel time information. Second, the algorithm consumes hospital bed availability data from the HERDS dataset generated by the New York State Department of Health and provided by NYC DOHMH. Finally, we estimate the number of transports that will occur at each hospital for the next day by using historical data and computing a 3-day moving average.",NA,NA,NA,NA,NA,NA,NA,NA,The tool was developed internally at FDNY in partnership with Columbia University's Industrial Engineering and Operations Research Department.,NA,NA
2022,Fire Department,EMS Hospital Suggestion Algorithm,"The algorithm computes a list of hospitals in order of closest to furthest in time for each medical condition category as currently established. (For example, there is a list of hospitals computed in order of closest in time for all hospitals that accept General Emergency Department patients and for all hospitals that accept special conditions, such as burns). Depending on the medical needs category of the patient, the algorithm produces a pre-determined list of hospitals which is based on the location of the patient and then made available to the crew as a list of ""closest, most appropriate hospitals.""",NA,"The EMS Hospital Suggestion Algorithm is used to determine the closest, appropriate hospital to the incident location based on the needs of a patient requiring transport.",2007/03,NA,NA,NA,Input data: The EMS Hospital Suggestion algorithm relies on telematics data from the Department of Citywide Administrative Services city-owned vehicles collected between 2015 and mid-2016 to calibrate a network analysis model that derives incident to hospital transport times. The order of suggested hospitals are then compared with five years of historical EMS hospital transport data from before the COVID-19 pandemic (2015-2019) to validate and correct the network model.,NA,NA,NA,NA,NA,NA,NA,NA,"This algorithm and the resulting output file that  is used in our EMS CAD system to suggest hospitals was provided by a vendor, until September 2020. The Department currently creates this file using a new algorithm, developed in-house by the Bureau of Management Analysis and Planning in conjunction with engineers from Columbia University.",NA,NA
2022,Fire Department,EMS Unit Suggestion Algorithm,"The algorithm computes a list of geographic atoms in order of closest to furthest in time for each atom in the city. This list of ordered atoms is the output of an algorithm that relies on a calibrated network model to derive travel time estimates. The output is an excel file which is converted into an EMSCAD-compatible file and loaded into the system for real-time unit selection capabilities. The file is generated and implemented as a 24/7 source file, meaning, the recommended search order is not currently varying by time of day. The Department is intending to implement time-of day search orders in the near future.",NA,The EMS Unit Suggestion Algorithm is used to determine which order of geographic regions (known as atoms) to search in order for the EMSCAD system to select an appropriate EMS unit for dispatch to an incident.,2007/03,NA,NA,NA,Input data:  The EMS Unit Suggestion algorithm relies on historical FDNY CAD trip time data which is used to calibrate a network analysis model which derives atom-to-atom transport times.,NA,NA,NA,NA,NA,NA,NA,NA,"This algorithm and the resulting output file that  is used in our EMS CAD system to suggest atom order for unit search is currently provided by a vendor, Deccan International.",NA,NA
2022,Fire Department,RBIS (Risk Based Inspection Program); ALARM (A Learning Approach to Risk Modeling),"ALARM is a combined approach using machine learning and risk ratios to assess the risk of a building for structural fire ignition (probability) and civilian fire injury/death (impact). The machine learning algorithm takes incident data, housing characteristics, and 311 data and creates a probability of structural fire ignition. This is combined with a civilian injury or death risk ratio for the building which is based on building characteristics, incident data and nearby felony crimes to create a risk score (range is 1-9), with 1 being highest risk and 9 being lowest. Buildings are prioritized within each of the nine risk scores according to the residential population in each building.",NA,"ALARM creates risk scores for each building in the city. These scores are used to schedule our Fire Operations building inspections within the inspectable population of buildings in the City (~330,000 BINs), as a part of the Risk-Based Inspection Program.",2019/11,NA,NA,NA,"Training data: In order to create the models, the team utilized a 5-year incident dataset and reserved 99% of the data to train the probability model and 80% of the data to train the impact model.

Input data: The ALARM risk score utilizes data from our fire and EMS dispatch system, building characteristic data, 311 calls, felony crimes, census data and civilian injury data.",NA,NA,NA,NA,NA,NA,NA,NA,"ALARM was built in-house by a team of analysts from the Management, Analysis and Planning Bureau.",NA,NA
2022,Mayor's Office,Methodology for Poll Site Language Assistance - MO - CEC,"Since no dataset is currently available that reliably captures the number of limited English proficient (LEP) registered voters for all program languages, the CEC uses the percentage of LEP citizens of voting age (CVALEP) as a substitute or proxy measure of need.  CEC ranks  the Program Eligible Languages in order of magnitude of CVALEP and distributes poll sites to each language based on its ranking (excluding CVALEP persons that speak languages served by NYCBOE in certain New York City counties). The number of poll sites that will receive services in any given language will depend on each language’s share of the total CVALEP in the population eligible to be served. For example, according to U.S. Census data, approximately 207,926 New Yorkers are CVALEP and speak a language that is served by this Program. This proportionality approach allows CEC to balance goals of including diverse language communities as well as fair access to the total number of eligible voters within each language community. The Program provides interpreters in Program Eligible Languages at poll sites based on U.S. Census data showing concentrations of CVALEP individuals who speak these languages and reside around each poll site. For each language, poll sites are chosen in descending order of concentration of CVALEP, until the language’s share is met.  This process is repeated for each language, thereby including the poll sites with the highest concentration of CVALEP for each Program Eligible Language until that language’s share is met, and the total number of poll sites for which resources are allocated is reached.  It may be possible, based on analysis of data, to reassign poll sites to languages with greater need; however, each language will receive a minimum of at least one poll site. Models used included the thiessen polygon method to create a voronoi diagram to determine CVALEP estimates.",NA,"This is a methodology for determining how the New York City Civic Engagement Commission (CEC) will provide interpretation services at poll sites for limited English proficient voters.  The methodology explains how the NYCCEC will identify the languages and locations in which interpretation services will be offered during the November 2020 election and beyond.  These services supplement the interpretation assistance provided by NYC Board of Elections  in several languages. Under the Charter, the NYCEC can only provide interpretation services in a language if: (1) it is a designated citywide language; or (2) it is spoken by a greater number of LEP New Yorkers than the lowest ranked designated citywide language and at least one poll site has a significant concentration of speakers of such language with LEP.  This methodology ensures service for all languages that are eligible under the Charter.",2020/11,NA,NA,NA,"Input data:  For citywide estimates, this methodology uses current data from the American Community Survey (ACS) 2016-2020 5-year estimates. This methodology also uses the American Community Survey Census Tract 2016-2020 5-year Public Use Microdata Samples for poll site level analysis; this is the most current and accurate data available on resident New Yorkers at the neighborhood level. In addition, the methodology uses data from the Board of Elections on the location of election districts and poll sites.",NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA
2022,Mayor's Office,Scorecard Blockface Sampling Algorithm - MO - Operations,The Scorecard program sends inspectors across New York City to rate street and sidewalk cleanliness. The sampling algorithm creates a monthly list of blocks for inspectors to visit and rate.,NA,"The primary goal of the algorithm is to produce a sample of blockfaces that is statistically sound and geographically representative. This list is used to rate  street and sidewalk cleanliness citywide, as well as by borough and DSNY district.",2022/03,NA,NA,NA,"The blockface sample is selected from the Pavement Edge File, which is part of the NYC Planimetric Database managed by the Office of Technology and Innovation. Sampling is weighted towards blockfaces in high-density areas and includes extra sampling of blockfaces in Business Improvement Districts (BIDs). It also takes into account the linear miles of street within a DSNY District.",NA,NA,NA,NA,NA,NA,NA,NA,The sampling algorithm was developed by the former Mayor's Office of the Chief Technology Officer in partnership with the Mayor's Office of Operations.,NA,NA
2022,Mayor's Office,SmartVAN / TargetSmart - MO - PEU,"The Mayor's Public Engagement Unit (PEU) uses SmartVAN to manage outreach across a range of projects. SmartVAN provides functionality to create lists of potential clients to contact, collect personal information and survey responses from clients, and conduct outreach via phone banks and canvassing. SmartVAN also contains a frequently updated commercial dataset, provided by TargetSmart, of New York City residents and their demographic, contact, and other information. PEU uses this preloaded data to create outreach lists when data on existing clients or from partner agencies is unavailable or insufficient to meet the scope of the outreach project.",NA,"In 2022, PEU has the TargetSmart data within SmartVAN on a number of projects. PEU frequently uses the data to create lists of residents who live within certain zip codes that PEU wants to target for outreach. For example, PEU created lists in SmartVAN used to conduct text and phone outreach to help New Yorkers access the Affordable Connectivity Program (ACP) in specific zip codes. In cases like these, TargetSmart's determination of who lives in which zip codes affects whether New Yorkers receive PEU outreach. Additionally, the algorithm that TargetSmart uses to match phone numbers to individuals and determine if they are mobile phones or not determines the type of outreach that New Yorkers receive.",2019/11,NA,NA,NA,"The algorithmically-derived data that PEU accesses via SmartVAN is the output of proprietary algorithmic processes developed and operated by TargetSmart. These algorithmic processes include matching multiple input datasets to determine residency, contact information, and demographics on New York City residents. SmartVAN also includes a number of algorithmically-determined likelihood scores, including scores for the likelihood that a household contains children under 18, etc.",NA,NA,NA,NA,NA,NA,NA,NA,EveryAction and TargetSmart jointly provide the SmartVAN product. EveryAction is the software provider. TargetSmart is the data provider. TargetSmart is the entity who applies algorithmic techniques. EveryAction provides access to this data through their platform.,NA,NA
2022,New York Police Department,Facial Recognition Technology,Tool which may help investigators identify unknown subjects in law enforcement investigations.,NA,"Facial recognition is a digital technology that NYPD uses to compare images obtained during investigations  with lawfully possessed arrest photos. The tool analyzes an uploaded image, known as a probe image, and searches and compares against the image repository.  The purpose of the tool is to enhance law enforcement's ability to investigate criminal activity as well as identify deceased persons and missing persons. When used in combination with human analysis and additional investigation, facial recognition technology is a valuable tool in solving crimes and increasing public safety.",2011/10,NA,NA,NA,"•If NYPD investigators obtain a still image depicting a face of an unknown individual during an investigation, the image can be submitted for facial recognition analysis in accordance with NYPD facial recognition policy. Known as a probe image, NYPD facial recognition software compares the image to a controlled and limited group of lawfully obtained photos called the photo repository. The facial recognition software will generate a pool of possible match candidates for review by trained Facial Identification Section investigators.
•  Training data is proprietary to the vendor.",NA,NA,NA,NA,NA,NA,NA,NA,Software developed and maintained by Dataworks,NA,NA
