Data Element Name,Preferred Physical Name,Subject Category Code,Description Text,Data Type Code,Maximum Length,Precision Number,Pattern Text,Unit of Measure,Value Domain,Business Owner Name,Data Asset Abbreviation,Data Asset Name,System Number
Actual Bituminous Material Application Rate,BIT_ACTUAL_RATE,,Actual application rate of the bituminous material as determined by the distributor readings.,Decimal,3,3,,gal/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Actual GVW,GVW_ACTUAL,,The weight of the vehicle in kips for Class 9 vehicles.,Decimal,4,1,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Actual Mineral Filler Application Rate,MINERAL_ACTUAL_RATE,,Actual application rate for the mineral filler as determined by distributor readings.,Decimal,3,2,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Actual Slurry Application Rate,SLURRY_ACTUAL_RATE,,Actual application rate for the slurry mixture as determined by distributor readings.,Decimal,3,1,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Actual Speed,ACTUAL_SPEED,,Measured test truck speed.,Character,10,,,km/h,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Actual Temperature,ACTUAL_TEMP,,The actual temperature of bituminous material.,Integer,3,0,,deg F,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Added Lane Number,LANE_ADDED_NO,,Lane number of added lane.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additional Code,ADDL_CODE,,"Additional code needed to uniquely define the meaning of a code. For example, both state and county code are needed to uniquely identify a county.",Character,2,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additional Code Type,ADDL_CODETYPE,,Codetype of the code entered in the ADDL_CODE field.,Character,20,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additional Site Information,SITE_REMARK,,Additional comments on the site or data,Character,4000,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additional Vibration,ADDITIONAL_VIBRATION,,Any additional vibration used other than spud vibrators.,Character,80,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additive Amount,ADDITIVE_AMOUNT,,Amount of additive used in Portland cement grout - percent by weight of cement.,Integer,3,0,,%,0 - 20,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additive Type,ADDITIVE_TYPE,,Code indicating type of additive used in Portland cement grout.,Character,2,,,,13-Jan,HRDI,LTPP,Long-Term Pavement Performance,Single System
Additive Type Other,ADDITIVE_TYPE_OTHER,,Type of additive used in Portland cement grout if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Adjacent Land Use Code,RHB_REASON_ADJ_LAND_USE,,Code indicating if land use changes adjacent to the test section caused rehabilitation.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Adjusted Urban Code,ADJ_Urban_Code,Jurisdiction,"The U.S. Census Urban Area Code, pulled from HPMS, for the adjusted urban boundary.",Integer,5,,"""99999""",,"See: 2010 Census Urban and Rural Classification and Urban Area Criteria,
https://www.census.gov/geo/reference/ua/urban-rural-2010.html",HEPP,HPMS,Highway Performance Monitoring System,Multiple Systems
ADJUSTED_DAY,ADJUSTED_DAY,,,Integer,20,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Adjusted_Weekday,Adjusted_Weekday,,,Integer,20,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
ADJUSTED_WEEKEND,ADJUSTED_WEEKEND,,,Integer,20,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Adjustment Factor,ADJ_FACTOR,,The amount by which this hour was adjusted to make the total percentage for all hours equal 100.,Decimal,2,1,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture,ADMIXTURE,,Type of admixture used in the concrete.,Character,200,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture 1 Code,ADMIXTURE_1,,Code indicating admixture added to concrete mix.,Character,2,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture 1 Other,ADMIXTURE_1_OTHER,,Admixture added to concrete mix if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture 2 Code,ADMIXTURE_2,,Code indicating admixture added to concrete mix.,Character,2,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture 2 Other,ADMIXTURE_2_OTHER,,Admixture added to concrete mix if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Amount,ADMIX_AMOUNT,,Amount of admixture used - percent by weight of cement.,Decimal,3,2,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Amount 1,ADMIXTURE_AMT_1,,Admixture amount used in the concrete - percent by weight of cement.,Decimal,6,3,,%,0 - 99,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Amount 2,ADMIXTURE_AMT_2,,Admixture amount used in the concrete - percent by weight of cement.,Decimal,6,3,,%,0 - 99,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Amount 3,ADMIXTURE_AMT_3,,Admixture amount used in the concrete - percent by weight of cement.,Decimal,6,3,,%,0 - 99,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Data Source Code,ADMIXTURE_SOURCE,,Code for source of admixture.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type 1 Code,ADMIXTURE_TYPE_1,,Code indicating type of admixture used in the concrete.,Integer,2,0,,,13-Jan,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type 1 Other,ADMIXTURE_TYPE_1_OTHER,,Type of admixture used in the concrete if other than those listed.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type 2 Code,ADMIXTURE_TYPE_2,,Code indicating type of admixture used in the concrete.,Integer,2,0,,,13-Jan,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type 2 Other,ADMIXTURE_TYPE_2_OTHER,,Type of admixture used in the concrete if other than those listed.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type 3 Code,ADMIXTURE_TYPE_3,,Code indicating type of admixture used in the concrete.,Integer,2,0,,,13-Jan,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type 3 Other,ADMIXTURE_TYPE_3_OTHER,,Type of admixture used in the concrete if other than those listed.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type Code,ADMIXTURE_TYPE,,Code indicating type of admixture used in the concrete.,Character,4,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Admixture Type Other,ADMIXTURE_TYPE_OTHER,,Type of admixture used in the concrete if other than those listed.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Affected_Class_Records,Affected_Class_Records,,,Integer,10,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Affected_Station_Records,Affected_Station_Records,,,Integer,10,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Affected_Volume_Records,Affected_Volume_Records,,,Integer,10,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Affected_Weight_Records,Affected_Weight_Records,,,Integer,10,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
After 1 1,AFTER_1_1,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 1 2,AFTER_1_2,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 1 3,AFTER_1_3,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 2 1,AFTER_2_1,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 2 2,AFTER_2_2,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 2 3,AFTER_2_3,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 3 1,AFTER_3_1,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 3 2,AFTER_3_2,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 3 3,AFTER_3_3,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 4 1,AFTER_4_1,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 4 2,AFTER_4_2,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After 4 3,AFTER_4_3,,Load transfer efficiency after restoration.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After Moisture Content,AFTER_MOIST_CONT,,Moisture content after resilient modulus testing.,Decimal,3,1,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After Temperature,AFTER_TEMP,,Pavement surface temperature at the end of the distress survey.,Integer,4,0,,deg C,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After Undersealing Deflection Measurement Start Time,START_TIME_AFTER,,Time of day at which the deflection measurements after undersealing started.,Timestamp,4,,,hhmm,,HRDI,LTPP,Long-Term Pavement Performance,Single System
After_Caution_Flags,After_Caution_Flags,,,Integer,40,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
After_Critical_Records,After_Critical_Records,,,Integer,40,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
After_Rejected_Records,After_Rejected_Records,,,Integer,40,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
After_Valid_Records,After_Valid_Records,,,Integer,40,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
AGGR_TYPE,AGGR_TYPE,,Code indicating aggregate type of the sample material.,Integer,3,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Actual Rate,AGG_ACTUAL_RATE,,The actual application rate for the cover aggregate as determined by distributor readings.,Decimal,3,1,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Stage_Station_User_Id,Stage_Station_User_Id,,,Character,25,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Aggregate Bulk Specific Gravity,AGG_BULK_SPEC_GRAV,,Bulk specific gravity of aggregate.,Decimal,4,3,,,4-Jan,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Composition Code,AGGR_COMP_TYPE,,Code indicating composition of aggregate.,Character,2,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Composition Other,AGGR_COMP_TYPE_OTHER,,Composition of aggregate if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Condition Code,AGG_COND,,Code indicating the aggregate condition prior to use.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Durability Result,AGGR_DUR_RESULT,,Code indicating result of durability test.,Decimal,6,3,,varies,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Durability Test Code,AGGR_DUR_TEST_TYPE,,Code indicating type of aggregate durability test used.,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Durability Texture Code,AGGR_DUR_TEXTURE,,Code indicating aggregate texture.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Effective Specific Gravity,AGG_EFF_SPEC_GRAV,,Effective specific gravity of aggregate.,Decimal,5,3,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Filler Percent,AGG_FILLER_PCT,,Percent mineral filler by mass of total mix.,Decimal,3,1,,%,0 - 25,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Filler Specific Gravity,AGG_FILLER_SPEC_GRAV,,Specific gravity of mineral filler.,Decimal,4,3,,,3-Feb,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Moisture,AGG_MOISTURE,,"Aggregate moisture content, percent by weight.",Decimal,3,1,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Moisture Condition Code,AGG_COND_MOIST,,Code indicating the moisture condition prior to use.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Percentage,AGGR_COMP_PERCENT,,Aggregate amount - percent by weight of aggregate total.,Integer,3,0,,%,0 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Prewetting Code,PREWET_AGG,,Code indicating if aggregate was prewet immediately prior to mixing with emulsion.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Rate,AGG_RATE,,Application rate for aggregate.,Decimal,3,1,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Rate Between Wheel,AGG_RATE_BET_WHEEL,,Application rate for the cover aggregate between the wheel path.,Decimal,3,1,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Rate In Wheel,AGG_RATE_IN_WHEEL,,Application rate for the cover aggregate in the wheel path.,Decimal,3,1,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Regrade Code,AGG_REGRADE,,Code indicating whether aggregate was re-graded prior to mix.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Sample Number,SAMPLE_NO_AGG,,SAMPLE_NO of aggregate used in mixture.,Character,7,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Sample Size,AGG_SAMPLE_SIZE,,Quantity of aggregate used in preparation of lab-mixed AC sample.,Decimal,6,1,,g,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Source,AGG_SOURCE,,Brief description of aggregate source.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Spread Rate,AGG_SPREAD_RATE,,Aggregate spread rate for the chip seal mix design.,Decimal,3,1,,lb/sq yd,Aug-40,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Spread Uniformity Code,UNIFORM_AGG_SPREAD,,Code indicating if the aggregate was spread uniformly.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Streaking Code,AGG_STREAK,,Code indicating if any streaking of the aggregate was noticed.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Surface Retaining Coating,AGG_SURFACE_RETAINING_COAT,,Aggregate surface retaining coating.,Integer,3,0,,%,75 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Request_Sql,Request_Sql,,,Character,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Aggregate Target Application Rate,AGG_TARGET_RATE,,Target application rate for the cover aggregate.,Decimal,3,1,,lb/sq yd,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Texture Code,AGGR_COMP_TEXTURE,,Code indicating aggregate texture.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Type Code,AGG_TYPE,,Code indicating type of aggregate used in seal coat,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Aggregate Type Other,AGG_TYPE_OTHER,,Type of aggregate used in seal coat if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
