Accession,id,pi0,bins
GSE106736,GSE106736_ARIGU-EUCGR_edgeR.tsv.gz,0.836948603353114,"(0.8,0.9]"
GSE106860,GSE106860_processed_data.txt.gz,0.21469989441706,"(0.2,0.3]"
GSE106886,GSE106886_Rao-2017-RAD21notreat_vs_RAD21treat.Genes.DESeq2.txt.gz,0.658777357353495,"(0.6,0.7]"
GSE106985,sheet-D5.5MUT_D5.5WT.anno from GSE106985_Table_s1.xls.gz,0.0528282979450438,"[0,0.1]"
GSE107045,GSE107045_TAZ_shRNA2_vs_Control_shRNA_RPKM_Filt.txt.gz,0.455536389506018,"(0.4,0.5]"
GSE107052,GSE107052_processed_statistics_etc.txt.gz,0.659598151720537,"(0.6,0.7]"
GSE107058,GSE107058_325_vs_CtrlB_only_RPKM_Filt.txt.gz,0.626307169083695,"(0.6,0.7]"
GSE107068,GSE107068_Total_of_genes.tsv.gz,0.997375811991723,"(0.9,1]"
GSE107123,sheet-b. R88A  from GSE107123_STable1_RbpAMutants_all_genes.xlsx,0.699043104969971,"(0.6,0.7]"
GSE107167,sheet-DE_analysis from GSE107167_Sharma_RNAseq_STAR_featureCoutns_edgeR_20170619_2.xlsx,0.732052136866995,"(0.7,0.8]"
GSE107183,sheet-DE_analysis_ILMN_014_031 from GSE107183_Tau_SS_RNAseq_STAR_featureCoutns_edgeR_merge_20170308.xlsx,0.787299338703276,"(0.7,0.8]"
GSE107247,sheet-tmp.df from GSE107247_DESeq2_IFM_72hvs30h.xlsx,0.396313078075027,"(0.3,0.4]"
GSE107306,GSE107306_DeSeq2_Glucose-T1_vs_Glucose-T2.csv.gz,0.120595617302189,"(0.1,0.2]"
GSE107369,GSE107369_lncRNA_FPKM.txt.gz,0.708524653670028,"(0.7,0.8]"
GSE107415,GSE107415_F1_Males_ProcessedData.txt.gz,0.775044957625799,"(0.7,0.8]"
GSE107488,GSE107488_all_genes_fold_changes_lung_iav_vs_mock.txt.gz,0.577457896285763,"(0.5,0.6]"
GSE107498,sheet-Sleuth Results from GSE107498_Supplementary_FIle_1_Sleuth_results.xlsx.gz,0.518266042142888,"(0.5,0.6]"
GSE107502,GSE107502_LCCC1122_DESeq2_trametinibresponse.txt.gz,0.826554154436722,"(0.8,0.9]"
GSE107555,GSE107555_HL60_deseq_norm_countFeatures.txt.gz,0.778697432916417,"(0.7,0.8]"
GSE107586,GSE107586_DESeq2_analysis.txt.gz,0.989024159077573,"(0.9,1]"
GSE107704,GSE107704_dpy_skn.csv.gz,0.597241674764237,"(0.5,0.6]"
GSE107705,GSE107705_sorted_MF_edgeR_2016_07_06_submitted.csv.gz,0.555343837727731,"(0.5,0.6]"
GSE107841,GSE107841_wt_dhh1_expressions.txt.gz,0.507397783303764,"(0.5,0.6]"
GSE107961,sheet-statistics_12 h_cys-con from GSE107961_statistics_12_h_cys-con.xlsx,0.611361841406514,"(0.6,0.7]"
GSE107997,sheet-Sheet 1 from GSE107997_AneuSeq_GEO_DESeq.xlsx,0.430893267681352,"(0.4,0.5]"
GSE108073,GSE108073_cup9_overall_analysis.txt.gz,0.954746346171934,"(0.9,1]"
GSE108080,GSE108080_WTvsWTVSV.DiffExpGene.anno.xls.gz,0.799895647019898,"(0.7,0.8]"
GSE108332,sheet-WT--KO rep2 from GSE108332_RNA_seq-rep2.xls.gz,0.228276580217731,"(0.2,0.3]"
GSE108454,sheet-All_genes_fold_changes_group2_v from GSE108454_All_genes_fold_changes_group2_vs_group3.xlsx,0.608024071364841,"(0.6,0.7]"
GSE108469,GSE108469_HepG2_SB_DE.txt.gz,0.227880703984085,"(0.2,0.3]"
GSE108703,GSM2911372_HYS-VS-A-mutant.GeneDiffExp.txt.gz from GSE108703_RAW.tar,0.338870667467785,"(0.3,0.4]"
GSE108713,GSE108713_gene.description.xls.gz,0.424340252300058,"(0.4,0.5]"
GSE108732,GSE108732_DEseq2-NF.csv.gz,0.851783821058572,"(0.8,0.9]"
GSE108807,GSE108807_H7N9.txt.gz,0.456739439167628,"(0.4,0.5]"
GSE108919,GSE108919_CsA_differential_expression.txt.gz,0.874266105254007,"(0.8,0.9]"
GSE108973,GSE108973_FC_pYS5_vs_pSW4.txt.gz,0.996475428625077,"(0.9,1]"
GSE109006,GSE109006_AM_Gore_Oct2016_RNAseq.txt.gz,0.818755843181803,"(0.8,0.9]"
GSE109041,sheet-DESeq2_res_all.txt from GSE109041_DESeq2_final.xls.gz,0.495582855537285,"(0.4,0.5]"
GSE109111,GSE109111_NTC-KD_EdgeR.txt.gz,0.921788143061469,"(0.9,1]"
GSE109385,sheet-Wing disc RNA-seq from GSE109385_RNA.expression.xlsx,0.606657738906391,"(0.6,0.7]"
GSE109539,sheet-D1.df from GSE109539_LE_cpm.xlsx,0.557543808281148,"(0.5,0.6]"
GSE109740,GSE109740_iDF_mH2A2GFP_6h_over_0h_gene_exp.diff.gz,0.761811646297559,"(0.7,0.8]"
GSE109765,GSE109765_F1_HPC_Processed_data.txt.gz,0.787962155757783,"(0.7,0.8]"
GSE109980,GSE109980_XtailResults_dsAGO1low_vs_dsGFP.csv.gz,0.766970946929242,"(0.7,0.8]"
GSE110243,GSE110243_merged_table_full_02_04_2018_submission.csv.gz,0.984323043995194,"(0.9,1]"
GSE110255,GSE110255_PCT101800875_All_Data_saki_RPKM.csv.gz,0.336723017067353,"(0.3,0.4]"
GSE110275,GSE110275_DeSeq2_treR.txt.gz,0.630846909758479,"(0.6,0.7]"
GSE110307,GSE110307_RNA-seq_SSA_0427.txt.gz,0.38430646582566,"(0.3,0.4]"
GSE110341,sheet-NTG_vs_KO_edgeR_FDR.xls from GSE110341_Gene_Count-DEG_List.xlsx,0.752931088289639,"(0.7,0.8]"
GSE110374,GSE110374_Complete_genelist_wtPD_vs_input.csv.gz,0.640503504858065,"(0.6,0.7]"
GSE110434,GSE110434_iPSC_OB_and_iPSC.txt.gz,0.446664471559152,"(0.4,0.5]"
GSE110445,GSE110445_rpoN_RNA_seq_analyzed.txt.gz,0.892297869951603,"(0.8,0.9]"
GSE110493,sheet-Hoja1 from GSE110493_Processed_data_OtB1788_to_OtB1791.xlsx,0.508940671622988,"(0.5,0.6]"
GSE110500,sheet-RNA-seq from GSE110500_RNAseq.xlsx,0.214633075669012,"(0.2,0.3]"
GSE110512,GSE110512_gene_exp.txt.gz,0.710503247786508,"(0.7,0.8]"
GSE110523,GSE110523_mir24-cont-analyzed.txt.gz,0.323301452251985,"(0.3,0.4]"
GSE110694,sheet-CK8.DKO_over_CK5.normal from GSE110694_DKO_Dataset1_DEG.xlsx,0.699982793266461,"(0.6,0.7]"
GSE110703,sheet-Gene_Exp_w_Analysis (1) from GSE110703_Gene_Exp_w_Analysis.xls.gz,0.336985286381573,"(0.3,0.4]"
GSE110723,GSE110723_H99_v_cdc50_results.csv.gz,0.496077688083559,"(0.4,0.5]"
GSE110736,sheet-GeneExpression from GSE110736_Analysis.xlsx,0.306437665402699,"(0.3,0.4]"
GSE110750,sheet-Sheet1 from GSE110750_Processed_data_file.xlsx,0.379116638637841,"(0.3,0.4]"
GSE110923,sheet-results_sample2_vs_sample1_all from GSE110923_results_WT_vs_acinus_pnn_analyzed.xlsx,0.556534613523959,"(0.5,0.6]"
GSE110957,sheet-mb.genotype from GSE110957_limma.dge_results.Ash1L_knock_down.xls.gz,0.785978414085266,"(0.7,0.8]"
GSE111012,GSE111012_450_vs_Phi80.txt.gz,0.670147798229041,"(0.6,0.7]"
GSE111038,GSE111038_AB_vs_ABPG.txt.gz,0.244862027107739,"(0.2,0.3]"
GSE111178,GSE111178_IMS_FKBP_fpkm_means.txt.gz,0.676273983206137,"(0.6,0.7]"
GSE111189,GSE111189_diff-Deseq2-R-Oil-vs-85-Oil.txt.gz,0.569582463512008,"(0.5,0.6]"
GSE111193,GSE111193_DESeq2_MutAtc_vs_MutNoAtc_v2.csv.gz,0.363918281949074,"(0.3,0.4]"
GSE111243,sheet-CeA - Day 35 Meth vs. Saline from GSE111243_Table_S2.xlsx,0.643487125499278,"(0.6,0.7]"
GSE111906,GSE111906_DE_Results.tsv.gz,0.0759252322685413,"[0,0.1]"
GSE111932,GSE111932_gene_expression_datamatrix.txt.gz,0.832296228788077,"(0.8,0.9]"
GSE112071,GSE112071_DESeq2_results_WT1_vs_Mut1.txt.gz,0.690135907834605,"(0.6,0.7]"
GSE112092,GSE112092_GlutiPenRNAseqforGEO.txt.gz,0.140394082962468,"(0.1,0.2]"
GSE112226,GSE112226_DESeq2.WT_vs_APC.full_results.csv.gz,0.710056577896001,"(0.7,0.8]"
GSE112354,GSE112354_PAK_AR2A-VS-s1_9A.GeneDiffExp.txt.gz,0.271574160707981,"(0.2,0.3]"
GSE112499,GSE112499_Nav1.8_Tsc2_DESeq2.csv.gz,0.620218411013543,"(0.6,0.7]"
GSE112640,GSE112640_UAS_Dm0_DEGs_raw_data.txt.gz,0.777390038107531,"(0.7,0.8]"
GSE112689,GSE112689_DESeq2_Stim-TRIP_On-vs-Off_gene_expression_reordered_by_adjusted_p_value.csv.gz,0.949212633957107,"(0.9,1]"
GSE112826,GSE112826_heart_edgeR.txt.gz,0.644321222167246,"(0.6,0.7]"
GSE112878,sheet-TosR-Emp_expression_noEBG_Annot from GSE112878_TosR-Emp_expression_Annot.xls.gz,0.840064993025602,"(0.8,0.9]"
GSE112903,sheet-Sheet1 from GSE112903_Table_S8_FDC.xlsx,0.638579325045346,"(0.6,0.7]"
GSE112950,GSE112950_Group1_DESEq2_WT-D_vs_WT-L.tsv.gz,0.304782842274652,"(0.3,0.4]"
GSE113032,GSE113032_shCont_vs_shJMJD3.txt.gz,0.581459617630602,"(0.5,0.6]"
GSE113157,GSE113157_Subread_counts_and_DE_genes_in_GPS2_WT_LKO_liver_RNAseq.txt.gz,0.439809372806079,"(0.4,0.5]"
GSE113283,GSE113283_genes.edgeR_results.txt.gz,0.281554294531953,"(0.2,0.3]"
GSE113333,GSE113333_Typhi_gene_exp.diff.gz,0.496469052465194,"(0.4,0.5]"
GSE113337,sheet-WT-VS-STK.DEseq2_Method.GeneDif from GSE113337_WT-VS-StkP-PhpP-comparison_non-filtered.xls.gz,0.264907032338754,"(0.2,0.3]"
GSE113366,sheet-Foglio1 from GSE113366_Day12_cpm.xlsx,0.686298566306542,"(0.6,0.7]"
GSE113381,sheet-Sheet1 from GSE113381_DTK_vs_wt_complete_average_DEGs.xlsx,0.629084814951268,"(0.6,0.7]"
GSE113404,sheet-results_Mat2_OE_wt from GSE113404_DESeq2_results_Mat2_OE_wt.xlsx,0.615087810039553,"(0.6,0.7]"
GSE113500,sheet-CtlStarvedvsLTDauerStarved from GSE113500_DauerF3_FedStarved_results.xlsx,0.999999618166908,"(0.9,1]"
GSE113553,GSE113553_insect_control_vs_treat.edgeR.txt.gz,0.753702779640256,"(0.7,0.8]"
GSE113570,GSE113570_MSC-Exo_vs_MSCATV-Exo.all.gene.txt.gz,0.483963412728612,"(0.4,0.5]"
GSE113671,sheet-Sorted-NELFA-EGFP_TE from GSE113671_RNA-seq.xlsx.gz,0.510974278577335,"(0.5,0.6]"
GSE113672,sheet-Sheet 1 from GSE113672_Complete_geneList_limma.xlsx,0.797859410508163,"(0.7,0.8]"
GSE113683,GSE113683_DESeq2_res_Ax35_10x_vs._WT.csv.gz,0.843018585524965,"(0.8,0.9]"
GSE113707,GSE113707_WT_vs_Mut.txt.gz,0.659659803124028,"(0.6,0.7]"
GSE113716,GSE113716_DESeq2_results_t4_vs_t0.txt.gz,0.299573610229215,"(0.2,0.3]"
GSE113794,GSE113794_iPSC_DEG.csv.gz,0.558230734348367,"(0.5,0.6]"
GSE113848,GSE113848_sleuth.de.results.wald.ctl.tsv.gz,0.670942703301584,"(0.6,0.7]"
GSE113880,sheet-S10978-0H-VS-S10978-6H.All from GSE113880_S10978-0H-VS-S10978-6H.All.xlsx,0.389942884431448,"(0.3,0.4]"
GSE113993,GSE113993_GroupBRR-VS-GroupORR.GeneDiffExp.txt.gz,0.379386517659569,"(0.3,0.4]"
GSE114058,sheet-2 um vs Ctrl 1h from GSE114058_DEgenes_Copper_OT_CH.xlsx.gz,0.950927197916621,"(0.9,1]"
GSE114077,GSE114077_Rrp17AID_Unt_Aux_DESeq.csv.gz,0.576669731455517,"(0.5,0.6]"
GSE114166,sheet-invitro_all_June2015.csv from GSE114166_Mendez-Barbero_processed.xlsx,0.678038615543442,"(0.6,0.7]"
GSE114336,sheet-050418_deseq_RPKM from GSE114336_Merkel_Keratinocytes_DEseq_RPKM.xlsx,0.538256563104257,"(0.5,0.6]"
GSE114346,GSE114346_LEH_differential_expression_analysis_table.csv.gz,0.884785447019746,"(0.8,0.9]"
GSE114448,sheet-ProteinCT101800932_Soybean from GSE114448_PCT101800932_Soybean_GEO.xlsx.gz,0.378623918398286,"(0.3,0.4]"
GSE114463,GSE114463_DESeq2_genes_diffexp_by_fc_N2_60_vs_O2_60.csv.gz,0.590701176866423,"(0.5,0.6]"
GSE114517,GSE114517_Diff_PDvsCont.csv.gz,0.711783270296162,"(0.7,0.8]"
GSE114538,GSE114538_Seb1-1_vs_WT_RNA-seq.csv.gz,0.97163124303751,"(0.9,1]"
GSE114766,sheet-Sig  from GSE114766_3514Rutgers_DEXvsCONT_gene_exp_diff_copy.xlsx,0.815779470237745,"(0.8,0.9]"
GSE114794,GSE114794_RPKM-Table_04hrs.txt.gz,0.42344110826,"(0.4,0.5]"
GSE114892,GSE114892_DESeq2_scd6delta_vs_WT.csv.gz,0.88191976341206,"(0.8,0.9]"
GSE114917,GSE114917_High_vs_Low_LP4_removed_all_genes.tsv.gz,0.444425168469034,"(0.4,0.5]"
GSE114927,sheet-DESeq2_RESULTS_AKvsWT from GSE114927_DESeq2_RESULTS_AKvsWT.xlsx,0.897295756964963,"(0.8,0.9]"
GSE114936,sheet-Sheet1 from GSE114936_SuppFile1.xls.gz,0.203078230929609,"(0.2,0.3]"
GSE114938,sheet-Sheet1 from GSE114938_SuppFile2.xls.gz,0.6556363863862,"(0.6,0.7]"
GSE114955,sheet-IverNoFood1hrvs.NoIverNoFood1hr from GSE114955_IvermectinFoodNoFood1hr24hr.xlsx,0.298868593972171,"(0.2,0.3]"
GSE114966,GSE114966_HSV_WT_vs_mock_infect_filtered_FDR_0.05_Fold_change_2_total_1198_genes.txt.gz,0.255965848288977,"(0.2,0.3]"
GSE115075,GSE115075_PB-VS-PB_Tfcp2l1.GeneDiffExp.txt.gz,0.430669904860134,"(0.4,0.5]"
GSE115102,sheet-p53KO_and_p53_Cry_TKO_OKs from GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx,0.34921503950729,"(0.3,0.4]"
GSE115203,GSE115203_EdgeR-WholePBMC.txt.gz,0.73965537312387,"(0.7,0.8]"
GSE115266,GSE115266_Horvath01_DESeq2_Differential_Gene_Expression.csv.gz,0.49229283962337,"(0.4,0.5]"
GSE115407,sheet-Sheet 1 from GSE115407_RNAseq_Complete_geneList_EdgeR.xlsx,0.158892105850053,"(0.1,0.2]"
GSE115481,GSE115481_EROEvsControl_DEGs.csv.gz,0.758890808170484,"(0.7,0.8]"
GSE115811,GSE115811_WT_InjvsWT_C.txt.gz,0.467162045847098,"(0.4,0.5]"
GSE115849,GSE115849_Patty_RNAseq_wholeList.txt.gz,0.795327742413818,"(0.7,0.8]"
GSE115950,GSE115950_DESeq2_genes_diffexp_by_fc_Migr_mLN_SPF_vs_Migr_pLN_SPF.csv.gz,0.584310250751936,"(0.5,0.6]"
GSE116126,GSE116126_siZNF_IL1_vs_siZNF.txt.gz,0.857045298803797,"(0.8,0.9]"
GSE116178,GSE116178_deTab.tab.gz,0.834599648308822,"(0.8,0.9]"
GSE116329,GSE116329_Mettl16_in_vitro_meth_table.csv.gz,0.634917930349555,"(0.6,0.7]"
GSE116366,sheet-G_vs_D.known.DESeq2.anno from GSE116366_H_vs_L.known.DESeq2.anno.xlsx,0.711794169843015,"(0.7,0.8]"
GSE116372,GSE116372_DE_control_vs_BclxL.csv.gz,0.279023598938095,"(0.2,0.3]"
GSE116548,GSE116548_KnockDown_vs_Control.all.gene.result.xls.gz,0.435959004088469,"(0.4,0.5]"
GSE116564,sheet-gene_list.txt.tsv from GSE116564_ANOVA_single_contrast_PDL1_vs_Iso.xlsx.gz,0.427272073531041,"(0.4,0.5]"
GSE116600,sheet-All from GSE116600_RNA_OPC_Chd7iKO.xlsx,0.597607870771497,"(0.5,0.6]"
GSE116639,sheet-Sheet1 from GSE116639_mass_M.xlsx,0.773595877844101,"(0.7,0.8]"
GSE116756,GSE116756_10033956.1KT_Glu_Exp_KT_Myr_Exp.toptags_edgeR.csv.gz,0.689273022625284,"(0.6,0.7]"
GSE116977,GSE116977_comp3_CMV_primary_v_CGRP_all_data_corrected_no_sva_top_hits.txt.gz,0.399765924557996,"(0.3,0.4]"
GSE117374,GSE117374_jewelry_wastewater_vs_cyanide.txt.gz,0.662976534258837,"(0.6,0.7]"
GSE117471,GSE117471_N2_vs_FAS58_25C_results.txt.gz,0.765020509747736,"(0.7,0.8]"
GSE117482,sheet-Experiment1 from GSE117482_limma.dge_results.xlsx,0.704138351026924,"(0.7,0.8]"
GSE117710,sheet-SickVsHealthy from GSE117710_CAGRF11906_SickVsHealthy.xlsx,0.969445418525137,"(0.9,1]"
GSE117911,GSE117911_DE-TI006-Mock-Vs-UV-Treated-Virus.txt.gz,0.698828922497593,"(0.6,0.7]"
GSE118101,sheet-DRAIC_results from GSE118101_DRAIC_RNA-seq_genes.xls.gz,0.736946782435819,"(0.7,0.8]"
GSE118116,GSE118116_sleuth_test_results.txt.gz,0.514685489334595,"(0.5,0.6]"
GSE118175,sheet-DAP0 diff from GSM3320045_DAP0.xlsx from GSE118175_RAW.tar,0.949215415674076,"(0.9,1]"
GSE118232,GSE118232_BP_allgenes_d1vs0_DEseq_binom_naomit.txt.gz,0.621982911830127,"(0.6,0.7]"
GSE118269,sheet-AAF1 diff from GSM3320042_AAF1.xlsx from GSE118269_RAW.tar,0.538463242811441,"(0.5,0.6]"
GSE118326,GSE118326_lymphocytes_WT_vs_leukemia_WT.htseq.edgeR.txt.gz,0.459073948586758,"(0.4,0.5]"
GSE118369,GSE118369_snR4_Mutant_Glucose_vs_BY_Control_Glucose.deseq2.res.tab.gz,0.822842845146071,"(0.8,0.9]"
GSE118414,GSE118414_cph2_genes.txt.gz,0.57135690222379,"(0.5,0.6]"
GSE118423,GSE118423_alc.csv.gz,0.978823731858268,"(0.9,1]"
GSE118454,sheet-ST.PG.vs.ND from GSE118454_expr_genes_part2_06_01_2018.xlsx.gz,0.566032093744526,"(0.5,0.6]"
