Model,Bio_term,Title,Link,Citations,Year
support vector machine,biodiversity,Predicting the anthropogenic impacts on vegetation diversity of protected rangelands: an application of artificial intelligence,https://link.springer.com/article/10.1007/s10531-024-02783-3,NA,2024
support vector machine,biodiversity,Mapping savanna tree species at ecosystem scales using support vector machine classification and BRDF correction on airborne hyperspectral and LiDAR …,https://www.mdpi.com/2072-4292/4/11/3462,257,2012
support vector machine,biodiversity,Biodiversity estimation by environment drivers using machine/deep learning for ecological management,https://www.sciencedirect.com/science/article/pii/S1574954123003485,3,2023
support vector machine,biodiversity,Support vector machine to map oil palm in a heterogeneous environment,https://www.tandfonline.com/doi/abs/10.1080/01431161.2014.930201,69,2014
support vector machine,biodiversity,Predictive mapping of aquatic ecosystems by means of support vector machines and random forests,https://www.sciencedirect.com/science/article/pii/S0022169421000731,18,2021
gradient boosted trees,biogeography,StructuresNet and FireNet: Benchmarking databases and machine learning algorithms in structural and fire engineering domains,https://www.sciencedirect.com/science/article/pii/S2352710221008354,60,2021
gradient boosted trees,biogeography,"An engineer's guide to eXplainable Artificial Intelligence and Interpretable Machine Learning: Navigating causality, forced goodness, and the false perception of …",https://www.sciencedirect.com/science/article/pii/S0926580521002727,109,2021
gradient boosted trees,biogeography,Machine learning identifies ecological selectivity patterns across the end-Permian mass extinction,https://www.cambridge.org/core/journals/paleobiology/article/machine-learning-identifies-ecological-selectivity-patterns-across-the-endpermian-mass-extinction/3827AF46B77BF2BC8917437FB041DABA,15,2022
gradient boosted trees,biogeography,Biomes of the world under climate change scenarios: increasing aridity and higher temperatures lead to significant shifts in natural vegetation,https://peerj.com/articles/15593/?fbclid=IwAR2cS-sec1ebdOpXWnjuw0hfcX_mecPuL1yXoetXBAFqGHnhsAeudgDL1KU&utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_0&utm_medium=TrendMD,6,2023
gradient boosted trees,biogeography,Investigating random undersampling and feature selection on bioinformatics big data,https://ieeexplore.ieee.org/abstract/document/8848245/,44,2019
gradient boosted trees,biogeography,"Explainable machine learning using real, synthetic and augmented fire tests to predict fire resistance and spalling of RC columns",https://www.sciencedirect.com/science/article/pii/S0141029621018940,47,2022
gradient boosted trees,biogeography,Forest tree species distribution for Europe 2000–2020: mapping potential and realized distributions using spatiotemporal machine learning,https://peerj.com/articles/13728/,17,2022
gradient boosted trees,biogeography,"15-Machine learning, random forests, and boosted regression trees",https://books.google.com/books?hl=en&lr=&id=xt2gDwAAQBAJ&oi=fnd&pg=PA281&dq=%22gradient+boosted+trees%22+%22biogeography%22&ots=sGLHzH1HSz&sig=LaXEifVPgqeOHGerEt2b28vJNeM,18,2019
gradient boosted trees,biogeography,Does land-use affect bird abundance?,https://unbscholar.lib.unb.ca/bitstreams/bbc1f886-85f6-434a-8736-000d337821a9/download,NA,2019
gradient boosted trees,biogeography,The Smart Soil Organism Detector: An instrument and machine learning pipeline for soil species identification,https://www.sciencedirect.com/science/article/pii/S0956566322004572,5,2023
gradient boosted trees,biogeography,"Exploring long-term performance variety trials to improve genotype, management, and environment recommendations: A case study for winter wheat",https://repositorio.unesp.br/bitstream/handle/11449/191584/munaro_lb_me_jabo.pdf?sequence=3,NA,2019
gradient boosted trees,biogeography,Detection of the chronic kidney disease using XGBoost classifier and explaining the influence of the attributes on the model using SHAP,https://www.nature.com/articles/s41598-023-33525-0,12,2023
gradient boosted trees,biogeography,A New Approach to Evaluate the Risk of Bark Beetle Outbreaks Using Machine Learning Methods,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4043457,NA,NA
gradient boosted trees,biogeography,Ensemble machine learning models for prediction of flyrock due to quarry blasting,https://link.springer.com/article/10.1007/s13762-022-04096-w,24,2022
gradient boosted trees,biogeography,Artificial light at night is a top predictor of bird migration stopover density,https://www.nature.com/articles/s41467-023-43046-z,3,2023
gradient boosted trees,biogeography,Tree-Based Techniques for Predicting the Compression Index of Clayey Soils,https://www.jsoftcivil.com/article_168178.html,2,2023
gradient boosted trees,biogeography,Predicting bycatch of Chinook salmon in the Pacific hake fishery using spatiotemporal models,https://academic.oup.com/icesjms/article-abstract/80/1/133/6891089,8,2023
gradient boosted trees,biogeography,Boosting Hot Mix Asphalt Dynamic Modulus Prediction Using Statistical and Machine Learning Regression Modeling Techniques,https://www.mdpi.com/2071-1050/15/19/14464,1,2023
gradient boosted trees,biogeography,Towards a computational ecology of plankton,https://hal.science/tel-04018620/,NA,2020
gradient boosted trees,biogeography,Vulnerability in the Anthropocene: a prospective analysis of the need for social protection,https://www.aciar.gov.au/sites/default/files/2023-05/LS-2020-206-final-report.pdf,NA,2023
linear regression,biogeography,A biogeographical perspective on species abundance distributions: recent advances and opportunities for future research,https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.13008,31,2017
linear regression,biogeography,"Regression and model-building in conservation biology, biogeography and ecology: the distinction between–and reconciliation of–'predictive'and 'explanatory'models",https://link.springer.com/article/10.1023/A:1008985925162,1159,2000
linear regression,biogeography,"Small island biogeography in the Gulf of California: lizards, the subsidized island biogeography hypothesis, and the small island effect",https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.2003.00936.x,79,2003
linear regression,biogeography,Island biogeography of Caribbean coral reef fish,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2008.00418.x,71,2008
linear regression,biogeography,The island biogeography of languages,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-8238.2011.00744.x,40,2012
linear regression,biogeography,Insular biogeography in continental regions. I. The northern Andes of South America,https://www.journals.uchicago.edu/doi/abs/10.1086/282671,336,1970
linear regression,biogeography,Ecological biogeography of North American mammals: species density and ecological structure in relation to environmental gradients,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.2000.00498.x,262,2000
linear regression,biogeography,Nestedness in island faunas: novel insights into island biogeography through butterfly community profiles of colonization ability and migration capacity,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2012.02698.x,60,2012
linear regression,biogeography,Biogeography of the global ocean's mesopelagic zone,https://www.cell.com/current-biology/pdf/S0960-9822(16)31328-8.pdf,204,2017
linear regression,biogeography,Partitioning the variation in African vertebrate distributions into environmental and spatial components–exploring the link between ecology and biogeography,https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/ecog.00860,21,2015
linear regression,biogeography,Island biogeography of the Mediterranean Sea: the species–area relationship for terrestrial isopods,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2005.01329.x,94,2005
linear regression,biogeography,The biogeography of stream bacteria,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12046,88,2013
linear regression,biogeography,The distance decay of similarity in biogeography and ecology,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.1999.00305.x,1937,1999
linear regression,biogeography,The biogeography of ecoregions: Descriptive power across regions and taxa,https://onlinelibrary.wiley.com/doi/abs/10.1111/JBI.13871,26,2020
linear regression,biogeography,Accounting for data heterogeneity in patterns of biodiversity: an application of linear mixed effect models to the oceanic island biogeography of spore‐producing plants,https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0587.2012.00020.x,59,2013
linear regression,biogeography,Biogeography of mammals on tropical Pacific islands,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2005.01302.x,46,2005
linear regression,biogeography,Revising the global biogeography of annual and perennial plants,https://www.nature.com/articles/s41586-023-06644-x,5,2023
linear regression,biogeography,Urban biogeography: city parks as islands for Diptera and Coleoptera,https://link.springer.com/article/10.1007/BF00344697,206,1978
linear regression,biogeography,Biogeography of two cold-adapted genera: Psychrobacter and Exiguobacterium,https://academic.oup.com/ismej/article-abstract/3/6/658/7588324,101,2009
linear regression,biogeography,Island biogeography of the Anthropocene,https://www.nature.com/articles/nature13739,262,2014
support vector machine,biogeography,"… selection for SAR image classification using biogeography-based optimization (BBO), artificial bee colony (ABC) and support vector machine (SVM): a combined …",https://link.springer.com/article/10.1007/s10596-020-10030-1,50,2021
support vector machine,biogeography,Binary biogeography-based optimization based SVM-RFE for feature selection,https://www.sciencedirect.com/science/article/pii/S1568494620309650,105,2021
support vector machine,biogeography,Multiobjective binary biogeography based optimization for feature selection using gene expression data,https://ieeexplore.ieee.org/abstract/document/6698341/,138,2013
support vector machine,biogeography,Support vector machines to map rare and endangered native plants in Pacific islands forests,https://www.sciencedirect.com/science/article/pii/S1574954112000210,98,2012
support vector machine,biogeography,Biogeography-based optimization and support vector regression for freeway travel time prediction and feature selection,https://arxiv.org/abs/2007.15212,2,2020
support vector machine,biogeography,Taxonomy of Diabetic Retinopathy Patients Using Biogeography-Based Optimization on Support Vector Machine Based on Digital Retinal Images,https://link.springer.com/chapter/10.1007/978-981-15-8677-4_51,NA,2021
support vector machine,biogeography,Predictive pollen-based biome modeling using machine learning,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202214,20,2018
support vector machine,biogeography,Improving area of occupancy estimates for parapatric species using distribution models and support vector machines,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.2228,21,2021
support vector machine,biogeography,Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems,https://link.springer.com/article/10.1186/s40663-021-00297-w,18,2021
support vector machine,biogeography,Fruit classification by biogeography‐based optimization and feedforward neural network,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12146,154,2016
support vector machine,biogeography,Discrete biogeography based optimization for feature selection in molecular signatures,https://onlinelibrary.wiley.com/doi/abs/10.1002/minf.201400065,20,2015
support vector machine,biogeography,Feature selection based classification of sentiment analysis using biogeography optimization algorithm,https://ieeexplore.ieee.org/abstract/document/7916549/,12,2017
support vector machine,biogeography,"Use of support vector machines (SVMs) to predict distribution of an invasive water fern Azolla filiculoides (Lam.) in Anzali wetland, southern Caspian Sea, Iran",https://www.sciencedirect.com/science/article/pii/S0304380012003195,61,2012
support vector machine,biogeography,Voltage stability assessment using multi-objective biogeography-based subset selection,https://www.sciencedirect.com/science/article/pii/S0142061517319075,47,2018
support vector machine,biogeography,Enhanced bag of features using alexnet and improved biogeography-based optimization for histopathological image analysis,https://ieeexplore.ieee.org/abstract/document/8530540/,33,2018
support vector machine,biogeography,Automated classification of brain images using DWT and biogeography-based optimisation,https://ieeexplore.ieee.org/abstract/document/8553875/,5,2018
support vector machine,biogeography,BIOGEOGRAPHY BASED OPTIMIZATION FOR COMPLEX SYSTEM,NA,NA,2016
support vector machine,biogeography,Research and application of an air quality early warning system based on a modified least squares support vector machine and a cloud model,https://www.mdpi.com/1660-4601/14/3/249,42,2017
support vector machine,biogeography,Motor imagery electroencephalograph classification based on optimized support vector machine by magnetic bacteria optimization algorithm,https://link.springer.com/article/10.1007/s11063-015-9469-7,21,2016
support vector machine,biogeography,Automated classification of brain images using wavelet-energy and biogeography-based optimization,https://link.springer.com/article/10.1007/s11042-015-2649-7,205,2016
random forest,biogeography,Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems,https://link.springer.com/article/10.1186/s40663-021-00297-w,18,2021
random forest,biogeography,Why choose Random Forest to predict rare species distribution with few samples in large undersampled areas? Three Asian crane species models provide …,https://peerj.com/articles/2849/,249,2017
random forest,biogeography,The global biogeography of tree leaf form and habit,https://www.nature.com/articles/s41477-023-01543-5,2,2023
random forest,biogeography,Biogeography-based informative gene selection and cancer classification using SVM and random forests,https://ieeexplore.ieee.org/abstract/document/6256127/,37,2012
random forest,biogeography,Biogeographical analyses to facilitate targeted conservation of orchid diversity hotspots in Costa Rica,https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.13062,24,2020
random forest,biogeography,"Alien flora of Nigeria: taxonomy, biogeography, habitats, and ecological impacts",https://link.springer.com/article/10.1007/s10530-023-03140-1,5,2023
random forest,biogeography,Biogeographic structure of the northeastern Pacific rocky intertidal: the role of upwelling and dispersal to drive patterns,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecog.00880,82,2015
random forest,biogeography,Drivers and human impacts on topsoil bacterial and fungal community biogeography across Australia,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.17216,NA,2024
random forest,biogeography,Climatic controls of decomposition drive the global biogeography of forest-tree symbioses,https://www.nature.com/articles/s41586-019-1128-0,491,2019
random forest,biogeography,Random Forest characterization of upland vegetation and management burning from aerial imagery,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2009.02186.x,65,2010
random forest,biogeography,On the rocks: Biogeography and floristic identity of rocky ecosystems in eastern South America,https://onlinelibrary.wiley.com/doi/abs/10.1111/jse.13052,1,2024
random forest,biogeography,Bacterial biogeography in China and its association to land use and soil organic carbon,https://link.springer.com/article/10.1007/s42832-023-0172-8,11,2023
random forest,biogeography,Global diversity and biogeography of potential phytopathogenic fungi in a changing world,https://www.nature.com/articles/s41467-023-42142-4,1,2023
random forest,biogeography,Biogeography at the limits of life: Do extremophilic microbial communities show biogeographical regionalization?,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12670,31,2017
random forest,biogeography,Hybrid biogeography based simultaneous feature selection and prediction of N-Myristoylation substrate proteins using support vector machines and random forest …,https://link.springer.com/chapter/10.1007/978-3-642-35380-2_43,1,2012
random forest,biogeography,Physiology and biogeography: the response of European mussels (Mytilus spp.) to climate change,https://bioone.org/journals/American-Malacological-Bulletin/volume-33/issue-1/006.033.0111/Physiology-and-Biogeography--The-Response-of-European-Mussels-iMytilus/10.4003/006.033.0111.short,40,2015
random forest,biogeography,Comparison between optimized MaxEnt and random forest modeling in predicting potential distribution: A case study with Quasipaa boulengeri in China,https://www.sciencedirect.com/science/article/pii/S004896972203964X,41,2022
random forest,biogeography,Global biogeography and projection of soil antibiotic resistance genes,https://www.science.org/doi/abs/10.1126/sciadv.abq8015,44,2022
random forest,biogeography,Comammox biogeography subject to anthropogenic interferences along a high-altitude river,https://www.sciencedirect.com/science/article/pii/S0043135422011708,5,2022
random forest,biogeography,Island biogeography theory predicts plant species richness of remnant grassland patches in the agro-pastoral ecotone of northern China,https://www.sciencedirect.com/science/article/pii/S1439179121000839,12,2021
random forest,bioinformatics,Random forest for bioinformatics,https://link.springer.com/chapter/10.1007/978-1-4419-9326-7_11,857,2012
random forest,bioinformatics,Overview of random forest methodology and practical guidance with emphasis on computational biology and bioinformatics,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1072,928,2012
random forest,bioinformatics,The effect of data sampling when using random forest on imbalanced bioinformatics data,https://ieeexplore.ieee.org/abstract/document/7301012/,54,2015
random forest,bioinformatics,Random forest with 200 selected features: An optimal model for bioinformatics research,https://ieeexplore.ieee.org/abstract/document/6784604/,17,2013
random forest,bioinformatics,Is data sampling required when using random forest for classification on imbalanced bioinformatics data?,https://link.springer.com/chapter/10.1007/978-3-319-31311-5_7,10,2016
random forest,bioinformatics,The use of classification trees for bioinformatics,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.14,134,2011
random forest,bioinformatics,Data mining in the Life Sciences with Random Forest: a walk in the park or lost in the jungle?,https://academic.oup.com/bib/article-abstract/14/3/315/255469,453,2013
random forest,bioinformatics,Prediction of protein–RNA binding sites by a random forest method with combined features,https://academic.oup.com/bioinformatics/article-abstract/26/13/1616/201634,175,2010
