"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE","MAPPING_NOTES","CODE_CHANGES","PREV_MOD_NAME","PREV_ITM_NAME"
"AE","VERBATIM","","MedDRA Lookup Term","CHAR","100","","","","Excluded due to PHI","","",""
"AE","VMEDDRA","","MedDRA Version","CHAR","8","","","","","","",""
"AECLINAST"," ","AECLINAST","Adverse Event In-Clinic Assessment","","","","","","","","",""
"AECLINAST","ADMIN_CNO","AECLINAST","Administering Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AECLINAST","AERPRT","AECLINAST","If Yes, were any adverse events observed?","NUMBER","1","0","False","False","","","",""
"AECLINAST","ASTYN","AECLINAST","Were adverse events assessed following the procedure(s) on this assessment date?","NUMBER","1","0","False","False","","","",""
"AECLINAST","CLNCONDCTVIS","AECLINAST","Was an LP, skin biopsy, or dopamine imaging scan conducted at this visit?","NUMBER","1","0","False","False","","","",""
"AECLINAST","CNO","AECLINAST","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AECLINAST","CONDDOP","AECLINAST","Dopamine Imaging performed on assessment date","NUMBER","1","0","False","False","","","",""
"AECLINAST","CONDLP","AECLINAST","LP performed on assessment date","NUMBER","1","0","False","False","","","",""
"AECLINAST","CONDSKBIO","AECLINAST","Skin Biopsy performed on assessment date","NUMBER","1","0","False","False","","","",""
"AECLINAST","EVENT_ID","AECLINAST","Visit ID","CHAR","6","","True","False","","","",""
"AECLINAST","INFODT","AECLINAST","Assessment Date","DATE","","","True","False","","","",""
"AECLINAST","LAST_UPDATE","AECLINAST","Date of most recent update to record","DATE","","","True","False","","","",""
"AECLINAST","NOASTRSN","AECLINAST","If No, please explain:","CHAR","","","False","False","Excluded due to PHI","","",""
"AECLINAST","ORIG_CNO","AECLINAST","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AECLINAST","ORIG_ENTRY","AECLINAST","Date of original data entry","DATE","","","True","False","","","",""
"AECLINAST","PAG_NAME","AECLINAST","Page Name","CHAR","13","","True","False","","","",""
"AECLINAST","PATNO","AECLINAST","Participant ID","NUMBER","18","0","True","False","","","",""
"AECLINAST","REC_ID","AECLINAST","Record ID","CHAR","36","","True","True","","","",""
"AGE_AT_VISIT","AGE_AT_VISIT","","Age at Visit","NUMBER","3","1","","","","","",""
"AGE_AT_VISIT","EVENT_ID","","Visit ID","TEXT","3","","","","","","",""
"AGE_AT_VISIT","PATNO","","Participant ID","NUMBER","18","0","","","","","",""
"AMBULATORY","age_seconds","","Participant's pseudo-age in seconds","DATE","0","0","","","","","",""
"AMBULATORY","subject","","Participant ID","CHAR","16","0","","","","","",""
"AMBULATORY","sum_walking_minutes","","Minutes in the day where the participant is walking, running, going up stairs, etc.","NUMBER","19","0","","","","","",""
"AMBULATORY","time_day","","Day of week","CHAR","3","0","","","","","",""
"AMBULATORY","time_local","","Time in participant's local time zone","TIME","8","0","","","","","",""
"AMBULATORY","time_ms","","Epoch time (Convert all millisecond timestamps in the PST (-7:00) timezone to get the day of week and local time)","CHAR","25","0","","","","","",""
"AVAECLINAST"," ","AVAECLINAST","(Early Imaging Substudy) Adverse Event In-Clinic Assessment","","","","","","","","",""
"AVAECLINAST","AVAERPRT","AVAECLINAST","If Yes, were any adverse events observed?","NUMBER","1","0","False","False","","","",""
"AVAECLINAST","AVASTYN","AVAECLINAST","If Yes, were adverse events assessed following the procedure(s)?","NUMBER","1","0","False","False","","","",""
"AVAECLINAST","AVCLNCONDCTVIS","AVAECLINAST","Was a dopamine or PET imaging scan conducted at this visit?","NUMBER","1","0","False","False","","","",""
"AVAECLINAST","AVNOASTRSN","AVAECLINAST","If No, please explain:","CHAR","","","False","False","Excluded due to PHI","","",""
"AVAECLINAST","CNO","AVAECLINAST","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVAECLINAST","EVENT_ID","AVAECLINAST","Visit ID","CHAR","6","","True","False","","","",""
"AVAECLINAST","INFODT","AVAECLINAST","Assessment Date","DATE","","","True","False","","","",""
"AVAECLINAST","LAST_UPDATE","AVAECLINAST","Date of most recent update to record","DATE","","","True","False","","","",""
"AVAECLINAST","ORIG_CNO","AVAECLINAST","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVAECLINAST","ORIG_ENTRY","AVAECLINAST","Date of original data entry","DATE","","","True","False","","","",""
"AVAECLINAST","PAG_NAME","AVAECLINAST","Page Name","CHAR","13","","True","False","","","",""
"AVAECLINAST","PATNO","AVAECLINAST","Participant ID","NUMBER","18","0","True","False","","","",""
"AVAECLINAST","REC_ID","AVAECLINAST","Record ID","CHAR","36","","True","True","","","",""
"AVAECLINAST","SUB_EVENT_ID","AVAECLINAST","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVCNSNT"," ","AVCNSNT","(Early Imaging Substudy) Documentation of Informed Consent","","","","","","","","",""
"AVCNSNT","CNO","AVCNSNT","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVCNSNT","DOCCONSNTAV","AVCNSNT","Informed consent was discussed with participant and/or legally authorized representative for the PPMI 004 Early Imaging Study. Participant and/or legally authorized representative was given adequate time to read the informed consent, the opportunity to ask questions and consent was obtained prior to any study procedures being performed.","NUMBER","1","0","False","False","Combined and Mapped AVCNSTDISC,CNSTFORM,CNSTTIME,SIGNCNST,CNSTCOPY,CNSTPRIR,CNSTAUTH,CNSTQA (for records collected in prior EDC)","Yes","AVCNSNT","AVCNSTDISC|CNSTFORM|CNSTTIME|SIGNCNST|CNSTCOPY|CNSTPRIR|CNSTAUTH|CNSTQA"
"AVCNSNT","EVENT_ID","AVCNSNT","Visit ID","CHAR","6","","True","False","","","",""
"AVCNSNT","INFODT","AVCNSNT","Assessment Date","DATE","","","True","False","","","",""
"AVCNSNT","LAST_UPDATE","AVCNSNT","Date of most recent update to record","DATE","","","True","False","","","",""
"AVCNSNT","ORIG_CNO","AVCNSNT","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVCNSNT","ORIG_ENTRY","AVCNSNT","Date of original data entry","DATE","","","True","False","","","",""
"AVCNSNT","PAG_NAME","AVCNSNT","Page Name","CHAR","13","","True","False","","","",""
"AVCNSNT","PATNO","AVCNSNT","Participant ID","NUMBER","18","0","True","False","","","",""
"AVCNSNT","REC_ID","AVCNSNT","Record ID","CHAR","36","","True","True","","","",""
"AVEKG"," ","AVEKG","(Early Imaging Substudy) ECG","","","","","","","","",""
"AVEKG","CNO","AVEKG","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVEKG","EKGCSCM","AVEKG","EKG Abnormal, clinically significant comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVEKG","EKGPERF","AVEKG","EKG performed","NUMBER","1","0","False","False","","","",""
"AVEKG","EKGRSLT","AVEKG","EKG results interpretation","NUMBER","1","0","False","False","","","",""
"AVEKG","EKGTM","AVEKG","Time of ECG","TIME","","","False","False","","","",""
"AVEKG","EVENT_ID","AVEKG","Visit ID","CHAR","6","","True","False","","","",""
"AVEKG","HR","AVEKG","Heart Rate (bpm)","NUMBER","12","0","False","False","","","",""
"AVEKG","INFODT","AVEKG","Assessment Date","DATE","","","True","False","","","",""
"AVEKG","LAST_UPDATE","AVEKG","Date of most recent update to record","DATE","","","True","False","","","",""
"AVEKG","ORIG_CNO","AVEKG","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVEKG","ORIG_ENTRY","AVEKG","Date of original data entry","DATE","","","True","False","","","",""
"AVEKG","PAG_NAME","AVEKG","Page Name","CHAR","13","","True","False","","","",""
"AVEKG","PATNO","AVEKG","Participant ID","NUMBER","18","0","True","False","","","",""
"AVEKG","PRINTRVL","AVEKG","PR Interval (msec)","NUMBER","12","0","False","False","","","",""
"AVEKG","QRS","AVEKG","QRS Duration (msec)","NUMBER","12","0","False","False","","","",""
"AVEKG","QTC","AVEKG","QTc (msec)","NUMBER","12","0","False","False","","","",""
"AVEKG","QTCB","","QTCB","NUMBER","3","0","","","","","",""
"AVEKG","QTCF","","QTCF","NUMBER","3","0","","","","","",""
"AVEKG","QTINTRVL","AVEKG","QT Interval (msec)","NUMBER","12","0","False","False","","","",""
"AVEKG","REC_ID","AVEKG","Record ID","CHAR","36","","True","True","","","",""
"AVEKG","SUB_EVENT_ID","AVEKG","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVELIG"," ","AVELIG","(Early Imaging Substudy) Inclusion Exclusion Criteria","","","","","","","","",""
"AVELIG","AVCNSTDT","","AV-133 Informed consent date","DATE","","","","","Mapped INFODT from AVCNSNT (for records collected in current EDC)","","",""
"AVELIG","CNO","AVELIG","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVELIG","EVENT_ID","AVELIG","Visit ID","CHAR","6","","True","False","","","",""
"AVELIG","EXABCOND","AVELIG","Any other medical or psychiatric condition or lab abnormality, which in the opinion of the investigator might preclude participation","NUMBER","1","0","False","False","","","",""
"AVELIG","EXAVRX1MO","AVELIG","Received any of the following medications that might interfere with 18F-AV-133 PET imaging: tetrabenazine (TBZ) or methylphenidate, reserpine, or amphetamine derivative, within 1 month prior to the Screening 18F-AV-133 injection.","NUMBER","1","0","False","False","Mapped INEX5 from AVELIG (for records collected in prior EDC)","","AVELIG","INEX5"
"AVELIG","EXCARDDX","AVELIG","Have current clinically significant cardiovascular disease or abnormalities on screening ECG (including but not limited to QTc > 450 msec)","NUMBER","1","0","False","False","Mapped INEX2 from AVELIG (for records collected in prior EDC)","","AVELIG","INEX2"
"AVELIG","EXRXQTPRO","AVELIG","Are currently taking medications that are known to cause QT-prolongation","NUMBER","1","0","False","False","Mapped INEX3 from AVELIG (for records collected in prior EDC)","","AVELIG","INEX3"
"AVELIG","INCNST","AVELIG","Able to provide informed consent","NUMBER","1","0","False","False","","","",""
"AVELIG","INEX1","","Inclusion Exclusion question 1","CHAR","1","","","","","","",""
"AVELIG","INFODT","AVELIG","Assessment Date","DATE","","","True","False","","","",""
"AVELIG","INPPMI2","AVELIG","A PD participant consented to PPMI Clinical, or a prodromal participant confirmed eligible to proceed to PPMI Clinical Baseline visit.","NUMBER","1","0","False","False","","","",""
"AVELIG","INPREGNT","AVELIG","Women may not be pregnant, lactating or planning pregnancy during the study","NUMBER","1","0","False","False","","","",""
"AVELIG","LAST_UPDATE","AVELIG","Date of most recent update to record","DATE","","","True","False","","","",""
"AVELIG","ORIG_CNO","AVELIG","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVELIG","ORIG_ENTRY","AVELIG","Date of original data entry","DATE","","","True","False","","","",""
"AVELIG","PAG_NAME","AVELIG","Page Name","CHAR","13","","True","False","","","",""
"AVELIG","PATNO","AVELIG","Participant ID","NUMBER","18","0","True","False","","","",""
"AVELIG","REC_ID","AVELIG","Record ID","CHAR","36","","True","True","","","",""
"AVELIG","SIGNCNST","","Signed Consent","CHAR","1","","","","Mapped SIGNCNST from AVCNSNT (for records collected in current EDC)","","",""
"AVELIG","SUB_EVENT_ID","AVELIG","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVIMAG"," ","AVIMAG","(Early Imaging Substudy) AV-133 Imaging","","","","","","","","",""
"AVIMAG","CNO","AVIMAG","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVIMAG","DIASUPAF","AVIMAG","Supine BP - diastolic - after injection (mmHg)","NUMBER","12","0","False","False","","","",""
"AVIMAG","DIASUPBF","AVIMAG","Supine BP - diastolic - before injection (mmHg)","NUMBER","12","0","False","False","","","",""
"AVIMAG","EVENT_ID","AVIMAG","Visit ID","CHAR","6","","True","False","","","",""
"AVIMAG","HRSUPAF","AVIMAG","Supine heart rate - after injection (bpm)","NUMBER","12","0","False","False","","","",""
"AVIMAG","HRSUPBF","AVIMAG","Supine heart rate - before injection (bpm)","NUMBER","12","0","False","False","","","",""
"AVIMAG","INFODT","AVIMAG","Assessment Date","DATE","","","True","False","Mapped PETDT from AVIMAG (for records collected in prior EDC)","","AVIMAG","PETDT"
"AVIMAG","INJECTTM","AVIMAG","Time of Injection","TIME","","","False","False","","","",""
"AVIMAG","INVEVLAF","AVIMAG","Study physician able to evaluate after injection","NUMBER","1","0","False","False","","","",""
"AVIMAG","INVEVLAFCM","AVIMAG","Study physician not able to evaluate after injection comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVIMAG","INVEVLBF","AVIMAG","Study physician able to evaluate before injection","NUMBER","1","0","False","False","","","",""
"AVIMAG","INVEVLBFCM","AVIMAG","Study physician not able to evaluate before injection comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVIMAG","LAST_UPDATE","AVIMAG","Date of most recent update to record","DATE","","","True","False","","","",""
"AVIMAG","ORIG_CNO","AVIMAG","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVIMAG","ORIG_ENTRY","AVIMAG","Date of original data entry","DATE","","","True","False","","","",""
"AVIMAG","PAG_NAME","AVIMAG","Page Name","CHAR","13","","True","False","","","",""
"AVIMAG","PATNO","AVIMAG","Participant ID","NUMBER","18","0","True","False","","","",""
"AVIMAG","PETCMPLT","AVIMAG","AV-133 PET scan completed?","NUMBER","1","0","False","False","","","",""
"AVIMAG","PETCMPLTCM","AVIMAG","AV-133 PET scan not completed comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVIMAG","REC_ID","AVIMAG","Record ID","CHAR","36","","True","True","","","",""
"AVIMAG","SUB_EVENT_ID","AVIMAG","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVIMAG","SYSSUPAF","AVIMAG","Supine BP - systolic - after injection (mmHg)","NUMBER","12","0","False","False","","","",""
"AVIMAG","SYSSUPBF","AVIMAG","Supine BP - systolic - before injection (mmHg)","NUMBER","12","0","False","False","","","",""
"AVIMAG","VITLTMAF","AVIMAG","Vital Sign Time - after injection","TIME","","","False","False","","","",""
"AVIMAG","VITLTMBF","AVIMAG","Vital Sign Time - before injection","TIME","","","False","False","","","",""
"AVIMAG","VMATRSLT","","VMAT-2 PET Interpretation Report","CHAR","1","","","","","","",""
"AVPREGNANC"," ","AVPREGNANC","(Early Imaging Substudy) Pregnancy Test","","","","","","","","",""
"AVPREGNANC","CNO","AVPREGNANC","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVPREGNANC","EVENT_ID","AVPREGNANC","Visit ID","CHAR","6","","True","False","","","",""
"AVPREGNANC","INFODT","AVPREGNANC","Assessment Date","DATE","","","True","False","Mapped INFODT from AVIMAG (for records collected in prior EDC)","","AVIMAG","INFODT"
"AVPREGNANC","LAST_UPDATE","AVPREGNANC","Date of most recent update to record","DATE","","","True","False","","","",""
"AVPREGNANC","ORIG_CNO","AVPREGNANC","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVPREGNANC","ORIG_ENTRY","AVPREGNANC","Date of original data entry","DATE","","","True","False","","","",""
"AVPREGNANC","PAG_NAME","AVPREGNANC","Page Name","CHAR","13","","True","False","Mapped PAG_NAME from AVIMAG (for records collected in prior EDC)","","AVIMAG","PAG_NAME"
"AVPREGNANC","PATNO","AVPREGNANC","Participant ID","NUMBER","18","0","True","False","","","",""
"AVPREGNANC","PREGAPPL","AVPREGNANC","Participant is a female of childbearing potential","NUMBER","1","0","False","False","Mapped GENDER from SCREEN (for records collected in prior EDC)","Yes","SCREEN","GENDER"
"AVPREGNANC","REC_ID","AVPREGNANC","Record ID","CHAR","36","","True","True","","","",""
"AVPREGNANC","SPRGCNNEGBF","AVPREGNANC","Serum pregnancy result confirmed negative prior to Baseline 18F-AV-133 injection","NUMBER","1","0","False","False","Mapped SPRGCNBF from AVIMAG (for records collected in prior EDC)","","AVIMAG","SPRGCNBF"
"AVPREGNANC","SUB_EVENT_ID","AVPREGNANC","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVPREGNANC","UPREGPRF","AVPREGNANC","Urine pregnancy test performed","NUMBER","1","0","False","False","Mapped UPREGPRF from AVIMAG (for records collected in prior EDC)","Yes","AVIMAG","UPREGPRF"
"AVPREGNANC","UPREGPRFCM","AVPREGNANC","Urine pregnancy test not completed comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVPREGNANC","UPRGCNBF","AVPREGNANC","Urine pregnancy result confirmed prior to 18F-AV-133 injection","NUMBER","1","0","False","False","Mapped UPRGCNBF from AVIMAG (for records collected in prior EDC)","","AVIMAG","UPRGCNBF"
"AVPREGNANC","UPRGCNBFCM","AVPREGNANC","No urine pregnancy result confirmed prior to 18F-AV-133 injection comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVPREGNANC","UPRGRSLT","AVPREGNANC","Urine pregnancy test result","NUMBER","1","0","False","False","Mapped UPRGRSLT from AVIMAG (for records collected in prior EDC)","","AVIMAG","UPRGRSLT"
"AVREPPREG"," ","AVREPPREG","(Early Imaging Substudy) Report of Pregnancy","","","","","","","","",""
"AVREPPREG","CNO","AVREPPREG","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVREPPREG","EVENT_ID","AVREPPREG","Visit ID","CHAR","6","","True","False","","","",""
"AVREPPREG","INFODT","AVREPPREG","Assessment Date","DATE","","","True","False","","","",""
"AVREPPREG","LAST_UPDATE","AVREPPREG","Date of most recent update to record","DATE","","","True","False","","","",""
"AVREPPREG","ORIG_CNO","AVREPPREG","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVREPPREG","ORIG_ENTRY","AVREPPREG","Date of original data entry","DATE","","","True","False","","","",""
"AVREPPREG","PAG_NAME","AVREPPREG","Page Name","CHAR","13","","True","False","","","",""
"AVREPPREG","PATNO","AVREPPREG","Participant ID","NUMBER","18","0","True","False","","","",""
"AVREPPREG","PREG30AV","AVREPPREG","Pregnancy within 30 days of AV-133 injection?","NUMBER","1","0","False","False","","","",""
"AVREPPREG","PREGWHO","AVREPPREG","Participant or participant partner is pregnant?","NUMBER","1","0","False","False","","","",""
"AVREPPREG","REC_ID","AVREPPREG","Record ID","CHAR","36","","True","True","","","",""
"AVREPPREG","SUB_EVENT_ID","AVREPPREG","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVSCRNFAIL"," ","AVSCRNFAIL","(Early Imaging Substudy) Screen Fail","","","","","","","","",""
"AVSCRNFAIL","CNO","AVSCRNFAIL","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVSCRNFAIL","EVENT_ID","AVSCRNFAIL","Visit ID","CHAR","6","","True","False","","","",""
"AVSCRNFAIL","INFODT","AVSCRNFAIL","Assessment Date","DATE","","","True","False","","","",""
"AVSCRNFAIL","LAST_UPDATE","AVSCRNFAIL","Date of most recent update to record","DATE","","","True","False","","","",""
"AVSCRNFAIL","ORIG_CNO","AVSCRNFAIL","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVSCRNFAIL","ORIG_ENTRY","AVSCRNFAIL","Date of original data entry","DATE","","","True","False","","","",""
"AVSCRNFAIL","PAG_NAME","AVSCRNFAIL","Page Name","CHAR","13","","True","False","","","",""
"AVSCRNFAIL","PATNO","AVSCRNFAIL","Participant ID","NUMBER","18","0","True","False","","","",""
"AVSCRNFAIL","REC_ID","AVSCRNFAIL","Record ID","CHAR","36","","True","True","","","",""
"AVSCRNFAIL","RSNDEC","AVSCRNFAIL","Reason for Declining","NUMBER","2","0","False","False","","","",""
"AVSCRNFAIL","SCFAILRSN","AVSCRNFAIL","Reason for screen fail","NUMBER","1","0","False","False","","","",""
"AVSCRNFAIL","SUB_EVENT_ID","AVSCRNFAIL","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVTEL"," ","AVTEL","(Early Imaging Substudy) Adverse Event Telephone Assessment","","","","","","","","",""
"AVTEL","AVCONDCTVIS","AVTEL","Was an LP, skin biopsy, or DaTscan or AV-133 imaging scan conducted at this visit?","NUMBER","1","0","False","False","","","",""
"AVTEL","CNO","AVTEL","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"AVTEL","CNTACTYN","AVTEL","Was contact made","NUMBER","1","0","False","False","","","",""
"AVTEL","CNTRSN","AVTEL","Reason for no contact","NUMBER","1","0","False","False","","","",""
"AVTEL","CNTRSNCM","AVTEL","Reason for no contact comment","CHAR","","","False","False","Excluded due to PHI","","",""
"AVTEL","EVENT_ID","AVTEL","Visit ID","CHAR","6","","True","False","","","",""
"AVTEL","INFODT","AVTEL","Assessment Date","DATE","","","True","False","","","",""
"AVTEL","LAST_UPDATE","AVTEL","Date of most recent update to record","DATE","","","True","False","","","",""
"AVTEL","ORIG_CNO","AVTEL","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"AVTEL","ORIG_ENTRY","AVTEL","Date of original data entry","DATE","","","True","False","","","",""
"AVTEL","PAG_NAME","AVTEL","Page Name","CHAR","13","","True","False","","","",""
"AVTEL","PATNO","AVTEL","Participant ID","NUMBER","18","0","True","False","","","",""
"AVTEL","REC_ID","AVTEL","Record ID","CHAR","36","","True","True","","","",""
"AVTEL","SUB_EVENT_ID","AVTEL","Substudy Visit ID","CHAR","7","","False","False","","","",""
"AVTEL","TELAERPT","AVTEL","AE reported","NUMBER","1","0","False","False","","","",""
"BASELINE"," ","BASELINE","Baseline Visit Start","","","","","","","","",""
"BASELINE","CNO","BASELINE","Site Number","NUMBER","12","0","True","False","Excluded due to PHI","","",""
"BASELINE","EVENT_ID","BASELINE","Visit ID","CHAR","6","","True","False","","","",""
"BASELINE","INFODT","BASELINE","Date Baseline visit started","DATE","","","True","False","","","",""
"BASELINE","LAST_UPDATE","BASELINE","Date of most recent update to record","DATE","","","True","False","","","",""
"BASELINE","ORIG_CNO","BASELINE","Original Site Number","NUMBER","12","0","False","False","Excluded due to PHI","","",""
"BASELINE","ORIG_ENTRY","BASELINE","Date of original data entry","DATE","","","True","False","","","",""
"BASELINE","PAG_NAME","BASELINE","Page Name","CHAR","13","","True","False","","","",""
"BASELINE","PATNO","BASELINE","Participant ID","NUMBER","18","0","True","False","","","",""
"BASELINE","REC_ID","BASELINE","Record ID","CHAR","36","","True","True","","","",""
"Biospecimen_Analysis","CLINICAL_EVENT","","Visit ID","CHAR","20","","","","","","",""
"Biospecimen_Analysis","DIAGNOSIS","","Appropriate Diagnosis","CHAR","1","","","","","","",""
"Biospecimen_Analysis","GENDER","","Gender","CHAR","8","","","","","","",""
"Biospecimen_Analysis","PATNO","","Patient Number","CHAR","8","","","","","","",""
"Biospecimen_Analysis","PI_INSTITUTION","","Name of PI Instituion","CHAR","64","","","","","","",""
"Biospecimen_Analysis","PI_NAME","","Name of Project PI","CHAR","64","","","","","","",""
"Biospecimen_Analysis","PROJECTID","","Project ID for Analysis","NUMBER","8","0","","","","","",""
"Biospecimen_Analysis","RUNDATE","","Run Date of Test","DATE","","","","","","","",""
"Biospecimen_Analysis","TESTNAME","","Test Type","CHAR","36","","","","","","",""
"Biospecimen_Analysis","TESTVALUE","","Test Value","CHAR","36","","","","","","",""
"Biospecimen_Analysis","TYPE","","Sample Type","CHAR","36","","","","","","",""
"Biospecimen_Analysis","UNITS","","Units of Measure","CHAR","8","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","ALIAS_ID","","PATIENT NUMBER","NUMBER","6","0","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","","BRAIN REGION","CHAR","2","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","CLINICAL_EVENT","","CLINICAL EVENT (AUT)","CHAR","5","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","CUSTODIAL_DOMAIN","","CUSTODIAL DOMAIN ","CHAR","50","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","EXTRACTION_PROTOCOL","","EXTRACTION PROTOCOL","CHAR","1","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","HEMISPHERE","","BRAIN HEMISPHERE","CHAR","1","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","PREPARATION","","PREPARATION METHOD","CHAR","1","","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY","","QUANTITY ","NUMBER","6","0","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY_UNITS","","QUANTITY UNITS","NUMBER","2","0","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","SPECIMEN_NO","","SPECIMEN NUMBER","NUMBER","50","0","","","","","",""
"BIOSPECIMEN_BRAIN_CATALOG","TYPE","","SPECIMEN TYPE","CHAR","20","","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","ADDTL_STOCK_AVAIL_ON_REQ","","Addition Stock Available upon Request","CHAR","10","","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","ALIAS_ID","","Patient Number","CHAR","100","","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","CELLS_PER_CONTAINER","","Cells per Container","NUMBER","10","0","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","CELL_LINE_NAME","","Cell Line Name","CHAR","100","","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","CELL_TYPE","","Cell Type","CHAR","100","","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","CLINICAL_EVENT","","Event Name","CHAR","100","","","","","","",""
"BIOSPECIMEN_CELL_CATALOG","CLONE","","Clone Number","NUMBER","3","0","","","","","",""
