id,GSE,Species,Entity,Technology,Type,Samples,Disease,DOLink,Dsetlink,Datapath,DataAnnot
11,ERP003917,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",101,"skeletal disease",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP003917,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP003917.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP003917_Annot.csv"
12,ERP004094,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",38,"bacterial infection",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004094,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP004094.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP004094_Annot.csv"
13,ERP004375,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",194,"immune system disease",disease-ontology.org/term/DOID%3A2914,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004375,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP004375.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP004375_Annot.csv"
14,ERP005641,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",253,"mouse embryonic stem cells",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP005641,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP005641.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP005641_Annot.csv"
15,ERP005938,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",52,"oral squamous cell carcinoma",disease-ontology.org/term/DOID%3A0050866,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP005938,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP005938.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP005938_Annot.csv"
16,ERP006077,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",85,"prostate cancer",disease-ontology.org/term/DOID%3A10283,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP006077,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP006077.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP006077_Annot.csv"
17,ERP007111,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",133,"healthy individuals",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP007111,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP007111.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP007111_Annot.csv"
18,ERP007185,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",57,"oral squamous cell carcinoma",disease-ontology.org/term/DOID%3A0050866,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP007185,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP007185.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP007185_Annot.csv"
19,ERP008608,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",85,"brain tissue",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP008608,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP008608.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP008608_Annot.csv"
20,ERP008967,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",107,"embroyonic stem cells",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP008967,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP008967.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP008967_Annot.csv"
21,ERP009437,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",382,cardiomyopathy,disease-ontology.org/term/DOID%3A0050700,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP009437,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP009437.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP009437_Annot.csv"
22,ERP009768,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",58,"granulocyte lncrna transcriptome",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP009768,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP009768.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP009768_Annot.csv"
23,ERP010003,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",40,"parkinson disease",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP010003,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010003.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010003_Annot.csv"
24,ERP010142,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",78,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP010142,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010142.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010142_Annot.csv"
25,ERP010227,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",48,"hepatitis c",disease-ontology.org/term/DOID%3A1883,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP010227,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010227.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010227_Annot.csv"
26,ERP010930,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",48,glioma,,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP010930,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010930.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP010930_Annot.csv"
27,ERP011411,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",148,"pancreatic cancer",disease-ontology.org/term/DOID%3A1793,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP011411,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP011411.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/ERP011411_Annot.csv"
28,SRP000599,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",40,"small rna-seq",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP000599,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP000599.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP000599_Annot.csv"
29,SRP000941,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",343,"human reference epigenome",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP000941,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP000941.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP000941_Annot.csv"
30,SRP001371,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",163,"human reference epigenome","University of Washington Human Reference Epigenome Mapping Project",https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP001371,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP001371.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP001371_Annot.csv"
31,SRP001540,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",160,"lymphoblastoid cell lines",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP001540,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP001540.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP001540_Annot.csv"
32,SRP001563,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",45,"polymorphic regulators",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP001563,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP001563.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP001563_Annot.csv"
33,SRP002079,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",62,"embryonic stem cells",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP002079,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP002079.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP002079_Annot.csv"
34,SRP003611,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",52,"prostate cancer",disease-ontology.org/term/DOID%3A10283,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP003611,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP003611.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP003611_Annot.csv"
35,SRP003754,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",155,"small rna-seq from encode",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP003754,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP003754.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP003754_Annot.csv"
36,SRP004637,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",56,"prostate cancer",disease-ontology.org/term/DOID%3A10283,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP004637,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP004637.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP004637_Annot.csv"
37,SRP006574,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",243,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP006574,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP006574.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP006574_Annot.csv"
38,SRP006575,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",111,cancer,disease-ontology.org/term/DOID%3A162,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP006575,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP006575.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP006575_Annot.csv"
39,SRP007461,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",203,"long rna-seq from encode",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP007461,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP007461.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP007461_Annot.csv"
40,SRP007525,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",181,lymphoma,disease-ontology.org/term/DOID%3A0060058,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP007525,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP007525.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP007525_Annot.csv"
41,SRP007825,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",66,psoriasis,disease-ontology.org/term/DOID%3A8893,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP007825,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP007825.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP007825_Annot.csv"
42,SRP009266,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",42,"rna-seq from encode",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP009266,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009266.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009266_Annot.csv"
43,SRP009316,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",40,"burkitt lymphoma",disease-ontology.org/term/DOID%3A8584,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP009316,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009316.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009316_Annot.csv"
44,SRP009408,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",62,"lung cancer",disease-ontology.org/term/DOID%3A1324,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP009408,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009408.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009408_Annot.csv"
45,SRP009862,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",71,"rna-seq from encode",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP009862,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009862.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP009862_Annot.csv"
46,SRP010038,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",40,pterygium,disease-ontology.org/term/DOID%3A0002116,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP010038,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP010038.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP010038_Annot.csv"
47,SRP010129,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",40,"skin cancer",disease-ontology.org/term/DOID%3A4159,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP010129,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP010129.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP010129_Annot.csv"
48,SRP010181,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",514,"colorectal cancer",disease-ontology.org/term/DOID%3A9256,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP010181,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP010181.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP010181_Annot.csv"
49,SRP011546,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",123,pluripotency-sc,,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP011546,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP011546.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP011546_Annot.csv"
50,SRP012461,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",384,"tissue regeneration",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP012461,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP012461.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP012461_Annot.csv"
51,SRP012557,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",42,"rna-seq from encode",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP012557,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP012557.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP012557_Annot.csv"
52,SRP014320,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",104,"rna-seq from encode",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP014320,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014320.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014320_Annot.csv"
53,SRP014428,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",88,"circulating tumor cells-sc",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP014428,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014428.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014428_Annot.csv"
54,SRP014574,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",53,"gastric cancer",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP014574,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014574.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014574_Annot.csv"
55,SRP014830,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",59,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP014830,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014830.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP014830_Annot.csv"
56,SRP015640,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",68,"rna degradation",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP015640,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP015640.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP015640_Annot.csv"
57,SRP015670,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",40,"viral infectious disease",disease-ontology.org/term/DOID%3A934,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP015670,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP015670.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP015670_Annot.csv"
58,SRP015789,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",120,"placental tissue",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP015789,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP015789.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP015789_Annot.csv"
59,SRP017262,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",42,"acute myeloid leukemia",disease-ontology.org/term/DOID%3A9119,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP017262,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP017262.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP017262_Annot.csv"
60,SRP017575,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",52,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP017575,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP017575.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP017575_Annot.csv"
61,SRP018008,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",93,"bladder cancer",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP018008,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP018008.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP018008_Annot.csv"
62,SRP018838,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",62,"single cell rna-seq",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP018838,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP018838.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP018838_Annot.csv"
63,SRP018853,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",78,"type 1 diabetes mellitus",disease-ontology.org/term/DOID%3A9744,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP018853,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP018853.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP018853_Annot.csv"
64,SRP019272,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",361,"metabolic syndrome",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP019272,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP019272.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP019272_Annot.csv"
65,SRP019994,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",99,leiomyosarcoma,disease-ontology.org/term/DOID%3A1967,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP019994,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP019994.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP019994_Annot.csv"
66,SRP020491,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",54,"viral infectious disease",disease-ontology.org/term/DOID%3A934,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP020491,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP020491.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP020491_Annot.csv"
67,SRP020492,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",53,"viral infectious disease",disease-ontology.org/term/DOID%3A934,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP020492,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP020492.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP020492_Annot.csv"
68,SRP021193,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",80,cardiomyopathy,disease-ontology.org/term/DOID%3A0050700,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP021193,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP021193.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP021193_Annot.csv"
69,SRP021509,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",43,"diffuse large b cell lymphoma",,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP021509,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP021509.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP021509_Annot.csv"
70,SRP022043,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",70,"alzheimer's disease",disease-ontology.org/term/DOID%3A10652,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP022043,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP022043.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP022043_Annot.csv"
71,SRP023262,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",80,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP023262,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP023262.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP023262_Annot.csv"
72,SRP024274,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",52,"chronic obstructive pulmonary disease",disease-ontology.org/term/DOID%3A3083,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP024274,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP024274.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL11154/SRP024274_Annot.csv"
73,SRP025982,"Homo sapiens","Gene expression",GPL11154,"expression profiling by high throughput sequencing",1712,"sequencing quality control","data/Homo sapiens/GPL11154/SRP025982.csv",,http://dataome.mensxmachina.org/,http://dataome.mensxmachina.org/https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP025982
