Accession,id,anticons,model
GSE101403,GSE101403_Cuffdiff_Day3ci.txt.gz,0,nextseq 500
GSE101424,GSE101424_pleb-VS-pYthA.GeneDiffExp.xls.gz,1,illumina hiseq 4000
GSE101430,sheet-Sheet 1 from GSE101430_Combined_processed_data_plant.xlsx.gz,0,illumina hiseq 1500
GSE101458,sheet-Sheet1 from GSE101458_Lnc23_WT_KO_normalizedExpression.xlsx,0,illumina hiseq 2500
GSE101465,sheet-All genes from GSE101465_DAH_vs_OR.xls.gz,1,illumina hiseq 2500
GSE101480,GSE101480_Group370_vs_GroupCtrl.all.gene.result.txt.gz,1,illumina hiseq 1000
GSE101484,sheet-CCR4KO DEseq2 all replicates from GSE101484_SuppTable3_Complete_RNAseq_DEseq2_output.xlsx,1,illumina hiseq 2500
GSE101494,GSE101494_gene_deg_chr.txt.gz,0,illumina hiseq 2000
GSE101496,sheet-Sheet1 from GSE101496_infla_gene_exp.xlsx,0,illumina hiseq 2500
GSE101510,GSE101510_IRF4_master_table.csv.gz,0,illumina hiseq 2500
GSE101545,sheet-DiffExpr_diet_sw2_versus_contro from GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,0,illumina hiseq 2500
GSE101566,GSE101566_CuffDiff_diff_gene_exp.tabular.txt.gz,0,illumina hiseq 2500
GSE101567,GSE101567_Col_vs_Col+INA.Gene.rpkm.txt.gz,0,illumina hiseq 2000
GSE101577,sheet-Sheet1 from GSE101577_DESeq2.MYC-OEvsCTRL.xlsx,0,illumina hiseq 2500
GSE101596,sheet-S14203_wo5 from GSE101596_S14203_genesdiff_wo5.xlsx,0,illumina hiseq 2500
GSE101605,GSE101605_gene_exp.diff.txt.gz,0,ab 5500 genetic analyzer
GSE101643,GSE101643_Z-STIM_vs_WT-STIM_diffexp.txt.gz,0,nextseq 500
GSE101655,GSE101655_NPC-hESC_FPKM.txt.gz,0,illumina hiseq 2500
GSE101657,sheet-EDGER.annot.txt from GSE101657_Kidney_RNAseq_summary.xlsx.gz,0,illumina hiseq 2000
GSE101664,GSE101664_Darz2r_gene_exp.diff.gz,0,illumina hiseq 2000
GSE101668,GSE101668_RKO-PRDM1beta-OE_vs_RKO-PRDM1-KO_DESeq2.csv.gz,0,nextseq 500
GSE101762,sheet-srt1_arivsC2H4_gene_exp.diff from GSE101762_srt1srt2_arivsC2H4.xlsx,0,illumina hiseq 4000
GSE101788,GSE101788_gene_exp.diff.gz,0,illumina hiseq 2000
GSE101797,GSE101797_Galaxy333-Cuffdiff_gene_differential_expression_testing.txt.gz,0,illumina hiseq 2000
GSE101801,GSE101801_gene_exp.diff.gz,0,illumina hiseq 2000
GSE101833,GSE101833_ETS1_gene_exp_all.txt.gz,0,nextseq 500
GSE101877,GSE101877_MOC_allgenes_edgeR.txt.gz,1,illumina hiseq 2000
GSE101883,GSE101883_DESq2_DGE.csv.gz,1,illumina hiseq 4000
GSE101898,GSE101898_Galaxy123-_CellXtype_QKO_vs_QT7L1_.tabular.txt.gz,0,illumina hiseq 2000
GSE101909,GSE101909_E16.5_MT_vs_E16.5_Ctrl_DESeq2_result_files.txt.gz,0,illumina hiseq 4000
GSE101911,sheet-250 ppm from GSE101911_RNA-seq_results_of_DvH_CuO.xlsx,0,illumina hiseq 2000
GSE101939,GSE101939_WT_E16_H2ZKO_E16.anno.txt.gz,0,illumina hiseq 2500
GSE101942,GSE101942_DESeq_Neuron_results.txt.gz,0,illumina hiseq 2000
GSE101994,GSE101994_bfx564.deseq.csv.gz,0,nextseq 500
GSE101995,GSE101995_bfx556.deseq.csv.gz,0,illumina hiseq 2500
GSE101996,GSE101996_bfx319.2month.table1.csv.gz,0,illumina hiseq 2500
GSE102003,GSE102003_Control_v_BMS-21_1h.csv.gz,0,illumina hiseq 2000
GSE102041,sheet-Early Log Phase from GSE102041_DESeq2_output.xlsx,0,illumina hiseq 2500
GSE102047,GSE102047_v7.1.PGCvsENDO.results.csv.gz,1,illumina hiseq 2500
GSE102060,GSE102060_BPA_vs_Control.txt.gz,0,illumina hiseq 2000
GSE102116,GSE102116_gene_exp1.diff.gz,0,nextseq 500
GSE102118,GSE102118_C2D8_vs_C1D1.DESeq2_Results.tsv.gz,0,illumina hiseq 2000
GSE102138,GSE102138_Long_non_coding_RNA.txt.gz,0,illumina hiseq 2500
GSE102141,GSE102141_CYTB_gene_exp_diff.txt.gz,0,illumina hiseq 2500
GSE102142,GSE102142_FoxAaBra_gene_exp_diff.txt.gz,0,illumina hiseq 2500
GSE102221,sheet-uninf yel vs inf yel from GSE102221_DESeq_yellow_uninfected_vs_yellow_infected.xlsx,0,illumina hiseq 2500
GSE102231,GSE102231_ITeffhi_vs_ITefflo.gene_exp.diff.gz,0,nextseq 500
GSE102254,GSE102254_TruSeq.DESeq2_results.txt.gz,0,illumina miseq
GSE102300,GSE102300_diffexpr-results.csv.gz,0,illumina hiseq 4000
GSE102334,GSE102334_Primary-Visual-Cortex-E34-vs-E33-Differential-Expression-Results.txt.gz,0,illumina hiseq 2000
GSE102351,sheet-limma_LEC_VC0-LEC_VC10.txt from GSE102351_EMC_limma_3x5.xlsx,0,nextseq 500
GSE102365,GSE102365_DESeq2_analysis.txt.gz,1,illumina hiseq 2000
GSE102368,sheet-sheet 1 from GSE102368_deseq_differential_expression_results.xlsx,0,illumina hiseq 2000
GSE102369,GSE102369_deseq_differential_expression_results.txt.gz,0,illumina hiseq 2000
GSE102503,GSE102503_14C-1_14C-2_14C-3--14P-1_14P-2_14P-3.all.gene.xls.gz,0,illumina genome analyzer iix
GSE102531,sheet-DE2output-Copy from GSE102531_DE2output-280116.xlsx.gz,0,illumina hiseq 2500
GSE102560,GSE102560_brg_all.csv.gz,0,illumina hiseq 4000
GSE102582,sheet-NCOA4 kd _Versus_LacZ control from GSE102582_NCOA4_kd_Versus_LacZ_control.xlsx,0,illumina hiseq 2500
GSE102583,sheet-Sheet1 from GSE102583_E17_kidney_delta_SRM_RNA-seq_Rauchman_Lab.xlsx,1,ion torrent proton
GSE102589,GSE102589_DEseq_results.csv.gz,0,illumina hiseq 4000
GSE102595,sheet-Expression_DESEQ3rep2cond from GSE102595_SupplementalTable_Expression_and_SplicingChanges.xlsx,1,illumina hiseq 2000
GSE102597,GSE102597_gene_exp.diff.gz,0,nextseq 500
GSE102606,GSE102606_tail_siblings_mutants.txt.gz,0,nextseq 500
GSE102743,GSE102743_DESeq-Sample_A-Sample_A1.txt.gz,0,illumina hiseq 2500
GSE102751,GSE102751_IPF_vs_Normal_T_cells_EDGE_analysis.txt.gz,0,illumina hiseq 2000
GSE102766,sheet-Sheet1 from GSE102766_Yang_genes_mapped_27-6-2017_DEseq2.xlsx,0,illumina hiseq 2500
GSE102772,sheet-SAP97 from GSE102772_comparison_RNA_expression.xlsx,0,illumina hiseq 3000
GSE102779,sheet-smRNA.droshaKO.50hrs.FasVsVec.h from GSE102779_SmallRNA_CD95L.50hrs.Drosha_ko.xlsx,0,illumina hiseq 4000
GSE102780,sheet-ShortRNA.hFASLvsPenti.htseq.edg from GSE102780_SmallRNA.CD95L.50hrs.HeyA8.xlsx,0,illumina hiseq 4000
GSE102793,GSE102793_deseq2_genes.tsv.gz,1,illumina hiseq 2000
GSE102806,GSE102806_RNASeq_HIGHserum_META-analysis.txt.gz,0,illumina hiseq 2000
GSE102842,GSE102842_Input_sumo_def_La_mut_vs_RNA_IP_sumo_def_La_mut.txt.gz,1,illumina hiseq 2500
GSE102852,GSE102852_HCT116_H2B_8.3.c7.txt.gz,1,illumina hiseq 2500
GSE102870,GSE102870_WT.agonist.vs.untrt.filter.tsv.gz,1,illumina hiseq 2500
GSE102922,GSE102922_RNAseq_2-4hr.txt.gz,0,illumina hiseq 4000
GSE102939,GSE102939_Expression_Profile_Day_14.txt.gz,0,illumina genome analyzer iix
GSE102987,GSE102987_klph_ko_wt_gene_exp.diff.gz,0,illumina hiseq 2000
GSE102988,GSE102988_ENAP1ox_ein3eil1_air_vs_C2H4_gene_exp.diff.gz,0,illumina hiseq 2000
GSE103033,GSE103033_Veh_vs_TBT_gene_exp.diff.gz,0,illumina hiseq 4000
GSE103044,GSE103044_FC_FR_deseqout.annotated.tsv.gz,0,illumina hiseq 2000
GSE103068,GSE103068_BI00894999_1nM_Volasertib_20nM_vs_DMSO_4h_dge.tsv.gz,1,illumina hiseq 1500
GSE103069,sheet-All from GSE103069_gene_exp_final.xls.gz,0,nextseq 500
GSE103146,sheet-SE_DESeq_Master from GSE103146_SE_DESeq_Processed.xlsx.gz,1,nextseq 500
GSE103153,GSE103153_EG19732_EG19733_DESeq2.txt.gz,1,nextseq 500
GSE103167,sheet-Sheet1 from GSE103167_rat_gene_exp_diff_ensemble_anno.xlsx,0,illumina hiseq 2000
GSE103203,GSE103203_ishi_gene_exp.txt.gz,0,illumina hiseq 2000
GSE103207,sheet-Sheet1 from GSE103207_ALV_J36h_vs_NC36h.Differential_analysis_results.xlsx,0,illumina hiseq 2000
GSE103257,GSE103257_gene_exp.diff.gz,0,illumina hiseq 2000
GSE103264,GSE103264_edgeR_analysis_GEOformat.txt.gz,1,illumina hiseq 2500
GSE103305,GSE103305_Thyroid_Hyper_vs_Hypo_resultstable.txt.gz,1,illumina hiseq 2500
GSE103314,sheet-PC layer.Kallisto from GSE103314_mm10.Kallisto.GeneExpression.P28.PurkinjeLayer.wt_vs_Nova2cKO.Pcp2-Cre.xlsx,0,illumina hiseq 2500
GSE103400,GSE103400_HNC3-_vs_+.txt.gz,0,illumina hiseq 2500
GSE103405,sheet-Table_S1 from GSE103405_Table_S1.xlsx,1,nextseq 500
GSE103415,sheet-res_fc_out from GSE103415_DESeq2_genes_diffexp_by_fc_wildtype_vs_knockout.xls.gz,1,illumina hiseq 2500
GSE103444,sheet-Complete_geneList_rawCount_Filt from GSE103444_Complete_geneList_rawCount_Filtered_EdgeR.xlsx,1,illumina hiseq 4000
GSE103457,"sheet-Galaxy150-(Cuffdiff_on_data_15, from GSE103457_P2_RNASEQ_WT_v_MUT.xlsx",0,illumina hiseq 2500
GSE103510,GSE103510_MV4_DMSO_A_vs_MV4_AC4_130.id.csv.gz,0,illumina hiseq 2000
GSE103520,GSE103520_MCF7_gene_exp.diff.gz,0,illumina hiseq 2000
GSE103531,GSE103531_summary_lad1.csv.gz,0,illumina hiseq 2500
GSE103607,sheet-Sheet1 from GSE103607_deseq.toptable.xlsx,0,illumina hiseq 2500
GSE103646,GSE103646_E2_vs_gamma-T_gene_exp.diff.gz,0,nextseq 500
GSE103670,GSE103670_gene_exp.diff.gz,0,illumina hiseq 2500
GSE103703,GSE103703_treatment.NI.CT.7D.all.csv.gz,0,illumina hiseq 1500
GSE103729,GSE103729_mRNA.txt.gz,0,illumina hiseq 2500
GSE103742,GSE103742_CUFFDIFF_PLZF_SFD.txt.gz,0,nextseq 500
GSE103747,GSE103747_All_info.txt.gz,0,illumina hiseq 2500
GSE103748,GSE103748_gene_exp_qval.sorted.txt.gz,0,illumina hiseq 2500
GSE103764,GSE103764_CraY47D_vs_CraY47F.txt.gz,1,illumina hiseq 4000
GSE103776,GSE103776_gene_exp_ABI.diff.gz,0,illumina hiseq 2500
GSE103778,GSE103778_Processed_data_file.csv.gz,0,illumina miseq
GSE103834,sheet-Sheet1 from GSE103834_C1C2_vs_control_ALL.xlsx,0,illumina hiseq 2500
GSE103868,GSE103868_DESeq2_Results_01_MockTransfected_Vs_Untransfected.txt.gz,0,illumina hiseq 4000
GSE103880,sheet-G152_G153 from GSE103880_G152_G153_LNA_differential_analyses.xlsx,0,illumina hiseq 2500
GSE103885,sheet-edgeR from GSE103885_STAT5KO_RNAseq.xlsx,0,illumina hiseq 2500
GSE103914,GSE103914_ZLD_differential_gene_expression.csv.gz,0,illumina hiseq 2000
GSE103923,GSE103923_Unstr_DE_All_WT_vs_MUT_NormCounts.txt.gz,0,illumina hiseq 2500
GSE103933,GSE103933_PB-VS-PB-TERRA.PossionDis_Method.GeneDiffExp.txt.gz,0,bgiseq-500
GSE103949,GSE103949_Liver-RNASeq.diff.gz,0,illumina hiseq 2500
GSE103956,sheet-test_salmon_deseq_res_exp_TPM_a from GSE103956_CD11b_vs_CD103_gene_res_exp_TPM_ann.xls.gz,0,nextseq 500
GSE103971,sheet-170802_DLX4_ANOVA from GSE103971_170802_DLX4_ANOVA.xlsx,0,illumina hiseq 3000
GSE103999,GSE103999_mStromal_WTvHet_gene_exp.diff.gz,0,illumina miseq
GSE104047,GSE104047_EdgeR_OMvsSE.txt.gz,0,illumina miseq
GSE104065,GSE104065_NSCs_E47KOvsWt_DESeq.txt.gz,0,illumina hiseq 4000
GSE104083,GSE104083_Gene_differential_exp.txt.gz,0,illumina hiseq 2500
GSE104090,sheet-Isoform processed data from GSE104090_Isoform_processed_data.xlsx,0,illumina hiseq 2000
GSE104094,GSE104094_RNAseq-control-VS-HTLtreatment.GeneDiffExp.txt.gz,0,bgiseq-500
GSE104103,GSE104103_DESeq_table_14-01-14.txt.gz,0,illumina hiseq 2000
GSE104152,GSE104152_iTreg_vs_Th0.txt.gz,1,illumina hiseq 2000
GSE104172,sheet-edgeCPMsAndStatistics_GeneDescr from GSE104172_edgeCPMsAndStatistics.xlsx,1,illumina hiseq 2500
GSE104187,GSE104187_Sham_MI_1D_DESeq2_result.txt.gz,0,illumina hiseq 2500
GSE104205,GSE104205_Liver_Ashish_Deseq_all_results.csv.gz,0,nextseq 500
GSE104234,sheet-Sheet1 from GSE104234_Processed_Filtered_StatsTest.xlsx,1,illumina hiseq 2000
GSE104236,GSE104236_con_VS_424_All_Gene.xls.gz,0,hiseq x ten
GSE104255,GSE104255_res.prz.csv.gz,1,illumina hiscansq
GSE104263,GSM2793830_M145-VS-D3013-Batch2.txt.gz from GSE104263_RAW.tar,1,illumina hiseq 2000
GSE104286,sheet-all detected from GSE104286_Gene_differential_expression.xlsx,0,illumina hiseq 2000
GSE104290,GSE104290_gene_exp.diff.gz,0,illumina hiseq 2000
GSE104297,sheet-Tabelle1 from GSE104297_CF_vs_DF_spreadsheet.xlsx,0,ion torrent proton
GSE104300,sheet-Cooling-KD_case_vs_Cooling-Cont from GSE104300_Cooling-KD_case_vs_Cooling-Control_ctrl.all.anno.xls.gz,0,illumina hiseq 2500
GSE104336,GSE104336_nm-vs-hf_rna-seq_raw_data_Fall_2016.csv.gz,0,nextseq 500
GSE104415,GSE104415_processed.csv.gz,1,nextseq 500
GSE104420,GSE104420_HC_cuffdiffresult.txt.gz,0,illumina hiseq 2500
GSE104422,GSE104422_C_OA_Cuffdiff.txt.gz,0,illumina hiseq 4000
GSE104442,sheet-mRNA raw from GSE104442_mRNA_finalized_FC0.8or1.2_CPM5_upload_raw.xlsx,0,bgiseq-500
GSE104518,GSE104518_Combined_1d-WT_1d-SIG_7d-WT_7d-SIG.txt.gz,0,illumina hiseq 2500
GSE104527,sheet-gene_exp from GSE104527_CCD11_vs_Control_gene_differential_expression.xlsx,0,illumina hiseq 2000
GSE104530,GSE104530_seq_processed_counts_results.csv.gz,1,illumina hiseq 2000
GSE104552,sheet-CAGvsNT2.htseq.edgeR.txt from GSE104552_LargeRNA.siCAG_CGA_NT_48hrs.HeyA8.xlsx,0,illumina hiseq 4000
GSE104560,sheet-0six_gene_ann.diff from GSE104560_WT_vs_Emerin_null_day_0_differentiation.xlsx,0,illumina hiscansq
GSE104599,GSE104599_7H9vsPBS_low-read-rm.csv.gz,1,illumina hiseq 2000
GSE104604,sheet-EIF5A_results from GSE104604_EIF5A_RNA-seq_genes.xls.gz,1,illumina genome analyzer
GSE104607,sheet-all from GSE104607_Fold_change_Data_and_other_analysis_File.xlsx.gz,0,illumina hiseq 2000
GSE104608,GSE104608_CDO1vsmock_DEG.txt.gz,0,illumina hiseq 2500
GSE104609,GSE104609_ICC8261_SAM_RNAseq_RRBS_DESeq2.csv.gz,0,illumina hiseq 2000
GSE104744,GSE104744_CD8_isoform_exp.diff.gz,0,illumina hiseq 2000
GSE104797,GSE104797_Pkd1_KO_vs_WT.csv.gz,0,nextseq 500
GSE104868,GSE104868_Cuffdiff_Col-0+NF_gun1-1+NF.tabular.txt.gz,0,illumina hiseq 4000
GSE104872,sheet-2h_all_genes from GSE104872_Papachristou_et.al_mRNAseq_result_file.xlsx.gz,1,illumina hiseq 4000
GSE104914,GSE104914_Ileum_CHD_peptide.csv.gz,0,nextseq 500
GSE104920,GSE104920_BMDM_vs_Resident_Fold.txt.gz,1,illumina hiseq 2500
GSE104926,sheet-control vs esophagitis from GSE104926_All_exosomal_lncRNAs_RPKMs.xls.gz,0,illumina hiseq 3000
GSE104943,GSE104943_PL-VTA_deseq_result.csv.gz,0,illumina hiseq 2500
GSE104944,GSE104944_gene_exp_PAX2si_vs_Ctrlsi.diff.gz,0,illumina hiseq 2500
GSE104946,GSM2810604_Boldine.txt.gz from GSE104946_RAW.tar,0,illumina hiseq 4000
GSE104976,sheet-rRNA_rem_trim_rmdup from GSE104976_SVI_SRSF2_RNAseq_LinNeg_cKitPos_eYFPPos_differential_expression_supplementary.xlsx,1,hiseq x ten
GSE104990,GSE104990_DEG_DESEQ2_MM10_BACHDCON_BACHDFOXP2.txt.gz,0,illumina hiseq 2000
GSE105064,GSE105064_Treat_vs_control_diff.txt.gz,0,illumina hiseq 2500
GSE105068,GSE105068_deseq_WT_versus_KO_lung_all_genes.txt.gz,0,illumina hiseq 2500
GSE105121,GSE105121_fold_change.csv.gz,0,illumina hiseq 2500
GSE105128,GSE105128_result.txt.gz,0,illumina hiseq 2500
GSE105169,GSE105169_ChrRNAseq_gene_exp.diff.gz,0,illumina hiseq 3000
GSE105170,GSE105170_PDS_WT_vs_KO_gene_exp.diff.gz,0,illumina hiseq 3000
GSE105173,GSE105173_RNAseq_gene_exp.diff.gz,0,illumina hiseq 3000
GSE105406,GSE105406_DE_ResALL_PTCD1_control.csv.gz,0,illumina hiseq 2000
GSE105436,GSE105436_ICE1_NS_sleuth_table.csv.gz,1,illumina hiseq 2000
GSE105767,GSE105767_diffexpr-results.csv.gz,0,illumina hiseq 2500
GSE105769,GSE105769_WT-VS-DLTpcrS.GeneDiffExp.txt.gz,1,illumina hiseq 2000
GSE105770,GSM2827717_HPT.DESeq2.tsv.gz from GSE105770_RAW.tar,0,illumina hiseq 4000
GSE105788,GSE105788_WBvsNW_AP_isoform.txt.gz,0,illumina hiseq 2000
GSE105789,GSE105789_F4-80negvsCD301bMphage_isoform.txt.gz,0,illumina hiseq 2000
GSE105790,GSE105790_Young_vs_Aged_gene_exp.txt.gz,0,illumina hiseq 2500
GSE106093,GSE106093_DESeq2_6-8h_Pros.csv.gz,1,illumina hiseq 4000
GSE106165,sheet-Warm-TRPM2-sh1_case_vs_Warm-Con from GSE106165_Warm-TRPM2-KD_case_vs_Warm-Control_ctrl.all.anno.xls.gz,0,illumina hiseq 2500
GSE106171,GSE106171_NC_999999_transcripts.txt.gz,0,illumina hiseq 4000
GSE106187,GSE106187_CAGRF15355-On.vs.Off-all_genes.txt.gz,1,illumina hiseq 2500
GSE106223,GSE106223_gene_exp.diff.gz,0,illumina hiseq 2000
GSE106259,GSE106259_gene_exp.txt.gz,0,illumina miseq
GSE106290,GSE106290_PTF1a_RNASEQ.txt.gz,1,illumina hiseq 4000
GSE106294,GSE106294_Complete_geneList.csv.gz,0,illumina hiseq 2500
GSE106296,GSE106296_processed_data.txt.gz,1,illumina hiseq 4000
GSE106335,sheet-All-output from GSE106335_All-output.xlsx,0,illumina hiseq 2000
GSE106339,sheet-GOATKvsWT without 1139 and 1120 from GSE106339_CAGRF11628_GOATKOvsWT_NoOutliers.xlsx,1,illumina hiseq 2000
GSE106342,sheet-Cuffdiff from GSE106342_Cuffdiff_gene_differential_expression_testing.xlsx,0,illumina hiseq 2500
GSE106365,GSE106365_S3.L7vsControl.DEG_GO_enrichment_result_all.txt.gz,1,illumina hiseq 4000
GSE106371,GSE106371_SupplementalTableS1_counts.txt.gz,1,illumina hiseq 2500
GSE106378,GSE106378_shNTvsshP2_Genes_DE_results.tsv.gz,0,illumina hiseq 2000
GSE106390,sheet-All from GSE106390_gene_exp2.xls.gz,0,nextseq 500
GSE106440,GSE106440_gene_exp.diff.gz,0,illumina hiseq 2500
GSE106445,sheet-gene_exp.diff from GSE106445_gene_exp.diff.xlsx,0,illumina hiseq 2500
GSE106456,GSE106456_Supplemental_table_2.txt.gz,1,illumina hiseq 1000
GSE106467,GSE106467_Isl-4R_vs_Isl-m1-Treg.gene_exp.csv.gz,0,nextseq 500
GSE106468,GSE106468_Project_JH_QK-NSC-1T_Nu109_DESeq2.tsv.gz,0,illumina hiseq 2000
GSE106484,sheet-Snail-RNAi-Sco@C587-Sco from GSE106484_gene.xlsx,0,nextseq 500
GSE106488,GSE106488_gene_exp.diff.gz,0,nextseq 500
GSE106506,GSE106506_WntGOF_DE.txt.gz,0,illumina hiseq 3000
GSE106507,GSE106507_WntLOF_wl_cl_DE.txt.gz,0,illumina hiseq 3000
GSE106545,GSE106545_AXL-KO1-3_U251-1-3_All_results.txt.gz,1,illumina hiseq 2000
GSE106560,GSE106560_B_LN95_1nM.deseq.shARfl.csv.gz,0,nextseq 500
GSE106605,GSE106605_gene_exp.diff.gz,0,illumina hiseq 2500
GSE106652,GSE106652_Eye_JunctionSeq_allGenesResults.csv.gz,0,illumina hiseq 2500
GSE106655,sheet-xeno_result_table_flip from GSE106655_xeno_result_table_VEH_vs_DES.xls.gz,0,illumina hiseq 2500
GSE106661,GSE106661_Clone1_Starved.tabular.txt.gz,0,illumina hiseq 2500
GSE106662,GSE106662_iPAD_versus_iPD.tabular.txt.gz,0,illumina hiseq 2500
GSE106688,GSE106688_cuffdiff_gene_exp.diff.gz,0,nextseq 500
GSE106693,sheet-Control_vs_ZFP1-1(RNAi) from GSE106693_Control_v_zfp-1-1RNAi.xlsx,1,nextseq 500
GSE106709,GSE106709_gene_exp.diff.gz,0,nextseq 500
GSE106716,GSE106716_SYK-WT-KO_EGF.tabular.txt.gz,0,illumina hiseq 2500
GSE106735,GSE106735_ARIGU_denovo_edgeR.tsv.gz,0,illumina hiseq 2500
GSE106736,GSE106736_ARIGU-EUCGR_edgeR.tsv.gz,1,illumina hiseq 2500
GSE106738,GSE106738_TRIGL-bds-denovo_edgeR.tsv.gz,0,illumina hiseq 2500
GSE106740,GSE106740_TRIGL-BDS-EUCGR_edgeR.tsv.gz,0,illumina hiseq 2500
