Accession,id,Class,log10_n_pvalues,anticons
GSE100822,GSE100822_KOP_vs_KO_CPM_log2FC_FDR_complete_table.txt.gz,anti-conservative,4.114844413145024,anti-conservative
GSE100823,GSE100823_DESeq2_block.allSamples.idMap.txt.gz,other,4.254475567803871,all other classes
GSE100829,sheet-Sheet1 from GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,other,4.48102676807611,all other classes
GSE100892,GSE100892_Rovira2017_RNAseq_DEGs.csv.gz,anti-conservative,4.277700876288793,anti-conservative
GSE100908,sheet-gene_exp from GSE100908_Gene_expression_HP_vs_LP.xlsx,bimodal,4.44269921263019,all other classes
GSE100954,GSE100954_WTvsDKO13_gene_exp.diff.gz,bimodal,4.386231350579525,all other classes
GSE100990,GSE100990_RNA_Seq_Nr4a1_CDKO_HSC_DESeq2_output.txt.gz,other,4.224921345584031,all other classes
GSE101084,sheet-October24genes from GSE101084_All_downstream_transcripts_17.xlsx,other,4.831370592521938,all other classes
GSE101134,sheet-S5 DEseq data from GSE101134_processed_data.xlsx,anti-conservative,3.6012993101943374,anti-conservative
GSE101157,sheet-All data large RNA from GSE101157_LargeRNA.shL1.100hrs.293T.xlsx.gz,other,4.355087380074904,all other classes
GSE101167,sheet-All data large RNA from GSE101167_LargeRNA.siL3-IDT_Dharmacon.48hrs.HeyA8.xlsx.gz,other,4.283029709793859,all other classes
GSE101232,sheet-All data large RNA from GSE101232_LargeRNA.CD95L.50hrs.HeyA8.xlsx.gz,other,4.422999977271616,all other classes
GSE101234,sheet-All data large RNA from GSE101234_LargeRNA.shL3.50_100hrs.293T.shR6.50_100hrs.HeyA8.xlsx.gz,other,4.33767884895367,all other classes
GSE101241,sheet-rnaseq_C15vsHTERT_R2R3R4.deseq2 from GSE101241_rnaseq_C15vsHTERT_R2R3R4.deseq2.refseq.results_INVITRO.xlsx,other,4.254813841034874,all other classes
GSE101300,GSE101300_HSC_EdgeR_results.txt.gz,other,4.1052376007460225,all other classes
GSE101342,GSE101342_All_Genes_LincDUSP_V703_cells_DESeq2.csv.gz,anti-conservative,4.122412495411281,anti-conservative
GSE101391,GSE101391_Supp_data_1-RNA-seq_results.txt.gz,bimodal,4.509336958017644,all other classes
GSE101403,GSE101403_Cuffdiff_Day3ci.txt.gz,bimodal,4.253677165422924,all other classes
GSE101424,GSE101424_pleb-VS-pYthA.GeneDiffExp.xls.gz,anti-conservative,3.2911467617318855,anti-conservative
GSE101430,sheet-Sheet 1 from GSE101430_Combined_processed_data_plant.xlsx.gz,other,4.583028651429958,all other classes
GSE101458,sheet-Sheet1 from GSE101458_Lnc23_WT_KO_normalizedExpression.xlsx,other,4.269956351932952,all other classes
GSE101465,sheet-All genes from GSE101465_DAH_vs_OR.xls.gz,anti-conservative,4.126942717944227,anti-conservative
GSE101480,GSE101480_Group370_vs_GroupCtrl.all.gene.result.txt.gz,anti-conservative,4.198327117723478,anti-conservative
GSE101484,sheet-CCR4KO DEseq2 all replicates from GSE101484_SuppTable3_Complete_RNAseq_DEseq2_output.xlsx,anti-conservative,3.755722444903458,anti-conservative
GSE101494,GSE101494_gene_deg_chr.txt.gz,bimodal,3.635282637998212,all other classes
GSE101496,sheet-Sheet1 from GSE101496_infla_gene_exp.xlsx,bimodal,4.38015695150816,all other classes
GSE101510,GSE101510_IRF4_master_table.csv.gz,bimodal,4.586091971599143,all other classes
GSE101514,GSE101514_gene_exp.txt.gz,conservative,5.595005434350377,all other classes
GSE101545,sheet-DiffExpr_diet_sw2_versus_contro from GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,bimodal,4.057019124322766,all other classes
GSE101566,GSE101566_CuffDiff_diff_gene_exp.tabular.txt.gz,bimodal,6.20110859140527,all other classes
GSE101567,GSE101567_Col_vs_Col+INA.Gene.rpkm.txt.gz,other,4.383420373245697,all other classes
GSE101577,sheet-Sheet1 from GSE101577_DESeq2.MYC-OEvsCTRL.xlsx,bimodal,4.2547655324161475,all other classes
GSE101596,sheet-S14203_wo5 from GSE101596_S14203_genesdiff_wo5.xlsx,other,4.350867996286564,all other classes
GSE101605,GSE101605_gene_exp.diff.txt.gz,bimodal,4.428377801299087,all other classes
GSE101643,GSE101643_Z-STIM_vs_WT-STIM_diffexp.txt.gz,other,4.483344766003461,all other classes
GSE101655,GSE101655_NPC-hESC_FPKM.txt.gz,bimodal,4.388420940661169,all other classes
GSE101657,sheet-EDGER.annot.txt from GSE101657_Kidney_RNAseq_summary.xlsx.gz,other,4.170085614365889,all other classes
GSE101664,GSE101664_Darz2r_gene_exp.diff.gz,conservative,4.5979583149744,all other classes
GSE101668,GSE101668_RKO-PRDM1beta-OE_vs_RKO-PRDM1-KO_DESeq2.csv.gz,other,4.231163641505099,all other classes
GSE101762,sheet-srt1_arivsC2H4_gene_exp.diff from GSE101762_srt1srt2_arivsC2H4.xlsx,bimodal,4.525537160391059,all other classes
GSE101788,GSE101788_gene_exp.diff.gz,bimodal,4.400589790813223,all other classes
GSE101797,GSE101797_Galaxy333-Cuffdiff_gene_differential_expression_testing.txt.gz,bimodal,4.153479490021924,all other classes
GSE101801,GSE101801_gene_exp.diff.gz,bimodal,4.36383752883614,all other classes
GSE101821,GSE101821_QUANTseq_MV-4-11-B_NA_Flavopiridol_2.5mgkg_2h_NA_NA_NA_NA_J5696-J5755-J5809-J5863-J5714-J5746-J5800_dge.tsv.gz,other,4.2613580461941245,all other classes
GSE101823,GSE101823_ip.res.csv.gz,bimodal,4.455286549010975,all other classes
GSE101833,GSE101833_ETS1_gene_exp_all.txt.gz,conservative,4.302352577919563,all other classes
GSE101868,GSE101868_Human_Macrophages_Epithelium.txt.gz,bimodal,4.32070697430959,all other classes
GSE101877,GSE101877_MOC_allgenes_edgeR.txt.gz,anti-conservative,4.43919053782757,anti-conservative
GSE101883,GSE101883_DESq2_DGE.csv.gz,anti-conservative,4.264510876071772,anti-conservative
GSE101898,GSE101898_Galaxy123-_CellXtype_QKO_vs_QT7L1_.tabular.txt.gz,other,4.413484174317407,all other classes
GSE101909,GSE101909_E16.5_MT_vs_E16.5_Ctrl_DESeq2_result_files.txt.gz,other,4.308372299806312,all other classes
GSE101911,sheet-250 ppm from GSE101911_RNA-seq_results_of_DvH_CuO.xlsx,bimodal,3.5417040232842885,all other classes
GSE101939,GSE101939_WT_E16_H2ZKO_E16.anno.txt.gz,other,4.294906910605192,all other classes
GSE101942,GSE101942_DESeq_Neuron_results.txt.gz,bimodal,4.609722437865238,all other classes
GSE101993,GSE101993_gene_exp.diff.gz,bimodal,4.801623203095199,all other classes
GSE101994,GSE101994_bfx564.deseq.csv.gz,other,4.418351016848709,all other classes
GSE101995,GSE101995_bfx556.deseq.csv.gz,other,4.360971883725936,all other classes
GSE101996,GSE101996_bfx319.2month.table1.csv.gz,other,4.254257967223835,all other classes
GSE102003,GSE102003_Control_v_BMS-21_1h.csv.gz,other,4.272792760665684,all other classes
GSE102041,sheet-Early Log Phase from GSE102041_DESeq2_output.xlsx,other,3.4326486600131068,all other classes
GSE102047,GSE102047_v7.1.PGCvsENDO.results.csv.gz,anti-conservative,3.8977370253454273,anti-conservative
GSE102060,GSE102060_BPA_vs_Control.txt.gz,other,4.428150998744446,all other classes
GSE102116,GSE102116_gene_exp1.diff.gz,bimodal,5.5819496583733175,all other classes
GSE102118,GSE102118_C2D8_vs_C1D1.DESeq2_Results.tsv.gz,bimodal,4.564760723032303,all other classes
GSE102138,GSE102138_Long_non_coding_RNA.txt.gz,bimodal,3.0236639181977933,all other classes
GSE102141,GSE102141_CYTB_gene_exp_diff.txt.gz,conservative,4.169498094684968,all other classes
GSE102142,GSE102142_FoxAaBra_gene_exp_diff.txt.gz,bimodal,4.169498094684968,all other classes
GSE102221,sheet-uninf yel vs inf yel from GSE102221_DESeq_yellow_uninfected_vs_yellow_infected.xlsx,other,4.597398975059031,all other classes
GSE102231,GSE102231_ITeffhi_vs_ITefflo.gene_exp.diff.gz,bimodal,4.460055486888886,all other classes
GSE102237,GSE102237_deseq_Pavlaki_differential_expression.tab.gz,anti-conservative,4.214207829654449,anti-conservative
GSE102243,GSE102243_gene_exp_FVP_1hr_RNAseq.diff.gz,bimodal,4.366647051390854,all other classes
GSE102254,GSE102254_TruSeq.DESeq2_results.txt.gz,other,4.495613708121136,all other classes
GSE102300,GSE102300_diffexpr-results.csv.gz,other,4.275495631401224,all other classes
GSE102334,GSE102334_Primary-Visual-Cortex-E34-vs-E33-Differential-Expression-Results.txt.gz,other,4.403532304849434,all other classes
GSE102351,sheet-limma_LEC_VC0-LEC_VC10.txt from GSE102351_EMC_limma_3x5.xlsx,other,3.8266577918758693,all other classes
GSE102365,GSE102365_DESeq2_analysis.txt.gz,anti-conservative,3.9928185200666797,anti-conservative
GSE102368,sheet-sheet 1 from GSE102368_deseq_differential_expression_results.xlsx,other,4.313593064521326,all other classes
GSE102369,GSE102369_deseq_differential_expression_results.txt.gz,other,4.336699830315662,all other classes
GSE102421,sheet-isoform_DJ0091_A01_merged from GSE102421_isoform_DJ0091_A01_merged.xlsx,other,4.478912638929306,all other classes
GSE102503,GSE102503_14C-1_14C-2_14C-3--14P-1_14P-2_14P-3.all.gene.xls.gz,other,4.463922836378235,all other classes
GSE102531,sheet-DE2output-Copy from GSE102531_DE2output-280116.xlsx.gz,other,4.296840627340024,all other classes
GSE102543,sheet-p179.Jejunum_naive.PBS_primed.P from GSE102543_p179_normalized_counts_table.xls.gz,other,4.421571024526401,all other classes
GSE102546,GSE102546_cuffdiff.gene_exp.diff.gz,bimodal,4.507221500515661,all other classes
GSE102560,GSE102560_brg_all.csv.gz,other,4.391129260417903,all other classes
GSE102582,sheet-NCOA4 kd _Versus_LacZ control from GSE102582_NCOA4_kd_Versus_LacZ_control.xlsx,bimodal,4.487407073939206,all other classes
GSE102583,sheet-Sheet1 from GSE102583_E17_kidney_delta_SRM_RNA-seq_Rauchman_Lab.xlsx,anti-conservative,4.063633545230784,anti-conservative
GSE102589,GSE102589_DEseq_results.csv.gz,conservative,4.478955887454535,all other classes
GSE102595,sheet-Expression_DESEQ3rep2cond from GSE102595_SupplementalTable_Expression_and_SplicingChanges.xlsx,anti-conservative,3.0149403497929366,anti-conservative
GSE102597,GSE102597_gene_exp.diff.gz,bimodal,4.845612684135473,all other classes
GSE102606,GSE102606_tail_siblings_mutants.txt.gz,bimodal,4.490829006303808,all other classes
GSE102713,GSE102713_BPC-bpcBAresponse.edgeR_de_total.txt.gz,anti-conservative,4.294598478453708,anti-conservative
GSE102743,GSE102743_DESeq-Sample_A-Sample_A1.txt.gz,other,4.203522416822585,all other classes
GSE102751,GSE102751_IPF_vs_Normal_T_cells_EDGE_analysis.txt.gz,conservative,4.78138193624174,all other classes
GSE102766,sheet-Sheet1 from GSE102766_Yang_genes_mapped_27-6-2017_DEseq2.xlsx,other,4.496763643937192,all other classes
GSE102772,sheet-SAP97 from GSE102772_comparison_RNA_expression.xlsx,other,4.440121603187804,all other classes
GSE102779,sheet-smRNA.droshaKO.50hrs.FasVsVec.h from GSE102779_SmallRNA_CD95L.50hrs.Drosha_ko.xlsx,other,4.422999977271616,all other classes
GSE102780,sheet-ShortRNA.hFASLvsPenti.htseq.edg from GSE102780_SmallRNA.CD95L.50hrs.HeyA8.xlsx,other,4.422999977271616,all other classes
GSE102793,GSE102793_deseq2_genes.tsv.gz,anti-conservative,4.364006613705671,anti-conservative
GSE102796,GSE102796_GeneExpression.csv.gz,bimodal,4.422540597322725,all other classes
GSE102806,GSE102806_RNASeq_HIGHserum_META-analysis.txt.gz,conservative,4.545034823755435,all other classes
GSE102826,GSE102826_model_fc.txt.gz,anti-conservative,4.308500385085034,anti-conservative
GSE102842,GSE102842_Input_sumo_def_La_mut_vs_RNA_IP_sumo_def_La_mut.txt.gz,anti-conservative,4.215452492883251,anti-conservative
GSE102852,GSE102852_HCT116_H2B_8.3.c7.txt.gz,anti-conservative,4.193402903062418,anti-conservative
GSE102870,GSE102870_WT.agonist.vs.untrt.filter.tsv.gz,anti-conservative,4.068371418032643,anti-conservative
GSE102872,GSE102872_DESeq_3h_vs_0h.csv.gz,anti-conservative,3.7133225049870275,anti-conservative
GSE102922,GSE102922_RNAseq_2-4hr.txt.gz,other,4.153662453575496,all other classes
GSE102939,GSE102939_Expression_Profile_Day_14.txt.gz,other,4.178574103379925,all other classes
GSE102947,GSE102947_DESeq2.DEG.shRNA2.RCHACV.txt.gz,other,4.339868640584651,all other classes
GSE102987,GSE102987_klph_ko_wt_gene_exp.diff.gz,other,4.366142676814888,all other classes
GSE102988,GSE102988_ENAP1ox_ein3eil1_air_vs_C2H4_gene_exp.diff.gz,conservative,4.543683213072998,all other classes
GSE103033,GSE103033_Veh_vs_TBT_gene_exp.diff.gz,bimodal,4.205420915676343,all other classes
GSE103044,GSE103044_FC_FR_deseqout.annotated.tsv.gz,other,4.22816928953985,all other classes
GSE103068,GSE103068_BI00894999_1nM_Volasertib_20nM_vs_DMSO_4h_dge.tsv.gz,anti-conservative,4.152013000050834,anti-conservative
GSE103069,sheet-All from GSE103069_gene_exp_final.xls.gz,bimodal,4.513177632479043,all other classes
GSE103146,sheet-SE_DESeq_Master from GSE103146_SE_DESeq_Processed.xlsx.gz,anti-conservative,3.659821158055705,anti-conservative
GSE103153,GSE103153_EG19732_EG19733_DESeq2.txt.gz,anti-conservative,3.6720978579357175,anti-conservative
GSE103167,sheet-Sheet1 from GSE103167_rat_gene_exp_diff_ensemble_anno.xlsx,bimodal,4.470057501672914,all other classes
GSE103203,GSE103203_ishi_gene_exp.txt.gz,conservative,4.4853806697109375,all other classes
GSE103207,sheet-Sheet1 from GSE103207_ALV_J36h_vs_NC36h.Differential_analysis_results.xlsx,bimodal,4.537705786080527,all other classes
GSE103257,GSE103257_gene_exp.diff.gz,bimodal,4.4272750777026655,all other classes
GSE103264,GSE103264_edgeR_analysis_GEOformat.txt.gz,anti-conservative,4.057057208637422,anti-conservative
GSE103305,GSE103305_Thyroid_Hyper_vs_Hypo_resultstable.txt.gz,anti-conservative,4.204499824171151,anti-conservative
GSE103314,sheet-PC layer.Kallisto from GSE103314_mm10.Kallisto.GeneExpression.P28.PurkinjeLayer.wt_vs_Nova2cKO.Pcp2-Cre.xlsx,other,4.973497308732063,all other classes
GSE103361,GSE103361_RNA_edgeR_output.txt.gz,anti-conservative,4.2669134224503376,anti-conservative
GSE103400,GSE103400_HNC3-_vs_+.txt.gz,bimodal,4.256405018334166,all other classes
GSE103405,sheet-Table_S1 from GSE103405_Table_S1.xlsx,anti-conservative,4.026369811573718,anti-conservative
GSE103415,sheet-res_fc_out from GSE103415_DESeq2_genes_diffexp_by_fc_wildtype_vs_knockout.xls.gz,anti-conservative,3.6546577546495245,anti-conservative
GSE103444,sheet-Complete_geneList_rawCount_Filt from GSE103444_Complete_geneList_rawCount_Filtered_EdgeR.xlsx,anti-conservative,4.1276230495980295,anti-conservative
GSE103457,"sheet-Galaxy150-(Cuffdiff_on_data_15, from GSE103457_P2_RNASEQ_WT_v_MUT.xlsx",conservative,4.648633188989968,all other classes
GSE103510,GSE103510_MV4_DMSO_A_vs_MV4_AC4_130.id.csv.gz,other,4.263328284986231,all other classes
GSE103520,GSE103520_MCF7_gene_exp.diff.gz,conservative,5.579458897285465,all other classes
GSE103531,GSE103531_summary_lad1.csv.gz,other,4.301312195372246,all other classes
GSE103537,GSE103537_CD4low_GSE71645_diff.txt.gz,other,4.380229336938037,all other classes
GSE103607,sheet-Sheet1 from GSE103607_deseq.toptable.xlsx,other,4.221831377489635,all other classes
GSE103646,GSE103646_E2_vs_gamma-T_gene_exp.diff.gz,other,4.5789370407114065,all other classes
GSE103670,GSE103670_gene_exp.diff.gz,bimodal,4.36849142941581,all other classes
GSE103703,GSE103703_treatment.NI.CT.7D.all.csv.gz,other,4.329540247656664,all other classes
GSE103729,GSE103729_mRNA.txt.gz,bimodal,4.401521161385542,all other classes
GSE103742,GSE103742_CUFFDIFF_PLZF_SFD.txt.gz,conservative,4.670236573178357,all other classes
GSE103747,GSE103747_All_info.txt.gz,bimodal,4.552266581773514,all other classes
GSE103748,GSE103748_gene_exp_qval.sorted.txt.gz,bimodal,4.2331992415847735,all other classes
GSE103764,GSE103764_CraY47D_vs_CraY47F.txt.gz,anti-conservative,3.7247672456463103,anti-conservative
GSE103776,GSE103776_gene_exp_ABI.diff.gz,bimodal,6.020599499103933,all other classes
GSE103778,GSE103778_Processed_data_file.csv.gz,bimodal,3.3096301674258988,all other classes
GSE103834,sheet-Sheet1 from GSE103834_C1C2_vs_control_ALL.xlsx,other,4.404371819465281,all other classes
GSE103868,GSE103868_DESeq2_Results_01_MockTransfected_Vs_Untransfected.txt.gz,other,4.479805567709391,all other classes
GSE103880,sheet-G152_G153 from GSE103880_G152_G153_LNA_differential_analyses.xlsx,conservative,4.383761524484166,all other classes
GSE103885,sheet-edgeR from GSE103885_STAT5KO_RNAseq.xlsx,bimodal,4.383761524484166,all other classes
GSE103914,GSE103914_ZLD_differential_gene_expression.csv.gz,bimodal,4.220003426156936,all other classes
GSE103923,GSE103923_Unstr_DE_All_WT_vs_MUT_NormCounts.txt.gz,other,4.280259588686136,all other classes
GSE103933,GSE103933_PB-VS-PB-TERRA.PossionDis_Method.GeneDiffExp.txt.gz,other,4.27618597407067,all other classes
GSE103939,GSE103939_daphnia.magna.bham2.txt.gz,anti-conservative,4.359399072180887,anti-conservative
GSE103949,GSE103949_Liver-RNASeq.diff.gz,bimodal,5.144293927198531,all other classes
GSE103956,sheet-test_salmon_deseq_res_exp_TPM_a from GSE103956_CD11b_vs_CD103_gene_res_exp_TPM_ann.xls.gz,other,4.500291375841059,all other classes
GSE103971,sheet-170802_DLX4_ANOVA from GSE103971_170802_DLX4_ANOVA.xlsx,other,4.326499714725037,all other classes
GSE103999,GSE103999_mStromal_WTvHet_gene_exp.diff.gz,conservative,5.146642679799454,all other classes
GSE104022,sheet-170703_shreya_ANOVA_allsamples from GSE104022_170703_dlx3_ANOVA.xlsx,other,4.389927647380955,all other classes
GSE104047,GSE104047_EdgeR_OMvsSE.txt.gz,uniform,4.08439751914115,anti-conservative
GSE104049,sheet-Sheet1 from GSE104049_DESeq2.GMC90mvsNB90m.xlsx,bimodal,4.1917862475822,all other classes
GSE104065,GSE104065_NSCs_E47KOvsWt_DESeq.txt.gz,other,4.101953177477199,all other classes
GSE104083,GSE104083_Gene_differential_exp.txt.gz,bimodal,5.303934378294688,all other classes
GSE104090,sheet-Isoform processed data from GSE104090_Isoform_processed_data.xlsx,conservative,4.80565035478177,all other classes
GSE104094,GSE104094_RNAseq-control-VS-HTLtreatment.GeneDiffExp.txt.gz,other,4.225386827388403,all other classes
GSE104103,GSE104103_DESeq_table_14-01-14.txt.gz,other,4.272931779387071,all other classes
GSE104152,GSE104152_iTreg_vs_Th0.txt.gz,anti-conservative,4.0435980300301235,anti-conservative
GSE104172,sheet-edgeCPMsAndStatistics_GeneDescr from GSE104172_edgeCPMsAndStatistics.xlsx,anti-conservative,3.831613855309099,anti-conservative
GSE104187,GSE104187_Sham_MI_1D_DESeq2_result.txt.gz,other,4.361217712581682,all other classes
GSE104205,GSE104205_Liver_Ashish_Deseq_all_results.csv.gz,other,3.985830489858392,all other classes
GSE104232,GSE104232_AllData_combined_GEO.txt.gz,other,4.624302726912459,all other classes
GSE104234,sheet-Sheet1 from GSE104234_Processed_Filtered_StatsTest.xlsx,anti-conservative,3.4872798164430687,anti-conservative
GSE104236,GSE104236_con_VS_424_All_Gene.xls.gz,other,4.06190463371617,all other classes
GSE104255,GSE104255_res.prz.csv.gz,anti-conservative,4.143327129992047,anti-conservative
GSE104263,GSM2793830_M145-VS-D3013-Batch2.txt.gz from GSE104263_RAW.tar,anti-conservative,3.884512159190394,anti-conservative
GSE104286,sheet-all detected from GSE104286_Gene_differential_expression.xlsx,bimodal,4.596652066132439,all other classes
GSE104290,GSE104290_gene_exp.diff.gz,bimodal,5.5632247047935355,all other classes
GSE104297,sheet-Tabelle1 from GSE104297_CF_vs_DF_spreadsheet.xlsx,other,2.3324384599156054,all other classes
GSE104300,sheet-Cooling-KD_case_vs_Cooling-Cont from GSE104300_Cooling-KD_case_vs_Cooling-Control_ctrl.all.anno.xls.gz,other,4.194320045303423,all other classes
GSE104308,GSE104308_sgTAF12_VS_sgROSA_MOLM13.txt.gz,bimodal,4.28141974015399,all other classes
GSE104336,GSE104336_nm-vs-hf_rna-seq_raw_data_Fall_2016.csv.gz,conservative,4.207472789481013,all other classes
GSE104366,GSE104366_FoldChange.csv.gz,anti-conservative,4.419526195575769,anti-conservative
GSE104415,GSE104415_processed.csv.gz,anti-conservative,4.035749837319661,anti-conservative
GSE104420,GSE104420_HC_cuffdiffresult.txt.gz,other,4.170085614365889,all other classes
GSE104422,GSE104422_C_OA_Cuffdiff.txt.gz,bimodal,4.237418056046236,all other classes
GSE104442,sheet-mRNA raw from GSE104442_mRNA_finalized_FC0.8or1.2_CPM5_upload_raw.xlsx,bimodal,4.018284308426531,all other classes
GSE104504,GSE104504_crp.ee.diffexp.txt.gz,bimodal,3.5643109099606027,all other classes
GSE104518,GSE104518_Combined_1d-WT_1d-SIG_7d-WT_7d-SIG.txt.gz,bimodal,4.519539242862913,all other classes
GSE104527,sheet-gene_exp from GSE104527_CCD11_vs_Control_gene_differential_expression.xlsx,conservative,4.409628841637548,all other classes
GSE104530,GSE104530_seq_processed_counts_results.csv.gz,anti-conservative,4.257534585980679,anti-conservative
GSE104552,sheet-CAGvsNT2.htseq.edgeR.txt from GSE104552_LargeRNA.siCAG_CGA_NT_48hrs.HeyA8.xlsx,bimodal,4.422999977271616,all other classes
GSE104560,sheet-0six_gene_ann.diff from GSE104560_WT_vs_Emerin_null_day_0_differentiation.xlsx,bimodal,4.472317546316842,all other classes
GSE104599,GSE104599_7H9vsPBS_low-read-rm.csv.gz,anti-conservative,3.59802407233419,anti-conservative
GSE104604,sheet-EIF5A_results from GSE104604_EIF5A_RNA-seq_genes.xls.gz,anti-conservative,4.056904851336473,anti-conservative
GSE104607,sheet-all from GSE104607_Fold_change_Data_and_other_analysis_File.xlsx.gz,bimodal,4.783667796235318,all other classes
GSE104608,GSE104608_CDO1vsmock_DEG.txt.gz,other,4.433161555829322,all other classes
