"year","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","origin","dest","air_time","distance","hour","minute"
2014,1,1,705,0,931,9,"B6","N627JB",1121,"PDX","LGB",113,846,7,5
2014,1,1,706,6,952,-13,"AS","N306AS",726,"SEA","SLC",86,689,7,6
2014,1,1,708,-7,1510,-19,"AA","N3DNAA",236,"SEA","JFK",281,2422,7,8
2014,1,1,708,-2,1453,-20,"DL","N3772H",2258,"PDX","JFK",267,2454,7,8
2014,1,1,709,-1,915,-5,"AS","N558AS",332,"SEA","SJC",103,697,7,9
2014,1,1,709,9,1209,-4,"DL","N374NW",2314,"SEA","MSP",160,1399,7,9
2014,1,1,710,-5,906,-21,"AS","N309AS",244,"PDX","SFO",82,550,7,10
2014,1,1,712,-3,1013,-1,"DL","N355NW",2397,"SEA","SLC",85,689,7,12
2014,1,1,713,20,1317,10,"UA","N854UA",461,"SEA","IAH",218,1874,7,13
2014,1,1,715,0,944,-10,"AS","N617AS",478,"SEA","LAX",127,954,7,15
2014,1,1,715,-5,1055,-47,"AS","N536AS",855,"PDX","KOA",326,2607,7,15
2014,1,1,717,-3,1057,-11,"AS","N769AS",642,"SEA","PHX",134,1107,7,17
2014,1,1,722,-3,933,3,"WN","N407WN",947,"PDX","LAS",101,763,7,22
2014,1,1,726,1,1117,17,"WN","N603SW",2181,"SEA","DEN",133,1024,7,26
2014,1,1,728,-2,951,-7,"AS","N320AS",530,"SEA","ONT",124,956,7,28
2014,1,1,735,5,940,-9,"UA","N16732",1114,"SEA","SFO",104,679,7,35
2014,1,1,739,14,1003,-2,"AS","N518AS",240,"SEA","SAN",132,1050,7,39
2014,1,1,741,31,947,19,"AS","N431AS",222,"SEA","SFO",96,679,7,41
2014,1,1,745,5,1327,7,"WN","N924WN",3872,"SEA","MKE",200,1694,7,45
2014,1,1,749,-6,1013,-3,"AS","N627AS",522,"SEA","BUR",122,937,7,49
2014,1,1,754,-6,1011,-14,"AS","N706AS",568,"PDX","LAX",111,834,7,54
2014,1,1,757,52,855,45,"AS","N705AS",65,"SEA","KTN",100,680,7,57
2014,1,1,801,-4,932,-18,"WN","N447WN",48,"PDX","OAK",78,543,8,1
2014,1,1,802,-3,1533,-17,"AS","N532AS",742,"SEA","ATL",249,2182,8,2
2014,1,1,809,-1,1021,-8,"AS","N557AS",600,"SEA","LAS",115,867,8,9
2014,1,1,809,-6,1326,-5,"DL","N951DN",1588,"PDX","MSP",170,1426,8,9
2014,1,1,810,-10,1419,-11,"AA","N3DSAA",1236,"SEA","ORD",202,1721,8,10
2014,1,1,810,0,1604,-2,"AS","N514AS",4,"SEA","DCA",259,2329,8,10
2014,1,1,817,17,1045,-4,"AS","N529AS",83,"SEA","ANC",184,1448,8,17
2014,1,1,817,-3,1158,-7,"WN","N379SW",253,"SEA","ABQ",138,1180,8,17
2014,1,1,819,14,1343,-7,"AA","N4XPAA",1220,"PDX","DFW",178,1616,8,19
2014,1,1,821,10,1552,-8,"UA","N514UA",419,"SEA","IAD",250,2306,8,21
2014,1,1,824,-1,1546,-14,"DL","N633DL",128,"SEA","ATL",234,2182,8,24
2014,1,1,825,-5,1412,-3,"AA","N3BDAA",312,"SEA","DFW",183,1660,8,25
2014,1,1,825,25,1650,30,"AS","N551AS",16,"SEA","MCO",301,2554,8,25
2014,1,1,825,-5,1436,15,"AS","N305AS",28,"SEA","ORD",202,1721,8,25
2014,1,1,825,0,1352,10,"DL","N584NW",588,"SEA","MSP",162,1399,8,25
2014,1,1,827,2,1414,-16,"UA","N38446",1510,"PDX","IAH",210,1825,8,27
2014,1,1,829,-1,1228,-22,"AS","N563AS",861,"SEA","OGG",338,2640,8,29
2014,1,1,830,0,1206,-12,"US","N667AW",440,"SEA","PHX",132,1107,8,30
2014,1,1,833,-2,1351,-9,"WN","N200WN",41,"SEA","MCI",175,1489,8,33
2014,1,1,834,-1,1107,-7,"AS","N624AS",502,"SEA","SNA",136,978,8,34
2014,1,1,834,-1,1632,-9,"US","N650AW",553,"SEA","PHL",273,2378,8,34
2014,1,1,840,-5,1226,16,"WN","N940WN",644,"PDX","DEN",125,991,8,40
2014,1,1,843,-2,1159,-14,"US","N664AW",685,"PDX","PHX",122,1009,8,43
2014,1,1,845,0,1640,-9,"AS","N407AS",32,"SEA","PHL",263,2378,8,45
2014,1,1,846,-4,1114,-16,"WN","N772SW",223,"PDX","SLC",77,630,8,46
2014,1,1,857,7,1303,-22,"AS","N512AS",875,"SEA","LIH",338,2701,8,57
2014,1,1,916,36,1802,39,"AS","N528AS",34,"SEA","FLL",326,2717,9,16
2014,1,1,919,-6,1719,-16,"AS","N535AS",30,"PDX","BOS",276,2537,9,19
2014,1,1,919,39,1307,12,"HA","N383HA",21,"SEA","HNL",330,2677,9,19
2014,1,1,922,17,1718,4,"AS","N423AS",8,"SEA","EWR",272,2402,9,22
2014,1,1,923,13,1208,21,"AS","N615AS",558,"SEA","PSP",134,987,9,23
2014,1,1,925,-2,1106,-17,"OO","N918SW",6307,"PDX","SFO",85,550,9,25
2014,1,1,934,-1,1743,-12,"AS","N593AS",12,"SEA","BOS",276,2496,9,34
2014,1,1,938,-2,1637,-14,"DL","N378NW",2424,"SEA","DTW",220,1927,9,38
2014,1,1,944,-6,1727,-8,"AS","N548AS",752,"PDX","ATL",252,2172,9,44
2014,1,1,946,-4,1220,-38,"AS","N793AS",131,"PDX","ANC",197,1542,9,46
2014,1,1,947,-3,1145,-10,"VX","N530VA",753,"SEA","SFO",103,679,9,47
2014,1,1,949,-6,1148,-18,"AS","N756AS",314,"SEA","SFO",100,679,9,49
2014,1,1,949,-1,1108,-12,"WN","N701GS",3572,"PDX","SMF",65,479,9,49
2014,1,1,951,-4,1716,-24,"AS","N583AS",764,"PDX","DCA",252,2350,9,51
2014,1,1,952,-3,1223,-14,"AS","N791AS",238,"SEA","SAN",135,1050,9,52
2014,1,1,952,7,1345,10,"AS","N609AS",644,"SEA","PHX",138,1107,9,52
2014,1,1,953,-2,1339,12,"AS","N625AS",680,"SEA","DEN",125,1024,9,53
2014,1,1,956,-4,1358,-12,"HA","N390HA",29,"SEA","OGG",337,2640,9,56
2014,1,1,959,59,1211,51,"AS","N409AS",614,"SEA","LAS",113,867,9,59
2014,1,1,959,164,1137,157,"AS","N534AS",805,"SEA","SMF",77,605,9,59
2014,1,1,1001,1,1157,-5,"AS","N546AS",346,"SEA","OAK",98,672,10,1
2014,1,1,1005,-5,1608,2,"AS","N619AS",686,"PDX","ORD",222,1739,10,5
2014,1,1,1008,68,1242,64,"AS","N788AS",456,"SEA","LAX",129,954,10,8
2014,1,1,1011,-4,1535,-29,"AS","N585AS",658,"PDX","DFW",178,1616,10,11
2014,1,1,1014,-1,1429,-11,"AS","N594AS",843,"SEA","KOA",346,2688,10,14
2014,1,1,1014,-1,1357,-23,"HA","N386HA",25,"PDX","HNL",324,2603,10,14
2014,1,1,1014,75,1613,81,"UA","N37408",1444,"SEA","ORD",201,1721,10,14
2014,1,1,1021,-9,1347,-10,"AS","N318AS",640,"PDX","PHX",126,1009,10,21
2014,1,1,1022,-3,1309,-6,"DL","N3757D",1857,"SEA","SLC",84,689,10,22
2014,1,1,1023,-7,1407,-38,"AS","N589AS",803,"PDX","LIH",331,2631,10,23
2014,1,1,1027,-2,1242,-16,"OO","N982SW",6518,"PDX","LAX",115,834,10,27
2014,1,1,1028,-12,1533,-12,"OO","N216AG",3468,"SEA","OMA",162,1368,10,28
2014,1,1,1034,14,1633,6,"AS","N413AS",730,"SEA","IAH",214,1874,10,34
2014,1,1,1036,81,1408,63,"OO","N218AG",3466,"PDX","TUS",134,1119,10,36
2014,1,1,1037,2,1452,-13,"AS","N538AS",851,"SEA","HNL",339,2677,10,37
2014,1,1,1039,4,1325,-5,"WN","N262WN",490,"SEA","SLC",87,689,10,39
2014,1,1,1043,-8,1226,-13,"OO","N937SW",5243,"PDX","SFO",87,550,10,43
2014,1,1,1045,10,1311,-14,"AS","N564AS",127,"SEA","ANC",181,1448,10,45
2014,1,1,1045,40,1303,40,"AS","N614AS",580,"PDX","SNA",123,859,10,45
2014,1,1,1052,-3,1316,-9,"VX","N844VA",784,"SEA","LAX",126,954,10,52
2014,1,1,1052,2,1603,-2,"WN","N756SA",899,"PDX","MCI",174,1482,10,52
2014,1,1,1054,94,1807,84,"DL","N377DA",1502,"PDX","ATL",237,2172,10,54
2014,1,1,1055,-5,1312,-1,"AS","N796AS",564,"PDX","LAX",115,834,10,55
2014,1,1,1056,-4,1318,-16,"B6","N646JB",107,"SEA","LGB",126,965,10,56
2014,1,1,1059,44,1325,32,"DL","N335NB",2189,"PDX","SLC",75,630,10,59
2014,1,1,1102,2,1307,-13,"AS","N549AS",316,"SEA","SFO",98,679,11,2
2014,1,1,1102,2,1425,-5,"WN","N697SW",1537,"PDX","PHX",127,1009,11,2
2014,1,1,1105,15,1319,5,"OO","N215AG",3482,"SEA","SBA",114,908,11,5
2014,1,1,1105,3,1651,-4,"UA","N15712",1281,"SEA","ORD",198,1721,11,5
2014,1,1,1111,16,1434,7,"UA","N27239",1083,"SEA","DEN",122,1024,11,11
2014,1,1,1113,-2,1638,-27,"AA","N3GJAA",1311,"SEA","DFW",184,1660,11,13
2014,1,1,1113,-2,1427,-8,"WN","N293WN",3042,"PDX","DEN",121,991,11,13
2014,1,1,1117,37,1436,36,"F9","N221FR",788,"PDX","DEN",121,991,11,17
2014,1,1,1119,-1,1246,-11,"AS","N708AS",75,"SEA","JNU",129,909,11,19
2014,1,1,1122,41,1451,41,"F9","N220FR",138,"SEA","DEN",126,1024,11,22
2014,1,1,1123,-2,1442,-12,"US","N803AW",634,"PDX","PHX",121,1009,11,23
2014,1,1,1126,-4,1916,-19,"US","N196UW",2019,"SEA","PHL",267,2378,11,26
2014,1,1,1127,57,1400,52,"OO","N824SK",4564,"SEA","LAX",122,954,11,27
2014,1,1,1130,60,1646,56,"AS","N552AS",762,"SEA","MCI",177,1489,11,30
2014,1,1,1130,0,1324,-11,"WN","N726SW",4444,"PDX","LAS",103,763,11,30
2014,1,1,1131,1,1337,2,"WN","N900WN",3603,"SEA","OAK",101,672,11,31
2014,1,1,1132,-8,1839,0,"DL","N374DA",2123,"PDX","DTW",219,1953,11,32
2014,1,1,1135,-5,1422,5,"AS","N537AS",500,"SEA","SNA",126,978,11,35
2014,1,1,1136,11,1349,19,"OO","N784SK",5214,"SEA","SFO",102,679,11,36
2014,1,1,1137,52,1408,45,"AS","N433AS",460,"SEA","LAX",129,954,11,37
2014,1,1,1139,104,1335,85,"UA","N802UA",698,"SEA","SFO",94,679,11,39
2014,1,1,1144,-1,1729,-11,"AS","N303AS",656,"SEA","AUS",202,1770,11,44
2014,1,1,1145,13,1649,6,"DL","N3744F",1380,"SEA","MSP",159,1399,11,45
2014,1,1,1147,17,1415,24,"AS","N565AS",578,"PDX","SAN",119,933,11,47
2014,1,1,1147,-3,1349,-6,"OO","N693BR",3496,"SEA","FAT",97,748,11,47
2014,1,1,1148,-2,1411,1,"OO","N625CA",4469,"PDX","LAX",116,834,11,48
2014,1,1,1150,4,1400,-1,"B6","N789JB",1521,"PDX","LGB",115,846,11,50
2014,1,1,1153,-2,1750,14,"AS","N524AS",754,"SEA","STL",193,1709,11,53
2014,1,1,1156,1,1315,-5,"WN","N774SW",361,"PDX","SMF",67,479,11,56
2014,1,1,1156,0,1235,-3,"OO","N237SW",5325,"PDX","RDM",27,116,11,56
2014,1,1,1158,6,1915,-14,"DL","N6712B",1962,"SEA","ATL",234,2182,11,58
2014,1,1,1158,16,1241,19,"OO","N295SW",5438,"PDX","EUG",27,106,11,58
2014,1,1,1201,-4,1340,-10,"VX","N523VA",817,"PDX","SFO",85,550,12,1
2014,1,1,1201,-1,1816,11,"UA","N424UA",277,"PDX","IAH",212,1825,12,1
2014,1,1,1202,-3,1834,19,"AA","N3HMAA",1628,"SEA","ORD",202,1721,12,2
2014,1,1,1203,-7,1456,8,"AS","N626AS",484,"SEA","SAN",134,1050,12,3
2014,1,1,1203,13,1429,14,"WN","N788SA",3390,"SEA","LAS",117,867,12,3
2014,1,1,1209,-6,1413,-9,"AS","N556AS",324,"SEA","SJC",103,697,12,9
2014,1,1,1209,-6,1417,-4,"OO","N219AG",3454,"PDX","BUR",109,817,12,9
2014,1,1,1212,11,1808,-5,"UA","N513UA",674,"SEA","IAH",209,1874,12,12
2014,1,1,1215,5,1353,-2,"WN","N615SW",1049,"PDX","SJC",86,569,12,15
2014,1,1,1220,15,1544,9,"WN","N613SW",3518,"PDX","ABQ",132,1111,12,20
2014,1,1,1223,-2,1625,12,"AS","N523AS",648,"SEA","TUS",146,1216,12,23
2014,1,1,1223,57,1814,54,"UA","N470UA",646,"PDX","ORD",201,1739,12,23
2014,1,1,1228,-2,1427,-8,"AS","N767AS",312,"SEA","SFO",101,679,12,28
2014,1,1,1231,21,1822,27,"AA","N4YRAA",1568,"PDX","DFW",194,1616,12,31
2014,1,1,1233,-2,1446,-12,"AS","N440AS",610,"SEA","LAS",116,867,12,33
2014,1,1,1235,-5,1822,-20,"AS","N587AS",692,"SEA","SAT",201,1774,12,35
2014,1,1,1237,37,1604,14,"WN","N961WN",3696,"SEA","PHX",131,1107,12,37
2014,1,1,1238,78,1614,39,"AS","N560AS",809,"PDX","OGG",322,2562,12,38
2014,1,1,1238,68,1606,62,"OO","N947SW",5576,"PDX","DEN",126,991,12,38
2014,1,1,1239,34,1605,25,"WN","N8317M",3300,"SEA","DEN",126,1024,12,39
2014,1,1,1242,-3,1515,-20,"AS","N568AS",113,"SEA","ANC",180,1448,12,42
2014,1,1,1242,70,1617,58,"US","N625AW",614,"SEA","PHX",134,1107,12,42
2014,1,1,1243,-7,1440,0,"AS","N607AS",388,"PDX","SFO",86,550,12,43
2014,1,1,1245,-10,1454,-3,"AS","N622AS",622,"PDX","LAS",105,763,12,45
2014,1,1,1245,98,1345,103,"OO","N229SW",5397,"PDX","SEA",40,129,12,45
2014,1,1,1250,45,1342,42,"AS","N644AS",674,"SEA","GEG",35,224,12,50
2014,1,1,1251,-9,1752,-26,"DL","N949DN",1950,"SEA","MSP",161,1399,12,51
2014,1,1,1253,-7,1808,-8,"DL","N964DN",2164,"PDX","MSP",174,1426,12,53
2014,1,1,1254,49,1524,35,"OO","N925SW",6371,"SEA","LAX",126,954,12,54
2014,1,1,1255,30,1434,24,"WN","N383SW",806,"PDX","OAK",81,543,12,55
2014,1,1,1258,25,1438,12,"UA","N464UA",353,"PDX","SFO",81,550,12,58
2014,1,1,1258,44,1450,21,"UA","N498UA",842,"SEA","SFO",94,679,12,58
2014,1,1,1259,-1,1536,1,"AS","N703AS",554,"SEA","PSP",136,987,12,59
2014,1,1,1302,-3,1836,-15,"AS","N403AS",664,"SEA","DFW",183,1660,13,2
2014,1,1,1303,28,1912,39,"AS","N307AS",22,"SEA","ORD",202,1721,13,3
2014,1,1,1303,3,1810,-10,"AS","N558AS",38,"SEA","MSP",168,1399,13,3
2014,1,1,1305,5,1536,-17,"UA","N38454",1192,"SEA","ANC",187,1448,13,5
2014,1,1,1308,38,1446,31,"WN","N385SW",407,"SEA","SMF",83,605,13,8
2014,1,1,1309,-6,1558,-11,"DL","N324US",2157,"SEA","SLC",85,689,13,9
2014,1,1,1309,19,1447,17,"WN","N936WN",518,"SEA","RNO",74,564,13,9
2014,1,1,1310,-5,1523,-7,"OO","N223AG",3478,"PDX","LGB",117,846,13,10
2014,1,1,1314,-6,1547,-13,"DL","N355NW",2093,"PDX","SLC",77,630,13,14
2014,1,1,1320,0,1604,-21,"AS","N531AS",724,"SEA","SLC",86,689,13,20
2014,1,1,1321,-4,1550,-35,"AS","N612AS",123,"SEA","FAI",191,1533,13,21
2014,1,1,1323,-2,2038,-15,"DL","N393DA",773,"PDX","ATL",235,2172,13,23
2014,1,1,1323,3,2102,-12,"US","N199UW",1897,"SEA","CLT",254,2279,13,23
2014,1,1,1325,5,1518,-7,"WN","N444WN",425,"PDX","LAS",103,763,13,25
2014,1,1,1326,-6,1509,-16,"UA","N832UA",367,"PDX","SFO",86,550,13,26
2014,1,1,1327,2,1526,1,"WN","N498WN",1356,"SEA","OAK",99,672,13,27
2014,1,1,1331,-4,1632,-16,"OO","N217AG",3452,"SEA","HDN",105,891,13,31
2014,1,1,1340,-5,1452,-13,"WN","N436WN",103,"PDX","RNO",59,444,13,40
2014,1,1,1347,-3,1533,-2,"AS","N306AS",362,"SEA","SMF",82,605,13,47
2014,1,1,1349,10,1547,-3,"UA","N79279",1299,"SEA","SFO",101,679,13,49
2014,1,1,1351,-4,1621,-9,"AS","N794AS",532,"SEA","ONT",130,956,13,51
2014,1,1,1400,-5,1745,2,"AS","N611AS",670,"SEA","DEN",136,1024,14,0
2014,1,1,1404,97,1500,104,"OO","N229SW",5342,"SEA","PDX",33,129,14,4
2014,1,1,1405,-5,2143,-13,"AS","N525AS",2,"SEA","DCA",261,2329,14,5
2014,1,1,1405,0,1619,4,"AS","N579AS",318,"SEA","SFO",103,679,14,5
2014,1,1,1422,57,2047,72,"AA","N3DPAA",115,"PDX","ORD",200,1739,14,22
2014,1,1,1422,-3,1655,-3,"AS","N799AS",516,"SEA","SNA",135,978,14,22
2014,1,1,1424,14,1802,10,"AS","N317AS",652,"SEA","PHX",133,1107,14,24
2014,1,1,1426,36,2014,34,"AA","N3JKAA",2269,"SEA","DFW",193,1660,14,26
2014,1,1,1429,-1,1643,-7,"AS","N320AS",608,"SEA","LAS",119,867,14,29
2014,1,1,1434,27,2218,8,"B6","N564JB",598,"SEA","BOS",269,2496,14,34
2014,1,1,1438,13,1706,6,"AS","N706AS",454,"SEA","LAX",126,954,14,38
2014,1,1,1439,29,1713,23,"AS","N760AS",486,"SEA","SAN",136,1050,14,39
2014,1,1,1450,49,2101,66,"UA","N69806",1584,"PDX","ORD",198,1739,14,50
2014,1,1,1452,-3,1554,1,"AS","N769AS",67,"SEA","KTN",108,680,14,52
2014,1,1,1453,-2,1702,-9,"AS","N508AS",570,"PDX","LAX",111,834,14,53
2014,1,1,1458,-7,1714,-9,"AS","N627AS",528,"SEA","BUR",124,937,14,58
2014,1,1,1500,50,1633,38,"WN","N217JC",3255,"PDX","SJC",84,569,15,0
2014,1,1,1504,24,1842,17,"US","N156UW",2026,"SEA","PHX",137,1107,15,4
2014,1,1,1508,43,2141,86,"WN","N8617E",576,"SEA","MDW",209,1733,15,8
2014,1,1,1516,54,2112,54,"UA","N407UA",998,"SEA","ORD",193,1721,15,16
2014,1,1,1517,96,1612,98,"OO","N229SW",5423,"PDX","SEA",40,129,15,17
2014,1,1,1519,37,1851,41,"F9","N216FR",140,"SEA","DEN",136,1024,15,19
2014,1,1,1520,1,1848,2,"UA","N75429",1051,"PDX","DEN",127,991,15,20
2014,1,1,1527,12,1738,-2,"WN","N275WN",868,"SEA","LAS",116,867,15,27
2014,1,1,1531,36,1906,46,"WN","N761RR",786,"PDX","DEN",127,991,15,31
2014,1,1,1537,-9,1817,-13,"OO","N912SW",6527,"SEA","LAX",132,954,15,37
2014,1,1,1540,5,1814,-6,"AS","N797AS",101,"SEA","ANC",197,1448,15,40
2014,1,1,1541,-4,2330,-13,"AS","N419AS",14,"SEA","EWR",266,2402,15,41
2014,1,1,1543,-7,1813,8,"AS","N615AS",592,"PDX","SNA",121,859,15,43
2014,1,1,1545,10,2114,4,"AA","N565AA",157,"PDX","DFW",180,1616,15,45
2014,1,1,1545,15,1621,9,"OO","N295SW",5331,"PDX","RDM",25,116,15,45
2014,1,1,1554,64,1905,55,"F9","N202FR",792,"PDX","DEN",118,991,15,54
2014,1,1,1554,39,1912,27,"US","N631AW",500,"PDX","PHX",123,1009,15,54
2014,1,1,1557,92,2146,71,"AA","N3CVAA",125,"SEA","ORD",200,1721,15,57
2014,1,1,1608,23,2147,17,"AA","N3AMAA",2248,"SEA","DFW",187,1660,16,8
2014,1,1,1616,-9,1841,-14,"VX","N529VA",796,"SEA","LAX",125,954,16,16
2014,1,1,1617,67,1953,58,"WN","N488WN",1374,"SEA","PHX",140,1107,16,17
2014,1,1,1618,23,1858,8,"WN","N274WN",3932,"SEA","SLC",86,689,16,18
2014,1,1,1621,6,1,-14,"UA","N12216",1710,"SEA","EWR",261,2402,16,21
2014,1,1,1626,26,1821,23,"AS","N756AS",338,"SEA","OAK",98,672,16,26
2014,1,1,1627,17,1854,4,"WN","N784SW",20,"PDX","SLC",79,630,16,27
2014,1,1,1627,83,1728,95,"OO","N229SW",5417,"SEA","PDX",37,129,16,27
2014,1,1,1629,4,1834,-1,"OO","N215AG",3494,"PDX","SBA",105,784,16,29
2014,1,1,1632,102,2019,114,"WN","N660SW",1556,"SEA","DEN",128,1024,16,32
2014,1,1,1632,206,3,183,"UA","N36272",1148,"SEA","IAD",248,2306,16,32
2014,1,1,1633,43,1849,43,"AS","N788AS",588,"PDX","PSP",118,873,16,33
2014,1,1,1637,2,1915,-5,"OO","N823SK",4520,"PDX","SLC",78,630,16,37
2014,1,1,1638,8,1824,15,"AS","N614AS",402,"PDX","SJC",86,569,16,38
2014,1,1,1639,4,1908,-8,"AS","N409AS",466,"SEA","LAX",128,954,16,39
2014,1,1,1641,1,2041,-19,"AS","N530AS",867,"SEA","OGG",340,2640,16,41
2014,1,1,1659,-1,1931,7,"DL","N380DA",2410,"SEA","LAX",122,954,16,59
2014,1,1,1700,0,2109,-21,"AS","N562AS",899,"SEA","HNL",334,2677,17,0
2014,1,1,1708,177,2307,164,"UA","N75410",1246,"SEA","IAH",216,1874,17,8
2014,1,1,1712,-3,1911,-9,"VX","N836VA",755,"SEA","SFO",100,679,17,12
2014,1,1,1712,47,1913,38,"OO","N218AG",3462,"PDX","ONT",109,838,17,12
2014,1,1,1713,43,1848,33,"WN","N939WN",931,"SEA","SMF",78,605,17,13
2014,1,1,1720,0,1932,-6,"OO","N815SK",4684,"PDX","LAX",112,834,17,20
2014,1,1,1721,66,1919,59,"WN","N959WN",577,"SEA","OAK",99,672,17,21
2014,1,1,1722,47,1923,40,"UA","N27421",1137,"SEA","SFO",102,679,17,22
2014,1,1,1728,78,1926,71,"WN","N472WN",839,"PDX","LAS",105,763,17,28
