Date Received,Request Number,Requester Category,Request Description
09-Jun-25,OIR-FOI-2025-0077,Other,"I am requesting access to specific documents related to the contracts for broadcasting and audio-visual services held by Pi Communications Ltd.  Specifically, I request the following documents for both the contract awarded circa April 2011 and the contract awarded circa May 2017:  The full Request for Tenders (RFT) document issued by the Houses of the Oireachtas for each contract.  I am particularly interested in sections detailing requirements related to employment law, staff qualifications, and compliance with Sectoral Employment Orders (SEOs) or Registered Employment Agreements (REAs).  The complete winning tender submission from Pi Communications Ltd. for each contract.  The final, signed contract or service level agreement (SLA) for each contract, including all schedules and appendices.  My interest is in understanding the terms and conditions related to staffing, service delivery, and legal compliance upon which these public contracts were awarded."
09-Jun-25,OIR-FOI-2025-0076,Other,"I am requesting records detailing the total public expenditure of the Houses of The Oireachtas with the company Pi Communications Ltd. across all contracts held since January 1st, 2011.  To ensure a complete and unambiguous response, I am requesting the following specific figures: A. The total final sum paid to Pi Communications Ltd. under the 2011 broadcasting services contract. B. The total cumulative sum paid to date to Pi Communications Ltd. under the 2017 broadcasting services contract. C. The total cumulative sum paid to date to Pi Communications Ltd. under the 2020 Medium-Term Accommodation Project contract. D. Finally, and most importantly, a single grand total figure representing all payments of any kind made by the Houses of the Oireachtas Service to Pi Communications Ltd. from January 1st, 2011, to the date of this request.  This final figure (D) should capture the sums from the contracts listed above, as well as any other payments for other services or minor works not detailed here."
09-Jun-25,OIR-FOI-2025-0075,Journalist,"A copy of any recently completed reports by independent auditors on the payment of the Public Representation Allowance (PRA) to TDs and senators, normally conducted routinely by Mazars."
06-Jun-25,OIR-FOI-2025-0074,Other,"Records of the total amount spent on purchasing paper by the Oireachtas from 1 January 2025 to 1 June 2025.  I also wish to know the figures for 2020, 2021, 2022, 2023 and 2024."
05-Jun-25,OIR-FOI-2025-0072,Other,"I wish to request access to the following records that I believe to be held by your organisation: Letters from the Garda Commissioner to the Ceann Comhairle in relation to statements made in the Dail.  - over the previous 2 Dail terms and including the current Dail (32nd,33rd and 34th)"
03-Jun-25,OIR-FOI-2025-0071,Other,"I request specific records related to the Oireachtas Access Officer as defined by Disability Act 2005 s26 (not a physical access officer, e.g. 'Michael'  listed on oireachtas.ie, nor a general disability officer for employment purposes etc). The following are numbered sub-FOIs under FOI Act 2014 s11, and I respectfully request individual records in their original electronic format (e.g., email, PDF) correlated to each number. If you cannot or decline to agree to provide records as specified above or per sub-FOI,please notify me immediately (within 48 hours) so I can re submit separate FOI requests. FOI Requests: Access Officer Details: Records of the Disability Act 2005 s26 Access Officer for Dail Eireann and Seanad Eireann (separately, not physical access or employment-related disability      officer), including: Full name. Email address (Oireachtas-specific, not shared with other entities, e.g., Ombudsman).  Phone number.  Role description (s26 duties, e.g., RA coordination for public access). Valid for 30 May 2025 or most recent, and historical from 1 January 2020 to 30 May 2025.  Training Records: Records of s26-specific training for the Access Officer (Dail and Seanad, 1 January 2020 to 30 May 2025), including: Training dates. Content (e.g., disability awareness, RA processes).  Provider (e.g., external trainer, internal program)."
30-May-25,OIR-FOI-2025-0070,Journalist,- a copy of all invoices and receipts associated with the removal and/or laying of flooring or carpeting in the LH complex for the period 1 Jan 2024 to date of receipt of the request.  - a narrative note if possible on what each invoice/receipt relates to and why replacement flooring was required.
30-May-25,OIR-FOI-2025-0069,Journalist,- a copy of all invoices and receipts associated with a recent trip by an Oireachtas delegation to Nepal (2024).  - a copy of the itinerary/programme of events associated with the trip.  - a copy of the invitation associated with the trip.  - a list of those that travelled.
03-May-25,OIR-FOI-2025-0068,Journalist,"- a copy of every Declaration of Qualification laid before the Houses of the Oireachtas in relation to the appointment of Special Advisers during the term of the 33rd Dail, as required under the relevant statutory provisions governing such appointments."
28-Apr-25,OIR-FOI-2025-0067,Journalist,"- a record of the number of print jobs that were refused by the Oireachtas after being sought by members, their staff, or parties in each of 2022, 2023, and 2024.  - a copy of the standard refusal email and a copy of the refusal from the print system for Q4 of 2024 *As Clarified 06/05"
29-Apr-25,OIR-FOI-2025-0066,Journalist,- a copy of all complaints received from members of the public who visited the Oireachtas about the standards of services and facilities in Leinster House.  This request to cover the period 1 Jan 2024 to date and should include the responses that issued in each case.
07-Apr-25,OIR-FOI-2025-0064,Journalist,The number of emails received by the Ceann Comhairle concerning the 'speaking rights' issue from 18/12/2024 to date.  A random sample of 30 emails received by the Ceann Comhairle concerning the 'speaking rights'  issue from 18/12/2024 to date.
03-Apr-25,OIR-FOI-2025-0063,Journalist,The handwritten drafts and any other rough drafts by stenographers of the Dail taken on March 25 Tuesday from 12pm onwards until the end of that day.
03-Apr-25,OIR-FOI-2025-0062,Other,I would like to request the final print PDF files for all printing orders by Deputy Matt Shanahan between January 1st 2023 and November 8th 2024.
03-Apr-25,OIR-FOI-2025-0061,Journalist,- copies of all claim forms/invoices submitted as part of the direct purchase scheme for mobile phones in the period 26 June 2024 to date of receipt of the request.  - the total in costs incurred by the Oireachtas through the scheme during that period.
02-Apr-25,OIR-FOI-2025-0060,Journalist,The most recent update from the steering group on the programme of work for Leinster House provided to the Houses of the Oireachtas Commission;  The most recent progress update on the implementation of the Digital Transformation Workplan 2024 provided to the Houses of the Oireachtas Commission.
01-Apr-25,OIR-FOI-2025-0059,Journalist,"1. copies of any correspondence/complaints from Oireachtas staff, political staff, or Oireachtas members received regarding treatment of Oireachtas staff by Oireachtas members during the period September 1st 2024 to the date of receipt of this request.   2. copies of any records generated on foot of these complaints, to include the following: the Ceann Comhairle's Office, the Cathoirleach's Office, the Clerk of the Dail, the Clerk of the Seanad, the Superintendent's office, the PRO office, Facilities Management, the 'customer service' email account, the 'info' email account, or any other office that is likely to receive such complaints."
02-Apr-25,OIR-FOI-2025-0058,Journalist,"I am seeking a copy of requests (plus the responses) for any of the following received by the Oireachtas (from members, political parties etc) in the * three week period, for example Sunday, 16 Feb to Saturday, 8 March  - office space. - furniture reconfiguration. - office furniture (including, but not limited to, desks, chairs, recliners, TVs, notice boards, filing cabinets, coat stands, mirrors, wardrobes).  - repair or maintenance work,  - any non-standard ICT services or equipment.  *As Clarified 25/04"
28-Mar-25,OIR-FOI-2025-0056,Other,"I am seeking records relating to the preparation of Dail transcript for the debates on March 25th.  I would like to limit the search to the debates around leaders' questions, the order of business, the business of the Dail, and the Motion on the Amendment to the standing orders, and the chaos in the Dail.  In other words, i'm not interested in the questions after that. The records may include correspondence relating to the preparation of the transcript, early drafts of the transcript, suggested edits, and so on. In the search, you may wish to consult with the debates office, the clerk's office and the ceann comhairle's office. "
20-Mar-25,OIR-FOI-2025-0055,Journalist,All costs relating to Oireachtas Committees.  The records should include but not be limited to: salaries for civil servants allocated to Oireachtas committee work ie. clerks and secretariat; salaries for politicians who are members of Oireachtas committees; the cost of audiovisual services for recording/broadcasting Oireachtas committees; The time period can be limited to 8/11/2024 to 19/3/2025.  The records should include copies of any documents attached or enclosed with the correspondence.
19-Mar-25,OIR-FOI-2025-0054,Journalist,"- all records relating to pest control services provided at Leinster House, including inspection reports and invoices, from January 1, 2024 to the present date, excluding emails regarding parking and access, etc."
19-Mar-25,OIR-FOI-2025-0053,Journalist,The full briefing notes presented to the Ceann Comhairle Verona Murphy prior to her St Patrick's Day trip to Switzerland.  The full briefing notes presented to Cathaoirleach Seanad Mark Daly prior to his St Patrick's Day trip to Edinburgh.
18-Mar-25,OIR-FOI-2025-0052,Other,I wish to request access to the following records that I believe to be held by your organisation: 1. The cost of Perspectives TV programme. 2. Invoices provided to the Oireachtas for the TV programme Perspectives.
12-Mar-25,OIR-FOI-2025-0051,Journalist,"Under the Freedom of Information Act 2014, I request access to all material previously granted under the following FOIs: OIR-FOI-2024-0108, OIR-FOI-2024-0103, OIR-FOI-2024-0099, OIR-FOI-2024-0095, OIR-FOI-2024-0079, OIR-FOI-2024-0074, OIR-FOI-2024-0073, OIR-FOI-2024-0043, OIR-FOI-2024-0013, OIR-FOI-2023-0089, R1492, R1504."
11-Mar-25,OIR-FOI-2025-0050,Journalist,"Under the FOI Act 2014, I am seeking access to any existing records held by the Oireachtas Commission that provide a structured breakdown of payments made to TDs and Senators. Specifically, I request the following: Any existing collated reports, datasets, or summary documents held by the Oireachtas Commission detailing payments to individual TDs and Senators, including salaries, secretarial allowances, and expenses, for the 32-34th Dail and 25-27th Seanad. If no fully collated dataset exists, any financial reports prepared for internal or external reporting purposes that summarize these payments at an individual or aggregate level."
07-Mar-25,OIR-FOI-2025-0047,Other,"1. Records of redundancy payments given to 150 staff of former TDs, following the general election in November 2024, or, in the alternative, a table of payments in EU10,000 bands, showing the number of staff paid within each band.  2. Records of redundancy payments given to 150 staff of former TDs, following the general election in November 2024, or, in the alternative, a split of the EU5.5m redundancy payment total by (a) statutory redundancy payments subtotal and (b) voluntary (sic) early retirement payments subtotal.  I understand that you are unable to provide details of individual payments, or to identify payees, and I am therefore seeking an anonymised table of the number of payments by EU10,000 bands, that is, the number of the 150 recipients paid EU0-10,000, EU10,001-20,000 etc.  Separately, I am seeking a breakdown of the EU5.5m by statutory redundancy and  ""voluntary (sic) early retirement"" payment, that is, two total figures which together add up to EU5.5m."
28-Feb-25,OIR-FOI-2025-0046,Journalist,"Records of the top ten earners last year by salary, overtime and total - confined to Ushers.  Records of the total Usher remuneration for 2024 and records of any comparison between 2024 and the years 2023, 2022, 2021 and 2020."
27-Feb-25,OIR-FOI-2025-0045,Journalist,"- a record/spreadsheet/database of all costs incurred or planned by the Houses of the Oireachtas Service and by the Seanad Returning Officer arising from the 2025 Seanad general election.  - a copy of any records that list expenditure incurred or planned for the above, where they are held in the Seanad Office or any other section of the Oireachtas service.  - a record of staff costs, including for those working directly on the election count, and those who provided indirect or peripheral support e.g. catering, security, cleaning, printing, social media, webcasting etc.  - a copy of the request for sanction to incur expenditure and the approval that was granted by the minister regarding the election.  - any records that indicate whether costs were incurred in other public bodies e.g. An Garda, or OPW, or through external contractors engaged by the Oireachtas in holding the election."
27-Feb-25,OIR-FOI-2025-0044,Journalist,#NAME?
21-Feb-25,OIR-FOI-2025-0041,Other,"copies of any representations received by your organisation recommending /asking that you close your account on X (formerly Twitter), and copies of any internal notes, memoranda, position papers, submissions, recommendations, or any other record dealing with the issue of continued use, or discontinuation of use, of X."
21-Feb-25,OIR-FOI-2025-0040,Other,"I wish to request access to the most recent notification(s) issued to users of mobile phones supplied by your organisation advising them of policy guidelines and tarrif or subscription details (e.g. policy requiring users not to use handsets while driving, or advising users of any limitations or restrictions on amounts of data or talking time, while on a home network or while roaming)"
21-Feb-25,OIR-FOI-2025-0039,Other,I wish to request access to any record which shows the total number of mobile phones used in Ireland (excluding phones used by staff routinely based in Northern Ireland) by your organisation at the end of 2024. 
19-Feb-25,OIR-FOI-2025-0038,Journalist,"- a datadump of line by line expenditure in the following categories for the calendar year 2024 (as per Ref FOI R1395): 10000, 20000, 21008, 21013, 21025, 21026, 21054, 21514, 21517, 24009, 24010, 24011, 24013, 24014, 25007, 26006, 26008, 26016, 26018, 26020, 26021, 26022, 26024."
19-Feb-25,OIR-FOI-2025-0037,Journalist,I wish to request a copy of the report on the recent internal audit by the Houses of the Oireachtas on staff salaries.
19-Feb-25,OIR-FOI-2025-0036,Journalist,"I wish to request, under the Freedom of Information Act, access to copies of all requests by TDs or Senators to change their TAA bands during 2023, 2024 and to date in 2025."
19-Feb-25,OIR-FOI-2025-0035,Journalist,"I wish to request, under the Freedom of Information Act, access to a list of all reconciliations granted to TDs / Senators in 2024 in relation to their attendance for TAA purposes. *(Number per member and reason if there is one)*As clarified 20/02"
19-Feb-25,OIR-FOI-2025-0034,Journalist,The cost of the remediation and reinstatement of the grass immediately outside the Leinster Lawn side of Leinster House following the removal of the RTE studio. To specifically include the cost of the new seed/lawn.  Also and to include the cost of the removal of same; and to ask whether RTE contributed to the cost thereof .
18-Feb-25,OIR-FOI-2025-0033,Other,Any and all invoices from media monitoring organisations and media contacts database organisations for the period *2020 to date *As clarified 04/03
12-Feb-25,OIR-FOI-2025-0031,Journalist,"Any correspondence received by the then Ceann Comhairle, either personally sent to him, or via official correspondence on the dates between June 7 and June 15 (2019) on the issue of the apology he issued to Angela Kerins.  Please can I also get any responses sent by him in response to any of these correspondences."
12-Feb-25,OIR-FOI-2025-0030,Other,"I request access to records concerning the preparation and scheduling of Dail business for its return on 21st, 22nd, and 23rd January 2025.  Specifically, I seek:  All copies of the Order of Business or any other scheduling documents prepared by the Clerk of the Dail and Secretary General, including any revisions or working drafts for these dates.  All briefing notes or reports prepared for the Ceann Comhairle and the Clerk of the Dail regarding the scheduling of government and opposition business for these sittings.  This request covers records created between 1st December 2024 and 23rd January 2025.  "
11-Feb-25,OIR-FOI-2025-0029,Other,"I wish to request access to each FOI Internal review decision letter issued by your organisation in 2024 and any records released therewith, but excluding any decision letter which related exclusively to personal information as defined in Section 2 of the act."
11-Feb-25,OIR-FOI-2025-0028,Other,"I wish to request access to any record which shows total expenditure in your organisation in 2024 and to date in 2025 on ID cards, lanyards, card holders, card printers or any software used for producing ID cards I am seeking any single record, or the smallest number of records possible to provide the information sought - I am not seeking ""any and all"" such records. I am not seeking any information about the technical specifications of cards or card printers / card readers, rather information about expenditure on these items."
07-Feb-25,OIR-FOI-2025-0027,Journalist,"Copies of correspondence sent to the Ceann Comhairle from Deputies Barry Heneghan, Michael Lowry, Gillian Toole and Danny Healy-Rae between December 1 2024 and the date of this request.  Legal advice provided to the Ceann Comhairle regarding speaking rights for technical groups betweenJanuary 1 2025 and the date of this request.  Minutes of all meetings held by the Dail Business Committee between January 1 2025 and the date of this request.  Minutes of all meetings held by the Dail Reform Committee between January 1 2025 and the date of this request."
06-Feb-25,OIR-FOI-2025-0026,Journalist,Emails from members of the Oireachtas (TDs and Senators) to the Houses of the OIreachtas services regarding the removal of paper cups from Leinster House between January 1 2025 and the date of this request. *as clarified  Invoices and receipts for the purchase of reusable cups which are being sold on the Leinster House campus between May 1 2024 and the date of this request.  Details of how many cups reusable cups have been sold in Leinster House between September 1 2024 and the date of this request.
05-Feb-25,OIR-FOI-2025-0025,Journalist,"I wish to request access to the following records under the Freedom of Information Act: *as clarified  i) A record containing details of statutory redundancy and VER payments made to each member of staff employed by deputies, and ministers who lost their positions or did not stand at the last election; to include details of their salary at the end of their employment.  While I acknowledge that the identity of former staff members will not be released, I would be grateful if a list of the individual payments could be provided without naming the recipients. Further, I would also appreciate if it could be indicated whether their employer was a deputy, senator, minister, or minister of state."
31-Jan-25,OIR-FOI-2025-0023,Other,- final print PDF files for all printing orders from all TDs and Senators between December 18th 2024 and Janurary 31st 2025.
29-Jan-25,OIR-FOI-2025-0022,Journalist,"- records relating to the return of IT equipment by former TDs and senators following the dissolution of the Dail in November 2024, to include the names of members who have yet to return IT equipment, details of the equipment they have yet to return, the value of that equipment, - records relating to the purchase of any Oireachtas IT equipment by former members since November 2024, to include details of the items and the amount paid,  - copies of any emails regarding efforts to secure the return of IT equipment since the expiry of the deadline for the return of such items in January 2025."
29-Jan-25,OIR-FOI-2025-0021,Journalist,"- all records regarding discussions on rules or guidance governing interactions between members and journalists in the environs of Leinster House since December 1, 2024, to include records relating to complaints from members about approaches by journalists, discussions regarding these complaints, discussions among Oireachtas officials concerning rules or guidance on this matter, copies of any directions issued to ushers regarding protocol concerning interactions between members and journalists."
28-Jan-25,OIR-FOI-2025-0020,Other,I am writing to request access to all files and records relating to my submission to Oireachtas Petition P00031/24.  This request is made under the provisions of the Freedom of Information Act 2014.
28-Jan-25,OIR-FOI-2025-0019,Journalist,"I am seeking a copy of requests (plus the responses) for any of the following received by the Oireachtas (from members, political parties etc) in the period 1 Nov 2024 to date: - parking spaces.  *Allocation requests (as clarified)  - office space.   -  furniture reconfiguration.  - office furniture (including, but not limited to, desks, chairs, recliners, TVs, notice boards, filing cabinets, coat stands, mirrors, wardrobes).  - repair or maintenance work;  - any non-standard ICT services or equipment."
24-Jan-25,OIR-FOI-2025-0018,Other,"I am requesting the following under the FOI Act 2014.  Any record of any communication by the Ceann Comhairle since 21 Jan that mentions: BNY Mellon, Wexford Job Losses"
23-Jan-25,OIR-FOI-2025-0017,Journalist,I am requesting the following records under the FOI Act 2014: - Records of the most up-to-date deletion and retention policies around what Oireachtas Members can and can't do to sent/received/draft oireachtas.ie or oir.ie emails in their names? - Records of the most up-to-date deletion and retention policies around what can and what can't be done by members to their sent/received/draft oireachtas.ie or oir.ie emails in their names when they have to relinquish their office as a TD?
23-Jan-25,OIR-FOI-2025-0016,Journalist,"I am requesting the release of records relating to the operation of the Dail bar, specifically: The amount of money made by the Dail bar between 8/11/24 and the present date (23/1/2025);  The 5 busiest days in the Dail bar between those dates and the amount of money made on those dates  - Information about the amount owed in outstanding fees at the restaurant and Dail bar, including the number of deputies staff who have outstanding tabs, and whether they are no longer TDs."
21-Jan-25,OIR-FOI-2025-0014,Other,"I wish to request access to any document which sets out your organisation's policy or practice regarding job titles and the use of words such as ""Chief"", ""Head of..."", ""Director of..."", ""Manager"", ""Senior Manager"", ""Officer"", etc. and whether these terms are linked to particular grades or salary scales."
17-Jan-25,OIR-FOI-2025-0013,Other,"I am writing to request access to records relating to expenses incurred by TD Jim O'Callaghan during the period beginning January 1, 2024, through December 31, 2024.  Specifically, I seek:  1. Copies of all expense claims submitted by TD Jim O'Callaghan during this period.  2. Copies of all supporting documentation associated with these claims, including but not limited to invoices, receipts, and any other evidence of expenditure.  3. Records of any reimbursements made to TD Jim O'Callaghan in respect of these claims."
13-Jan-25,OIR-FOI-2025-0010,Journalist,#NAME?
13-Jan-25,OIR-FOI-2025-0009,Journalist,"I'd like to receive records relating to the two Dail bars (both members' and visitors' bars) last year (2024), as noted below:  1. Records relating to the volumes of drinks sold in the members' (TDs' and Senators') bar for 2024.  2. Records relating to the following - what the most popular purchase was at the members' bar and the volumes/measures sold of those drinks and costs.  3. Records relating to the most popular alcoholic drinks with a breakdown of volumes/measures sold,  the price for each measure.  4. Records of a breakdown of all other drinks food items that are for sale at the Dail bar and their respective sales during 2024?  5. Records relating to how much customers spent in total at the members' bar in this period.  6. Records relating to the cost of running the bar and how many staff are employed to do so.  7. Records of any new measures been introduced regarding payments for products."
08-Jan-25,OIR-FOI-2025-0008,Other,"I wish to request access to the following records -*As clarified - records relating to the scheme which came into effect for the 2024 Dail general election and the 2025 Seanad general election.  The circular / office notice issued to political staff inviting applications for voluntary redundancy or incentivised early retirement (or whatever name is applied to the redundancy / retirement scheme offered to staff of members and parties after each general election).  Submissions received regarding the drafting of the scheme, and any correspondence arising from those submissions.  Correspondence with the Minister for Finance / Department of Finance (or whoever is the approving authority for the scheme) regarding the drafting of the scheme.  Any record which provides an analysis of the number of applications received to date, any estimate of the likely cost of the scheme."
06-Jan-25,OIR-FOI-2025-0006,Other,any record which shows the number of registered / authorised users of the electric vehicle charging points in the Leinster House complex at times during 2024. Records showing the number of registered / authorised users at the end of each month or the end of each quarter would be acceptable.
06-Jan-25,OIR-FOI-2025-0005,Journalist,"- records showing details of TDs' and senators' accounts in the Dail bar and restaurant (separately) during 2024, to include amounts on individuals' tabs at the end of each month, and details of all amounts deducted from individuals' salaries in respect of these tabs - records showing the total amount owed by TDs and senators to the Dail bar and restaurant (separately) at the date of the dissolution of the Dail last November, and details of any amounts recouped since then."
06-Jan-25,OIR-FOI-2025-0004,Other,I wish to request access to any record which was created in 2024 in relation to a review of the operating hours of the Oireachtas fitness room 
06-Jan-25,OIR-FOI-2025-0003,Other,any record which was created in Q3 of Q4 of 2024 in response to FOI requests about the number of users or frequency of use of the Oireachtas fitness room.
06-Jan-25,OIR-FOI-2025-0002,Other,"I wish to request access to any record which was created in Q3 of Q4 of 2024 in response to FOI requests about the cost of replacing equipment in the Oireachtas fitness room.*As clarified - Replies issued In this request, I am seeking any single record, or the smallest number of records necessary to provide the information sought - I am not seeking ""any and all"" such records. I am also seeking only the most recent such record(s)."
02-Jan-25,OIR-FOI-2025-0001,Journalist,"- a copy of any letter sent to retiring staff by the Oireachtas with regard to terms around pensions, lump sums, step-down payments, or other aspects of the scheme for their departure from the service. (As clarified * - both civil service staff and staff employed by Members under the SSA)  - a copy of any similar letter which was issued by the Oireachtas to retiring TDs or Senators, or those who lost their seat.  - a copy of the Voluntary Early Retirement Scheme.  - a copy of any correspondence between the Oireachtas and D/PER with regard to the scheme in the period 1 Jan 2023 to date."
05-Sept-24,OIR-FOI-2024-0089,Other,"any record which shows total expenditure on flowers in 2024 to date, and the total allocated budget for such expenditure in 2024"
05-Sept-24,OIR-FOI-2024-0088,Other,"I wish to request access to the most recent internal guidelines or policy document issued by your FOI body regarding  1. the use of messaging apps or platforms (such as, but not limited to, SMS text messages, MMS messages, WhatsApp, Telegram, Signal, Snapchat, Instagram, Viber, WeChat, Hago, Messenger, BitMessage, Ring, Line, bulk SMS systems), or2. the retention and archiving of messages sent using messaging platforms, or the transfer of such messages to a central repository with a view to ensuring compliance with FOI requests and data protection SARs.  My request should be limited to cover the period from 1 January 2021 to date, and I will be satisfied if I receive the most recent guidance note / office notice / internal circular dealing with the use of messaging apps and the retention of all types of communications."
04-Sept-24,OIR-FOI-2024-0087,Other,"I wish to request access to any record which provides the capacity of the Oireachtas creche for infants, toddlers and pre-schoolers, or for any other age categories which may be used.  I am seeking any single record, preferably the most recent such record, or the smallest number of records possible to provide the information sought - I am not seeking ""any and all"" such records"
03-Sept-24,OIR-FOI-2024-0086,Journalist,- a copy of any correspondence between the Oireachtas and the OPW with regard to the provision of bicycle parking spaces or facilities at the Leinster House complex.  This request to cover the period 1 Jan 2020 to date.  - a copy of any internal notes (hi
03-Sept-24,OIR-FOI-2024-0085,Journalist,"*As clarified  1) A record showing the number and details of print jobs outsourced to third parties since January 1, 2020, to include costs 2) Records relating to maintenance and functionality issues (*i.e. faults with machinery that causes it to stop working) with the Oireachtas print service since January 1, 2020, to include correspondence referring to periods during which the print service was suspended due to such issues  3) Records showing the cost of repairs and maintenance of Oireachtas print machinery since January 1, 2020"
03-Sept-24,OIR-FOI-2024-0084,Other,"Under the Freedom of Information Act, 2014, I wish to request access to the most recent record which shows the expected cost of the Services new visitor management system, and the business case for the system which was approved by the Management Board. I am seeking the smallest number of records possible to provide the information sought - I am not seeking ""any and all"" such records - in this case I expect that only two records will be relevant to my request."
02-Sept-24,OIR-FOI-2024-0083,Other,"Under the Freedom of Information Act, 2014, I wish to request access to any record which outlines whether and how your FOI body recognises long service by staff (e.g., whether you acknowledge service of 25 years, 40 years or 50 years).I am seeking any single record, or the smallest number of records possible to provide the information sought - I am not seeking ""any and all"" such records. I am also not seeking records relating to individual staff - rather, I seek any record which constitutes a policy statement on recognition of long service."
02-Sept-24,OIR-FOI-2024-0082,Other,"Under the Freedom of Information Act, 2014, I wish to request access to any record which shows the number of participants from your FOI body who attended (1) training courses dealing with EU or Irish competition law and (2) training courses dealing with EU or Irish procurement law, since January 2022, in each case broken down showing the grades of participants, please.  I am seeking any single record, or the smallest number of records possible to provide the information sought (number of participants at each grade attending training courses) - I am not seeking ""any and all"" such records."
02-Sept-24,OIR-FOI-2024-0081,Journalist,"i) a record of all print jobs submitted for processing by senators and TDs from September 1, 2023 to September 1, 2024, to include details or a description ofthe document to be printed and the volume of documents to be printed, and the name ofthe member for whom they were printed, as well as the cost of each printjobii) a record ofall print jobsthat were recycledafter not being collected by TDs or senators during the same period, to include the names ofthe TDs or senators for whom they were printed"
02-Sept-24,OIR-FOI-2024-0080,Journalist," - copies of any records held by the Ceann Comhairle or the Clerk of the Dail referring or relating to the possible introduction of biometric checks, or facial-scanning CCTV for the purposes of validation of the Travel and Accommodation Allowance.  - copies of any records held by the above office holders referring or relating to the decision to proceed instead with only CCTV monitoring, without facial recognition, for validation of the T and a Allowance."
20-Aug-24,OIR-FOI-2024-0079,Journalist,"I am seeking a copy of the following information to cover the period 2021, 2022, 2023, and to date in 2024:  - the number of times in each year that a fob (attendance recorder) was reported lost, stolen, or inoperable and by which Oireachtas member.  - the number of times in each year the Oireachtas has examined CCTV cameras or CCTV footage as part of checks on the attendance reconciliation process for Oireachtas members."
19-Aug-24,OIR-FOI-2024-0078,Other,"All documents associated with the Oireachtas Committee of Public Accounts debate on 24/07/2003 that pertain to the then Western Health Boards financial statements for 2000 and 2001. This includes the report mentioned by the WHBs CEO, Dr Sheelagh Ryan in the debate - when Portiuncula transferred to the Western Health Board, in the context of valuing it for the purposes of a negotiation price, a report was carried out on the needs of the hospital -"
19-Aug-24,OIR-FOI-2024-0076,Other,"1. Records which outline and detail the functions, roles and responsibility of the Data Protection Officer of the Oireachtas or of the Oireachtas Services,  2. Records in relation to the appointment of the current holder of the position of Data Protection Officer of the Oireachtas or the Oireachtas Services.*as clarified"
08-Aug-24,OIR-FOI-2024-0075,Journalist,Details of the number of applications for the Security Requirements Allowance;  A breakdown of how much funding was sought in each application for the Security Requirements Allowance;  A breakdown of the kind of works undertaken in each instance of the Security Requirements Allowance has been applied for;  Details of the total sums paid out under the Security Requirements Allowance;  A breakdown of how much was paid in each award of the Security Requirements Allowance;  A breakdown of the kind of works paid for in each instance of the Security Requirements Allowance being awarded;  All correspondence to/from the Ceann Comhairle on the subject of the Security Requirements Allowance.  The time periods can be limited to 12/1/2024 to 7/8/2024.
