Card Transactions - April 2024,,,,,,,
Service Area,Transaction Date,Merchant Name,Net Amount (£),VAT Amount (£),Gross Amount (£), Description of Goods , Merchant Category 
HOUSING,23/04/24,IMO CAR WASH WARWICK (,£6.67,£1.33,£8.00,WORKS VAN WASH,CAR WASHES
HOUSING,12/04/24,HOLIDAY INNS,£222.03,£44.41,£266.44,DECANT TEMPORARY ACCOMMODATION,HOLIDAY INNS
HOUSING,12/04/24,HOLIDAY INNS,£239.97,£48.00,£287.97,DECANT TEMPORARY ACCOMMODATION,HOLIDAY INNS
HOUSING,16/04/24,HOLIDAY INNS,£126.65,£25.33,£151.98,DECANT TEMPORARY ACCOMMODATION,HOLIDAY INNS
HOUSING,16/04/24,WWW.AVANTIWESTCOAST.CO,£123.40,£0.00,£123.40,TRAIN TRAVEL TO LGC PRESENTATION,PASSENGER RAILWAYS
HOUSING,18/04/24,TFL TRAVEL CH,£5.40,£0.00,£5.40,TUBE TRAVEL TO LGC PRESENTATION,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES"
HOUSING,23/04/24,MEET BY THE PARK,£180.00,£0.00,£180.00,ROOM HIRE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,24/04/24,PREMIER INN,£894.96,£178.98,"£1,073.94",HOTEL ACCOMMODATION FOR CONFERENCE ATTENDANCE,PREMIER INN
HOUSING,24/04/24,PREMIER INN,£349.98,£70.00,£419.98,HOTEL ACCOMMODATION FOR CONFERENCE ATTENDANCE,PREMIER INN
HOUSING,02/04/24,AMZNBUSINESS H99KS0YF4,£23.00,£4.60,£27.60,DRILL BITS,MISCELLANEOUS AND SPECIALTY RETAIL STORES
HOUSING,02/04/24,AMZNBUSINESS H92203YH4,£5.30,£1.06,£6.36,DRILL BITS,MISCELLANEOUS AND SPECIALTY RETAIL STORES
HOUSING,05/04/24,AMAZON  203-6211794-73,£21.64,£4.32,£25.96,VACUUM BAGS,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,07/04/24,AMAZON  203-0195241-39,£15.00,£3.00,£18.00,FIRST AID KIT,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,08/04/24,AMAZON  203-4388436-47,£41.64,£8.34,£49.98,SURFACE WIPES,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,18/04/24,TVLICENSING.CO.UK,£169.50,£0.00,£169.50,CHANDOS COURT COMMUNAL TV LICENCE,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS"
HOUSING,18/04/24,AMAZON  203-2513755-05,£12.46,£2.49,£14.95,VACUUM CHARGING CABLE,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,18/04/24,AMAZON  203-3919040-20,£88.32,£17.66,£105.98,VACUUM BATTERIES,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,15/04/24,WATER PLUS.CO.UK,£18.66,£3.73,£22.39,WATER SUPPLY,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER"
HOUSING,15/04/24,WATER PLUS.CO.UK,£40.74,£0.00,£40.74,USED & SURFACE WATER DRAINAGE,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER"
HOUSING,15/04/24,WATER PLUS.CO.UK,£40.00,£0.00,£40.00,LATE PAYMENT FEE,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER"
HOUSING,04/04/24,B&M RETAIL LTD,£11.40,£2.28,£13.68,OFFICE CLEANING PRODUCTS,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,16/04/24,ASDA PETROL 5126,£14.17,£2.83,£17.00,PETROL FOR STRIMMER & HEDGE CUTTER,"FUEL DISPENSER, AUTOMATED"
HOUSING,18/04/24,TESCO PAY AT PUMP 4003,£59.01,£11.80,£70.81,FUEL FOR WORKS VAN,"FUEL DISPENSER, AUTOMATED"
HOUSING,18/04/24,IMO CAR WASH WARWICK (,£5.83,£1.17,£7.00,WORKS VAN WASH,CAR WASHES
HOUSING,18/04/24,T H WHITE LTD,£21.17,£4.23,£25.40,NEW CHAIN FOR PRUNING SAW,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED
HOUSING,18/04/24,T H WHITE LTD,£142.49,£28.50,£170.99,GARDEN PRUNER TOOL,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED
HOUSING,06/04/24,ROYAL MAIL GROUP LTD,£54.74,£0.00,£54.74,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,12/04/24,ROYAL MAIL GROUP LTD,£43.01,£0.00,£43.01,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,19/04/24,ROYAL MAIL GROUP LTD,£20.06,£0.00,£20.06,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,10/04/24,BKG HOTEL AT BOOKING.C,£348.00,£69.60,£417.60,TEMPORARY ACCOMMODATION,TRAVEL AGENCIES AND TOUR OPERATORS
HOUSING,10/04/24,TRAINLINE,£9.27,£0.00,£9.27,TRAIN TICKET TO BIRMINGHAM ONE WAY,PASSENGER RAILWAYS
HOUSING,10/04/24,BKG HOTEL AT BOOKING.C,£497.25,£99.45,£596.70,TEMPORARY ACCOMMODATION,TRAVEL AGENCIES AND TOUR OPERATORS
HOUSING,15/04/24,SWAN S NEST HOTEL,£870.54,£174.11,"£1,044.65",TEMPORARY ACCOMMODATION,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
HOUSING,17/04/24,BKG HOTEL AT BOOKING.C,£460.81,£92.19,£553.00,TEMPORARY ACCOMMODATION,TRAVEL AGENCIES AND TOUR OPERATORS
HOUSING,17/04/24,PREMIER INN,£82.50,£16.50,£99.00,TEMPORARY ACCOMMODATION,PREMIER INN
HOUSING,19/04/24,TRAVELODGE,£111.66,£22.33,£133.99,TEMPORARY ACCOMMODATION,TRAVELODGE
HOUSING,22/04/24,SWAN S NEST HOTEL,£770.00,£154.00,£924.00,TEMPORARY ACCOMMODATION,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
HOUSING,22/04/24,TRAVELODGE,£597.88,£119.55,£717.43,TEMPORARY ACCOMMODATION,TRAVELODGE
HOUSING,23/04/24,HOTEL AT BOOKING.COM,£460.81,£92.19,£553.00,TEMPORARY ACCOMMODATION,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
HOUSING,08/04/24,PARCELFORCE WL,£66.66,£13.34,£80.00,COURIER - LAPTOP COLLECTION,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS"
HOUSING,29/03/24,ROYAL MAIL GROUP LTD,£44.15,£0.00,£44.15,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,01/04/24,ROYAL MAIL GROUP LTD,£22.45,£0.00,£22.45,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,15/04/24,ROYAL MAIL GROUP LTD,£34.68,£0.00,£34.68,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,22/04/24,ROYAL MAIL GROUP LTD,£32.13,£0.00,£32.13,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,24/04/24,ROYAL MAIL GROUP LTD,£19.21,£0.00,£19.21,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,11/04/24,RAJAPACK LTD,£79.56,£15.91,£95.47,REPAIRS TO PACKING MACHINE,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED
HOUSING,03/04/24,STRATFORD ON AVON D/C,£624.00,£0.00,£624.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,16/04/24,STRATFORD ON AVON DC,£78.00,£0.00,£78.00,NEW WASTE BINS,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,03/04/24,AMAZON PRIME HE4BR0FV4,£8.99,£0.00,£8.99,TRANSACTION IN ERROR - REPAID,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS
HOUSING,09/04/24,OPENRENT ADVERTISING,£40.84,£8.16,£49.00,ADVERTISING ON OPEN RENT,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
HOUSING,11/04/24,AMAZON MUSIC HP0EP1304,£17.99,£0.00,£17.99,TRANSACTION IN ERROR - REPAID,RECORD SHOPS
HOUSING,16/04/24,AMAZON  205-1288071-70,-£14.87,-£2.97,-£17.84,SAMSUNG GALAXY TABLET COVERS - REFUND,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,16/04/24,AMAZON  205-1288071-70,-£14.87,-£2.97,-£17.84,SAMSUNG GALAXY TABLET COVERS - REFUND,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,22/04/24,AMAZON  205-0106884-65,£583.20,£116.60,£699.80,MATTRESSES FOR TEMPORARY ACCOMMODATION,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,23/04/24,KENILWORTH INSIDE SAIN,£41.66,£8.33,£49.99,MOBILE PHONE,"BUYING/SHOPPING CLUBS, SERVICES"
HOUSING,25/04/24,KENILWORTH INSIDE SAIN,£129.17,£25.83,£155.00,MOBILE PHONES,"BUYING/SHOPPING CLUBS, SERVICES"
HOUSING,25/04/24,KENILWORTH INSIDE SAIN,£16.67,£3.33,£20.00,MOBILE PHONE CREDIT,"BUYING/SHOPPING CLUBS, SERVICES"
HOUSING,25/04/24,KENILWORTH INSIDE SAIN,£16.67,£3.33,£20.00,MOBILE PHONE CREDIT,"BUYING/SHOPPING CLUBS, SERVICES"
HOUSING,25/04/24,KENILWORTH INSIDE SAIN,£16.67,£3.33,£20.00,MOBILE PHONE CREDIT,"BUYING/SHOPPING CLUBS, SERVICES"
HOUSING,25/04/24,KENILWORTH INSIDE SAIN,£16.67,£3.33,£20.00,MOBILE PHONE CREDIT,"BUYING/SHOPPING CLUBS, SERVICES"
HOUSING,03/04/24,RAJAPACK.CO.UK 0084372,£130.99,£26.20,£157.19,BOXES FOR POSTING LIFELINE EQUIPMENT,OFFICE AND COMMERCIAL FURNITURE
HOUSING,03/04/24,KITE PACKAGING LIMITED,£52.71,£10.54,£63.25,BOXES FOR POSTING LIFELINE EQUIPMENT,MISCELLANEOUS GENERAL MERCHANDISE
HOUSING,03/04/24,ROYAL MAIL GROUP LTD,£42.72,£0.00,£42.72,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,08/04/24,ROYAL MAIL GROUP LTD,£13.43,£0.00,£13.43,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,10/04/24,ROYAL MAIL GROUP LTD,£23.46,£0.00,£23.46,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,17/04/24,ROYAL MAIL GROUP LTD,£30.54,£0.00,£30.54,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,24/04/24,ROYAL MAIL GROUP LTD,£23.46,£0.00,£23.46,POSTAGE - LIFELINE EQUIPMENT,POSTAL SERVICES-GOVERNMENT ONLY
HOUSING,04/04/24,WWW.ARGOS.CO.UK,£215.83,£43.17,£259.00,MICROWAVE AND TV FOR DECANT FLAT,DEPARTMENT STORES
HOUSING,17/04/24,EMSCOTE CONVENIENCE ST,£49.00,£0.00,£49.00,ELECTRIC - BEAUCHAMP HOUSE,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
NEIGHBOURHOOD AND ASSETS,15/04/24,AMAZON  205-0546467-00,£34.89,£6.98,£41.87,WHITEBOARD,MISCELLANEOUS GENERAL MERCHANDISE
NEIGHBOURHOOD AND ASSETS,15/04/24,AMAZON  205-5318734-48,£12.96,£2.59,£15.55,FLIP CHARTS,MISCELLANEOUS GENERAL MERCHANDISE
NEIGHBOURHOOD AND ASSETS,15/04/24,AMAZON  205-0546467-00,£11.60,£2.32,£13.92,FLIP CHART PENS,MISCELLANEOUS GENERAL MERCHANDISE
NEIGHBOURHOOD AND ASSETS,24/04/24,SCREWFIX DIRECT,£81.93,£0.00,£81.93,SAFETY BOOTS AND HELMET,"BUILDING MATERIALS, LUMBER STORES"
NEIGHBOURHOOD AND ASSETS,24/04/24,SCREWFIX DIRECT,£29.95,£5.99,£35.94,HI-VIS VESTS,"BUILDING MATERIALS, LUMBER STORES"
NEIGHBOURHOOD AND ASSETS,09/04/24,B&M 542 - STRATFORD,£14.58,£2.92,£17.50,STORAGE BASKETS,MISCELLANEOUS GENERAL MERCHANDISE
NEIGHBOURHOOD AND ASSETS,19/04/24,SAINSBURYS SMKTS,£39.00,£0.00,£39.00,REFRESHMENTS FOR TRAINING SESSION,"GROCERY STORES, SUPERMARKETS"
NEIGHBOURHOOD AND ASSETS,24/04/24,BAR N BLOCK 40538475,£33.33,£6.67,£40.00,APPRENTICES NETWORKING MEAL,"EATING PLACES, RESTAURANTS"
NEIGHBOURHOOD AND ASSETS,08/04/24,ROTACLOUD,£19.00,£3.80,£22.80,COMPUTERISED STAFF ROTA SYSTEM,COMPUTER SOFTWARE STORES
NEIGHBOURHOOD AND ASSETS,10/04/24,HALFORDS 0546,£62.49,£12.50,£74.99,"SEAT COVERS, SCREENWASH AND TYRE COMPRESSOR FOR WORKS VEHICLE",BICYCLE SHOPS-SALES AND SERVICE
NEIGHBOURHOOD AND ASSETS,16/04/24,HALFORDS 0546,£31.64,£6.34,£37.98,SEAT COVERS AND CAR MATS FOR WORKS VAN,BICYCLE SHOPS-SALES AND SERVICE
NEIGHBOURHOOD AND ASSETS,18/04/24,WATERLOGIC GB LIMITED,£17.54,£3.51,£21.05,WATERCOOLER FOR ST PETERS RESTROOM,CATERERS
NEIGHBOURHOOD AND ASSETS,18/04/24,ARGOS LEAMINGTON I,£137.50,£27.50,£165.00,FRIDGE AND MICROWAVE FOR JUBLIEE HOUSE RESTROOM,DISCOUNT STORES
NEIGHBOURHOOD AND ASSETS,18/04/24,SUMUP   FONE GALAXY LI,£9.99,£2.00,£11.99,MOBILE PHONE COVER,MISCELLANEOUS AND SPECIALTY RETAIL STORES
NEIGHBOURHOOD AND ASSETS,19/04/24,IMO CAR WASH WARWICK (,£6.00,£0.00,£6.00,WORKS VEHICLE WASH,CAR WASHES
NEIGHBOURHOOD AND ASSETS,03/04/24,COBBLERS & KEYS LEAMIN,£91.00,£0.00,£91.00,KEY CUTS,"HAT CLEANING SHOPS, SHOE REPAIR SHOPS, SHOE SHINE"
NEIGHBOURHOOD AND ASSETS,04/04/24,LANSDOWNE HARDWARE,£1.50,£0.00,£1.50,SCREW DRIVER,MISCELLANEOUS AND SPECIALTY RETAIL STORES
NEIGHBOURHOOD AND ASSETS,04/04/24,SAFETY SIGN WAREHOUSE,£16.10,£3.22,£19.32,LIFT SAFETY SIGNS,MISCELLANEOUS PUBLISHING AND PRINTING
NEIGHBOURHOOD AND ASSETS,04/04/24,WWW.SCREWFIX.COM,£16.66,£3.33,£19.99,STENCILS,"BUILDING MATERIALS, LUMBER STORES"
NEIGHBOURHOOD AND ASSETS,09/04/24,COBBLERS & KEYS LEAMIN,£40.00,£0.00,£40.00,KEYS,"HAT CLEANING SHOPS, SHOE REPAIR SHOPS, SHOE SHINE"
NEIGHBOURHOOD AND ASSETS,09/04/24,WWW.SCREWFIX.COM,£149.92,£29.98,£179.90,KEYSAFES,"BUILDING MATERIALS, LUMBER STORES"
PEOPLE & COMMUNICATIONS,06/04/24,LINKEDIN JOB 942375514,£285.00,£57.00,£342.00,ADVERTISE JOB VACANCY,ADVERTISING SERVICES
PEOPLE & COMMUNICATIONS,15/04/24,SAINSBURYS S/MKTS,£6.66,£1.33,£7.99,USB SD CARD READER,"GROCERY STORES, SUPERMARKETS"
PEOPLE & COMMUNICATIONS,15/04/24,TOTALJOBS GROUP LTD,£219.00,£43.80,£262.80,ADVERTISE JOB VACANCY,"EMPLOYMENT AGENCIES, TEMPORARY HELP SERVICES"
PEOPLE & COMMUNICATIONS,18/04/24,"VYOND-GOANIMATE,INC.",£148.58,£0.00,£148.58,ANIMATION SOFTWARE,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE"
PEOPLE & COMMUNICATIONS,02/04/24,HOO HOOTSUITE INC,"£1,336.60",£267.32,"£1,603.92",SOCIAL MEDIA SCHEDULING PLATFORM,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
PEOPLE & COMMUNICATIONS,05/04/24,DOTMAILER,£132.42,£26.48,£158.90,NEWSLETTER EMAIL PLATFORM,DIGITAL GOODS SOFTWARE APPLICATIONS
"PLACE, ARTS AND ECONOMY",12/04/24,MUSEUMS ASCTN,£3.27,£0.65,£3.92,INDIVIDUAL MUSEUM ASSOCIATION MEMBERSHIP,ART DEALERS AND GALLERIES
"PLACE, ARTS AND ECONOMY",12/04/24,MUSEUMS ASCTN,£59.78,£0.00,£59.78,INDIVIDUAL MUSEUM ASSOCIATION MEMBERSHIP,ART DEALERS AND GALLERIES
"PLACE, ARTS AND ECONOMY",12/04/24,MUSEUMS ASCTN,£34.30,£0.00,£34.30,INDIVIDUAL MUSEUM ASSOCIATION MEMBERSHIP,ART DEALERS AND GALLERIES
"PLACE, ARTS AND ECONOMY",12/04/24,POST OFFICE COUNTER,£10.80,£0.00,£10.80,STAMPS,POSTAL SERVICES-GOVERNMENT ONLY
"PLACE, ARTS AND ECONOMY",24/04/24,ROYAL FABRICS & HABERD,£11.33,£2.27,£13.60,FABRIC AND THREAD,"FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES"
"PLACE, ARTS AND ECONOMY",12/04/24,TTS,£280.93,£56.19,£337.12,"TALKING PANELS, SENSORY LIQUID MOTION TIMERS, SEQUIN BOARDS, CIRCLE MIRRORS","OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES"
"PLACE, ARTS AND ECONOMY",12/04/24,FINDEL EDUCATION,£32.35,£6.47,£38.82,"FIDGET TOY, PUSH POP TOY BOTH FOR GALLERY EXPLORER BAGS",DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-7906794-40,£10.68,£2.14,£12.82,EAR DEFENDERS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-1683544-09,£13.17,£2.63,£15.80,"FIDGET TOY, PLUSH ELEPHANT FOR GALLERY EXPLORER BAGS",MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-8167680-91,£15.82,£3.16,£18.98,MAGNETIC SHAPES,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-9623398-19,£21.30,£4.26,£25.56,HAT AND CABLE TIES,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-7906794-40,£21.36,£4.28,£25.64,EAR DEFENDERS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-7906794-40,£21.37,£4.28,£25.65,EAR DEFENDERS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",18/04/24,RYMAN 1140,£8.32,£1.66,£9.98,PLASTIC DOCUMENT WALLET,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES"
"PLACE, ARTS AND ECONOMY",20/04/24,ACORNS RETAIL,-£6.50,£0.00,-£6.50,NO VAT RECEIPT ISSUED - REFUND,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES"
"PLACE, ARTS AND ECONOMY",20/04/24,ZETTLE_ THE VINTAGE BA,£15.00,£0.00,£15.00,HATS,"ANTIQUE SHOPS-SALES,REPAIRS,RESTORATION SERVICES"
"PLACE, ARTS AND ECONOMY",20/04/24,ACORNS RETAIL,£6.50,£0.00,£6.50,PHOTO FRAME,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES"
"PLACE, ARTS AND ECONOMY",20/04/24,ZETTLE_ THE VINTAGE BA,£6.00,£0.00,£6.00,PHOTOS FOR GALLERY EXHIBITION,"ANTIQUE SHOPS-SALES,REPAIRS,RESTORATION SERVICES"
"PLACE, ARTS AND ECONOMY",23/04/24,HOMESENSE,£10.82,£2.17,£12.99,HOOKS,VARIETY STORES
"PLACE, ARTS AND ECONOMY",28/03/24,ROBERT DYAS LEAMINGTON,£9.32,£1.87,£11.19,WHITE SPIRIT FOR CLEANING FLOOD BARRIERS,HARDWARE STORES
"PLACE, ARTS AND ECONOMY",04/04/24,THE METAL STORE,£373.70,£74.74,£448.44,FRAME FOR THE KIALY EXHIBITION,HARDWARE EQUIPMENT AND SUPPLIES
