title,id,creation,activity,status
POSIX capabilities support,1615158,2006-12-13.18:10:43,2022-04-11.14:56:21,1
normalize namespace from minidom,1621421,2006-12-23.20:01:44,2022-04-11.14:56:21,1
Allow built-in packages and submodules as well as top-level modules,1644818,2007-01-25.22:12:30,2022-04-11.14:56:22,1
Parameter list mismatches (portation problem),1648268,2007-01-30.22:15:43,2022-04-11.14:56:22,1
Extract file-finding and language-handling code from gettext.find,1649329,2007-02-01.02:20:07,2022-04-11.14:56:22,1
doctest doesn't find nested functions,1650090,2007-02-01.19:20:32,2022-04-11.14:56:22,1
[PATCH] Debuggers need a way to change the locals of a frame,1654367,2007-02-07.17:12:28,2022-04-11.14:56:22,1
ftplib passive ftp problem on multihomed clients,1661754,2007-02-16.19:36:59,2022-04-11.14:56:22,1
Add os.path.isrelative() and improve ntpath.isabs(),1669539,2007-02-26.23:07:51,2022-04-11.14:56:22,1
sys.path in tests contains system directories,1674555,2007-03-06.01:37:07,2022-04-11.14:56:22,1
Use getaddrinfo() in urllib2.py for IPv6 support,1675455,2007-03-07.05:19:06,2022-04-11.14:56:23,1
Efficient reverse line iterator,1677872,2007-03-10.13:47:37,2022-04-11.14:56:23,1
improve telnetlib.Telnet so option negotiation becomes easie,1678077,2007-03-10.22:11:38,2022-04-11.14:56:23,1
Added support for custom readline functions,1690201,2007-03-28.21:52:03,2022-04-11.14:56:23,1
msgfmt cannot cope with BOM - improve error message,1697943,2007-04-10.20:58:04,2022-04-11.14:56:23,1
[doc] mention that setlocale raises exception if given a nonexisting locale,1703592,2007-04-19.13:35:35,2022-04-11.14:56:23,1
minidom Level 1 DOM compliance,1704134,2007-04-20.07:39:47,2022-04-11.14:56:23,1
Document select() failure with buffered file,1705393,2007-04-22.20:38:27,2022-04-11.14:56:23,1
API for excluding methods from unittest stack traces,1705520,2007-04-23.03:56:38,2022-04-11.14:56:23,1
doctest work with Windows PyReadline,1708316,2007-04-26.19:02:04,2022-04-11.14:56:24,1
Add File - Reload,1721083,2007-05-18.02:15:52,2022-04-11.14:56:24,1
Curses Menu,1723038,2007-05-21.21:00:33,2022-04-11.14:56:24,1
Document the constants in the socket module,1732367,2007-06-06.20:46:18,2022-04-11.14:56:24,1
Newer reply format for imap commands in imaplib.py,1735509,2007-06-12.06:48:20,2022-04-11.14:56:24,1
ZipFile.writestr writes incorrect extended local headers,1742205,2007-06-23.19:07:40,2022-04-11.14:56:25,1
please add wsgi to SimpleXMLRPCServer,1745722,2007-06-30.13:31:58,2022-04-11.14:56:25,1
Limiting data copy in xmlrpclib,1747670,2007-07-04.09:54:37,2022-04-11.14:56:25,1
imaplib cannot handle mailboxes with ACL: lrs,1749512,2007-07-07.07:52:44,2022-04-11.14:56:25,1
curses - new window methods: addchstr and addchnstr,1751519,2007-07-10.22:48:41,2022-04-11.14:56:25,1
Patch for [ 735515 ] urllib2 should cache 301 redir,1755841,2007-07-18.02:32:18,2022-04-11.14:56:25,1
ZipFile.write fails with bad modification time,1760357,2007-07-25.14:54:52,2022-04-11.14:56:25,1
SocketServer.DatagramRequestHandler with empty response,1767511,2007-08-04.09:21:27,2022-04-11.14:56:25,1
glob.glob inconsistent,1776674,2007-08-18.00:14:50,2022-04-11.14:56:26,1
nice to have a way to tell if a socket is bound,1062,2007-08-30.17:53:19,2022-04-11.14:56:26,1
os.getenv() not updated after external module uses C putenv(),1159,2007-09-13.07:22:07,2022-04-11.14:56:26,1
"IDLE - add ""paste code"" functionality",1178,2007-09-18.22:03:30,2022-04-11.14:56:27,1
Building external modules using Sun Studio 12,1250,2007-10-09.21:10:51,2022-04-11.14:56:27,1
IDLE - CallTips enhancement - show full doc-string in new window,1350,2007-10-28.02:59:54,2022-04-11.14:56:27,1
CGIHTTPServer does not chdir prior to executing the CGI script,1684,2007-12-21.21:57:22,2022-04-11.14:56:29,1
Add match parameter to filecmp.dircmp to ignore using patterns,1738,2008-01-04.21:30:31,2022-04-11.14:56:29,1
readline module - set/get quote delimiters,1744,2008-01-06.15:14:05,2022-04-11.14:56:29,1
Get path to shell/known folders on Windows,1763,2008-01-08.17:12:57,2022-04-11.14:56:29,1
ctypes callback fails when called in Python with array argument,1800,2008-01-11.23:14:58,2022-04-11.14:56:29,1
Enhance Object/structseq.c to match namedtuple and tuple api,1820,2008-01-14.04:20:27,2022-04-11.14:56:29,1
"textwrap doesn't linebreak on ""\n""",1859,2008-01-17.12:40:01,2022-04-11.14:56:29,1
Change input() to always prompt to stderr,1927,2008-01-24.20:21:17,2022-04-11.14:56:30,1
Document PyUnicode_* API,1944,2008-01-27.06:26:42,2022-04-11.14:56:30,1
cookielib lacks FileCookieJar class for Safari,2008,2008-02-04.19:37:25,2022-04-11.14:56:30,1
IDLE - standardize dialogs,2053,2008-02-09.00:10:20,2022-04-11.14:56:30,1
difflib.unified_diff(...) produces invalid patches,2142,2008-02-18.20:16:55,2022-04-11.14:56:30,1
dbmmodule inquiry function is performance prohibitive,2159,2008-02-22.00:41:14,2022-04-11.14:56:31,1
mailbox module doesn't support compressed mbox,2209,2008-02-29.11:14:45,2022-04-11.14:56:31,1
Make urllib.request.Request.has_header() etc case-insensitive,2275,2008-03-11.21:22:19,2022-04-11.14:56:31,1
[Py3k] SyntaxError cursor shifted if multibyte character is in line.,2382,2008-03-18.05:22:30,2022-04-11.14:56:32,1
Improved serialization error logging in xmlrpclib,2449,2008-03-21.20:39:47,2022-04-11.14:56:32,1
Change os.access to check ACLs under Windows,2528,2008-04-01.14:19:18,2022-04-11.14:56:32,1
Patch: xmlrpclib client ignores datetime tzinfo when creating iso8601 dates,2623,2008-04-12.06:11:48,2022-04-11.14:56:33,1
Curses terminal resize problems when Python is in interactive mode,2675,2008-04-23.15:41:39,2022-04-11.14:56:33,1
email.feedparser regex duplicate,2679,2008-04-24.13:52:19,2022-04-11.14:56:33,1
IDLE: Patch to make PyShell behave more like a Terminal interface,2704,2008-04-27.18:02:39,2022-04-11.14:56:33,1
Document license under which audioop is used,2716,2008-04-29.00:22:49,2022-04-11.14:56:33,1
urllib.request.add_header fails with existing unredirected_header,2756,2008-05-04.15:11:37,2022-04-11.14:56:33,1
Test issue,2771,2008-05-05.16:40:44,2022-04-29.02:25:04,1
ctypes documentation not effective,2774,2008-05-06.16:38:37,2022-04-11.14:56:34,1
pulldom cannot handle xml file with large external entity properly,2818,2008-05-11.13:32:17,2022-04-11.14:56:34,1
zipfile to handle duplicate files in archive,2824,2008-05-11.20:17:49,2022-04-11.14:56:34,1
curses for windows (alternative patch),2889,2008-05-16.06:38:26,2022-04-11.14:56:34,1
PyMemberDef missing in limited API / Deprecate structmember.h,2897,2008-05-16.22:45:11,2022-04-11.14:56:34,1
Patch to print symbolic value of errno in OSError.__str__(),2920,2008-05-19.20:14:34,2022-04-11.14:56:34,1
_zip_directory_cache untested and undocumented,2953,2008-05-23.20:26:03,2022-04-11.14:56:34,1
"mailbox module, two small fixes",3022,2008-06-01.21:29:32,2022-04-11.14:56:35,1
pickle.py is limited by python's call stack,3119,2008-06-16.04:06:24,2022-04-11.14:56:35,1
implement PEP 3118 struct changes,3132,2008-06-17.22:30:31,2022-04-11.14:56:35,1
test_pydoc has no way to regenerate pristine data,3170,2008-06-22.03:47:06,2022-04-11.14:56:35,1
external strftime for Python?,3173,2008-06-23.02:44:52,2022-04-11.14:56:35,1
Add shutil.open,3177,2008-06-23.11:38:23,2022-04-11.14:56:35,1
function annotation for builtin and C function,3208,2008-06-26.13:16:17,2022-04-11.14:56:35,1
Wrong str->bytes conversion in Lib/encodings/idna.py,3232,2008-06-29.01:03:31,2022-04-11.14:56:35,1
multipart/form-data encoding,3244,2008-06-30.18:04:19,2022-04-11.14:56:36,1
python-config --cflags includes irrelevant flags,3290,2008-07-05.19:09:06,2022-04-11.14:56:36,1
make built-in tokenizer available via Python C API,3353,2008-07-14.11:32:15,2022-04-11.14:56:36,1
Improve error reporting for the argument parsing C API,3354,2008-07-14.12:53:23,2022-04-11.14:56:36,1
Add support for the new data option supported by event generate (Tk 8.5),3405,2008-07-18.12:52:45,2022-04-11.14:56:36,1
DeprecationWarning message applies to wrong context with exec(),3423,2008-07-22.00:40:41,2022-04-11.14:56:36,1
httplib.HTTPResponse documentations inconsistent,3430,2008-07-22.17:31:20,2022-04-11.14:56:36,1
PyType_Ready doesn't ensure that all bases are ready,3453,2008-07-27.15:14:04,2022-04-11.14:56:36,1
smtplib does not fully support IPv6 in EHLO,3461,2008-07-28.22:08:43,2022-04-11.14:56:37,1
subprocess.pipe function,3548,2008-08-12.17:23:58,2022-04-11.14:56:37,1
IDLE: Pasted newline doesn't trigger execution when typed newline would,3559,2008-08-15.05:34:49,2022-04-11.14:56:37,1
urlparse - relative url parsing and joins to be RFC3986 compliance,3647,2008-08-22.12:54:33,2022-04-11.14:56:38,1
Popen() object stdout attribute reassignment behaviour,3687,2008-08-26.15:57:45,2022-04-11.14:56:38,1
"improper scope in list comprehension, when used in class declaration",3692,2008-08-26.23:20:13,2022-04-11.14:56:38,1
print followed by exception eats print with doctest,3722,2008-08-29.10:54:12,2022-04-11.14:56:38,1
dbm.sqlite proof of concept,3783,2008-09-04.23:57:30,2022-04-11.14:56:38,1
"_curses, _curses_panel & _multiprocessing can't be build in 2.6b3 w/ SunStudio 12",3786,2008-09-05.09:55:20,2022-04-11.14:56:38,1
Multiprocessing: Expose underlying pipe in queues,3831,2008-09-11.01:13:58,2022-04-11.14:56:39,1
subprocess failing in GUI applications on Windows,3905,2008-09-18.23:07:01,2022-04-11.14:56:39,1
codecs.charmap_build is untested and undocumented,3931,2008-09-22.12:06:14,2022-04-11.14:56:39,1
curses' sigwinch handler isn't visible from python,3949,2008-09-23.21:18:28,2022-04-11.14:56:39,1
urllib.request.urlopen does not handle non-ASCII characters,3991,2008-09-28.18:47:16,2022-04-11.14:56:39,1
doctest.py should include method descriptors when looking inside a class __dict__,4037,2008-10-04.00:13:25,2022-04-11.14:56:40,1
urllib.request.Request 'timeout' attribute needs to have a default,4079,2008-10-08.18:29:58,2022-04-11.14:56:40,1
unittest: display time used by each test case,4080,2008-10-08.20:28:15,2022-04-11.14:56:40,1
smtplib doesn't clear helo/ehlo flags on quit,4142,2008-10-17.20:02:42,2022-04-11.14:56:40,1
tabulary entries in PDF documentation,4145,2008-10-19.08:46:44,2022-04-11.14:56:40,1
[subinterpreters] Multiple interpreters and readline module hook functions.,4202,2008-10-25.02:52:43,2022-04-11.14:56:40,1
doc: execution model - clear and complete example in documentation,4246,2008-11-01.14:59:30,2022-04-11.14:56:40,1
argparse: provide a simple way to get a programmatically useful list of options,4256,2008-11-03.16:30:54,2022-04-11.14:56:40,1
build mode which fails for build failures in extensions,4304,2008-11-12.09:34:40,2022-04-11.14:56:41,1
function with modified __name__ uses original name when there's an arg error,4322,2008-11-14.06:44:18,2022-04-11.14:56:41,1
Reworked Dialog.py,4333,2008-11-17.00:23:24,2022-04-11.14:56:41,1
tkinter: add _get_master() and use it consistently,4343,2008-11-18.12:39:18,2022-04-11.14:56:41,1
Allowing get_pre_input_hook from Readline,4502,2008-12-03.01:49:36,2022-04-11.14:56:42,1
zsh-style subpattern matching for fnmatch/glob,4573,2008-12-07.08:17:56,2022-04-11.14:56:42,1
Allow use of > 256 FD's on solaris in 32 bit mode,4609,2008-12-09.12:51:05,2022-04-11.14:56:42,1
"during Python installation, setup.py should not use .pydistutils.cfg",4655,2008-12-14.01:31:04,2022-04-11.14:56:42,1
tests missing in urllib2,4683,2008-12-17.14:14:18,2022-04-11.14:56:42,1
Document pickle behavior for subclasses of dicts/lists,4712,2008-12-21.17:24:03,2022-04-11.14:56:43,1
_winreg.QueryValue fault while reading mangled registry values,4722,2008-12-22.15:06:31,2022-04-11.14:56:43,1
Make python code compilable with a C++ compiler,4805,2009-01-02.04:56:46,2022-04-11.14:56:43,1
Patch for thread-support in md5module.c,4818,2009-01-03.11:23:59,2022-04-11.14:56:43,1
Patches for thread-support in built-in SHA modules,4821,2009-01-03.17:08:23,2022-04-11.14:56:43,1
Explicit directories for zipfiles,4833,2009-01-04.17:09:27,2022-04-11.14:56:43,1
instantiating and populating xml.dom.minidom.Element is cumbersome,4849,2009-01-05.19:08:25,2022-04-11.14:56:43,1
wave.py: add writesamples() and readsamples(),4913,2009-01-11.02:16:42,2022-04-11.14:56:44,1
gc.collect() won't always collect as expected,4924,2009-01-12.13:03:33,2022-04-11.14:56:44,1
tempfile.NamedTemporaryFile: automatic cleanup by OS,4928,2009-01-13.09:22:45,2022-04-11.14:56:44,1
xml.sax.expatreader.ExpatParser incorrectly silently skips external character entities in attribute values,4955,2009-01-15.22:34:30,2022-04-11.14:56:44,1
socket.getfqdn() doesn't cope properly with purely DNS-based setups,5004,2009-01-19.22:29:02,2022-04-11.14:56:44,1
urrlib2/httplib doesn't reset file position between requests,5038,2009-01-23.17:07:02,2022-04-11.14:56:44,1
test_update2 in test_os.py invalid due to os.environ.clear() followed by reliance on environ COMSPEC,5051,2009-01-25.11:39:17,2022-04-11.14:56:44,1
http.client.HTTPMessage.getallmatchingheaders() always returns [],5053,2009-01-25.15:24:32,2022-04-11.14:56:44,1
Change _tkinter initialization for new versions of Aqua Tk on OS X,5120,2009-01-31.21:25:49,2022-04-11.14:56:45,1
C API for appending to arrays,5141,2009-02-03.09:55:33,2022-04-11.14:56:45,1
syntactic sugar: type coercion on pointer assignment,5149,2009-02-04.01:20:02,2022-04-11.14:56:45,1
Indicating packages to be loaded when a Tcl interpreter is created in tkinter,5159,2009-02-05.20:08:23,2022-04-11.14:56:45,1
"OS X ""Update Shell Profile"" may not update $PATH if run more than once",5225,2009-02-12.12:05:45,2022-04-11.14:56:45,1
IDLE: exec IDLESTARTUP/PYTHONSTARTUP on restart,5233,2009-02-12.22:34:41,2022-04-11.14:56:45,1
Adding T_SIZET to structmember.h,5248,2009-02-13.15:42:10,2022-04-11.14:56:45,1
rlcompleter adds builtins when custom dict is used,5256,2009-02-14.00:04:18,2022-04-11.14:56:45,1
PythonLauncher considered harmfull,5262,2009-02-14.19:08:24,2022-04-11.14:56:45,1
imaplib should support international mailbox names,5305,2009-02-18.05:36:08,2022-04-11.14:56:45,1
signal handler never gets called,5315,2009-02-19.13:47:06,2022-04-11.14:56:45,1
object.__new__ argument calling autodetection faulty,5322,2009-02-19.20:34:23,2022-04-11.14:56:45,1
"curses patch add color_set and wcolor_set , and addchstr family of functions",5368,2009-02-25.17:30:28,2022-04-11.14:56:46,1
Green-box doc glitch: winhelp version only,5388,2009-02-27.19:45:52,2022-04-11.14:56:46,1
Cross-compiling CPython - need a buildbot,5404,2009-03-02.09:03:47,2022-04-11.14:56:46,1
There is no way of determining which ABCs a class is registered against,5405,2009-03-02.10:37:00,2022-04-11.14:56:46,1
imaplib: must not replace LF or CR by CRLF in literals,5430,2009-03-06.07:51:15,2022-04-11.14:56:46,1
equality not symmetric for subclasses of datetime.date and datetime.datetime,5516,2009-03-19.00:51:23,2022-04-11.14:56:46,1
LWPCookieJar cannot handle cookies with expirations of 2038 or greater on 32-bit platforms,5537,2009-03-22.17:50:24,2022-04-11.14:56:46,1
IDLE: execute stored startup code on each Shell start.,5594,2009-03-29.07:20:09,2022-04-11.14:56:47,1
Pass MS CRT debug flags into subprocesses,5619,2009-03-31.04:13:01,2022-04-11.14:56:47,1
ctypes should return composite types from callbacks,5710,2009-04-06.17:28:44,2022-04-11.14:56:47,1
http.server._url_collapse_path should live elsewhere,5714,2009-04-07.00:24:03,2022-04-11.14:56:47,1
listen socket close in SocketServer.ForkingMixIn.process_request(),5715,2009-04-07.00:30:48,2022-04-11.14:56:47,1
ctime: I don't think that word means what you think it means.,5720,2009-04-07.21:57:48,2022-04-11.14:56:47,1
process SysV-Semaphore support,5725,2009-04-09.05:20:51,2022-04-11.14:56:47,1
Language reference is ambiguous regarding next() method lookup,5739,2009-04-12.00:58:26,2022-04-11.14:56:47,1
"xml.dom.minidom does not escape CR, LF and TAB characters within attribute values",5752,2009-04-14.11:13:06,2022-04-11.14:56:47,1
Add an 'offset' argument to zlib.decompress,5804,2009-04-21.09:51:41,2022-04-11.14:56:48,1
io.BufferedReader.peek(): Documentation differs from Implementation,5811,2009-04-22.06:15:51,2022-04-11.14:56:48,1
Add a function for updating URL query parameters,5877,2009-04-29.13:32:13,2022-04-11.14:56:48,1
"Remove unneeded ""context"" pointer from getters and setters",5880,2009-04-29.16:15:23,2022-04-11.14:56:48,1
repr of time.struct_time type does not eval,5907,2009-05-02.16:30:42,2022-04-11.14:56:48,1
python produces zombie in webbrowser.open,5993,2009-05-11.03:57:56,2022-04-11.14:56:48,1
abstract class instantiable when subclassing built-in types,5996,2009-05-11.14:06:01,2022-04-11.14:56:48,1
Reference counting bug in PyArg_ParseTuple and PyArg_ParseTupleAndKeywords,6083,2009-05-22.08:18:54,2022-04-11.14:56:49,1
IDLE: Changed Shortcuts don't show up in menu,6092,2009-05-23.06:38:53,2022-04-11.14:56:49,1
Static library (libpythonX.Y.a) installed in incorrect location,6103,2009-05-25.05:26:12,2022-04-11.14:56:49,1
frame.f_locals keeps references to things for too long,6116,2009-05-26.15:27:04,2022-04-11.14:56:49,1
Consequences of using Py_TPFLAGS_HAVE_GC are incompletely explained,6128,2009-05-27.20:48:54,2022-04-11.14:56:49,1
There ought to be a way for extension types to associate documentation with their tp_new or tp_init methods,6130,2009-05-27.21:02:38,2022-04-11.14:56:49,1
IDLE - clear and restart the shell window,6143,2009-05-29.21:09:50,2022-04-11.14:56:49,1
"Tkinter.PanedWindow: docstring fixes, change in paneconfigure and removed some returns",6159,2009-05-31.23:28:00,2022-04-11.14:56:49,1
ctypes pointer arithmetic,6259,2009-06-10.19:37:58,2022-04-11.14:56:50,1
"calendar.timegm() belongs in time module, next to time.gmtime()",6280,2009-06-13.16:48:01,2022-04-11.14:56:50,1
C/API PyErr_AsUnicode(),6284,2009-06-14.17:03:37,2022-04-11.14:56:50,1
pyexpat build failure on Solaris 10 for 2.6.1/2.6.2,6299,2009-06-17.20:07:52,2022-04-11.14:56:50,1
Confusing error message when passing bytes to print with file pointing to a binary file,6304,2009-06-18.02:51:44,2022-04-11.14:56:50,1
Pdb breakpoints don't work on lines without bytecode,6322,2009-06-22.14:09:13,2022-04-11.14:56:50,1
Add unicode script info to the unicode database,6331,2009-06-23.20:50:57,2022-04-11.14:56:50,1
Infinite Recursion during Unpickling a codecs Object,6395,2009-07-01.15:46:26,2022-04-11.14:56:50,1
